基金代码,基金简称,持仓日期,对应股票代码,债券名称,数量,市值,市值占基金资产净值比,第N大重仓股,所在证券市场,所属国家(地区),报告类型
006650,招商安庆债券,20191231,300568,星源转债,1815.0,225989.4,0.0013,36,深圳证券交易所,中华人民共和国,季报
006006,诺安鼎利混合C,20190930,300568,星源转债,6781.0,776260.8,0.0062,29,深圳证券交易所,中华人民共和国,季报
006467,浦银安盛双债增强债券C,20191231,300568,星源转债,4987.0,620850.0,0.003,19,深圳证券交易所,中华人民共和国,季报
007257,凯石沣混合A,20191231,300568,星源转债,23478.0,2922961.8,0.0079,3,深圳证券交易所,中华人民共和国,季报
519726,交银施罗德稳固收益债券A,20191231,300568,星源转债,5091.0,633887.85,0.0091,9,深圳证券交易所,中华人民共和国,季报
006466,浦银安盛双债增强债券A,20191231,300568,星源转债,4987.0,620850.0,0.003,19,深圳证券交易所,中华人民共和国,季报
007282,华夏鼎淳债券A,20191231,300568,星源转债,90420.0,11257252.2,0.0059,14,深圳证券交易所,中华人民共和国,年报(含半年报)
007398,兴全磐稳增利债券C,20191231,300568,星源转债,53281.0,6633533.91,0.003,31,深圳证券交易所,中华人民共和国,年报(含半年报)
007826,博道志远混合C,20191231,300568,星源转债,5000.0,620850.0,0.0015,1,深圳证券交易所,中华人民共和国,季报
008008,易方达稳健收益债券C,20191231,300568,星源转债,120978.0,15061821.0,0.001,63,深圳证券交易所,中华人民共和国,季报
007762,富国天盈债券(LOF)A,20190930,300568,星源转债,918.0,105100.8,0.0002,24,深圳证券交易所,中华人民共和国,季报
007230,兴全沪深300指数增强(LOF)C,20190930,300568,星源转债,52.0,5940.48,0.0,33,深圳证券交易所,中华人民共和国,季报
006006,诺安鼎利混合C,20190630,300568,星源转债,11082.0,1130247.65,0.0048,13,深圳证券交易所,中华人民共和国,年报(含半年报)
006005,诺安鼎利混合A,20190630,300568,星源转债,11082.0,1130247.65,0.0048,13,深圳证券交易所,中华人民共和国,季报
007099,安信尊享添益债券C,20191231,300568,星源转债,161572.0,20115664.17,0.0026,2,深圳证券交易所,中华人民共和国,季报
007230,兴全沪深300指数增强(LOF)C,20190630,300568,星源转债,52.0,5297.24,0.0,16,深圳证券交易所,中华人民共和国,年报(含半年报)
007099,安信尊享添益债券C,20190930,300568,星源转债,166833.0,19097500.8,0.0037,2,深圳证券交易所,中华人民共和国,季报
007262,东方红聚利债券A,20191231,300568,星源转债,369.0,45942.9,0.0,56,深圳证券交易所,中华人民共和国,季报
007258,凯石沣混合C,20191231,300568,星源转债,23478.0,2922961.8,0.0079,3,深圳证券交易所,中华人民共和国,季报
006006,诺安鼎利混合C,20191231,300568,星源转债,1302.0,162041.85,0.0022,34,深圳证券交易所,中华人民共和国,季报
006650,招商安庆债券,20191231,300568,星源转债,1815.0,225989.4,0.0013,36,深圳证券交易所,中华人民共和国,年报(含半年报)
006005,诺安鼎利混合A,20191231,300568,星源转债,1302.0,162041.85,0.0022,34,深圳证券交易所,中华人民共和国,季报
007258,凯石沣混合C,20191231,300568,星源转债,23478.0,2922961.8,0.0079,3,深圳证券交易所,中华人民共和国,年报(含半年报)
006466,浦银安盛双债增强债券A,20190930,300568,星源转债,4990.0,571200.0,0.0023,16,深圳证券交易所,中华人民共和国,季报
007099,安信尊享添益债券C,20190630,300568,星源转债,138487.0,14124275.5,0.0063,2,深圳证券交易所,中华人民共和国,季报
006467,浦银安盛双债增强债券C,20190930,300568,星源转债,4990.0,571200.0,0.0023,16,深圳证券交易所,中华人民共和国,季报
007255,华宝稳健养老目标一年持有期混合(FOF)A,20191231,300568,星源转债,3000.0,372510.0,0.0138,3,深圳证券交易所,中华人民共和国,季报
006005,诺安鼎利混合A,20190930,300568,星源转债,6781.0,776260.8,0.0062,29,深圳证券交易所,中华人民共和国,季报
007825,博道志远混合A,20191231,300568,星源转债,5000.0,620850.0,0.0015,1,深圳证券交易所,中华人民共和国,季报
007263,东方红聚利债券C,20191231,300568,星源转债,369.0,45942.9,0.0,56,深圳证券交易所,中华人民共和国,季报
006466,浦银安盛双债增强债券A,20191231,300568,星源转债,4987.0,620850.0,0.003,19,深圳证券交易所,中华人民共和国,年报(含半年报)
007099,安信尊享添益债券C,20190630,300568,星源转债,138487.0,14124275.5,0.0063,2,深圳证券交易所,中华人民共和国,年报(含半年报)
007099,安信尊享添益债券C,20191231,300568,星源转债,161572.0,20115664.17,0.0026,2,深圳证券交易所,中华人民共和国,年报(含半年报)
007230,兴全沪深300指数增强(LOF)C,20191231,300568,星源转债,52.0,6456.84,0.0,46,深圳证券交易所,中华人民共和国,年报(含半年报)
519726,交银施罗德稳固收益债券A,20191231,300568,星源转债,5091.0,633887.85,0.0091,9,深圳证券交易所,中华人民共和国,年报(含半年报)
006005,诺安鼎利混合A,20191231,300568,星源转债,1302.0,162041.85,0.0022,34,深圳证券交易所,中华人民共和国,年报(含半年报)
006006,诺安鼎利混合C,20191231,300568,星源转债,1302.0,162041.85,0.0022,34,深圳证券交易所,中华人民共和国,年报(含半年报)
007398,兴全磐稳增利债券C,20191231,300568,星源转债,53281.0,6633533.91,0.003,31,深圳证券交易所,中华人民共和国,季报
007230,兴全沪深300指数增强(LOF)C,20190630,300568,星源转债,52.0,5297.24,0.0,16,深圳证券交易所,中华人民共和国,季报
007282,华夏鼎淳债券A,20191231,300568,星源转债,90420.0,11257252.2,0.0059,14,深圳证券交易所,中华人民共和国,季报
006005,诺安鼎利混合A,20190630,300568,星源转债,11082.0,1130247.65,0.0048,13,深圳证券交易所,中华人民共和国,年报(含半年报)
007826,博道志远混合C,20191231,300568,星源转债,5000.0,620850.0,0.0015,1,深圳证券交易所,中华人民共和国,年报(含半年报)
007255,华宝稳健养老目标一年持有期混合(FOF)A,20191231,300568,星源转债,3000.0,372510.0,0.0138,3,深圳证券交易所,中华人民共和国,年报(含半年报)
006467,浦银安盛双债增强债券C,20191231,300568,星源转债,4987.0,620850.0,0.003,19,深圳证券交易所,中华人民共和国,年报(含半年报)
007263,东方红聚利债券C,20191231,300568,星源转债,369.0,45942.9,0.0,56,深圳证券交易所,中华人民共和国,年报(含半年报)
008008,易方达稳健收益债券C,20191231,300568,星源转债,120978.0,15061821.0,0.001,63,深圳证券交易所,中华人民共和国,年报(含半年报)
007825,博道志远混合A,20191231,300568,星源转债,5000.0,620850.0,0.0015,1,深圳证券交易所,中华人民共和国,年报(含半年报)
006006,诺安鼎利混合C,20190630,300568,星源转债,11082.0,1130247.65,0.0048,13,深圳证券交易所,中华人民共和国,季报
007230,兴全沪深300指数增强(LOF)C,20191231,300568,星源转债,52.0,6456.84,0.0,46,深圳证券交易所,中华人民共和国,季报
519937,长信先锐混合A,20190331,300568,星源转债,550.0,62848.5,0.0041,2,深圳证券交易所,中华人民共和国,季报
007257,凯石沣混合A,20191231,300568,星源转债,23478.0,2922961.8,0.0079,3,深圳证券交易所,中华人民共和国,年报(含半年报)
007283,华夏鼎淳债券C,20191231,300568,星源转债,90420.0,11257252.2,0.0059,14,深圳证券交易所,中华人民共和国,年报(含半年报)
007262,东方红聚利债券A,20191231,300568,星源转债,369.0,45942.9,0.0,56,深圳证券交易所,中华人民共和国,年报(含半年报)
007283,华夏鼎淳债券C,20191231,300568,星源转债,90420.0,11257252.2,0.0059,14,深圳证券交易所,中华人民共和国,季报
009131,鹏扬景恒六个月持有期混合C,20201231,002616,长集转债,29927.0,3222040.56,0.0012,8,深圳证券交易所,中华人民共和国,年报(含半年报)
511380,博时中证可转债及可交换债券ETF,20211231,002616,长集转债,5671.0,635111.08,0.001,156,深圳证券交易所,中华人民共和国,年报(含半年报)
007669,太平睿盈混合C,20210630,002616,长集转债,2997.0,325020.0,0.0005,35,深圳证券交易所,中华人民共和国,年报(含半年报)
006467,浦银安盛双债增强债券C,20210930,002616,长集转债,4990.0,573300.0,0.0009,54,深圳证券交易所,中华人民共和国,季报
