基金代码,基金简称,持仓日期,股票代码,股票名称,数量,市值,市值占基金资产净值比,第N大重仓股,所在证券市场,所属国家(地区),报告类型
007484,信澳核心科技混合A,20201231,600563,法拉电子,151369.0,16279735.95,0.0257,4,上海证券交易所,中华人民共和国,季报
006713,前海开源MSCI中国A股消费指数C,20210630,002216,三全食品,21770.0,358551.9,0.0021,2,深圳证券交易所,中华人民共和国,年报(含半年报)
008935,大成科技消费股票C,20210630,300991,创益通,335.0,9662.5,0.0,93,深圳证券交易所,中华人民共和国,年报(含半年报)
010916,交银施罗德臻选回报混合A,20210630,002831,裕同科技,162300.0,4818687.0,0.0055,12,深圳证券交易所,中华人民共和国,年报(含半年报)
009187,天弘聚新三个月定期开放混合C,20211231,603601,再升科技,316500.0,3927765.0,0.0124,7,上海证券交易所,中华人民共和国,年报(含半年报)
007571,南方上证380ETF联接C,20200630,600559,老白干酒,402.0,5205.9,0.0,95,上海证券交易所,中华人民共和国,年报(含半年报)
009273,融通中国风1号灵活配置混合C,20201231,300725,药石科技,2103295.0,290254710.0,0.0378,10,深圳证券交易所,中华人民共和国,季报
009939,淳厚欣享一年持有期混合C,20210630,600690,海尔智家,1396700.0,36188497.0,0.0188,15,上海证券交易所,中华人民共和国,年报(含半年报)
009139,嘉实瑞成两年持有期混合C,20211231,688212,澳华内镜,3496.0,132043.92,0.0,71,上海证券交易所,中华人民共和国,年报(含半年报)
512590,浦银安盛中证高股息精选ETF,20210630,002773,康弘药业,7400.0,171162.0,0.0015,100,深圳证券交易所,中华人民共和国,年报(含半年报)
008405,华泰紫金泰盈混合C,20210630,600132,重庆啤酒,163213.0,32308013.35,0.0364,12,上海证券交易所,中华人民共和国,年报(含半年报)
952024,国泰君安君得盛债券A,20201231,000799,酒鬼酒,17200.0,2691800.0,0.0094,8,深圳证券交易所,中华人民共和国,年报(含半年报)
007497,中庚价值灵动灵活配置混合,20211231,002039,黔源电力,1500000.0,31620000.0,0.0118,24,深圳证券交易所,中华人民共和国,年报(含半年报)
002415,融通通盈灵活配置混合,20201231,300876,蒙泰高新,350.0,12817.0,0.0,65,深圳证券交易所,中华人民共和国,年报(含半年报)
005680,财通资管价值成长混合A,20210630,688690,纳微科技,3477.0,277777.53,0.0002,36,上海证券交易所,中华人民共和国,年报(含半年报)
009437,信澳科技创新一年定期开放混合A,20210630,600036,招商银行,10396.0,563359.24,0.001,165,上海证券交易所,中华人民共和国,年报(含半年报)
008179,同泰慧盈混合C,20211231,301179,泽宇智能,110.0,5584.7,0.0,277,深圳证券交易所,中华人民共和国,年报(含半年报)
007524,汇添富内需增长股票C,20200630,603392,万泰生物,785.0,129525.0,0.0001,59,上海证券交易所,中华人民共和国,年报(含半年报)
007339,易方达沪深300ETF联接C,20191231,300498,温氏股份,3700.0,124320.0,0.0,81,深圳证券交易所,中华人民共和国,年报(含半年报)
009234,鹏华优质企业混合A,20201231,300870,欧陆通,478.0,31390.26,0.0,39,深圳证券交易所,中华人民共和国,年报(含半年报)
009100,安信稳健增利混合A,20211231,301188,力诺特玻,647.0,13250.56,0.0,157,深圳证券交易所,中华人民共和国,年报(含半年报)
