基金代码,基金简称,公告日期,截止日期,报告期期初基金总份额,报告期基金总申购份额,报告期基金总赎回份额,报告期期末基金总份额,定期报告所属年度,报告类型
000028,华富安鑫债券,2019-04-20 00:00:00,2019-03-31 00:00:00,344550555.65,1811778.99,18997687.33,327364647.31,2019,基金定期报告
000030,长城核心优选灵活配置混合A,2019-04-22 00:00:00,2019-03-31 00:00:00,1686849451.21,2592968.41,97884441.21,1591557978.41,2019,基金定期报告
000037,广发景宁纯债债券A,2019-04-22 00:00:00,2019-03-31 00:00:00,524340286.96,3272117.58,167762155.66,359850248.88,2019,基金定期报告
000058,国联安安泰灵活配置混合,2019-04-22 00:00:00,2019-03-31 00:00:00,50656246.14,790884.58,2904239.23,48542891.49,2019,基金定期报告
000066,诺安鸿鑫混合A,2019-04-19 00:00:00,2019-03-31 00:00:00,861243881.82,2339225.12,17613790.21,845969316.73,2019,基金定期报告
000072,华安稳健回报混合A,2019-04-20 00:00:00,2019-03-31 00:00:00,1630269023.05,3996837.3,105463173.68,1528802686.67,2019,基金定期报告
000089,民生加银高等级信用债债券C,2019-04-20 00:00:00,2019-03-31 00:00:00,6512974402.76,497160302.09,1932661189.11,5077473515.74,2019,基金定期报告
000090,民生加银高等级信用债债券A,2019-04-20 00:00:00,2019-03-31 00:00:00,15588557781.4,137103018.81,415127255.07,15310533545.14,2019,基金定期报告
000126,招商安润灵活配置混合A,2019-04-18 00:00:00,2019-03-31 00:00:00,1884399372.64,1355751.85,62297937.04,1823457187.45,2019,基金定期报告
000134,中信保诚嘉鸿债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,23627331.39,426130.46,8750725.02,15302736.83,2019,基金定期报告
000135,中信保诚嘉鸿债券C,2019-04-18 00:00:00,2019-03-31 00:00:00,11512014580.16,85549613.35,1088897698.25,10508666495.26,2019,基金定期报告
000142,融通增强收益债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,996780308.32,1102556.11,11226818.87,986656045.56,2019,基金定期报告
000166,中海信息产业精选混合A,2019-04-18 00:00:00,2019-03-31 00:00:00,45039024.52,1198197.41,5414358.13,40822863.8,2019,基金定期报告
000189,易方达丰华债券A,2019-04-18 00:00:00,2019-03-31 00:00:00,161291666.12,17061254.2,28682272.86,149670647.46,2019,基金定期报告
000195,工银瑞信成长收益混合A,2019-04-22 00:00:00,2019-03-31 00:00:00,2328010899.53,6365.3,358633564.16,1969383700.67,2019,基金定期报告
000196,工银瑞信成长收益混合B,2019-04-22 00:00:00,2019-03-31 00:00:00,153025060.4,132183.89,13657928.13,139499316.16,2019,基金定期报告
000270,建信灵活配置混合,2019-04-19 00:00:00,2019-03-31 00:00:00,1623068852.93,3539603.62,52783976.54,1573824480.01,2019,基金定期报告
000322,农银汇理金汇债券A,2019-04-19 00:00:00,2019-03-31 00:00:00,510470655.48,73557970.13,311435101.6,272593524.01,2019,基金定期报告
000346,建信安心回报6个月定期开放债券A,2019-04-19 00:00:00,2019-03-31 00:00:00,159236022.67,57763.49,145619094.69,13674691.47,2019,基金定期报告
000347,建信安心回报6个月定期开放债券C,2019-04-19 00:00:00,2019-03-31 00:00:00,70671409.52,19249.28,215997.32,70474661.48,2019,基金定期报告
000503,中信建投景和中短债债券A,2019-04-19 00:00:00,2019-03-31 00:00:00,74968618.84,0.0,0.0,74968618.84,2019,基金定期报告
000504,中信建投景和中短债债券C,2019-04-19 00:00:00,2019-03-31 00:00:00,4763771.12,0.0,0.0,4763771.12,2019,基金定期报告
000512,国泰沪深300指数增强A,2019-04-22 00:00:00,2019-03-31 00:00:00,18211896.32,515227.16,3047532.16,15679591.32,2019,基金定期报告
000674,中海中短债债券,2019-04-18 00:00:00,2019-03-31 00:00:00,42450286.9,0.0,0.0,42450286.9,2019,基金定期报告
000715,民生加银高等级信用债债券E,2019-04-20 00:00:00,2019-03-31 00:00:00,11576526332.13,3387495143.84,6237366265.74,8726655210.23,2019,基金定期报告
000791,银华安颐中短债双月持有期债券C,2019-04-18 00:00:00,2019-03-31 00:00:00,878487751.97,311991974.09,340146241.09,850333484.97,2019,基金定期报告
000808,招商招利1个月期理财债券型A,2019-04-18 00:00:00,2019-03-31 00:00:00,3467392970.09,2433394555.43,2654849814.64,3245937710.88,2019,基金定期报告
000809,招商招利1个月期理财债券型B,2019-04-18 00:00:00,2019-03-31 00:00:00,1051426250.25,414122215.47,573527721.65,892020744.07,2019,基金定期报告
000833,易方达富华纯债债券C,2019-04-18 00:00:00,2019-03-31 00:00:00,188064118.06,1275786.32,58417007.85,130922896.53,2019,基金定期报告
000931,国寿安保尊益信用纯债债券,2019-04-22 00:00:00,2019-03-31 00:00:00,126158571.05,58396145.51,111406816.3,73147900.26,2019,基金定期报告
000961,天弘沪深300ETF联接A,2019-04-19 00:00:00,2019-03-31 00:00:00,2106917311.22,932694463.51,1306083440.18,1733528334.55,2019,基金定期报告
000962,天弘中证500ETF联接A,2019-04-19 00:00:00,2019-03-31 00:00:00,1071171719.7,1004530669.61,706485556.69,1369216832.62,2019,基金定期报告
001057,华夏理财30天债券型A,2019-04-20 00:00:00,2019-03-31 00:00:00,1518382279.51,15050572.45,363522935.29,1169909916.67,2019,基金定期报告
001058,华夏理财30天债券型B,2019-04-20 00:00:00,2019-03-31 00:00:00,21148814747.66,180871453.69,503393259.28,20826292942.07,2019,基金定期报告
001124,融通增强收益债券C,2019-04-18 00:00:00,2019-03-31 00:00:00,4103113.85,0.0,0.0,4103113.85,2019,基金定期报告
001351,诺安中证500指数增强A,2019-04-19 00:00:00,2019-03-31 00:00:00,146602731.8,21746153.53,12045871.05,156303014.28,2019,基金定期报告
001516,大成安汇金融债债券E,2019-04-19 00:00:00,2019-03-31 00:00:00,144522116.87,46350183.54,54378914.84,136493385.57,2019,基金定期报告
001556,天弘中证500指数增强A,2019-04-19 00:00:00,2019-03-31 00:00:00,17221722.02,2513213.72,3662941.18,16071994.56,2019,基金定期报告
001557,天弘中证500指数增强C,2019-04-19 00:00:00,2019-03-31 00:00:00,15255126.47,4088278.06,4887656.3,14455748.23,2019,基金定期报告
001592,天弘创业板ETF联接A,2019-04-19 00:00:00,2019-03-31 00:00:00,1250096203.77,1284970750.58,1005971273.85,1529095680.5,2019,基金定期报告
001593,天弘创业板ETF联接C,2019-04-19 00:00:00,2019-03-31 00:00:00,2914534179.43,5253313823.38,4821951095.91,3345896906.9,2019,基金定期报告
001594,天弘中证银行ETF联接A,2019-04-19 00:00:00,2019-03-31 00:00:00,178443950.34,215669072.24,176444603.42,217668419.16,2019,基金定期报告
001595,天弘中证银行ETF联接C,2019-04-19 00:00:00,2019-03-31 00:00:00,304475606.49,651640685.58,714594959.47,241521332.6,2019,基金定期报告
001617,天弘中证电子ETF联接A,2019-04-19 00:00:00,2019-03-31 00:00:00,125222284.86,292088463.55,207008650.65,210302097.76,2019,基金定期报告
001618,天弘中证电子ETF联接C,2019-04-19 00:00:00,2019-03-31 00:00:00,166600688.35,723498363.57,628011128.84,262087923.08,2019,基金定期报告
001629,天弘中证计算机主题ETF联接A,2019-04-19 00:00:00,2019-03-31 00:00:00,224794400.1,400746647.02,286203475.75,339337571.37,2019,基金定期报告
