基金代码,基金简称,公告日期,截止日期,机构投资者持有的基金份额,机构投资者持有的基金份额占总份额比例,个人投资者持有的基金份额,个人投资者持有的基金份额占总份额比例,定期报告所属年度,报告类型
000006,西部利得量化成长混合A,2019-08-24 00:00:00,2019-06-30 00:00:00,10000600.0,7.24,128087037.15,92.76,2019,中期报告
000028,华富安鑫债券,2019-08-29 00:00:00,2019-06-30 00:00:00,217513.79,0.25,88253498.14,99.75,2019,中期报告
000030,长城核心优选灵活配置混合A,2019-08-27 00:00:00,2019-06-30 00:00:00,18574577.58,6.03,289425324.34,93.97,2019,中期报告
000037,广发景宁纯债债券A,2019-08-28 00:00:00,2019-06-30 00:00:00,2434118.5,0.86,281247112.37,99.14,2019,中期报告
000058,国联安安泰灵活配置混合,2019-08-28 00:00:00,2019-06-30 00:00:00,164407702.85,93.83,10809491.68,6.17,2019,中期报告
000066,诺安鸿鑫混合A,2019-08-23 00:00:00,2019-06-30 00:00:00,139952.83,0.23,61285912.87,99.77,2019,中期报告
000072,华安稳健回报混合A,2019-08-28 00:00:00,2019-06-30 00:00:00,109545.02,0.03,428810309.61,99.97,2019,中期报告
000089,民生加银高等级信用债债券C,2019-08-23 00:00:00,2019-06-30 00:00:00,2161707.58,0.05,4115746710.3,99.95,2019,中期报告
000090,民生加银高等级信用债债券A,2019-08-23 00:00:00,2019-06-30 00:00:00,14452489116.22,99.5,72244200.94,0.5,2019,中期报告
000126,招商安润灵活配置混合A,2019-08-26 00:00:00,2019-06-30 00:00:00,663441.99,0.34,195230164.46,99.66,2019,中期报告
000134,中信保诚嘉鸿债券A,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,12150175.94,100.0,2019,中期报告
000135,中信保诚嘉鸿债券C,2019-08-26 00:00:00,2019-06-30 00:00:00,9057010113.54,100.0,0.0,0.0,2019,中期报告
000142,融通增强收益债券A,2019-08-24 00:00:00,2019-06-30 00:00:00,800548638.46,83.03,163648154.94,16.97,2019,中期报告
000166,中海信息产业精选混合A,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,34496483.5,100.0,2019,中期报告
000189,易方达丰华债券A,2019-08-24 00:00:00,2019-06-30 00:00:00,6152020.62,3.29,181016230.46,96.71,2019,中期报告
000195,工银瑞信成长收益混合A,2019-08-28 00:00:00,2019-06-30 00:00:00,1096321948.33,55.67,873061752.34,44.33,2019,中期报告
000196,工银瑞信成长收益混合B,2019-08-28 00:00:00,2019-06-30 00:00:00,187971.91,0.13,139311344.25,99.87,2019,中期报告
000270,建信灵活配置混合,2019-08-29 00:00:00,2019-06-30 00:00:00,850932754.15,55.28,688425961.25,44.72,2019,中期报告
000322,农银汇理金汇债券A,2019-08-23 00:00:00,2019-06-30 00:00:00,25230.9,0.01,423484224.37,99.99,2019,中期报告
000346,建信安心回报6个月定期开放债券A,2019-08-29 00:00:00,2019-06-30 00:00:00,0.0,0.0,12123304.84,100.0,2019,中期报告
000347,建信安心回报6个月定期开放债券C,2019-08-29 00:00:00,2019-06-30 00:00:00,48422590.07,80.46,11760096.46,19.54,2019,中期报告
000503,中信建投景和中短债债券A,2019-08-26 00:00:00,2019-06-30 00:00:00,4881835.94,21.4963,17828313.16,78.5037,2019,中期报告
000504,中信建投景和中短债债券C,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,3271405.06,100.0,2019,中期报告
000512,国泰沪深300指数增强A,2019-08-28 00:00:00,2019-06-30 00:00:00,706104550.06,97.51,18004553.54,2.49,2019,中期报告
000674,中海中短债债券,2019-08-26 00:00:00,2019-06-30 00:00:00,0.0,0.0,42045401.9,100.0,2019,中期报告
