基金代码,基金全称,基金简称,管理人,托管人,基金类型,成立日期,到期日期,管理费率,托管费率
000006,西部利得量化成长混合型发起式证券投资基金A类,西部利得量化成长混合A,西部利得基金管理有限公司,中国农业银行股份有限公司,混合型,20190319,30001231,1.2%,0.1%
000028,华富安鑫债券型证券投资基金,华富安鑫债券,华富基金管理有限公司,上海浦东发展银行股份有限公司,债券型,20190612,30001231,0.7%,0.2%
000030,长城核心优选灵活配置混合型证券投资基金A类,长城核心优选灵活配置混合A,长城基金管理有限公司,中国建设银行股份有限公司,混合型,20190524,30001231,1.2%,0.2%
000037,广发景宁纯债债券型证券投资基金A类,广发景宁纯债债券A,广发基金管理有限公司,中国工商银行股份有限公司,债券型,20200422,30001231,0.3%,0.05%
000058,国联安安泰灵活配置混合型证券投资基金,国联安安泰灵活配置混合,国联安基金管理有限公司,中国工商银行股份有限公司,混合型,20190605,30001231,0.9%,0.2%
000066,诺安鸿鑫混合型证券投资基金A类,诺安鸿鑫混合A,诺安基金管理有限公司,中国工商银行股份有限公司,混合型,20190618,30001231,1.2%,0.2%
000072,华安稳健回报混合型证券投资基金A类,华安稳健回报混合A,华安基金管理有限公司,中国建设银行股份有限公司,混合型,20190628,30001231,0.7%,0.2%
000089,民生加银高等级信用债债券型证券投资基金C类,民生加银高等级信用债债券C,民生加银基金管理有限公司,中国建设银行股份有限公司,债券型,20200724,30001231,0.3%,0.1%
000090,民生加银高等级信用债债券型证券投资基金A类,民生加银高等级信用债债券A,民生加银基金管理有限公司,中国建设银行股份有限公司,债券型,20200724,30001231,0.3%,0.1%
000126,招商安润灵活配置混合型证券投资基金A类,招商安润灵活配置混合A,招商基金管理有限公司,中国银行股份有限公司,混合型,20190514,30001231,1.2%,0.2%
000134,中信保诚嘉鸿债券型证券投资基金A类,中信保诚嘉鸿债券A,中信保诚基金管理有限公司,中国银行股份有限公司,债券型,20200724,30001231,0.2%,0.05%
000135,中信保诚嘉鸿债券型证券投资基金C类,中信保诚嘉鸿债券C,中信保诚基金管理有限公司,中国银行股份有限公司,债券型,20200724,30001231,0.2%,0.05%
000142,融通增强收益债券型证券投资基金A类,融通增强收益债券A,融通基金管理有限公司,中国工商银行股份有限公司,债券型,20190716,30001231,0.7%,0.2%
000166,中海信息产业精选混合型证券投资基金A类,中海信息产业精选混合A,中海基金管理有限公司,上海浦东发展银行股份有限公司,混合型,20190515,30001231,1.2%,0.2%
000189,易方达丰华债券型证券投资基金A类,易方达丰华债券A,易方达基金管理有限公司,招商银行股份有限公司,债券型,20190219,30001231,0.8%,0.2%
000195,工银瑞信成长收益混合型证券投资基金A类,工银瑞信成长收益混合A,工银瑞信基金管理有限公司,招商银行股份有限公司,混合型,20190719,30001231,0.6%,0.15%
