基金代码,交易日期,单位净值,复权单位净值,累计单位净值,资产净值
007120,20210120,2.162,2.162,2.162,3282338328.05
006845,20210603,1.2599,1.2599,1.2599,2692024.53
010157,20211221,1.1338,1.1338,1.1338,137142492.09
009509,20210615,1.0196,1.0196,1.0196,58447078.05
006615,20210826,2.7303,2.7303,2.7303,1433272442.67
008982,20211011,1.0356,1.0356,1.0356,528172428.11
000488,20200110,1.0004,1.0004,1.0004,25014331.07
006799,20200902,1.0588,1.069,1.0688,108234043.15
004189,20210625,1.9158,1.3638,1.3638,29216347.19
008468,20201207,1.5227,1.5227,1.5227,117931630.09
008418,20200217,1.0481,1.0481,1.0481,364551308.14
007404,20201217,2.0166,2.0166,2.0166,120915548.51
010213,20201118,1.0242,1.0242,1.0242,8562387096.8
008347,20200515,1.1487,1.1487,1.1487,365186982.99
009564,20210915,0.854,0.854,0.854,1079097840.2
006760,20210226,1.0311,1.064,1.0641,115890407.03
920928,20210512,1.2734,1.2734,1.2734,140824581.88
008191,20201023,1.0,1.0168,0.0,1217871.98
008700,20211203,1.0618,1.0618,1.0618,439153154.37
007179,20201202,1.011,1.011,1.011,30292619.63
010305,20210113,1.0421,1.0421,1.0421,5623324997.24
008452,20201231,1.1189,1.1189,1.1189,355365264.75
008513,20211029,1.1784,1.1784,1.1784,2243881311.95
007744,20210527,1.0192,1.0192,1.0192,14677956.03
009693,20201113,1.2381,1.2381,1.2381,1720144862.34
008376,20211020,1.6015,1.6015,1.6015,92876641.4
007151,20211117,1.4339,1.4339,1.4339,88423418.51
007991,20210112,1.0241,1.0302,1.0301,13534.42
009672,20210415,1.0366,1.0366,1.0366,227546915.16
008056,20210811,1.4574,1.4574,1.4574,166672513.24
007886,20210316,1.1602,1.1602,1.1602,111484.6
008344,20201028,1.0209,1.0209,1.0209,1028323412.94
009404,20201026,1.0111,1.0111,1.0111,804534256.59
007738,20211203,1.0262,1.0682,1.068,530136353.37
007126,20200123,1.1154,1.1154,1.1154,81889164.42
009741,20210922,1.3107,1.3107,1.3107,56763997.36
006964,20200603,1.0,1.0,1.0,
008070,20210419,1.0757,1.0757,1.0757,46750801.45
005047,20211116,1.0382,0.9078,1.0382,37542665.03
007915,20210507,1.0707,1.0707,1.0707,2858080632.4
006627,20210804,1.0564,1.0997,1.0984,1028454912.56
006965,20210622,1.0788,1.0864,1.0858,597039661.02
007118,20201021,1.0518,1.0659,1.0658,2909867260.4
010034,20211025,1.1602,1.1602,1.1602,36482585.35
007651,20200702,1.1244,1.1244,1.1244,64726493.88
007960,20211227,1.8503,1.8503,1.8503,1054207.04
006881,20210208,2.5314,2.5314,2.5314,130589957.93
007210,20210812,1.0571,1.0571,1.0571,122134426.94
007427,20201207,1.0279,1.053,1.053,1051723829.23
008370,20211214,1.9282,1.9282,1.9282,1374960912.55
007506,20201222,1.2465,1.2465,1.2465,50386395.34
010338,20210414,0.9799,0.9799,0.9799,1724925355.69
009206,20210928,1.2307,1.2307,1.2307,29155129.74
008766,20210528,1.0407,1.0407,1.0407,510691366.9
900090,20211008,1.8858,1.8858,3.5924,9671526029.63
006254,20200319,1.0279,1.0279,1.0279,180072636.76
009668,20201126,1.0385,1.0385,1.0385,150022935.61
009161,20211028,1.3644,1.3644,1.3644,29950748.05
009461,20201009,1.0175,1.0175,1.0175,7439936.35
011085,20210701,0.9972,0.9972,0.9972,60.11
