股票代码,交易日,昨收盘(元),今开盘(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元)
47 HK,20190125,0.162,0.16,0.164,0.16,0.163,68000.0,10908.0
08210,20190107,0.65,0.64,0.66,0.58,0.63,10460000.0,6488500.0
2280 HK,20190109,4.19,4.19,4.31,4.24,4.29,1387500.0,5950695.0
08328,20190103,1.88,1.88,1.89,1.86,1.86,57518.0,107267.0
01314,20190118,0.74,0.74,0.74,0.72,0.73,200000.0,145440.0
00685,20190115,0.39,0.39,0.39,0.39,0.39,0.0,0.0
01623,20190114,0.77,0.75,0.78,0.75,0.78,367000.0,282280.0
08136,20190114,0.21,0.22,0.22,0.215,0.212,580000.0,124750.0
00515,20190116,0.078,0.079,0.081,0.075,0.08,7034526.0,553724.0
00102,20190104,0.96,0.96,0.97,0.95,0.95,11484000.0,11016320.0
00598,20190104,3.39,3.33,3.4,3.31,3.35,3469786.0,11607563.0
08527,20190109,2.22,2.23,2.23,2.23,2.23,20000.0,44600.0
00343,20190130,0.31,0.31,0.31,0.31,0.31,3000.0,825.0
710 HK,20190128,2.04,2.17,2.34,2.17,2.22,5616000.0,12750070.0
113 HK,20190110,3.61,3.61,3.65,3.6,3.6,34500.0,124950.0
00122,20190115,0.69,0.7,0.71,0.69,0.69,994000.0,692820.0
00721,20190128,0.18,0.17,0.178,0.17,0.172,3420000.0,596980.0
01250,20190114,0.119,0.12,0.12,0.115,0.116,10060000.0,1169740.0
08319,20190123,0.099,0.091,0.091,0.09,0.09,150000.0,13550.0
08258,20190107,0.181,0.185,0.185,0.185,0.185,10000.0,1850.0
2018 HK,20190102,45.45,45.6,45.6,42.6,43.4,5552489.0,242271558.0
01182,20190122,0.159,0.154,0.154,0.154,0.16,7000.0,1080.0
01751,20190130,0.3,0.3,0.3,0.3,0.3,0.0,0.0
00718,20190103,0.3,0.3,0.3,0.3,0.3,0.0,0.0
362 HK,20190114,0.355,0.355,0.36,0.345,0.36,445000.0,154912.0
00318,20190122,0.45,0.45,0.45,0.45,0.45,0.0,0.0
00136,20190102,0.238,0.238,0.242,0.228,0.232,46682319.0,10825497.0
1858 HK,20190111,19.48,20.0,21.1,19.98,20.65,63800.0,1302528.0
06100,20190117,23.7,24.45,25.85,23.7,24.1,351208.0,8679197.0
01848,20190114,8.05,8.08,8.1,8.03,8.03,231000.0,1863290.0
00552,20190104,6.23,6.22,6.5,6.15,6.39,6653773.0,42453262.0
01188,20190107,0.058,0.058,0.059,0.054,0.057,1572000.0,89518.0
1830 HK,20190116,2.18,2.14,2.17,2.13,2.16,708000.0,1514160.0
00909,20190124,0.425,0.425,0.425,0.425,0.425,0.0,0.0
8 HK,20190122,4.66,4.68,4.7,4.65,4.7,5326570.0,24938300.0
00180,20190111,0.86,0.86,0.86,0.86,0.86,0.0,0.0
08258,20190110,0.184,0.184,0.184,0.184,0.184,0.0,0.0
02318,20190111,69.1,69.8,70.35,69.2,69.55,33591697.0,2345572398.0
01075,20190107,0.33,0.33,0.33,0.33,0.33,0.0,0.0
00868,20190104,8.35,8.28,8.32,8.09,8.16,7794466.0,63732248.0
00885,20190103,0.073,0.074,0.074,0.064,0.066,19900000.0,1362560.0
1006 HK,20190121,3.31,3.31,3.31,3.3,3.28,3000.0,9910.0
08631,20190116,0.425,0.425,0.44,0.38,0.39,17090000.0,6968400.0
00628,20190128,0.59,0.59,0.59,0.59,0.59,0.0,0.0
03636,20190107,9.8,9.9,9.99,9.53,9.8,130800.0,1284398.0
506 HK,20190124,3.05,3.04,3.22,3.02,3.21,6324000.0,19615250.0
00998,20190109,4.68,4.72,4.79,4.71,4.76,28510124.0,135556463.0
08400,20190125,0.148,0.143,0.143,0.14,0.143,780000.0,111250.0
1068 HK,20190111,0.64,0.65,0.65,0.64,0.65,160691.0,103449.0
08385,20190102,0.237,0.238,0.238,0.227,0.229,2490000.0,569910.0
02368,20190122,2.88,2.88,2.91,2.88,2.91,46000.0,132660.0
02319,20190124,25.15,25.5,25.5,25.0,25.2,8514530.0,214164251.0
00439,20190103,0.54,0.55,0.58,0.54,0.55,10132000.0,5657410.0
00366,20190107,1.95,1.95,1.95,1.93,1.93,36000.0,70000.0
00262,20190125,0.227,0.216,0.227,0.216,0.222,306280.0,66453.0
1337 HK,20190122,1.16,1.18,1.25,1.18,1.24,21014000.0,25590150.0
00550,20190130,1.9,1.76,1.81,1.7,1.75,222000.0,384600.0
06836,20190129,1.18,1.18,1.2,1.15,1.17,2096000.0,2457480.0
586 HK,20190123,24.9,24.95,24.95,24.65,24.85,2224279.0,55184330.0
01085,20190109,1.92,2.05,2.05,1.92,1.95,34100.0,66529.0
00612,20190109,23.3,23.4,24.95,22.5,24.85,9579104.0,221473022.0
00404,20190128,0.35,0.35,0.35,0.35,0.35,0.0,0.0
00952,20190121,0.67,0.63,0.63,0.61,0.63,200000.0,124200.0
03800,20190110,0.475,0.475,0.51,0.475,0.495,173412320.0,86079877.0
01638,20190110,2.28,2.3,2.34,2.26,2.28,5701570.0,13082049.0
1297 HK,20190118,2.13,2.17,2.17,2.04,2.08,678000.0,1413000.0
03689,20190103,6.67,6.34,6.62,6.34,6.4,5200.0,33322.0
03398,20190128,0.355,0.35,0.355,0.35,0.355,78000.0,27320.0
02223,20190125,0.85,0.8,0.84,0.79,0.84,20000.0,16060.0
01381,20190121,4.13,4.17,4.39,4.16,4.27,1777000.0,7614600.0
1206 HK,20190114,1.05,1.05,1.08,1.05,1.06,42000.0,44400.0
02336,20190131,0.375,0.375,0.375,0.365,0.365,50000.0,18400.0
00524,20190111,0.35,0.33,0.35,0.33,0.345,710000.0,237050.0
1297 HK,20190122,2.06,2.04,2.09,2.04,2.06,289000.0,593210.0
01224,20190107,1.82,1.84,1.84,1.8,1.8,326000.0,589920.0
00538,20190104,2.15,2.22,2.22,2.1,2.16,182000.0,389130.0
2198 HK,20190121,1.93,1.94,2.02,1.91,1.94,3898000.0,7580027.0
1194 HK,20190118,0.13,0.13,0.134,0.13,0.134,4410000.0,587890.0
01989,20190115,0.49,0.49,0.49,0.49,0.49,0.0,0.0
01258,20190116,1.87,1.86,1.86,1.84,1.86,44000.0,81420.0
01698,20190104,1.68,1.68,1.68,1.68,1.68,0.0,0.0
00197,20190102,0.275,0.265,0.27,0.25,0.255,1955160.0,503262.0
02277,20190125,0.325,0.315,0.335,0.31,0.33,205000.0,64400.0
03618,20190104,4.12,4.07,4.19,4.04,4.18,4354220.0,18055883.0
08483,20190130,0.087,0.087,0.087,0.087,0.087,0.0,0.0
00645,20190128,0.71,0.71,0.71,0.71,0.71,0.0,0.0
00295,20190121,0.123,0.123,0.129,0.123,0.12,600000.0,74150.0
01878,20190102,1.18,1.18,1.18,1.18,1.18,0.0,0.0
01888,20190107,6.19,6.2,6.32,6.2,6.21,2683900.0,16751258.0
00046,20190111,2.93,2.81,2.92,2.81,2.89,70000.0,200440.0
00214,20190125,1.45,1.46,1.52,1.45,1.52,73571.0,109422.0
01762,20190124,3.41,3.43,4.01,3.35,3.89,5373000.0,20507460.0
00863,20190116,7.57,7.5,7.5,7.5,7.49,2000.0,15000.0
02393,20190109,1.77,1.8,1.83,1.77,1.8,125000.0,225325.0
02188,20190109,0.68,0.66,0.69,0.66,0.68,180000.0,119960.0
01066,20190108,6.27,6.5,6.5,6.09,6.28,3499676.0,21823526.0
00416,20190108,7.4,7.3,7.3,7.1,7.1,18000.0,128290.0
06865,20190131,2.62,2.64,2.7,2.54,2.69,9205000.0,23999220.0
02009,20190131,2.66,2.68,2.72,2.67,2.68,15211000.0,40884183.0
01198,20190121,0.95,0.95,0.95,0.92,0.94,616000.0,572640.0
08471,20190102,0.39,0.39,0.39,0.39,0.39,10000.0,3900.0
1997 HK,20190107,45.95,46.5,47.3,46.0,47.0,3126472.0,145688301.0
1169 HK,20190121,21.3,21.0,21.65,20.85,21.6,8930566.0,191331618.0
1448 HK,20190121,6.14,6.2,6.2,6.08,6.14,2582000.0,15847790.0
02198,20190122,1.94,1.93,1.98,1.91,1.93,1284000.0,2488660.0
408 HK,20190122,2.43,2.4,2.4,2.35,2.35,64000.0,151880.0
01001,20190130,0.69,0.67,0.68,0.67,0.68,54000.0,36220.0
03313,20190116,0.365,0.365,0.4,0.36,0.36,2782000.0,1037905.0
08116,20190104,0.024,0.024,0.024,0.024,0.024,0.0,0.0
1212 HK,20190123,11.62,11.56,11.72,11.46,11.56,926500.0,10700573.0
01693,20190125,0.203,0.19,0.195,0.19,0.195,156000.0,30220.0
03822,20190129,0.172,0.166,0.171,0.163,0.166,192000.0,32108.0
01712,20190104,1.22,1.2,1.3,1.2,1.25,405000.0,498530.0
02863,20190109,0.52,0.51,0.52,0.51,0.52,96000.0,49170.0
08347,20190107,0.7,0.7,0.7,0.7,0.7,104000.0,72800.0
00376,20190117,4.62,4.63,4.8,4.45,4.64,2192000.0,10087980.0
06188,20190118,2.48,2.48,2.48,2.48,2.48,0.0,0.0
00638,20190123,1.32,1.32,1.33,1.31,1.31,196000.0,258680.0
01672,20190115,6.07,6.13,6.2,6.03,6.11,1015000.0,6187570.0
08273,20190131,1.18,1.18,1.18,1.18,1.18,0.0,0.0
02688,20190125,75.55,75.2,77.05,73.85,74.65,3310880.0,247459088.0
914 HK,20190116,38.9,38.5,39.15,38.3,38.55,16970061.0,657167646.0
01651,20190102,7.16,7.0,7.17,7.0,7.05,24000.0,169230.0
08129,20190117,0.02,0.02,0.02,0.02,0.02,0.0,0.0
08535,20190124,0.135,0.129,0.13,0.126,0.126,380000.0,48540.0
3377 HK,20190108,3.36,3.35,3.4,3.33,3.35,3350418.0,11244616.0
00130,20190117,0.65,0.65,0.65,0.65,0.65,0.0,0.0
01635,20190130,2.83,2.85,2.86,2.85,2.85,32000.0,91250.0
02128,20190128,4.42,4.46,4.46,4.25,4.31,3275660.0,14219714.0
00767,20190125,0.073,0.073,0.073,0.073,0.073,0.0,0.0
02331,20190104,8.28,8.28,8.53,8.13,8.53,5712400.0,48105740.0
1908 HK,20190123,7.1,7.1,7.2,6.56,7.09,594000.0,4190860.0
853 HK,20190122,7.5,7.7,7.7,7.37,7.56,2714000.0,20317740.0
00014,20190131,41.5,41.95,41.95,40.6,40.7,1807050.0,73840621.0
00808,20190125,3.12,3.13,3.15,3.12,3.13,1615285.0,5057660.0
02299,20190125,10.2,10.2,10.2,10.18,10.2,20000.0,203680.0
00299,20190122,0.42,0.5,0.64,0.46,0.465,6980000.0,3430130.0
1618 HK,20190123,2.02,2.02,2.03,1.99,2.02,3731099.0,7503132.0
2601 HK,20190130,27.05,26.9,27.25,26.3,26.6,17409995.0,463430445.0
3738 HK,20190114,3.72,3.72,3.72,3.42,3.52,3141000.0,11275730.0
00426,20190114,0.86,0.87,0.87,0.87,0.85,100000.0,87000.0
00603,20190110,0.52,0.52,0.52,0.5,0.51,1582000.0,807390.0
01586,20190108,1.42,1.51,1.51,1.51,1.48,4000.0,6040.0
1992 HK,20190123,15.3,15.3,15.98,15.0,15.48,49400.0,765888.0
402 HK,20190125,0.03,0.03,0.03,0.03,0.03,0.0,0.0
341 HK,20190121,20.0,20.0,20.2,19.92,20.2,328000.0,6600620.0
161 HK,20190130,4.67,4.58,4.65,4.56,4.61,395800.0,1821994.0
01990,20190130,0.9,0.9,0.95,0.9,0.9,47400.0,42698.0
01397,20190125,0.67,0.68,0.7,0.67,0.69,124000.0,84880.0
354 HK,20190109,3.67,3.71,3.83,3.68,3.71,16708000.0,62657580.0
1332 HK,20190107,0.126,0.129,0.129,0.124,0.126,482500.0,60835.0
02362,20190130,0.63,0.63,0.66,0.63,0.65,11118000.0,7154890.0
1868 HK,20190115,0.74,0.71,0.74,0.71,0.74,96000.0,69860.0
00914,20190117,38.55,39.0,39.75,38.5,39.25,15461660.0,607692218.0
08190,20190107,0.031,0.031,0.031,0.031,0.031,0.0,0.0
01247,20190104,0.093,0.093,0.093,0.093,0.093,0.0,0.0
503 HK,20190102,0.92,0.91,0.92,0.91,0.92,61000.0,56020.0
01448,20190125,6.02,6.03,6.1,5.96,5.98,3192000.0,19184008.0
00686,20190123,0.39,0.39,0.39,0.375,0.39,7312000.0,2783580.0
00035,20190131,3.49,3.55,3.55,3.5,3.5,535764.0,1879862.0
00495,20190111,0.157,0.161,0.161,0.161,0.161,0.0,0.0
