页码,表格,纯文本
0,N_A,"保荐人承诺因其为发行人首次公开发行股票制作、出具的文件有虚假
记载、误导性陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资
者损失。
发行股票类型：人民币普通股（A股）
发行股数：公司拟首次公开发行股票总数不超过 2,167 万股，本次公开发
行股份占发行后公司股份总数的比例不低于25%；本次公开发行
全部为新股发行，老股东不公开发售股份。
每股面值：人民币1.00元
每股发行价格：[ ]元
预计发行日期：2016年10月13日
拟上市证券交易所：深圳证券交易所
发行后总股本：不超过8,667万股
本次发行前股东所持股份的流通限制及自愿锁定股份的承诺：
1、公司控股股东、实际控制人之一、董事长余春明，公司股东、实际控制
人之一、董事、总经理余超彪，胡建飞、汪红时、叶松林、刘松林、朱观润等 5
名持有公司股份的董事、监事、高级管理人员承诺（其中，持有公司股份的监
事仅承诺第（1）项与第（2）项）：（1）自股份公司股票在证券交易所上市交易
之日起三十六个月内，不转让或者委托他人管理本次发行前其已持有的股份公
司股份，也不由股份公司回购该部分股份。（2）在上述锁定期届满后，若其仍
在股份公司任职的，在股份公司任职期间每年转让的股份公司股份不超过其所
持有股权总数的25%；自其从股份公司处离职半年内，不转让所持有的股份公司
股份；自其申报离任六个月后的十二个月内通过证券交易所挂牌交易出售的股
份公司股票数量占其所持有股份公司股票总数的比例不超过50%。（3）所持公司
股票在锁定期满后两年内减持的，减持价格不低于发行价；公司上市后 6 个月
内如公司股票连续20个交易日的收盘价均低于发行价，或者上市后6个月期末
收盘价低于发行价，本人所持公司股票的锁定期限自动延长 6 个月。上述减持
价格和股份锁定承诺不因本人职务变更、离职而终止。（前述发行价指公司首次
公开发行股票的发行价格，如果公司上市后因派发现金红利、送股、转增股本、
增发新股等原因进行除权、除息的，则按照证券交易所的有关规定作除权除息
处理。）
2、公司股东余春禄、张光秀、陈发娣、余志平承诺：自股份公司股票在证
券交易所上市交易之日起三十六个月内不转让或者委托他人管理本次发行前其
已持有的股份公司股份，也不由股份公司回购该部分股份。
3、除上述股东外，本次发行前的公司其他 67 名自然人股东承诺：自股份
公司股票在证券交易所上市交易之日起十二个月内，不转让或者委托他人管理
"
1,N_A,"内如公司股票连续20个交易日的收盘价均低于发行价，或者上市后6个月期末
收盘价低于发行价，本人所持公司股票的锁定期限自动延长 6 个月。上述减持
价格和股份锁定承诺不因本人职务变更、离职而终止。（前述发行价指公司首次
公开发行股票的发行价格，如果公司上市后因派发现金红利、送股、转增股本、
增发新股等原因进行除权、除息的，则按照证券交易所的有关规定作除权除息
处理。）
2、公司股东余春禄、张光秀、陈发娣、余志平承诺：自股份公司股票在证
券交易所上市交易之日起三十六个月内不转让或者委托他人管理本次发行前其
已持有的股份公司股份，也不由股份公司回购该部分股份。
3、除上述股东外，本次发行前的公司其他 67 名自然人股东承诺：自股份
公司股票在证券交易所上市交易之日起十二个月内，不转让或者委托他人管理
本次发行前其已持有的股份公司股份，也不由股份公司回购该部分股份。
承诺期限届满后，上述股份可以上市流通和转让。
保荐机构（主承销商）：国元证券股份有限公司
招股意向书签署日期：2016年9月28日
发行人及全体董事、监事、高级管理人员承诺招股意向书及其摘要不存在
虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别
和连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及
其摘要中财务会计资料真实、完整。
保荐人承诺因其为发行人首次公开发行股票制作、出具的文件有虚假记载、
误导性陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明
其对发行人股票的价值或投资者的投资收益作出实质性判断或保证。任何与之
相反的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由
发行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、会计师或其他专业顾问。
1、公司控股股东、实际控制人之一、董事长余春明，公司股东、实际控制
人之一、董事、总经理余超彪，及胡建飞、汪红时、叶松林、刘松林、朱观润
等 5 名持有公司股份的董事、监事、高级管理人员承诺（其中，持有公司股份
的监事仅承诺第（1）项与第（2）项）：（1）自股份公司股票在证券交易所上市
交易之日起三十六个月内，不转让或者委托他人管理本次发行前其已持有的股
"
2,N_A,"其对发行人股票的价值或投资者的投资收益作出实质性判断或保证。任何与之
相反的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由
发行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、会计师或其他专业顾问。
1、公司控股股东、实际控制人之一、董事长余春明，公司股东、实际控制
人之一、董事、总经理余超彪，及胡建飞、汪红时、叶松林、刘松林、朱观润
等 5 名持有公司股份的董事、监事、高级管理人员承诺（其中，持有公司股份
的监事仅承诺第（1）项与第（2）项）：（1）自股份公司股票在证券交易所上市
交易之日起三十六个月内，不转让或者委托他人管理本次发行前其已持有的股
份公司股份，也不由股份公司回购该部分股份。（2）在上述锁定期届满后，若
其仍在股份公司任职的，在股份公司任职期间每年转让的股份公司股份不超过
其所持有股权总数的25%；自其从股份公司处离职半年内，不转让所持有的股份
公司股份；自其申报离任六个月后的十二个月内通过证券交易所挂牌交易出售
的股份公司股票数量占其所持有股份公司股票总数的比例不超过50%。（3）所持
公司股票在锁定期满后两年内减持的，减持价格不低于发行价；公司上市后 6
个月内如公司股票连续20个交易日的收盘价均低于发行价，或者上市后6 个月
期末收盘价低于发行价，本人所持公司股票的锁定期限自动延长 6 个月。上述
减持价格和股份锁定承诺不因本人职务变更、离职而终止。（前述发行价指公司
首次公开发行股票的发行价格，如果公司上市后因派发现金红利、送股、转增
股本、增发新股等原因进行除权、除息的，则按照证券交易所的有关规定作除
权除息处理。）
2、公司股东余春禄、张光秀、陈发娣、余志平承诺：自股份公司股票在证
券交易所上市交易之日起三十六个月内不转让或者委托他人管理本次发行前其
已持有的股份公司股份，也不由股份公司回购该部分股份。
3、除上述股东外，本次发行前的公司其他 67 名自然人股东承诺：自股份
公司股票在证券交易所上市交易之日起十二个月内，不转让或者委托他人管理
本次发行前其已持有的股份公司股份，也不由股份公司回购该部分股份。
承诺期限届满后，上述股份可以上市流通和转让。
二、关于公司上市后三年稳定股价的
为维护公司上市后股价的稳定，公司制定了关于稳定股价预案，该议案已
"
3,N_A,"首次公开发行股票的发行价格，如果公司上市后因派发现金红利、送股、转增
股本、增发新股等原因进行除权、除息的，则按照证券交易所的有关规定作除
权除息处理。）
2、公司股东余春禄、张光秀、陈发娣、余志平承诺：自股份公司股票在证
券交易所上市交易之日起三十六个月内不转让或者委托他人管理本次发行前其
已持有的股份公司股份，也不由股份公司回购该部分股份。
3、除上述股东外，本次发行前的公司其他 67 名自然人股东承诺：自股份
公司股票在证券交易所上市交易之日起十二个月内，不转让或者委托他人管理
本次发行前其已持有的股份公司股份，也不由股份公司回购该部分股份。
承诺期限届满后，上述股份可以上市流通和转让。
二、关于公司上市后三年稳定股价的
为维护公司上市后股价的稳定，公司制定了关于稳定股价预案，该议案已
经公司2014年第一次临时股东大会审议通过；具体内容如下：
1、启动稳定股价预案的条件
公司股票自正式挂牌上市之日起三年内，一旦出现连续20个交易日股票收
盘价均低于公司最近一期经审计的每股净资产（若因除权除息等事项致使上述
股票收盘价与公司最近一期经审计的每股净资产不具可比性的，上述股票收盘
价应做相应调整），公司自该事项发生之日起3个交易日内启动预案。
2、稳定股价预案的内容
公司拟采取的股价稳定预案包括：
（1）公司回购股票：公司向社会股东回购公司股票，且单一会计年度回购
的资金总额不超过上一年度经审计的归属于母公司股东的净利润。
（2）控股股东增持股票：控股股东通过二级市场增持公司的股票，且单一
会计年度内合计增持股票的资金总额不超过上年度从公司领取的分红的80%。
（3）董事及高级管理人员增持股票：董事（不含独立董事及控股股东余春
明）、高级管理人员通过二级市场增持公司的股票，且单一会计年度增持股票的
资金总额不超过上年度从公司领取的分红和薪酬的合计值的50%。
若某一会计年度内公司股价多次达到启动稳定股价预案条件的，上述主体
应在前一次股价稳定预案实施完毕3个月期间届满后，再次实施稳定股价预案。
实施稳定股价预案后，公司股权分布仍应符合法律法规及交易所规定的上
市条件。
3、稳定股价预案的实施顺序
公司股价触动预案启动的条件后，第一实施顺序是公司回购股票；第二实
施顺序是控股股东增持股票；第三实施顺序是董事及高级管理人员增持股票。
公司回购股票资金达到承诺的限额后，公司股价仍未达到下述“5、停止条件”
"
4,N_A,"（3）董事及高级管理人员增持股票：董事（不含独立董事及控股股东余春
明）、高级管理人员通过二级市场增持公司的股票，且单一会计年度增持股票的
资金总额不超过上年度从公司领取的分红和薪酬的合计值的50%。
若某一会计年度内公司股价多次达到启动稳定股价预案条件的，上述主体
应在前一次股价稳定预案实施完毕3个月期间届满后，再次实施稳定股价预案。
实施稳定股价预案后，公司股权分布仍应符合法律法规及交易所规定的上
市条件。
3、稳定股价预案的实施顺序
公司股价触动预案启动的条件后，第一实施顺序是公司回购股票；第二实
施顺序是控股股东增持股票；第三实施顺序是董事及高级管理人员增持股票。
公司回购股票资金达到承诺的限额后，公司股价仍未达到下述“5、停止条件”
的，则由控股股东履行增持义务；控股股东增持股票资金达到承诺的限额后，
公司股价仍未达到下述“5、停止条件”的，则由董事及高级管理人员履行增持
义务。
4、启动股价稳定预案的法律程序
（1）公司回购股票的实施程序
公司股东大会应对回购股票做出决议，经出席会议的股东所持表决权的三
分之二以上通过。
股东大会对回购股票做出决议后，公司依法实施回购方案。公司实施回购
方案前，应在证券登记结算机构开立由证券交易所监控的回购专用账户。公司
回购的股票将于回购期届满或者回购方案实施完毕后依法注销，并办理工商变
更登记手续。其他未尽事宜按照相关法律法规的规定执行。
（2）控股股东、董事及高级管理人员增持股票的实施程序
公司控股股东、董事和高级管理人员将严格遵守相关法律法规的要求，履
行增持股票的要约、禁止交易和公告等法定义务。
5、停止条件
在前述“2、稳定股价预案的内容”具体预案的实施期间，如公司股票连续
20 个交易日的收盘价高于最近一期经审计的每股净资产时，将停止实施稳定股
价的预案。
若公司新聘任董事（独立董事除外）、高级管理人员的，公司将要求该等新
聘任的董事（独立董事除外）、高级管理人员履行公司上市时董事（独立董事除
外）、高级管理人员已做出的相应承诺。
三、公司及其控股股东、实际控制人、董事、监事、高级管理人
员关于公司首次公开发行招股意向书不存在虚假记载、误导性陈述或
重大遗漏的承诺
公司承诺：若本公司招股意向书被中国证监会认定存在虚假记载、误导性
陈述或者重大遗漏，对判断本公司是否符合法律规定的发行条件构成重大、实
质影响的，本公司将在中国证监会认定有关违法事实后30天内依法回购首次公
"
5,N_A,"在前述“2、稳定股价预案的内容”具体预案的实施期间，如公司股票连续
20 个交易日的收盘价高于最近一期经审计的每股净资产时，将停止实施稳定股
价的预案。
若公司新聘任董事（独立董事除外）、高级管理人员的，公司将要求该等新
聘任的董事（独立董事除外）、高级管理人员履行公司上市时董事（独立董事除
外）、高级管理人员已做出的相应承诺。
三、公司及其控股股东、实际控制人、董事、监事、高级管理人
员关于公司首次公开发行招股意向书不存在虚假记载、误导性陈述或
重大遗漏的承诺
公司承诺：若本公司招股意向书被中国证监会认定存在虚假记载、误导性
陈述或者重大遗漏，对判断本公司是否符合法律规定的发行条件构成重大、实
质影响的，本公司将在中国证监会认定有关违法事实后30天内依法回购首次公
开发行的全部新股，股份回购价格按照二级市场价格确定。致使投资者在证券
交易中遭受损失的，本公司将在该等违法事实被中国证监会认定后30天内依法
赔偿投资者损失，但本公司能够证明自己没有过错的除外。
公司控股股东承诺：若公司招股意向书被中国证监会认定存在虚假记载、
误导性陈述或者重大遗漏，对判断公司是否符合法律规定的发行条件构成重大、
实质影响，本人将在中国证监会认定有关违法事实后30天内依法回购本人已转
让的原限售股份（如有），股份回购价格按照二级市场价格确定。致使投资者在
证券交易中遭受损失的，本人将在该等违法事实被中国证监会认定后30天内依
法赔偿投资者损失，但本人能够证明自己没有过错的除外。
公司董事、监事、高级管理人员承诺：若公司招股意向书被中国证监会认
定存在虚假记载、误导性陈述或者重大遗漏，对判断公司是否符合法律规定的
发行条件构成重大、实质影响，且致使投资者在证券交易中遭受损失的，本人
将在该等违法事实被中国证监会认定后30天内依法赔偿投资者损失，但本人能
够证明自己没有过错的除外。
四、中介机构关于为公司首次公开发行制作、出具的文件无虚假
记载、误导性陈述或重大遗漏的承诺
保荐机构承诺：如因国元证券为公司制作、出具的首次公开发行文件对重
大事件作出违背事实真相的虚假记载、误导性陈述，或在披露信息时发生重大
遗漏，导致发行人不符合法律规定的发行条件，造成投资者直接经济损失的，
将先行赔偿投资者损失。
发行人会计师声明：本所承诺：因本所为安徽黄山胶囊股份有限公司首次
公开发行股票并上市制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，
"
6,N_A,"定存在虚假记载、误导性陈述或者重大遗漏，对判断公司是否符合法律规定的
发行条件构成重大、实质影响，且致使投资者在证券交易中遭受损失的，本人
将在该等违法事实被中国证监会认定后30天内依法赔偿投资者损失，但本人能
够证明自己没有过错的除外。
四、中介机构关于为公司首次公开发行制作、出具的文件无虚假
记载、误导性陈述或重大遗漏的承诺
保荐机构承诺：如因国元证券为公司制作、出具的首次公开发行文件对重
大事件作出违背事实真相的虚假记载、误导性陈述，或在披露信息时发生重大
遗漏，导致发行人不符合法律规定的发行条件，造成投资者直接经济损失的，
将先行赔偿投资者损失。
发行人会计师声明：本所承诺：因本所为安徽黄山胶囊股份有限公司首次
公开发行股票并上市制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，
给投资者造成损失的，将依法赔偿投资者损失，如能证明本所没有过错的除外。
发行人律师承诺：如本所在本次发行工作期间未勤勉尽责，导致本所所制
作、出具的文件对重大事件作出违背事实真相的虚假记载、误导性陈述，或在
披露信息时发生重大遗漏，导致发行人不符合法律规定的发行条件，造成投资
者直接经济损失的，在该等违法事实被认定后，本所将本着积极协商、切实保
障投资者特别是中小投资者利益的原则，自行并督促发行人及其他过错方一并
对投资者直接遭受的、可测算的经济损失，选择与投资者和解、通过第三方与
投资者调解及设立投资者赔偿基金等方式进行赔偿。
五、未履行承诺的约束措施
（一）公司关于未履行承诺时的约束措施的承诺
公司承诺：本公司将严格履行本公司就首次公开发行股票并上市所作出的
所有公开承诺事项，积极接受社会监督。
让的原限售股份（如有），股份回购价格按照二级市场价格确定。致使投资者在
证券交易中遭受损失的，本人将在该等违法事实被中国证监会认定后30天内依
法赔偿投资者损失，但本人能够证明自己没有过错的除外。
公司董事、监事、高级管理人员承诺：若公司招股意向书被中国证监会认
定存在虚假记载、误导性陈述或者重大遗漏，对判断公司是否符合法律规定的
发行条件构成重大、实质影响，且致使投资者在证券交易中遭受损失的，本人
将在该等违法事实被中国证监会认定后30天内依法赔偿投资者损失，但本人能
够证明自己没有过错的除外。
1、若本公司非因不可抗力原因导致未能履行公开承诺事项的，应提出新的
承诺（相关承诺应按法律、法规、公司章程的规定履行相关审批程序）并接受
"
7,N_A,"所有公开承诺事项，积极接受社会监督。
让的原限售股份（如有），股份回购价格按照二级市场价格确定。致使投资者在
证券交易中遭受损失的，本人将在该等违法事实被中国证监会认定后30天内依
法赔偿投资者损失，但本人能够证明自己没有过错的除外。
公司董事、监事、高级管理人员承诺：若公司招股意向书被中国证监会认
定存在虚假记载、误导性陈述或者重大遗漏，对判断公司是否符合法律规定的
发行条件构成重大、实质影响，且致使投资者在证券交易中遭受损失的，本人
将在该等违法事实被中国证监会认定后30天内依法赔偿投资者损失，但本人能
够证明自己没有过错的除外。
1、若本公司非因不可抗力原因导致未能履行公开承诺事项的，应提出新的
承诺（相关承诺应按法律、法规、公司章程的规定履行相关审批程序）并接受
如下约束措施，直至新的承诺履行完毕或相应补救措施实施完毕：
（1）在股东大会及中国证监会指定报刊上公开说明未履行的具体原因并向
股东和社会公众投资者道歉；
（2）对本公司该等未能履行承诺的行为负有个人责任的董事、监事、高级
管理人员调减或停发薪酬或津贴；
（3）给投资者造成损失的，依法承担赔偿责任。
2、若本公司因不可抗力原因导致未能履行公开承诺事项的，需提出新的承
诺（相关承诺应按法律、法规、公司章程的规定履行相关审批程序）并接受如
下约束措施，直至新的承诺履行完毕或相应补救措施实施完毕：
（1）在股东大会及中国证监会指定报刊上公开说明未履行的具体原因并向
股东和社会公众投资者道歉；
（2）尽快研究将投资者损失降到最小的处理方案，并提交股东大会审议，
尽可能地保护本公司投资者利益。
（二）公司控股股东、实际控制人余春明及公司实际控制人余超彪承诺：
本人作为安徽黄山胶囊股份有限公司的控股股东及/或实际控制人，将严格履行
本人就公司首次公开发行股票并上市所作出的所有公开承诺事项，积极接受社
会监督。
1、若本人非因不可抗力原因导致未能履行公开承诺事项，应提出新的承诺
并接受如下约束措施，直至新的承诺履行完毕或相应补救措施实施完毕：
（1）在股东大会及中国证监会指定报刊上公开说明未履行的具体原因并向
股东和社会公众投资者道歉；
（2）因未履行相关承诺事项而获得收益的，所得收益（扣除手续费、税费
等合理费用）归公司所有，并在获得收益的 5 个工作日内将所得收益支付给公
司指定账户；
（3）不得转让所持有的公司股份，但因继承、被强制执行、上市公司重组
"
8,N_A,"（二）公司控股股东、实际控制人余春明及公司实际控制人余超彪承诺：
本人作为安徽黄山胶囊股份有限公司的控股股东及/或实际控制人，将严格履行
本人就公司首次公开发行股票并上市所作出的所有公开承诺事项，积极接受社
会监督。
1、若本人非因不可抗力原因导致未能履行公开承诺事项，应提出新的承诺
并接受如下约束措施，直至新的承诺履行完毕或相应补救措施实施完毕：
（1）在股东大会及中国证监会指定报刊上公开说明未履行的具体原因并向
股东和社会公众投资者道歉；
（2）因未履行相关承诺事项而获得收益的，所得收益（扣除手续费、税费
等合理费用）归公司所有，并在获得收益的 5 个工作日内将所得收益支付给公
司指定账户；
（3）不得转让所持有的公司股份，但因继承、被强制执行、上市公司重组
等必须转股的情形除外；
（4）停止在公司获得股东分红、津贴或薪酬；
（5）给投资者造成损失的，依法承担赔偿责任。
2、若本人因不可抗力原因导致未能履行公开承诺事项的，需提出新的承诺
并接受如下约束措施，直至新的承诺履行完毕或相应补救措施实施完毕：
（1）在股东大会及中国证监会指定报刊上公开说明未履行的具体原因并向
股东和社会公众投资者道歉；
（2）尽快研究将投资者损失降到最小的处理方案，尽可能地保护公司投资
者利益。
（三）公司董事、监事及高级管理人员承诺：本人作为安徽黄山胶囊股份
有限公司的董事、监事和高级管理人员，将严格履行本人就公司首次公开发行
股票并上市所作出的所有公开承诺事项，积极接受社会监督。
1、若本人非因不可抗力原因导致未能履行公开承诺事项，应提出新的承诺
并接受如下约束措施，直至新的承诺履行完毕或相应补救措施实施完毕：
（1）在股东大会及中国证监会指定报刊上公开说明未履行的具体原因并向
股东和社会公众投资者道歉；
（2）因未履行相关承诺事项而获得收益的，所得收益（扣除手续费、税费
等合理费用）归公司所有，并在获得收益的 5 个工作日内将所得收益支付给公
司指定账户；
（3）不得转让所持有的公司股份（如有），但因继承、被强制执行、上市
公司重组等必须转股的情形除外；
（4）停止在公司获得股东分红（如有）、津贴或薪酬；
（5）给投资者造成损失的，依法承担赔偿责任。
2、若本人因不可抗力原因导致未能履行公开承诺事项的，需提出新的承诺
并接受如下约束措施，直至新的承诺履行完毕或相应补救措施实施完毕：
"
9,N_A,"并接受如下约束措施，直至新的承诺履行完毕或相应补救措施实施完毕：
（1）在股东大会及中国证监会指定报刊上公开说明未履行的具体原因并向
股东和社会公众投资者道歉；
（2）因未履行相关承诺事项而获得收益的，所得收益（扣除手续费、税费
等合理费用）归公司所有，并在获得收益的 5 个工作日内将所得收益支付给公
司指定账户；
（3）不得转让所持有的公司股份（如有），但因继承、被强制执行、上市
公司重组等必须转股的情形除外；
（4）停止在公司获得股东分红（如有）、津贴或薪酬；
（5）给投资者造成损失的，依法承担赔偿责任。
2、若本人因不可抗力原因导致未能履行公开承诺事项的，需提出新的承诺
并接受如下约束措施，直至新的承诺履行完毕或相应补救措施实施完毕：
（1）在股东大会及中国证监会指定报刊上公开说明未履行的具体原因并向
股东和社会公众投资者道歉；
（2）尽快研究将投资者损失降到最小的处理方案，尽可能地保护公司投资
者利益。
六、持股 5%以上公司股东持股意向及减持意向
公司持股 5%以上股东为控股股东余春明，其拟长期持有公司股票，在锁定
期满后，如拟减持股票，将认真遵守公司法、证券法等法律法规及证监会、交
易所关于股东减持的相关规定，结合公司稳定股价、资本运作等发展需要，审
慎制定股票减持计划，具体承诺如下：
1、在所持股票锁定期满后2年内，减持公司股票价格不低于发行价，且减
持不影响对公司的控制权。
2、在所持公司股票锁定期满后2年内，减持公司股票时以如下方式进行：
（1）预计未来1个月内公开出售的股票数量不超过公司股份总数的1%的，将通
过证券交易所竞价交易转让系统转让所持股份；（2）预计未来 1 个月内公开出
售股票数量超过公司股份总数的 1%的，将通过证券交易所大宗交易系统转让所
持股份。
3、减持公司股票时将在减持前3个交易日予以公告。
4、如违反上述承诺，本人愿意承担相应的法律责任。
（上述发行价指公司首次公开发行股票的发行价格，如果公司上市后因派
发现金红利、送股、转增股本、增发新股等原因进行除权、除息的，则按照证
券交易所的有关规定作除权除息处理。）
七、填补被摊薄即期回报的相关措施及承诺
本次发行完成后，公司总股本和净资产规模将较上一年度增加幅度较大，
由于募集资金项目投产并产生效益需要一定时间，因此，预计本次发行募集资
金到位当年，公司的每股收益（扣除非经常性损益后的稀释每股收益）等指标
"
