页码,表格,纯文本
0,N_A,"本次股票发行后拟在创业板市场上市，该市场具有较高的投资风险。创业
板公司具有业绩不稳定、经营风险高、退市风险大等特点，投资者面临较大的
市场风险。投资者应充分了解创业板市场的投资风险及本公司所披露的风险因
素，审慎作出投资决定。
华瑞电器股份有限公司
Huarui Electrical Appliance Co., Ltd.
册地址：宁波市鄞州区姜山镇科技园区
首次公开发行股票并在创业板上市
招股意向书
发行人及全体董事、监事、高级管理人员承诺招股意向书不存在虚假记载、
误导性陈述或重大遗漏，并对其真实性、准确性、完整性、及时性承担个别和连
带的法律责任。
发行人及全体董事、监事、高级管理人员、发行人的控股股东、实际控制人
以及保荐人、承销的证券公司承诺因发行人招股意向书及其他信息披露资料有虚
假记载、误导性陈述或者重大遗漏，致使投资者在证券发行和交易中遭受损失的，
将依法赔偿投资者损失。
保荐人承诺因其为发行人首次公开发行股票制作、出具的文件有虚假记载、
误导性陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
证券服务机构承诺因其为发行人本次公开发行制作、出具的文件有虚假记
载、误导性陈述或者重大遗漏，给他人造成损失的，将依法赔偿投资者损失。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书中财
务会计资料真实、完整。
中国证监会对本次发行所作的任何决定或意见，均不表明其对发行人的盈利
能力、投资价值或者对投资者的收益作出实质性判断或者保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责；投资者自主判断发行人的投资价值，自主做出投资决策，自行承
担股票依法发行后因发行人经营与收益变化或者股票价格变动引致的投资风险。
本公司特别提醒投资者，在评价本公司本次发行的股票时，应认真考虑下列
重大事项和风险，并认真阅读本招股意向书“第四节 风险因素”的全部内容。
一、股份流通限制和自愿锁定承诺
发行人控股股东、实际控制人孙瑞良承诺：自发行人股票上市之日起三十六
个月内，不转让或者委托他人管理其直接和间接持有的发行人股份，也不由发行
人回购该部分股份；锁定期届满后两年内，若减持该部分股份，减持价格不低于
发行价；上市后六个月内发行人股票连续二十个交易日的收盘价均低于发行价，
或者上市后六个月期末收盘价低于发行价，持有的发行人股份的锁定期限自动延
"
1,N_A,"行人自行负责；投资者自主判断发行人的投资价值，自主做出投资决策，自行承
担股票依法发行后因发行人经营与收益变化或者股票价格变动引致的投资风险。
本公司特别提醒投资者，在评价本公司本次发行的股票时，应认真考虑下列
重大事项和风险，并认真阅读本招股意向书“第四节 风险因素”的全部内容。
一、股份流通限制和自愿锁定承诺
发行人控股股东、实际控制人孙瑞良承诺：自发行人股票上市之日起三十六
个月内，不转让或者委托他人管理其直接和间接持有的发行人股份，也不由发行
人回购该部分股份；锁定期届满后两年内，若减持该部分股份，减持价格不低于
发行价；上市后六个月内发行人股票连续二十个交易日的收盘价均低于发行价，
或者上市后六个月期末收盘价低于发行价，持有的发行人股份的锁定期限自动延
长六个月；如有派息、送股、资本公积转增股本、配股等除权除息事项，上述发
行价作相应调整。
发行人股东富国银洋承诺：自发行人股票上市之日起三十六个月内，不转让
或者委托他人管理其已直接和间接持有的发行人股份，也不由发行人回购该部分
股份。
发行人股东联创投资、绍兴华建、宁波华建、卢留芳、严俊承诺：自发行人
股票上市之日起十二个月内，不转让或者委托他人管理其已直接和间接持有的发
行人股份，也不由发行人回购该部分股份。
持有发行人股份的38名股东承诺：自发行人股票上市之日起十二个月内，不
转让或者委托他人管理其已直接和间接持有的发行人股份，也不由发行人回购该
部分股份。
持有发行人股份的董事、监事、高级管理人员承诺：在公司任职期间，每年
转让的股份不超过其直接和间接持有的发行人股份总数的25%；离职后半年内不
转让其直接和间接持有的发行人股份；在发行人股票上市之日起六个月内申报离
职的，自申报离职之日起十八个月内不转让其直接和间接持有的发行人股份；在
发行人股票上市之日起第七个月至第十二个月之间申报离职的，自申报离职之日
起十二个月内不转让其直接和间接持有的发行人股份。
持有发行人股份的董事、高级管理人员还承诺：锁定期届满后两年内，若减
持该部分股份，减持价格不低于发行价；上市后六个月内发行人股票连续二十个
交易日的收盘价均低于发行价，或者上市后六个月期末收盘价低于发行价，持有
的发行人股份的锁定期限自动延长六个月；如有派息、送股、资本公积转增股本、
配股等除权除息事项，上述发行价作相应调整；不论本人在发行人处的职务是否
"
2,N_A,"转让其直接和间接持有的发行人股份；在发行人股票上市之日起六个月内申报离
职的，自申报离职之日起十八个月内不转让其直接和间接持有的发行人股份；在
发行人股票上市之日起第七个月至第十二个月之间申报离职的，自申报离职之日
起十二个月内不转让其直接和间接持有的发行人股份。
持有发行人股份的董事、高级管理人员还承诺：锁定期届满后两年内，若减
持该部分股份，减持价格不低于发行价；上市后六个月内发行人股票连续二十个
交易日的收盘价均低于发行价，或者上市后六个月期末收盘价低于发行价，持有
的发行人股份的锁定期限自动延长六个月；如有派息、送股、资本公积转增股本、
配股等除权除息事项，上述发行价作相应调整；不论本人在发行人处的职务是否
发生变化或者本人是否从发行人处离职，本人均会严格履行上述承诺。
二、稳定公司股价的方案及承诺
发行人及其控股股东、实际控制人、董事（不含独立董事）、高级管理人员
承诺：将严格按照股价稳定方案之规定全面且有效地履行其在股价稳定方案项下
的各项义务和责任。
（一）触发股价稳定方案的条件
公司上市后三年内，若公司股票出现连续二十个交易日的收盘价均低于公司
最近一期经审计的每股净资产（最近一期审计基准日后，因利润分配、资本公积
转增股本、增发、配股等情况导致公司净资产或股份总数出现变化的，每股净资
产相应进行调整），公司将启动股价稳定方案：
1、控股股东、实际控制人增持公司股票；
2、发行人回购公司股票；
3、董事（不含独立董事）、高级管理人员增持公司股票；
4、其他证券监管部门认可的方式。
自股价稳定方案触发之日起，公司董事会应在五个交易日内制订稳定公司股
价的具体方案，并在履行完毕相关内部决策程序和外部审批/备案程序（如需）后
实施，且按照上市公司信息披露要求予以公告。若某一会计年度内公司股价多次
达到触发股价稳定方案的情况，公司及相关责任主体将继续按照股价稳定方案履
行相关义务。
（二）终止股价稳定方案的条件
触发股价稳定方案时点至股价稳定方案尚未实施前或股价稳定方案实施后，
若出现以下任一情形，则视为本次稳定股价措施实施完毕及承诺履行完毕，已公
告的稳定股价方案终止执行：
1、公司股票连续三个交易日的收盘价均高于公司最近一期经审计的每股净
资产（最近一期审计基准日后，因利润分配、资本公积转增股本、增发、配股等
情况导致公司净资产或股份总数出现变化的，每股净资产相应进行调整）；
"
3,N_A,"价的具体方案，并在履行完毕相关内部决策程序和外部审批/备案程序（如需）后
实施，且按照上市公司信息披露要求予以公告。若某一会计年度内公司股价多次
达到触发股价稳定方案的情况，公司及相关责任主体将继续按照股价稳定方案履
行相关义务。
（二）终止股价稳定方案的条件
触发股价稳定方案时点至股价稳定方案尚未实施前或股价稳定方案实施后，
若出现以下任一情形，则视为本次稳定股价措施实施完毕及承诺履行完毕，已公
告的稳定股价方案终止执行：
1、公司股票连续三个交易日的收盘价均高于公司最近一期经审计的每股净
资产（最近一期审计基准日后，因利润分配、资本公积转增股本、增发、配股等
情况导致公司净资产或股份总数出现变化的，每股净资产相应进行调整）；
2、继续实施股价稳定方案将导致公司股权分布不符合上市条件。
（三）股价稳定方案的具体措施
1、控股股东、实际控制人增持公司股票
公司控股股东、实际控制人自股价稳定方案公告之日起三个月内以自有资金
在二级市场增持公司流通股份，增持股票的价格不高于公司最近一期经审计的每
股净资产（最近一期审计基准日后，因利润分配、资本公积转增股本、增发、配
股等情况导致公司净资产或股份总数出现变化的，每股净资产相应进行调整），
增持股票的数量不超过公司股份总数的 3%，增持计划实施完毕后的六个月内不
出售所增持的股份，同时保证增持结果不会导致公司的股权分布不符合上市条
件。
2、发行人回购公司股票
发行人自股价稳定方案公告之日起三个月内以自有资金在二级市场回购公
司流通股份，回购股票的价格不高于公司最近一期经审计的每股净资产（最近一
期审计基准日后，因利润分配、资本公积转增股本、增发、配股等情况导致公司
净资产或股份总数出现变化的，每股净资产相应进行调整），回购股票的数量不
超过公司股份总数的 3%，同时保证回购结果不会导致公司的股权分布不符合上
市条件。
3、董事（不含独立董事）、高级管理人员增持公司股票
公司董事（不含独立董事）、高级管理人员自股价稳定方案公告之日起三个
月内以自有资金在二级市场增持公司流通股份，增持股票的价格不高于公司最近
一期经审计的每股净资产（最近一期审计基准日后，因利润分配、资本公积转增
股本、增发、配股等情况导致公司净资产或股份总数出现变化的，每股净资产相
应进行调整），用于增持股票的资金不低于上一年度从公司领取薪酬的 30%，增
"
4,N_A,"期审计基准日后，因利润分配、资本公积转增股本、增发、配股等情况导致公司
净资产或股份总数出现变化的，每股净资产相应进行调整），回购股票的数量不
超过公司股份总数的 3%，同时保证回购结果不会导致公司的股权分布不符合上
市条件。
3、董事（不含独立董事）、高级管理人员增持公司股票
公司董事（不含独立董事）、高级管理人员自股价稳定方案公告之日起三个
月内以自有资金在二级市场增持公司流通股份，增持股票的价格不高于公司最近
一期经审计的每股净资产（最近一期审计基准日后，因利润分配、资本公积转增
股本、增发、配股等情况导致公司净资产或股份总数出现变化的，每股净资产相
应进行调整），用于增持股票的资金不低于上一年度从公司领取薪酬的 30%，增
持计划实施完毕后的六个月内不出售所增持的股份，同时保证增持结果不会导致
公司的股权分布不符合上市条件。
若公司未来新聘任董事（不含独立董事）、高级管理人员，公司将在聘任合
同中明确上述承诺并要求其履行。
（四）股价稳定方案的优先顺序
触发股价稳定方案的条件后，控股股东、实际控制人增持公司股票为第一选
择，发行人回购公司股票为第二选择，董事（不含独立董事）和高级管理人员增
持公司股票为第三选择。
公司控股股东、实际控制人所增持的股票数量达到承诺上限后，公司股价仍
未满足“公司股票连续三个交易日的收盘价均高于公司最近一期经审计的每股净
资产（最近一期审计基准日后，因利润分配、资本公积转增股本、增发、配股等
情况导致公司净资产或股份总数出现变化的，每股净资产相应进行调整）”之条
件的，则由发行人实施股票回购计划；
发行人所回购的股票数量达到承诺上限后，公司股价仍未满足“公司股票连
续三个交易日的收盘价均高于公司最近一期经审计的每股净资产（最近一期审计
基准日后，因利润分配、资本公积转增股本、增发、配股等情况导致公司净资产
或股份总数出现变化的，每股净资产相应进行调整）”之条件的，则由董事（不
含独立董事）、高级管理人员承担股票增持义务。
（五）责任追究机制
自股价稳定方案触发之日起，公司董事会应在五个交易日内制订稳定公司股
价的具体方案，并在履行完毕相关内部决策程序和外部审批/备案程序（如需）后
实施，且按照上市公司信息披露要求予以公告。董事会不履行上述义务的，全体
董事（不含独立董事）以上一年度从公司领取的薪酬为限承担相应的赔偿责任。
控股股东、实际控制人未能履行增持公司股票的承诺，则控股股东、实际控
"
5,N_A,"发行人所回购的股票数量达到承诺上限后，公司股价仍未满足“公司股票连
续三个交易日的收盘价均高于公司最近一期经审计的每股净资产（最近一期审计
基准日后，因利润分配、资本公积转增股本、增发、配股等情况导致公司净资产
或股份总数出现变化的，每股净资产相应进行调整）”之条件的，则由董事（不
含独立董事）、高级管理人员承担股票增持义务。
（五）责任追究机制
自股价稳定方案触发之日起，公司董事会应在五个交易日内制订稳定公司股
价的具体方案，并在履行完毕相关内部决策程序和外部审批/备案程序（如需）后
实施，且按照上市公司信息披露要求予以公告。董事会不履行上述义务的，全体
董事（不含独立董事）以上一年度从公司领取的薪酬为限承担相应的赔偿责任。
控股股东、实际控制人未能履行增持公司股票的承诺，则控股股东、实际控
制人应向投资者公开道歉，且不参与公司当年的现金分红，应得的现金红利归公
司所有。
发行人未能履行回购公司股票的承诺，则发行人应向投资者公开道歉，且以
其承诺的最大回购金额为限承担相应的赔偿责任。
董事（不含独立董事）、高级管理人员未能履行增持公司股票的承诺，则董
事（不含独立董事）、高级管理人员应向投资者公开道歉，且当年从公司领取薪
酬的50%归公司所有。
三、有关责任主体关于招股意向书信息披露的承诺
（一）发行人的承诺
本公司承诺：发行人招股意向书有虚假记载、误导性陈述或者重大遗漏，对
判断公司是否符合法律规定的发行条件构成重大、实质影响的，本公司董事会将
在证券监管部门依法对上述事实作出认定或处罚决定后五个交易日内，制订股份
回购方案并提交股东大会审议批准，本公司将依法回购首次公开发行的全部新
股，回购价格为发行价加上同期银行存款利息（如有派息、送股、资本公积转增
股本、配股等除权除息事项，发行价作相应调整）。本公司招股意向书有虚假记
载、误导性陈述或者重大遗漏，致使投资者在证券交易中遭受损失的，本公司将
依法赔偿投资者损失。
对于首次公开发行股票时公司股东发售的原限售股份，本公司将在证券监管
部门依法对上述事实作出认定或处罚决定后五个交易日内，要求公司控股股东、
实际控制人制订股份回购方案并予以公告。
有权获得赔偿的投资者资格、投资者损失的范围认定、赔偿主体之间的责任
划分和免责事由按照《证券法》、《最高人民法院关于审理证券市场因虚假陈述引
发的民事赔偿案件的若干规定》（法释[2003]2 号）等相关法律法规的规定执行，
"
6,N_A,"回购方案并提交股东大会审议批准，本公司将依法回购首次公开发行的全部新
股，回购价格为发行价加上同期银行存款利息（如有派息、送股、资本公积转增
股本、配股等除权除息事项，发行价作相应调整）。本公司招股意向书有虚假记
载、误导性陈述或者重大遗漏，致使投资者在证券交易中遭受损失的，本公司将
依法赔偿投资者损失。
对于首次公开发行股票时公司股东发售的原限售股份，本公司将在证券监管
部门依法对上述事实作出认定或处罚决定后五个交易日内，要求公司控股股东、
实际控制人制订股份回购方案并予以公告。
有权获得赔偿的投资者资格、投资者损失的范围认定、赔偿主体之间的责任
划分和免责事由按照《证券法》、《最高人民法院关于审理证券市场因虚假陈述引
发的民事赔偿案件的若干规定》（法释[2003]2 号）等相关法律法规的规定执行，
如相关法律法规相应修订，则按届时有效的法律法规执行。
（二）发行人控股股东、实际控制人的承诺
本公司控股股东、实际控制人承诺：发行人招股意向书有虚假记载、误导性
陈述或者重大遗漏，对判断发行人是否符合法律规定的发行条件构成重大、实质
影响的，本人将在证券监管部门依法对上述事实作出认定或处罚决定后五个交易
日内，制订股份回购方案并予以公告，依法购回已转让的原限售股份，回购价格
为发行价格加上同期银行存款利息（若发行人股票有派息、送股、资本公积转增
股本等除权、除息事项的，发行价格将相应进行除权、除息调整），并督促发行
人依法回购首次公开发行的全部新股。发行人招股意向书有虚假记载、误导性陈
述或者重大遗漏，致使投资者在证券交易中遭受损失的，本公司控股股东、实际
控制人将依法赔偿投资者损失。
有权获得赔偿的投资者资格、投资者损失的范围认定、赔偿主体之间的责任
划分和免责事由按照《证券法》、《最高人民法院关于审理证券市场因虚假陈述引
发的民事赔偿案件的若干规定》（法释[2003]2 号）等相关法律法规的规定执行，
如相关法律法规相应修订，则按届时有效的法律法规执行。
（三）发行人董事、监事和高级管理人员的承诺
本公司董事、监事和高级管理人员承诺：发行人招股意向书不存在虚假记载、
误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律
责任。发行人招股意向书有虚假记载、误导性陈述或者重大遗漏，致使投资者在
证券交易中遭受损失的，本公司董事、监事和高级管理人员将依法赔偿投资者损
"
7,N_A,"控制人将依法赔偿投资者损失。
有权获得赔偿的投资者资格、投资者损失的范围认定、赔偿主体之间的责任
划分和免责事由按照《证券法》、《最高人民法院关于审理证券市场因虚假陈述引
发的民事赔偿案件的若干规定》（法释[2003]2 号）等相关法律法规的规定执行，
如相关法律法规相应修订，则按届时有效的法律法规执行。
（三）发行人董事、监事和高级管理人员的承诺
本公司董事、监事和高级管理人员承诺：发行人招股意向书不存在虚假记载、
误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律
责任。发行人招股意向书有虚假记载、误导性陈述或者重大遗漏，致使投资者在
证券交易中遭受损失的，本公司董事、监事和高级管理人员将依法赔偿投资者损
失。
有权获得赔偿的投资者资格、投资者损失的范围认定、赔偿主体之间的责任
划分和免责事由按照《证券法》、《最高人民法院关于审理证券市场因虚假陈述引
发的民事赔偿案件的若干规定》（法释[2003]2 号）等相关法律法规的规定执行，
如相关法律法规相应修订，则按届时有效的法律法规执行。
（四）本次发行相关中介机构的承诺
本次发行的保荐机构中泰证券承诺：因本保荐机构为发行人首次公开发行制
作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，
本保荐机构将先行赔偿投资者损失。有权获得赔偿的投资者资格、投资者损失的
范围认定、赔偿主体之间的责任划分和免责事由按照《证券法》、《最高人民法院
关于审理证券市场因虚假陈述引发的民事赔偿案件的若干规定》（法释[2003]2号）
等相关法律法规的规定执行，如相关法律法规相应修订，则按彼时有效的法律法
规执行。本保荐机构将严格履行生效法律文书认定的赔偿方式和赔偿金额，并接
受社会监督，确保投资者合法权益得到有效保护。
本次发行的律师服务机构金杜律所承诺：如因本所为发行人首次公开发行股
票制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失
的，经司法机关生效判决认定后，本所将依法赔偿投资者因本所制作、出具的文
件所载内容有虚假记载、误导性陈述或者重大遗漏而遭受的损失。有权获得赔偿
的投资者资格、损失计算标准、赔偿主体之间的责任划分和免责事由等，按照《证
券法》、《最高人民法院关于审理证券市场因虚假陈述引发的民事赔偿案件的若干
规定》（法释[2003]2 号）等相关法律法规的规定执行，如相关法律法规相应修订，
"
8,N_A,"规执行。本保荐机构将严格履行生效法律文书认定的赔偿方式和赔偿金额，并接
受社会监督，确保投资者合法权益得到有效保护。
本次发行的律师服务机构金杜律所承诺：如因本所为发行人首次公开发行股
票制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失
的，经司法机关生效判决认定后，本所将依法赔偿投资者因本所制作、出具的文
件所载内容有虚假记载、误导性陈述或者重大遗漏而遭受的损失。有权获得赔偿
的投资者资格、损失计算标准、赔偿主体之间的责任划分和免责事由等，按照《证
券法》、《最高人民法院关于审理证券市场因虚假陈述引发的民事赔偿案件的若干
规定》（法释[2003]2 号）等相关法律法规的规定执行，如相关法律法规相应修订，
则按届时有效的法律法规执行。本所将严格履行生效司法文书确定的赔偿责任，
并接受社会监督，确保投资者合法权益得到有效保护。
本次发行的会计师事务所华普天健承诺：因本所为发行人首次公开发行制
作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，
本所将依法赔偿损失。有权获得赔偿的投资者资格、投资者损失的范围认定、赔
偿主体之间的责任划分和免责事由按照《证券法》、《最高人民法院关于审理证券
市场因虚假陈述引发的民事赔偿案件的若干规定》（法释[2003]2 号）等相关法律
法规的规定执行，如相关法律法规相应修订，则按彼时有效的法律法规执行。本
所将严格履行生效法律文书认定的赔偿方式和赔偿金额，并接受社会监督，确保
投资者合法权益得到有效保护。
四、主要股东的持股意向及减持意向
1、本公司控股股东、实际控制人孙瑞良承诺：所持发行人股份的锁定期届
满后两年内，在不丧失控股股东、实际控制人地位，且不违反已作出的相关承诺
的前提下，将存在对所持发行人股份进行减持的可能性，但每年减持数量不超过
上一年末所持股份数量的20%，减持价格不低于发行价（如有派息、送股、资本
公积转增股本、配股等除权除息事项，发行价作相应调整）；若所持发行人股份
在锁定期届满后两年内减持价格低于发行价的，则减持价格与发行价之间的差额
以现金方式或从发行人处领取的现金红利补偿给发行人。
2、本公司股东联创投资承诺：所持发行人股份的锁定期届满后第一年内，
在不违反已作出的相关承诺的前提下，累计减持的股份不超过其所持发行人股份
总数的三分之二，减持价格不低于发行人最近一期经审计的每股净资产（最近一
"
9,N_A,"满后两年内，在不丧失控股股东、实际控制人地位，且不违反已作出的相关承诺
的前提下，将存在对所持发行人股份进行减持的可能性，但每年减持数量不超过
上一年末所持股份数量的20%，减持价格不低于发行价（如有派息、送股、资本
公积转增股本、配股等除权除息事项，发行价作相应调整）；若所持发行人股份
在锁定期届满后两年内减持价格低于发行价的，则减持价格与发行价之间的差额
以现金方式或从发行人处领取的现金红利补偿给发行人。
2、本公司股东联创投资承诺：所持发行人股份的锁定期届满后第一年内，
在不违反已作出的相关承诺的前提下，累计减持的股份不超过其所持发行人股份
总数的三分之二，减持价格不低于发行人最近一期经审计的每股净资产（最近一
期审计基准日后，因利润分配、资本公积转增股本、增发、配股等情况导致公司
净资产或股份总数出现变化的，每股净资产相应进行调整）；所持发行人股份的
锁定期届满后第二年内，在不违反已作出的相关承诺的前提下，累计减持的股份
不超过届时其所持发行人股份总数的 100%，减持价格不低于发行人最近一期经
审计的每股净资产（最近一期审计基准日后，因利润分配、资本公积转增股本、
增发、配股等情况导致公司净资产或股份总数出现变化的，每股净资产相应进行
调整）。
上述股东拟减持发行人股份的，将提前五个交易日向发行人提交减持原因、
减持数量、减持对发行人治理结构及持续经营影响的说明，并由发行人在减持前
三个交易日予以公告；减持将通过深圳证券交易所以集中竞价交易、大宗交易、
协议转让或其他合法方式予以进行。减持发行人股份时，将依照《公司法》、《证
券法》、中国证监会和深圳证券交易所的相关规定执行。
五、未履行承诺的约束措施
（一）发行人的承诺
本公司承诺：如本公司未履行其在首次公开发行股票并上市过程中所作出的
各项公开承诺事项，将公开说明未履行承诺的具体原因并向发行人股东和社会公
众投资者道歉；不得进行公开再融资；对公司该等未履行承诺的行为负有个人责
任的董事、监事、高级管理人员调减或停发薪酬或津贴；如因未履行公开承诺事
项致使投资者遭受损失的，本公司将依法赔偿投资者损失。
（二）发行人控股股东、实际控制人的承诺
本公司控股股东、实际控制人承诺：如本人未履行其在首次公开发行股票并
上市过程中所作出的各项公开承诺事项，将公开说明未履行承诺的具体原因并向
发行人股东和社会公众投资者道歉；并在违反相关承诺发生之日起五个工作日
"
