页码,表格,纯文本
0,N_A,"本次股票发行后拟在科创板市场上市，该市场具有较高的投资风险。科创板公司具有研发投入
营风险高、业绩不稳定、退市风险高等特点，投资者面临较大的市场风险。投资者应充分了解
市场的投资风险及本公司所披露的风险因素，审慎作出投资决定。
中国铁路通信信号股份有限公司
China Railway Signal & Communication Corporation Limit
（北京市丰台区汽车博物馆南路 1号院中国通号大厦A座 20层）
China Railway Signal & Communication Corporation Limit
（北京市丰台区汽车博物馆南路 1号院中国通号大厦A座 20层）
首次公开发行股票并在科创板上市
招股意向书
发行股票类型： 人民币普通股（A股）
发行股数： 本次发行的股票数量不超过 180,000.00 万股，即
不超过本次发行完成后本公司总股本的 17.00%
每股面值： 人民币 1.00 元
每股发行价格： 人民币【】元
预计发行日期： 2019年 7月 10日
拟上市的证券交易所和板块： 上海证券交易所科创板
发行后总股本： 不超过 1,058,981.90 万股，其中：境内上市流通
的股份（A股）数量不超过 862,101.80 万股，境
外上市流通的股份（H股）数量为 196,880.10 万
股
保荐机构（主承销商）： 中国国际金融股份有限公司
联席主承销商： 高盛高华证券有限责任公司、中信证券股份有限
公司、中银国际证券股份有限公司、摩根士丹利
华鑫证券有限责任公司、天风证券股份有限公司
招股意向书签署日期： 2019年 7月 2日
中国证监会、交易所对本次发行所作的任何决定或意见，均不表明其对注册
申请文件及所披露信息的真实性、准确性、完整性作出保证，也不表明其对发行
人的盈利能力、投资价值或者对投资者的收益作出实质性判断或保证。任何与之
相反的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责；投资者自主判断发行人的投资价值，自主作出投资决策，自行承
担股票依法发行后因发行人经营与收益变化或者股票价格变动引致的投资风险。
发行人及全体董事、监事、高级管理人员承诺招股意向书及其他信息披露资
料不存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承
担个别和连带的法律责任。
"
1,N_A,"招股意向书签署日期： 2019年 7月 2日
中国证监会、交易所对本次发行所作的任何决定或意见，均不表明其对注册
申请文件及所披露信息的真实性、准确性、完整性作出保证，也不表明其对发行
人的盈利能力、投资价值或者对投资者的收益作出实质性判断或保证。任何与之
相反的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责；投资者自主判断发行人的投资价值，自主作出投资决策，自行承
担股票依法发行后因发行人经营与收益变化或者股票价格变动引致的投资风险。
发行人及全体董事、监事、高级管理人员承诺招股意向书及其他信息披露资
料不存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承
担个别和连带的法律责任。
发行人控股股东承诺本招股意向书不存在虚假记载、误导性陈述或重大遗漏，
并对其真实性、准确性、完整性承担个别和连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书中财
务会计资料真实、完整。
发行人及全体董事、监事、高级管理人员、发行人的控股股东以及保荐人、
承销的证券公司承诺因发行人招股意向书及其他信息披露资料有虚假记载、误导
性陈述或者重大遗漏，致使投资者在证券发行和交易中遭受损失的，将依法赔偿
投资者损失。
保荐人及证券服务机构承诺因其为发行人本次公开发行制作、出具的文件有
虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，将依法赔偿投资者
损失。
本公司特别提请投资者注意，在作出投资决策之前，务必仔细阅读本招股意
向书全文，并特别关注以下重要事项及公司风险。
本次拟发行数量不超过 1,800,000,000 股，即不超过本次发行完成后公司总
股本的 17.00%。
、本次发行上市前的滚存利润分配方案
本公司于 2019 年 4月 15日召开 2019 年第一次临时股东大会、2019 年第一
次内资股类别股东大会、2019 年第一次 H 股类别股东大会，审议通过《关于首
次公开发行 A股股票并上市前滚存利润分配方案的议案》。本次发行 A股并上市
完成前，本公司将根据相关股东大会决议进行利润分配；本次发行 A 股并上市
完成后，公司本次发行 A 股并上市前滚存的未分配利润由本次 A 股发行后的新
老股东按各自持股比例共同享有。
三、相关责任主体的承诺事项
本公司及相关责任主体按照中国证监会及上交所等监管机构的要求，出具了
"
2,N_A,"本次拟发行数量不超过 1,800,000,000 股，即不超过本次发行完成后公司总
股本的 17.00%。
、本次发行上市前的滚存利润分配方案
本公司于 2019 年 4月 15日召开 2019 年第一次临时股东大会、2019 年第一
次内资股类别股东大会、2019 年第一次 H 股类别股东大会，审议通过《关于首
次公开发行 A股股票并上市前滚存利润分配方案的议案》。本次发行 A股并上市
完成前，本公司将根据相关股东大会决议进行利润分配；本次发行 A 股并上市
完成后，公司本次发行 A 股并上市前滚存的未分配利润由本次 A 股发行后的新
老股东按各自持股比例共同享有。
三、相关责任主体的承诺事项
本公司及相关责任主体按照中国证监会及上交所等监管机构的要求，出具了
关于在特定情况和条件下的有关承诺，包括股份锁定的承诺、减持意向的承诺、
稳定股价的措施和承诺、摊薄即期回报及填补措施的承诺、股份回购和股份购回
的措施和承诺、对欺诈发行上市的股份购回承诺、利润分配政策的承诺、依法承
担赔偿或赔偿责任的承诺、关于未履行相关公开承诺约束措施的承诺函、避免同
业竞争、规范关联交易的承诺、避免资金占用的承诺等。该等承诺事项内容详见
“第十节 投资者保护”之“五、发行人、股东、实际控制人、发行人的董事、
监事、高级管理人员以及本次发行的保荐人及证券服务机构等作出的重要承诺”。
（一）宏观经济及行业政策变化的风险
公司所在的轨道交通及相关工程总承包市场需求一定程度上受宏观经济、相
关行业政策以及中国铁路总公司招投标计划的影响。轨道交通控制系统行业的发
展很大程度上依赖于政府对轨道交通项目的投入和中国铁路总公司招投标总体
规划。通常情况下，轨道交通项目的性质、规模和开发时间由多种因素确定，包
括但不限于我国政府和中国铁路总公司对轨道交通运输系统的总体投资规划、审
批流程、招投标安排等。近年来，我国政府不断支持和鼓励中国轨道交通相关行
业的发展，根据《铁路“十三五”发展规划》，我国将进一步加大铁路网络的建
设、完善铁路信息化建设、推进机车车辆装备升级、加大信息技术集成应用。如
未来政府对行业的有利政策出现变动，政策红利出现消减，或中国铁路总公司的
招投标计划出现临时性变更，则可能对公司业务发展产生不利影响。如未来财政
或货币政策趋于紧缩，导致公司所在市场的政府相关客户的需求下降或支付变慢
"
3,N_A,"展很大程度上依赖于政府对轨道交通项目的投入和中国铁路总公司招投标总体
规划。通常情况下，轨道交通项目的性质、规模和开发时间由多种因素确定，包
括但不限于我国政府和中国铁路总公司对轨道交通运输系统的总体投资规划、审
批流程、招投标安排等。近年来，我国政府不断支持和鼓励中国轨道交通相关行
业的发展，根据《铁路“十三五”发展规划》，我国将进一步加大铁路网络的建
设、完善铁路信息化建设、推进机车车辆装备升级、加大信息技术集成应用。如
未来政府对行业的有利政策出现变动，政策红利出现消减，或中国铁路总公司的
招投标计划出现临时性变更，则可能对公司业务发展产生不利影响。如未来财政
或货币政策趋于紧缩，导致公司所在市场的政府相关客户的需求下降或支付变慢
亦可能对公司业务发展或财务状况产生不利影响。
（二）产品或服务质量及其导致的生产或运营事故造成损失或处罚的风险
基于公司的业务性质，可能涉及轨道交通控制系统产品或服务的设计、研发、
制造、安装、测试、维修及销售引致的责任赔偿或来自政府的处罚。虽然公司向
客户所提供的产品或服务的质量保证期有限，但在质量保证期之后出现事故，公
司仍可能须在事故鉴定后为产品或服务的瑕疵引致的损失负责。如公司的产品或
服务被证实有瑕疵而导致轨道交通旅客遭受人身伤害、财产损失或其他损失，公
司将面临按照相应法律承担赔偿的责任。
此外，如公司的产品或服务被证实有质量问题、不符合国家或行业标准或对
人身财产有潜在风险，公司或须召回有关产品或修改产品设计，公司可能就召回
产品及修改设计产生庞大开支。召回产品或任何与产品瑕疵有关的负面新闻报道
亦可能影响公司声誉及品牌，导致产品需求下降。
先进的技术研发能力是公司长期保持技术优势的保证，对公司的发展起着举
足轻重的作用。随着轨道交通控制系统行业的迅速发展，业内人才需求增大，人
才竞争日益激烈，能否维持技术人员队伍的稳定并不断吸引优秀人才的加入是公
司能否在行业内保持技术领先优势的关键。在激烈的人才竞争下，如公司的技术
人才招聘、培养和激励机制有效性下降，则存在着技术人员流失，研发水平下降
的风险。
报告期内，公司客户主要集中在轨道交通控制系统等领域。目前国内轨道交
通投资计划一般在一季度制定并出台，招投标需要一定流程及时间，叠加春节假
期因素，导致合同的执行实施相对集中在二季度及以后。因此，在报告期完整的
会计年度内，公司收入呈现出一定的季节性特征，上半年收入占比较低，其中一
"
4,N_A,"亦可能影响公司声誉及品牌，导致产品需求下降。
先进的技术研发能力是公司长期保持技术优势的保证，对公司的发展起着举
足轻重的作用。随着轨道交通控制系统行业的迅速发展，业内人才需求增大，人
才竞争日益激烈，能否维持技术人员队伍的稳定并不断吸引优秀人才的加入是公
司能否在行业内保持技术领先优势的关键。在激烈的人才竞争下，如公司的技术
人才招聘、培养和激励机制有效性下降，则存在着技术人员流失，研发水平下降
的风险。
报告期内，公司客户主要集中在轨道交通控制系统等领域。目前国内轨道交
通投资计划一般在一季度制定并出台，招投标需要一定流程及时间，叠加春节假
期因素，导致合同的执行实施相对集中在二季度及以后。因此，在报告期完整的
会计年度内，公司收入呈现出一定的季节性特征，上半年收入占比较低，其中一
季度收入占比最低；下半年收入占比较高，其中四季度收入占比最高，公司面临
一定的季节性波动风险。
按照《证券发行与承销管理办法》、《上海证券交易所科创板股票发行与承销
实施办法》等相关法律法规的规定，如果发行人出现有效报价投资者或网下申购
的投资者数量不足，或者发行时总市值不满足其在招股意向书中明确选择的市值
与财务指标上市标准等情形，应当中止发行，若发行人中止发行上市审核程序超
过上交所规定的时限或者中止发行注册程序超过 3 个月仍未恢复，或者存在其他
影响发行的不利情形，或将会出现发行失败的风险。
OT等项目的政策、收益及回款、项目退出
公司参与的 BT 与 BOT 项目具有建设周期长、涉及领域广、复杂程度高、
工期和质量要求严，受政策影响明显等特点。在国家和地方政府政策调控力度加
大、金融监管趋严、债务压力增大、市场竞争加剧等内外部形势影响下，实施和
运营上述投资项目，如项目获取可研分析不全面、政策把握不准确、融资不到位、
过程管理不规范、项目收益测算不精确、项目回款遭遇延期、项目参与方退出，
都可能会使公司面临一定风险。上述风险主要体现为：（1）随着国家逐步控制地
方政府融资平台债务风险，客观上对各地方政府以 BT方式投融资建设公共项目
的方式造成明显限制，BT项目无法纳入财政部政府和社会资本合作中心 PPP 项
目库，因此政府在项目全生命周期内的履约能力无法得到全面保障；（2）项目未
能进行合理建设、管理及运营，导致项目公司无法取得预期运营收入的风险；（3）
若在项目建设、运营中未能达到预期效果或考核不理想，可能导致项目公司无法
"
5,N_A,"大、金融监管趋严、债务压力增大、市场竞争加剧等内外部形势影响下，实施和
运营上述投资项目，如项目获取可研分析不全面、政策把握不准确、融资不到位、
过程管理不规范、项目收益测算不精确、项目回款遭遇延期、项目参与方退出，
都可能会使公司面临一定风险。上述风险主要体现为：（1）随着国家逐步控制地
方政府融资平台债务风险，客观上对各地方政府以 BT方式投融资建设公共项目
的方式造成明显限制，BT项目无法纳入财政部政府和社会资本合作中心 PPP 项
目库，因此政府在项目全生命周期内的履约能力无法得到全面保障；（2）项目未
能进行合理建设、管理及运营，导致项目公司无法取得预期运营收入的风险；（3）
若在项目建设、运营中未能达到预期效果或考核不理想，可能导致项目公司无法
取得全部可行性缺口补助的风险；（4）由于付费周期较长，若未来受宏观经济或
其他因素影响，地方经济发展和财政实力出现下降，则特许经营授予方存在无法
入结构变化造成公司盈利水平出现波动的风
随着我国高速铁路更新升级周期的到来，铁路更新升级市场规模预计将呈现
快速增长趋势，未来公司轨道交通控制系统业务收入中新建项目收入占比将可能
逐步下降，更新升级项目收入占比将可能逐步提升。报告期内公司轨道交通控制
系统业务中新建项目业务、更新升级项目业务毛利率存在一定差异，在收入结构
发生变化的情况下，如公司没有及时、有效地调整生产经营策略，控制经营成本，
则公司将可能面临收入及毛利率水平等出现波动的风险。
五、财务报告审计截止日后主要财务信息及经营状况
公司财务报告审计截止日为 2018 年 12 月 31 日。公司截至 2019 年3 月 31
日的合并资产负债表、2019 年 1-3 月合并利润表、2019 年 1-3 月合并现金流量
表以及相关中期财务报表附注未经审计，但已由安永华明会计师事务所（特殊普
通合伙）审阅，并于 2019 年 6月12日出具了《专项审阅报告》（安永华明（2019）
专字第 61172338_A23 号）。公司财务报告审计截止日之后经审阅（未经审计）
的主要财务信息及经营状况如下：
截至 2019年 3月 31日，公司的资产总额为 8,360,058.88 万元，负债总额为
5,261,467.15 万元，归属于母公司股东的权益为 2,953,978.16 万元。2019 年 1-3
月，公司实现营业收入 788,535.85 万元，较 2018 年 1-3月增长 14.85%；归属于
"
6,N_A,"公司财务报告审计截止日为 2018 年 12 月 31 日。公司截至 2019 年3 月 31
日的合并资产负债表、2019 年 1-3 月合并利润表、2019 年 1-3 月合并现金流量
表以及相关中期财务报表附注未经审计，但已由安永华明会计师事务所（特殊普
通合伙）审阅，并于 2019 年 6月12日出具了《专项审阅报告》（安永华明（2019）
专字第 61172338_A23 号）。公司财务报告审计截止日之后经审阅（未经审计）
的主要财务信息及经营状况如下：
截至 2019年 3月 31日，公司的资产总额为 8,360,058.88 万元，负债总额为
5,261,467.15 万元，归属于母公司股东的权益为 2,953,978.16 万元。2019 年 1-3
月，公司实现营业收入 788,535.85 万元，较 2018 年 1-3月增长 14.85%；归属于
母公司股东的净利润 67,645.05 万元，较 2018 年1-3月增长 8.86%。
经公司初步测算，预计 2019 年上半年实现营业收入约 204.6~219.7 亿元，同
比增长约8.2%~16.2%，预计实现净利润22.7~24.4亿元，同比增长约7.2%~15.2%；
预计实现归属于母公司股东的净利润 21.1~22.8 亿元，同比增长约 6.3%~14.8%。
预计 2019 年上半年实现扣除非经常性损益后归属于母公司股东的净利润
20.6~22.5 亿元，同比增长约 6.7%~16.6%，主要原因为公司轨道交通控制系统业
务的业务量持续增加。上述 2019 年上半年财务数据为公司初步核算数据，未经
会计师审计或审阅，且不构成盈利预测。
截至本招股意向书签署日，除本招股意向书“第五节 发行人基本情况”之
“八、发行人的分公司、控股子公司、参股公司基本情况”之“（六）发行人房
地产业务、类金融业务情况”披露的房地产业务相关股权转让信息外，公司主要
经营状况正常，经营业绩稳定。公司经营模式、采购模式及采购价格、销售模式
及销售价格、主要客户及供应商构成、税收政策以及其他可能影响投资者判断的
重大事项方面均未发生重大变化。
具体内容详见本招股意向书“第八节 财务会计信息与管理层分析”之“十
七、财务报告审计截止日后主要财务信息及经营状况”。
上述重大事项提示并不能涵盖公司全部的风险及其他重要事项，请投资者仔
"
7,N_A,"务的业务量持续增加。上述 2019 年上半年财务数据为公司初步核算数据，未经
会计师审计或审阅，且不构成盈利预测。
截至本招股意向书签署日，除本招股意向书“第五节 发行人基本情况”之
“八、发行人的分公司、控股子公司、参股公司基本情况”之“（六）发行人房
地产业务、类金融业务情况”披露的房地产业务相关股权转让信息外，公司主要
经营状况正常，经营业绩稳定。公司经营模式、采购模式及采购价格、销售模式
及销售价格、主要客户及供应商构成、税收政策以及其他可能影响投资者判断的
重大事项方面均未发生重大变化。
具体内容详见本招股意向书“第八节 财务会计信息与管理层分析”之“十
七、财务报告审计截止日后主要财务信息及经营状况”。
上述重大事项提示并不能涵盖公司全部的风险及其他重要事项，请投资者仔
细阅读本招股意向书“第四节 风险因素”章节全文。
五、发行人技术先进性、模式创新性、研发技术产业化情况以及未来发展战
五、发行人、股东、实际控制人、发行人的董事、监事、高级管理人员以及
本招股意向书中，除非文义另有所指，下列词语具有如下含义：

本招股意向书中所列出的总计数若出现与所列示相关单项数据计算得出的
结果略有不同，均为四舍五入所致。
本概览仅对招股意向书全文作扼要提示。投资者作出投资决策前，应认真阅
读招股意向书全文。
一、发行人及本次发行的中介机构基
行人及本次发行的中介机构基本情况

注1：发行手续费中暂未包含本次发行的印花税，税基为扣除印花税前的募集资金净额，税
率为0.025%；将结合最终发行情况计算并纳入发行手续费；
注2：本次发行费用除承销及保荐费外均为不含增值税金额，各项费用根据发行结果可能会
有调整。
三、发行人报告期主要财务数据和财务指标
四、发行人主营业务经营情况
公司自成立以来始终专注于轨道交通控制系统技术的研究与探索，致力于为
国家轨道交通运营提供安全与高效的核心支撑，已成为全球领先的轨道交通控制
系统解决方案提供商，拥有行业领先的研发与集成能力，为客户提供轨道交通控
制系统全产业链一体化服务。
公司以技术研发为核心，长期深耕于轨道交通控制系统领域，拥有国际一流、
国内领先的技术实力。在我国大力拓展和升级现有铁路与城市轨道交通系统的背
景下，公司自主研发的中国高铁列控系统（CTCS-3、CTCS-2）、中国高铁自动
驾驶列控系统（CTCS-3+ATO）、城际铁路自动驾驶列控系统（CTCS-2+ATO）、
"
8,N_A,"注2：本次发行费用除承销及保荐费外均为不含增值税金额，各项费用根据发行结果可能会
有调整。
三、发行人报告期主要财务数据和财务指标
四、发行人主营业务经营情况
公司自成立以来始终专注于轨道交通控制系统技术的研究与探索，致力于为
国家轨道交通运营提供安全与高效的核心支撑，已成为全球领先的轨道交通控制
系统解决方案提供商，拥有行业领先的研发与集成能力，为客户提供轨道交通控
制系统全产业链一体化服务。
公司以技术研发为核心，长期深耕于轨道交通控制系统领域，拥有国际一流、
国内领先的技术实力。在我国大力拓展和升级现有铁路与城市轨道交通系统的背
景下，公司自主研发的中国高铁列控系统（CTCS-3、CTCS-2）、中国高铁自动
驾驶列控系统（CTCS-3+ATO）、城际铁路自动驾驶列控系统（CTCS-2+ATO）、
城市轨道交通列控系统（CBTC）、货运编组站综合自动化系统（CIPS）、铁路电
务智能运行维护管理系统、综合运输调度指挥系统、轨道交通综合安防系统、中
低速磁悬浮控制系统（MATC）、现代有轨电车智能控制系统、计算机联锁系统、
调度集中系统（CTC）等核心系统，及轨道电路、应答器、继电器、道岔转换等
设备已全面覆盖国内轨道交通网络，为行业加速升级提供了先决条件，为国内轨
道交通安全高效运营提供了强有力的支撑，满足国家重大战略需求。
公司提供轨道交通控制系统全产业链上的产品及服务，主要业务包括：1）
设计集成，主要包括提供轨道交通控制系统相关产品的系统集成服务及为轨道交
通工程为主的项目建设提供设计和咨询服务；2）设备制造，主要包括生产和销
售信号系统、通信信息系统产品及其他相关产品；3）系统交付，主要包括轨道
交通控制系统项目施工、设备安装及维护服务。
公司坚持“一业为主，相关多元”的发展战略，除轨道交通控制系统行业相
关业务外，亦提供有轨电车、智慧城市、电力电气化及工程总承包等相关多元产
品和服务。公司高度重视技术的积累与持续创新，积极面向世界科技前沿，开展
前瞻性的研究。未来公司将持续开展先进及智能技术研发，致力在先进轨道交通
控制、轨道交通智能综合运维、智慧城市及行业通信信息、轨道交通专用芯片等
领域取得突破，引领行业发展新方向。
自设立以来，公司主营业务未发生重大变化。


公司在轨道交通控制系统领域深耕多年，顺应我国铁路及城市轨道交通政策、
运行模式、市场环境，形成了稳定、高效的商业模式。公司主要通过公开招标的
"
9,N_A,"售信号系统、通信信息系统产品及其他相关产品；3）系统交付，主要包括轨道
交通控制系统项目施工、设备安装及维护服务。
公司坚持“一业为主，相关多元”的发展战略，除轨道交通控制系统行业相
关业务外，亦提供有轨电车、智慧城市、电力电气化及工程总承包等相关多元产
品和服务。公司高度重视技术的积累与持续创新，积极面向世界科技前沿，开展
前瞻性的研究。未来公司将持续开展先进及智能技术研发，致力在先进轨道交通
控制、轨道交通智能综合运维、智慧城市及行业通信信息、轨道交通专用芯片等
领域取得突破，引领行业发展新方向。
自设立以来，公司主营业务未发生重大变化。


公司在轨道交通控制系统领域深耕多年，顺应我国铁路及城市轨道交通政策、
运行模式、市场环境，形成了稳定、高效的商业模式。公司主要通过公开招标的
方式获得订单，并主要采取集中采购的方式获取生产原材料，通过成熟的设计集
成、设备制造及系统交付业务模式为客户提供轨道交通控制系统一体化全方位服
务。
公司是全球领先的轨道交通控制系统解决方案提供商。在高速铁路领域，截
至 2018 年末，公司的高速铁路控制系统核心产品及服务所覆盖的总中标里程居
世界第一。截至 2018 年末，按照国内高速铁路控制系统集成项目累计中标里程
统计，公司的中标里程覆盖率超过 60%。公司生产的高速铁路控制系统核心设备，
如轨道电路、调度集中系统、计算机联锁、CTCS-3 车载自动防护系统、无线闭
塞中心和列控中心等均拥有领先的市场份额。同时，公司在中国城市轨道交通市
场也拥有显著的领先地位，报告期内公司是我国最大的城市轨道交通控制系统解
决方案供应商。自成立以来，公司的核心城市轨道交通控制系统产品和服务覆盖
了我国已运营及已完成控制系统招标的城市轨道交通线路超过 80 条，按中标合
同金额计，报告期内公司的市场份额约为 40% 1。目前，公司在保持国内市场持
续增长的同时，努力开发海外市场，力争进一步提升公司在全球市场的影响力。
1 公 司 城 市 轨 道 交 通 控 制 系 统 信 号 系 统 业务主要由控股子公司卡斯柯信号有限公司及通号城市轨道交通技
术有限公司实施，上述市场份额均以两家子公司合并计算。
五、发行人技术先进性、模式创新性、研发技术产业化情况以及未来
发展战略
五、发行人技术先进性、模式创新性、研发技术产业化情况以及未来
发展战略
发行人技术先进性、模式创新性、研发技术
"
