页码,表格,纯文本
0,N_A,"宁波立立电子股份有限公司
宁波立立电子股份有限公司
（浙江省宁波市保税区0125-3地块）
首次公开发行股票
招股意向书
（北京市朝阳区安立路66号4号楼）
（北京市朝阳区安立路66号4号楼）
发行概况
发行股票类型： 人民币普通股（A股）
发行股数： 2,600万股
每股面值： 人民币1.00元
每股发行价格： [ ]元
预计发行日期： 2008年6月26日
拟上市的证券交易所： 深圳证券交易所
发行后总股本： 10,308万股
本次发行前股东所持 1、公司实际控制人王敏文、陈茶花夫妇及其关联人陈卫忠承
股份的流通限制和自 诺：自公司股票上市之日起36个月内，不转让或者委托他人
愿锁定承诺： 管理本次发行前其已持有的公司股份，也不由公司收购该部
分股份。
2、认购公司2006年8月增发股份的林必清等54名股东承诺：
自公司股票上市之日起36个月内，不转让其于该次认购的增
发股份。
3、公司其他股东承诺：自公司股票上市之日起 12 个月内，
不转让或者委托他人管理本次发行前其已持有的公司股份，
也不由公司收购该部分股份。
承诺期限届满后，上述股份可以上市流通和转让。
4、公司股东王敏文、李立本、阙端麟、林必清、陈卫忠、杨
德仁、马向阳、刘培东、李晓军、田达晰、吴能云作为公司
董事、监事和高级管理人员承诺，在上述承诺的限售期届满
后，其所持本公司股份在其任职期间内每年转让的比例不超
过其所持本公司股份总数的25%，在离职后半年内不转让。
保荐人（主承销商）： 中信建投证券有限责任公司
招股意向书签署日期： 2008年5月5日
发行人董事会已批准本招股意向书及其摘要，发行人及全体董事、监事、高
级管理人员承诺本招股意向书及其摘要不存在虚假记载、误导性陈述或重大遗
漏，并对其真实性、准确性、完整性承担个别和连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证本招股意向书及
其摘要中财务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其
对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
"
1,N_A,"发行人董事会已批准本招股意向书及其摘要，发行人及全体董事、监事、高
级管理人员承诺本招股意向书及其摘要不存在虚假记载、误导性陈述或重大遗
漏，并对其真实性、准确性、完整性承担个别和连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证本招股意向书及
其摘要中财务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其
对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、会计师或其他专业顾问。
1、公司实际控制人王敏文、陈茶花夫妇及其关联人陈卫忠承诺：自公司股
票上市之日起 36 个月内，不转让或者委托他人管理本次发行前其已持有的公司
股份，也不由公司收购该部分股份。认购公司 2006 年 8 月增发股份的林必清等
54 名股东承诺：自公司股票上市之日起 36 个月内，不转让其于该次认购的增发
股份。公司其他股东承诺：自公司股票上市之日起 12 个月内，不转让或者委托
他人管理本次发行前其已持有的公司股份，也不由公司收购该部分股份。
2、2007 年 8 月 12 日召开的公司 2007 年第一次临时股东大会审议同意：若
本次股票发行并上市成功，则本次股票发行之日前所滚存的可供股东分配的利润
由公司新老股东依其所持股份比例共同享有。
3、报告期内公司出口销售收入占主营业务收入40%左右。自2005年7月实
施人民币汇率改革以来，人民币兑美元汇率出现一定幅度上升，由于公司进出口
结算金额较大，如果人民币对主要外币汇率继续攀升，将可能对公司的盈利水平
造成一定的影响。
4、多晶硅是公司产品生产的主要原材料，近年来由于半导体行业发展迅速，
特别是太阳能光伏产业的迅猛发展导致多晶硅在全球范围内供应紧张，价格持续
上涨，而与其他多数国家一样，我国多晶硅供给基本依赖进口，获得多晶硅的能
力已经成为左右我国半导体硅材料生产企业发展的重要因素。如果多晶硅供给发
生困难或者多晶硅采购价格大幅度上升，将对公司的正常生产与盈利能力产生影
响。
5、公司的核心技术人员包括李立本、刘培东和田达晰等三人，该等核心技
"
2,N_A,"3、报告期内公司出口销售收入占主营业务收入40%左右。自2005年7月实
施人民币汇率改革以来，人民币兑美元汇率出现一定幅度上升，由于公司进出口
结算金额较大，如果人民币对主要外币汇率继续攀升，将可能对公司的盈利水平
造成一定的影响。
4、多晶硅是公司产品生产的主要原材料，近年来由于半导体行业发展迅速，
特别是太阳能光伏产业的迅猛发展导致多晶硅在全球范围内供应紧张，价格持续
上涨，而与其他多数国家一样，我国多晶硅供给基本依赖进口，获得多晶硅的能
力已经成为左右我国半导体硅材料生产企业发展的重要因素。如果多晶硅供给发
生困难或者多晶硅采购价格大幅度上升，将对公司的正常生产与盈利能力产生影
响。
5、公司的核心技术人员包括李立本、刘培东和田达晰等三人，该等核心技
术人员同时也是公司的核心管理人员，其中李立本先生还担任公司董事长职务；
刘培东担任公司副总经理职务，负责公司的品质保障工作；田达晰担任公司副总
经理，负责公司的技术研发工作。另外，公司的总经理林必清、副总经理陈卫忠、
李晓军、吴能云等人多年来在公司内部担负管理工作，也是公司的核心管理人员。
公司虽有股权激励措施，上述人员也均为公司股东，但仍不排除其因种种原因不
再在公司任职的情形，如出现该类情形将会对公司的经营管理、技术保障和研发
工作产生重大不利影响。由于公司已与公司核心技术人员和核心管理人员均签署
了《敬业、保密和保护知识产权协议》，即使上述人员离开公司不再在公司担任
职务，但也不能从事与公司存在竞争关系的业务。
6、公司本次募集资金投资项目之一——8-12 英寸硅外延片高技术产业化示
范工程项目，是公司向更高档次硅片领域进军的标志，由于8英寸以上硅片的技
术含量较高，客户的质量要求和技术参数要求更高，目前虽然公司8英寸硅外延
片的生产技术已经较为成熟，并已经批量生产，销售的8英寸硅外延片已经获得
了部分客户的认可，但 8 英寸硅外延片项目的市场开拓仍有一定的风险。同时
12英寸的硅外延片研发项目的顺利完成在技术上仍存在一定的风险。
7、本次发行完成后，公司的净资产规模将大幅度提高，而募集资金投资项
目从实施到发挥效益需要一定周期，因此公司存在短期内净资产规模迅速扩大导
致净资产收益率下降的风险。
九、发起人、持有公司5%以上股份的主要股东及实际控制人的基本情况 78
十二、持有5%以上股份的主要股东以及作为股东的董事、监事、高级管理
"
3,N_A,"范工程项目，是公司向更高档次硅片领域进军的标志，由于8英寸以上硅片的技
术含量较高，客户的质量要求和技术参数要求更高，目前虽然公司8英寸硅外延
片的生产技术已经较为成熟，并已经批量生产，销售的8英寸硅外延片已经获得
了部分客户的认可，但 8 英寸硅外延片项目的市场开拓仍有一定的风险。同时
12英寸的硅外延片研发项目的顺利完成在技术上仍存在一定的风险。
7、本次发行完成后，公司的净资产规模将大幅度提高，而募集资金投资项
目从实施到发挥效益需要一定周期，因此公司存在短期内净资产规模迅速扩大导
致净资产收益率下降的风险。
九、发起人、持有公司5%以上股份的主要股东及实际控制人的基本情况 78
十二、持有5%以上股份的主要股东以及作为股东的董事、监事、高级管理
二、董事、监事、高级管理人员、核心技术人员及其近亲属持股情况 .142
三、董事、监事、高级管理人员及核心技术人员其它对外投资情况 ...143
四、董事、监事、高级管理人员及核心技术人员最近一年从发行人及相关联
五、公司董事、监事、高级管理人员及核心技术人员兼职情况 .......145
九、发起人、持有公司5%以上股份的主要股东及实际控制人的基本情况 78
十二、持有5%以上股份的主要股东以及作为股东的董事、监事、高级管理
六、董事、监事、高管人员及与核心技术人员相互之间的亲属关系 ...145
七、公司与董事、监事、高管人员及核心技术人员的协议安排 .......146
二、 会计报表的编制基础、合并会计报表范围及变化情况.........176
十一、 现金流量情况及不涉及现金收支的重大投资和筹资活动.....199
二、实际募集资金超出投资项目资金需求或不足时的安排 ...........249
二、实际募集资金超出投资项目资金需求或不足时的安排 ...........249
在本招股意向书中，除非另有说明，下列简称具有如下特定意义：
立立电子、公司、 指 宁波立立电子股份有限公司
本公司、发行人
立立半导体、宁波海纳 指 宁波立立半导体有限公司，即原宁波海纳半导体
有限公司
立昂电子 指 杭州立昂电子有限公司
立立科技 指 杭州立立科技实业有限公司
《章程》 指 上市后生效的本公司章程
股票、A股 指 本公司发行的每股面值人民币1元的普通股股票
本次发行 指 发行人本次向社会公开发行 2600 万股人民币普
"
4,N_A,"二、实际募集资金超出投资项目资金需求或不足时的安排 ...........249
二、实际募集资金超出投资项目资金需求或不足时的安排 ...........249
在本招股意向书中，除非另有说明，下列简称具有如下特定意义：
立立电子、公司、 指 宁波立立电子股份有限公司
本公司、发行人
立立半导体、宁波海纳 指 宁波立立半导体有限公司，即原宁波海纳半导体
有限公司
立昂电子 指 杭州立昂电子有限公司
立立科技 指 杭州立立科技实业有限公司
《章程》 指 上市后生效的本公司章程
股票、A股 指 本公司发行的每股面值人民币1元的普通股股票
本次发行 指 发行人本次向社会公开发行 2600 万股人民币普
通股股票（A股）的行为
证监会 指 中国证券监督管理委员会
保荐人、主承销商、中 指 中信建投证券有限责任公司
信建投
发行人律师 指 国浩律师集团（上海）事务所
发行人审计机构、东方 指 浙江东方会计师事务所有限公司，原浙江东方中
会计师事务所 汇会计师事务所有限公司
报告期、近三年 指 2005年、2006年以及2007年
元、万元 指 人民币元、人民币万元
纳米 指 10-9米
微米 指 10-6米
英寸 指 计量半导体硅片直径的常用单位，6 英寸约相当
于150毫米，8英寸约相当于200毫米，12英寸
约相当于300毫米。硅片尺寸和线宽指标是集成
电路制造的主要工艺技术标志
指 信息技术（Information Technology）的英文缩写，
包含现代计算机、网络、通讯等信息领域的技术
指 导电性能介于导体和绝缘体之间的物质，如：硅
和锗
指 由具有一定尺寸的硅晶粒组成的多晶体，各个硅
晶粒的晶体取向不同。用于制备硅单晶的高纯多
晶硅主要是由改良的西门子法将冶金级多晶硅
提纯而来
指 在直拉硅单晶生长工艺中，用于盛放高温硅熔体
的石英容器
指 整块硅晶体中的硅原子按周期性排列的单晶体。
硅单晶是用高纯多晶硅为原料，通过直拉法或区
熔法制得
指 由硅单晶锭切割形成的圆形片，经过抛光工艺加
工得到抛光硅片，在抛光硅片上经过外延工艺加
工得到硅外延片
指 半导体器件，即通过对半导体中载流子（电子和
空穴）输运和复合行为的控制而实现一定功能的
产品。如：二极管、晶体管和集成电路等
指 制造有半导体器件的硅片
指 将一定数目的晶体管、二极管、电阻、电容和电
感等集成在一起，从而实现电路或者系统功能的
"
5,N_A,"指 由具有一定尺寸的硅晶粒组成的多晶体，各个硅
晶粒的晶体取向不同。用于制备硅单晶的高纯多
晶硅主要是由改良的西门子法将冶金级多晶硅
提纯而来
指 在直拉硅单晶生长工艺中，用于盛放高温硅熔体
的石英容器
指 整块硅晶体中的硅原子按周期性排列的单晶体。
硅单晶是用高纯多晶硅为原料，通过直拉法或区
熔法制得
指 由硅单晶锭切割形成的圆形片，经过抛光工艺加
工得到抛光硅片，在抛光硅片上经过外延工艺加
工得到硅外延片
指 半导体器件，即通过对半导体中载流子（电子和
空穴）输运和复合行为的控制而实现一定功能的
产品。如：二极管、晶体管和集成电路等
指 制造有半导体器件的硅片
指 将一定数目的晶体管、二极管、电阻、电容和电
感等集成在一起，从而实现电路或者系统功能的
半导体器件。其英文缩写为IC
指 在一个封装体内只有单一的半导体器件，如：晶
体管和二极管
指 一种具有非对称电流－电压特性的两端器件，在
正向电压下具有大电流而在反向电压下只有很
小的电流。它分为两大类：PN 结二极管和肖特
基（Schottky）二极管
指 一种通过电压或者电流控制输出电流的三端器
件，具有放大和开关功能。它分为两大类：场效
应晶体管和双极型晶体管
指 在本招股书中是指把磷、砷、锑、硼等掺杂剂中
的一种添加到硅晶体中，使其具有特定的导电类
型和电阻率
指 在单晶衬底上生长单晶薄膜。如：硅外延片就是
在硅单晶衬底上生长一层硅单晶薄膜
指 一种淀积薄膜的方法。被电场加速的离子撞击靶
材，使靶材的原子被撞击出来，它们淀积在衬底
表面而形成薄膜
指 晶圆制造后的一系列工序，将晶圆分割成单个的
芯片， 焊接引线并安放和连接到一个封装体上
指 为确定半导体导电类型或者调控半导体其它性
质而引入的物质。如：为了使硅晶体成为N型，
可以掺入磷、砷或锑；而为了使硅晶体成为P型，
则可以掺入硼
指 溅射淀积工艺使用的源材料，通常做成圆盘状或
者方块状
指 Semiconductor Equipmentand Materials Institute，
中文名称为国际半导体设备与材料学会
指 Semiconductor Industry Association，中文名称为
美国半导体产业协会
指 北京万胜博讯高科技发展有限公司
指 赛迪顾问股份有限公司
指 Hemlock Semiconductor Corporation， Hemlock
"
6,N_A,"芯片， 焊接引线并安放和连接到一个封装体上
指 为确定半导体导电类型或者调控半导体其它性
质而引入的物质。如：为了使硅晶体成为N型，
可以掺入磷、砷或锑；而为了使硅晶体成为P型，
则可以掺入硼
指 溅射淀积工艺使用的源材料，通常做成圆盘状或
者方块状
指 Semiconductor Equipmentand Materials Institute，
中文名称为国际半导体设备与材料学会
指 Semiconductor Industry Association，中文名称为
美国半导体产业协会
指 北京万胜博讯高科技发展有限公司
指 赛迪顾问股份有限公司
指 Hemlock Semiconductor Corporation， Hemlock
是全球最大的多晶硅供应商之一
指 Tokuyama Corporation，是全球最大的多晶硅供应
商之一
指 挪威Renewable Energy Corp，REC 全球最大的多
晶硅供应商之一
指 Wacker-Chemi AG，中文名称为德国瓦克公司，
全球最大的多晶硅供应商之一
指 MEMC Electronic Materials, Inc.，最大的多晶硅
供应商之一
指 ST Microelectronics，中文名称为意法半导体公司
指 On Semiconductor，中文名称为安森美半导体公
司
China Resources Semiconductor co. ltd.即华润半
导体有限公司
指 International Rectifier ，中文名称为国际整流器
公司
指 Fairchild Semiconductor，中文名称为仙童半导体
公司
指 Texas Instruments，中文名称为德州仪器
指 Shin-Etsu Chemical Co.,Ltd，中文名称为日本信越
工业化学株式会社，全球最大的硅片生产企业之
一
指 Sumitomo Mitsubishi Silicon Corp，全球最大的硅
片生产企业之一
指 原浙江浙大海纳科技股份有限公司，现更名为浙
江海纳科技股份有限公司
指 扬州晶新微电子有限公司
指 华润晶芯半导体有限公司
指 上海新进半导体制造有限公司
指 上海先进半导体制造有限公司
指 杭州士兰微电子股份有限公司
指 上海贝岭股份有限公司
本概览仅对招股意向书全文做扼要提示。投资者作出投资决策前，应认
"
7,N_A,"指 Fairchild Semiconductor，中文名称为仙童半导体
公司
指 Texas Instruments，中文名称为德州仪器
指 Shin-Etsu Chemical Co.,Ltd，中文名称为日本信越
工业化学株式会社，全球最大的硅片生产企业之
一
指 Sumitomo Mitsubishi Silicon Corp，全球最大的硅
片生产企业之一
指 原浙江浙大海纳科技股份有限公司，现更名为浙
江海纳科技股份有限公司
指 扬州晶新微电子有限公司
指 华润晶芯半导体有限公司
指 上海新进半导体制造有限公司
指 上海先进半导体制造有限公司
指 杭州士兰微电子股份有限公司
指 上海贝岭股份有限公司
本概览仅对招股意向书全文做扼要提示。投资者作出投资决策前，应认
真阅读招股意向书全文。
（一）设立情况
发行人名称： 宁波立立电子股份有限公司
英文名称： NINGBO QL ELECTRONICS CO.,LTD.
注册地点： 宁波保税区0125－3地块
注册资本： 7,708万元
法定代表人： 李立本
2000 年 6 月，经宁波市人民政府甬政发[2000]119 号文批准，陈伯良等 45
名自然人联合宁波海纳以现金方式出资，共同发起设立本公司。经宁波永德会计
师事务所有限公司（永德验字[2000]80号）《验资报告》验证，截至2000年6月
8日公司注册资本为1,000万元。此后经过数次增、减资和股权转让，截至2007
年12月31日，本公司的股东人数为109人（均为自然人），注册资本为7708万
元。
（二）基本业务情况
本公司主要业务为硅单晶锭、硅抛光片、硅外延片及功率肖特基二极管芯片
的制造和销售，公司目前工商登记的经营范围为：硅材料、化合物半导体材料、
人工晶体材料、复合半导体材料及半导体器件的研发、生产和销售；集成电路设
计；数据通讯，计算机软件技术开发；电子技术工程及技改项目的技术咨询、服
务；高科技项目的技术研究开发、技术咨询服务；自营和代理各类商品及技术的
进出口业务，但国家限定公司经营或禁止进出口的商品及技术除外。
本公司是中国最大的硅抛光片和硅外延片生产企业之一，经过多年发展形成
了由硅单晶锭、硅抛光片、硅外延片和功率肖特基二极管芯片构成的半导体产业
链。公司产品约40%销往新加坡、美国、日本、中国台湾、马来西亚、韩国和加
拿大等半导体产业发达国家和地区，已成为ST、On Semi、CR Semi、GlobiTech
"
8,N_A,"本公司主要业务为硅单晶锭、硅抛光片、硅外延片及功率肖特基二极管芯片
的制造和销售，公司目前工商登记的经营范围为：硅材料、化合物半导体材料、
人工晶体材料、复合半导体材料及半导体器件的研发、生产和销售；集成电路设
计；数据通讯，计算机软件技术开发；电子技术工程及技改项目的技术咨询、服
务；高科技项目的技术研究开发、技术咨询服务；自营和代理各类商品及技术的
进出口业务，但国家限定公司经营或禁止进出口的商品及技术除外。
本公司是中国最大的硅抛光片和硅外延片生产企业之一，经过多年发展形成
了由硅单晶锭、硅抛光片、硅外延片和功率肖特基二极管芯片构成的半导体产业
链。公司产品约40%销往新加坡、美国、日本、中国台湾、马来西亚、韩国和加
拿大等半导体产业发达国家和地区，已成为ST、On Semi、CR Semi、GlobiTech
Incorporated、Microsemi 等国际知名半导体制造商的稳定供应商，并与 ST、On
Semi 等重要客户建立起了良好的长期合作关系；同时，公司还是士兰微、华润
晶芯、上海先进、上海贝岭等国内主要半导体企业的重要硅片供应商。在原材料
供应方面，公司与国际上最大的多晶硅供应商之一德国 Wacker 建立并保持了长
期良好合作关系。公司还积极致力于同在国内半导体硅材料研究领域处于领先地
位的浙江大学开展全面、战略合作，通过建立联合研发中心等方式展开全方位技
术合作，使公司在技术研发和员工培训等方面获得有力支持。
公司是国家火炬计划重点高新技术企业、国家高技术产业化示范工程单位；
公司下属子公司立立半导体是国家“863 计划”成果产业化基地，设有企业博士后
流动站；公司下属另一子公司立昂电子为浙江省级高新技术企业。公司还被国家
发展改革委员会、信息产业部、海关总署和税务总局列入“第一批国家鼓励的集
成电路企业名单”（发改高技[2007]1879号），并被中国半导体行业协会评选为“中
国半导体支撑业最具影响力企业”之一。
（三）公司的竞争优势
1、技术与研发优势
公司非常注重产品研发和技术进步，并拥有一支高度专业化的技术团队，该
技术团队具有较强的消化吸收国外先进技术和自主研发、创新的能力。在该技术
团队的不懈努力下，公司已熟练掌握了硅单晶锭、硅抛光片和硅外延片制造技术，
特别是在重掺硅片领域有独特优势。目前，公司的硅材料产品以技术含量和附加
值较高的重掺硅抛光片、重掺衬底硅外延片产品为主，并在相关技术领域获得了
"
9,N_A,"公司下属子公司立立半导体是国家“863 计划”成果产业化基地，设有企业博士后
流动站；公司下属另一子公司立昂电子为浙江省级高新技术企业。公司还被国家
发展改革委员会、信息产业部、海关总署和税务总局列入“第一批国家鼓励的集
成电路企业名单”（发改高技[2007]1879号），并被中国半导体行业协会评选为“中
国半导体支撑业最具影响力企业”之一。
（三）公司的竞争优势
1、技术与研发优势
公司非常注重产品研发和技术进步，并拥有一支高度专业化的技术团队，该
技术团队具有较强的消化吸收国外先进技术和自主研发、创新的能力。在该技术
团队的不懈努力下，公司已熟练掌握了硅单晶锭、硅抛光片和硅外延片制造技术，
特别是在重掺硅片领域有独特优势。目前，公司的硅材料产品以技术含量和附加
值较高的重掺硅抛光片、重掺衬底硅外延片产品为主，并在相关技术领域获得了
三项国家发明专利，在国内同行业中居领先地位；同时在集成电路用硅片的生产
制造上，公司在国内同行中也具有显著优势。公司的重掺硅片制造技术与国际同
步发展，已具备与国际同行业知名跨国公司竞争的实力。
公司与浙江大学硅材料国家重点实验室（该领域中的唯一国家重点实验室）
建立了长期、稳定的战略合作关系，并于 2006 年 6 月成立了浙江大学－立立电
子硅材料联合研发中心（以下简称“联合研发中心”）。浙江大学硅材料国家重点
实验室是在国内外享有较高声誉的硅材料研究机构。联合研发中心的任务是为公
司产品质量的提高、新产品开发和人才队伍的建设提供智力支持和技术保障。通
过与浙江大学硅材料国家重点实验室积极、有效的技术合作，公司确立了在国内
同行业中的技术领先地位。
2、高端定位优势
公司自设立以来，始终坚持高品质标准，将满足半导体行业高端客户的要求
作为公司努力的目标。为此，公司成立伊始就建立了严格的质量保证体系，先后
通过了瑞士SGS公司的QS9000、ISO9001:2000、ISO/TS16949:2002 等质量体系
认证和ISO14001:2004环境体系认证。目前，公司能够分别按国际SEMI 标准、
中国国家标准、销售目的地国家标准或顾客特殊要求控制产品质量。在严格和高
标准的品质保证之下，公司已经成为国际知名跨国公司的稳定供应商，并通过了
这些大公司对产品质量体系、产品工艺和产品质量的严格审核和认证。同时，这
些客户的严苛要求和新的需求也进一步推动公司管理水平、质量控制水平的不断
"
