页码,表格,纯文本
0,N_A,"本次股票发行后拟在创业板市场上市，该市场具有较高的投资风险。创业板公司具有业
绩不稳定、经营风险高、退市风险大等特点，投资者面临较大的市场风险。投资者应充
分了解创业板市场的投资风险及本公司所披露的风险因素，审慎作出投资决定。

西安启源机电装备股份有限公司
XI’AN QIYUAN MECHANICAL AND ELECTRICAL EQUIPMENT CO.,LTD.
西安市经济技术开发区凤城十二路 98 号
首次公开发行股票并在创业板上市
招股意向书
保荐人（主承销商）：西部证券股份有限公司
西安市东新街 232 号陕西信托大厦 16-17 楼
发行人及全体董事、监事、高级管理人员承诺招股意向书不存在虚假记载、
误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律
责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书中财
务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所作的任何决定或意见，均不表明其
对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
本公司提请投资者认真阅读本招股意向书“风险因素”一章的全部内容，
并特别提醒投资者关注下列事项：
一、股份流通限制及自愿锁定的承诺
公司控股股东国际工程公司、中机国际承诺：自公司股票上市之日起三十六
个月内，不转让或者委托他人管理其直接或间接持有的公司股份，也不由公司回
购该部分股份。
上海华觉、陈元华、张弼强、郭新安、边芳军、郭磊鹰、李涛、马立兴（2009
年 7 月 31 日受让的 2 万股公司股份）承诺：自公司股票上市之日起三十六个月
内，不转让或者委托他人管理其直接或间接持有的公司股份，也不由公司回购该
部分股份。
公司其他股东承诺：自公司股票上市交易之日起十二个月内不转让或者委托
他人管理其直接或间接持有的公司股份，也不由公司回购该部分股份。
作为公司董事、监事、高级管理人员，股东姜群、陈元华、薛彦俊、赵刚、
赵利军、秦金杨、许树森、郭新安、边芳军承诺：前述承诺期满后，其在公司任
职期间每年转让的股份不超过其直接或间接所持公司股份总数的25%；在离职后
半年内，不转让其直接或间接持有的公司股份。
"
1,N_A,"上海华觉、陈元华、张弼强、郭新安、边芳军、郭磊鹰、李涛、马立兴（2009
年 7 月 31 日受让的 2 万股公司股份）承诺：自公司股票上市之日起三十六个月
内，不转让或者委托他人管理其直接或间接持有的公司股份，也不由公司回购该
部分股份。
公司其他股东承诺：自公司股票上市交易之日起十二个月内不转让或者委托
他人管理其直接或间接持有的公司股份，也不由公司回购该部分股份。
作为公司董事、监事、高级管理人员，股东姜群、陈元华、薛彦俊、赵刚、
赵利军、秦金杨、许树森、郭新安、边芳军承诺：前述承诺期满后，其在公司任
职期间每年转让的股份不超过其直接或间接所持公司股份总数的25%；在离职后
半年内，不转让其直接或间接持有的公司股份。
国际工程公司承诺：根据《境内证券市场所持部分国有股充实全国社会保障
基金实施办法》（财企【2009】94号）有关规定，将所持公司股份按照公司首次
公开发行时实际发行股份数量的10%，转由全国社会保障基金理事会持有。国务
院国资产权【2010】148号文同意公司境内发行A股并上市后，将国际工程公司
持有的公司155万股股份划转给社保基金会持有（按本次发行1550万股计算），
若公司实际发行A股数量进行调整，国际工程公司应转持数量按实际发行股份数
量计算。全国社会保障基金理事会将承继国际工程公司的限售期义务。
三、本公司特别提醒投资者注意“风险因素”中的下列风险
本公司特别提醒投资者关注下列风险，投资者应认真阅读招股意向书第四节
“风险因素”的全部内容。
（一）外协加工风险
为发挥专业分工和协作配套的优势，充分利用市场资源，公司在经营中主要
负责变压器专用设备的开发、设计、装配及销售，在生产加工环节上采取关键零
部件自加工与其他零部件委托其他企业外协加工相结合的方式。2007 年-2009
年及2010年1－6月，公司外协件成本分别为3,740.50万元、6,091.65万元、
5,597.39 万元、3,212.64 万元，占公司主营业务成本的比例分别为 37.02%、
40.55%、37.81%、32.63%。随着公司业务规模的不断扩大，公司外协件成本可能
随之增加。尽管公司对每家外协加工合作单位都进行了严格选择，供货一直较为
及时，质量也有保障，但在未来的生产经营过程中如果外协企业的供应质量、价
格发生较大变化，尤其是不能按时足额交货，将影响公司生产计划的完成。
"
2,N_A,"负责变压器专用设备的开发、设计、装配及销售，在生产加工环节上采取关键零
部件自加工与其他零部件委托其他企业外协加工相结合的方式。2007 年-2009
年及2010年1－6月，公司外协件成本分别为3,740.50万元、6,091.65万元、
5,597.39 万元、3,212.64 万元，占公司主营业务成本的比例分别为 37.02%、
40.55%、37.81%、32.63%。随着公司业务规模的不断扩大，公司外协件成本可能
随之增加。尽管公司对每家外协加工合作单位都进行了严格选择，供货一直较为
及时，质量也有保障，但在未来的生产经营过程中如果外协企业的供应质量、价
格发生较大变化，尤其是不能按时足额交货，将影响公司生产计划的完成。
（二）原材料价格波动风险
公司产品的外购或者外协的原材料价格受基础原材料价格的影响较大，而近
年来国内基础原材料价格波动比较大，如中厚板价格2007年—2009年年均分别
为4,442.22元/吨、5,709.15元/吨、3,847.23元/吨。基础原材料价格的波动，
直接影响公司生产所需的其他外购件或外协件的采购成本。
（三）毛利率波动的风险
公司 2007 年—2009 年及 2010 年 1－6 月的主营业务综合毛利率分别为
37.57%、37.07%、42.76%和 37.04%，有所波动。从公司的经营情况来分析，导
致毛利率波动的原因主要有以下三点：一是公司生产的专用设备均为非标产品，
产品的类别和型号较多，毛利率的差异较大，每年订单中产品类别和型号的不同，
会导致公司当年产品的综合毛利率发生变动；二、同类别、同型号产品各种规格
的毛利率存在差异，其销售比重的变化，也会造成同类别、同型号产品的毛利率
发生波动，进而影响公司综合毛利率；三是公司主要原材料成本中钢材比重大，
而近年来国内钢材市场价格波动较大。
（四）新增产能的销售风险
募集资金投资项目实施完成后，发行人变压器专用设备的设计产能将从目前
的105台套扩大到250台套，产能增幅比较大，对发行人销售提出了更高的要求。
如果发行人销售未能实现预期目标，或者未来市场环境出现较大变化导致市场需
求与预期出现偏差，或者如果目前的国际金融危机和经济危机进一步持续或加剧
导致发行人所处行业市场需求增速放缓或减少，新增产能将存在一定的销售风
险。
（五）不能保持技术领先的风险
公司所处行业具有技术推动型的典型特征。公司一直从事变压器专用设备的
"
3,N_A,"的毛利率存在差异，其销售比重的变化，也会造成同类别、同型号产品的毛利率
发生波动，进而影响公司综合毛利率；三是公司主要原材料成本中钢材比重大，
而近年来国内钢材市场价格波动较大。
（四）新增产能的销售风险
募集资金投资项目实施完成后，发行人变压器专用设备的设计产能将从目前
的105台套扩大到250台套，产能增幅比较大，对发行人销售提出了更高的要求。
如果发行人销售未能实现预期目标，或者未来市场环境出现较大变化导致市场需
求与预期出现偏差，或者如果目前的国际金融危机和经济危机进一步持续或加剧
导致发行人所处行业市场需求增速放缓或减少，新增产能将存在一定的销售风
险。
（五）不能保持技术领先的风险
公司所处行业具有技术推动型的典型特征。公司一直从事变压器专用设备的
研发、生产和销售，拥有自主知识产权。截至本招股意向书签署之日，公司已拥
有9项核心技术、27项专利使用权，已获受理专利申请11项，整体技术水平处
于国内领先、国际先进地位。尽管公司不断加强自主技术创新能力，但若不能保
持技术领先优势，将影响到公司的持续性发展。
（六）所得税优惠政策的风险
公司于 2005 年 12 月 29 日取得陕西省国家税务局《关于公司享受西部大开
发企业所得税优惠政策的批复》（陕国税函【2005】583号），2007年-2010年享
受减按15%的税率征收企业所得税的税收优惠政策；2008年又被评为国家级高新
技术企业，2008 年至 2010 年享受高新技术企业 15%的所得税优惠政策。本公司
能否继续享有15%的企业所得税税率优惠，在于本公司是否能继续符合以上优惠
政策的确认条件或认定标准。若相关税收政策发生变化或者公司不能继续符合相
关标准，则可能面临不能继续享受所得税税率优惠的风险。
九、持有5％以上股份的主要股东及作为股东的董事、监事、高级管理人员的
二、董事、监事、高级管理人员、其他核心人员及其近亲属直接或间接持有本
六、公司与董事、监事、高级管理人员及其他核心人员特定协议、承诺及履行
十三、或有事项、承诺事项、资产负债表日后事项及其他重要事项............238
第十四节 董事、监事、高级管理人员及有关中介机构声明........330
本招股意向书中，除非文意另有所指，下列简称和术语具有以下特定意义：
除特别说明外，本招股意向书所有数值保留2位小数，若出现总数与各分项
"
4,N_A,"政策的确认条件或认定标准。若相关税收政策发生变化或者公司不能继续符合相
关标准，则可能面临不能继续享受所得税税率优惠的风险。
九、持有5％以上股份的主要股东及作为股东的董事、监事、高级管理人员的
二、董事、监事、高级管理人员、其他核心人员及其近亲属直接或间接持有本
六、公司与董事、监事、高级管理人员及其他核心人员特定协议、承诺及履行
十三、或有事项、承诺事项、资产负债表日后事项及其他重要事项............238
第十四节 董事、监事、高级管理人员及有关中介机构声明........330
本招股意向书中，除非文意另有所指，下列简称和术语具有以下特定意义：
除特别说明外，本招股意向书所有数值保留2位小数，若出现总数与各分项
数值之和尾数不符的情况，均为四舍五入原因造成。
本概览仅对招股意向书全文做扼要提示。投资者在作出投资决策前，应认
真阅读招股意向书全文。
（一）发行人概况
公司名称：西安启源机电装备股份有限公司
英文名称：XI’AN QIYUAN MECHANICAL AND ELECTRICAL
EQUIPMENT CO.,LTD.
注册资本：4,550万元
法定代表人：赵友安
成立日期：2001年3月28日
住 所：西安市经济技术开发区凤城十二路98号
邮政编码：710018
电 话：（029）86531303
传 真：（029）86531312
网 址：www.sdricom.com
（二）发行人的设立情况
公司系经陕西省人民政府陕政函【2001】28 号文和原国家机械工业局国机
改【2000】384号文批准，由原机械工业部第七设计研究院作为主发起人，联合
西安筑路机械有限公司、许继集团有限公司、西安保德信投资发展有限责任公司、
西安中电变压整流器厂等四家法人以及王哲、赵刚两位自然人共同出资发起设立
的股份有限公司。2001年3月28日，公司在陕西省工商行政管理局注册成立，
企业法人注册登记号为6100001011256号，设立时注册资本为3,500万元。
（三）发行人的主营业务
公司从事变压器专用设备及组件的设计、开发、制造、销售、服务，是拥有
自主知识产权的国内规模最大、技术实力最强的变压器专用设备制造商和服务
商。公司的主要产品包括铁芯剪切设备、绕线设备、油箱设备、绝缘件加工设备、
工装设备及变压器组件，是目前全球少数能提供变压器专用设备系列产品的制造
"
5,N_A,"西安筑路机械有限公司、许继集团有限公司、西安保德信投资发展有限责任公司、
西安中电变压整流器厂等四家法人以及王哲、赵刚两位自然人共同出资发起设立
的股份有限公司。2001年3月28日，公司在陕西省工商行政管理局注册成立，
企业法人注册登记号为6100001011256号，设立时注册资本为3,500万元。
（三）发行人的主营业务
公司从事变压器专用设备及组件的设计、开发、制造、销售、服务，是拥有
自主知识产权的国内规模最大、技术实力最强的变压器专用设备制造商和服务
商。公司的主要产品包括铁芯剪切设备、绕线设备、油箱设备、绝缘件加工设备、
工装设备及变压器组件，是目前全球少数能提供变压器专用设备系列产品的制造
商和服务商。公司生产的变压器专用设备主导产品均为专有技术产品，科技含量
高，具有独创性。
公司是国内最早自主开发、制造变压器专用设备的企业之一，凭借自主创新
能力，公司迅速发展成为国内技术实力最强、规模最大、产品品种最全的变压器
专用设备制造商和服务商。在国际变压器专用设备领域，公司综合竞争力处于前
列。公司与国内外著名变压器生产厂商 SIEMENS、ABB、AREVA、TOSHIBA、特变
电工、中国西电、天威保变等建立了稳定的业务合作关系。
公司在电工专用设备领域拥有27项专利技术，获得10余项省部级科技进步
奖，有8项产品被列入国家火炬计划项目、国家重点新产品或国家创新基金项目
等，5 项产品被中国电器工业协会认定为质量可信产品，1 项产品被陕西省人民
政府认定为省名牌产品，2项产品被西安市人民政府认定为市名牌产品。公司主
持制定了电工专用设备方面的国家标准1项、行业标准2项，参与制定了国家标
准1项、行业标准3项。
公司是陕西省科技厅、陕西省财政厅、陕西省国家税务局和陕西省地方税务
局认定的国家级高新技术企业和陕西省科技厅、财政厅等认定的陕西省电工专用
设备企业技术中心。2008年12月， 被认定为陕西省著名商标；
2009年1月，公司被西安市政府评为“西安市创新型工业企业”，同时获得陕西
省知识产权局授予的“陕西省知识产权优势培育企业”称号；2009 年 3 月，公
司被中国电器工业协会评为“中国电器工业最具影响力品牌”；2009年5月，公
司被西安市发展和改革委员会认定为“西安市电工专用设备工程实验室”；2009
年 12 月，公司被科技部、财政部等部委评为“科技型中小企业技术创新基金实
"
6,N_A,"持制定了电工专用设备方面的国家标准1项、行业标准2项，参与制定了国家标
准1项、行业标准3项。
公司是陕西省科技厅、陕西省财政厅、陕西省国家税务局和陕西省地方税务
局认定的国家级高新技术企业和陕西省科技厅、财政厅等认定的陕西省电工专用
设备企业技术中心。2008年12月， 被认定为陕西省著名商标；
2009年1月，公司被西安市政府评为“西安市创新型工业企业”，同时获得陕西
省知识产权局授予的“陕西省知识产权优势培育企业”称号；2009 年 3 月，公
司被中国电器工业协会评为“中国电器工业最具影响力品牌”；2009年5月，公
司被西安市发展和改革委员会认定为“西安市电工专用设备工程实验室”；2009
年 12 月，公司被科技部、财政部等部委评为“科技型中小企业技术创新基金实
施十周年优秀企业”；2010年2月，在商务部、国资委授权中国电器工业协会进
行的中国电工行业信用体系评价活动中，公司被评为国内变压器专用设备行业唯
一一家 AAA 级信用企业；2010 年 8 月，公司被中国科学技术协会主管、中国电
工技术学会主办的《电气技术》杂志社评为首届“十大电气创新企业”。
（一）可持续的自主创新能力
1、研发实力雄厚，自主创新能力强
公司是原机械工业部批准设立的“机械工业电工专用设备工程技术研究中
心”，是国家级高新技术企业、陕西省企业技术中心。
公司共有技术人员 105 人，其中高级工程师 31 名，享受国务院特殊津贴专
家2人，陕西省有突出贡献中青年专家1人，西安市突出贡献专家2人，在国内
变压器专用设备领域技术实力最强，公司核心技术人员多次荣获省部级以上科技
奖项。
多年来，公司一直把培养、吸引和凝聚人才作为公司的主要任务之一，制定
实施了一系列培养、引进、稳定人才的人力资源制度，凝聚了一支国内最高水平
的变压器专用设备研发队伍，保证了公司快速发展对人才的需求。
2、健全的研发机制
公司建立了完善有效的技术创新组织体系，技术委员会负责技术、研发的评
审、决策，技术研发中心负责研发的组织和协调，专业项目组负责项目的具体实
施。公司坚持“跟踪－调研－消化吸收－创新－领先－再创新”的技术创新路径
与原则，以市场为导向，紧跟国际前沿技术，始终保持行业技术领先优势。同时，
公司制订了形式多样的人才激励政策和绩效考核制度，高度重视对研发人员的再
培养，提高研发人员的积极性，为公司技术创新提供了保障。
"
7,N_A,"多年来，公司一直把培养、吸引和凝聚人才作为公司的主要任务之一，制定
实施了一系列培养、引进、稳定人才的人力资源制度，凝聚了一支国内最高水平
的变压器专用设备研发队伍，保证了公司快速发展对人才的需求。
2、健全的研发机制
公司建立了完善有效的技术创新组织体系，技术委员会负责技术、研发的评
审、决策，技术研发中心负责研发的组织和协调，专业项目组负责项目的具体实
施。公司坚持“跟踪－调研－消化吸收－创新－领先－再创新”的技术创新路径
与原则，以市场为导向，紧跟国际前沿技术，始终保持行业技术领先优势。同时，
公司制订了形式多样的人才激励政策和绩效考核制度，高度重视对研发人员的再
培养，提高研发人员的积极性，为公司技术创新提供了保障。
3、科研成果转化能力强
公司拥有突出的技术成果转化能力。公司根据行业技术的最新发展动态，储
备了一系列符合行业技术发展方向的产品技术，并根据市场需求，通过技术推广、
产品推介等方式，先后推出了一系列拥有自主知识产权、国内首创、国际先进的
新产品。2007年-2009年，公司共开发了400型电动横剪线、600型电动横剪线、
纵横混合剪切生产线、BRJ(S1)-1400 型数字箔式线圈绕制机、BRJ(S2)-1000 型
数字箔式线圈、BRJ(S2)-1400 型数字箔式线圈绕制机、BRJ(S1)-1000 型数字箔
式线圈绕制机、GBR-150/1500型高压箔绕机、WRJ(Y)35/3100型带压紧卧绕机、
80 吨绕线绕纱机、45 吨钢平台立式绕线机、TR14-40 变压器立式铁芯粘带绑扎
机等13项新产品，并成功推向市场。
（一）可持续的自主创新能力
1、研发实力雄厚，自主创新能力强
公司是原机械工业部批准设立的“机械工业电工专用设备工程技术研究中
心”，是国家级高新技术企业、陕西省企业技术中心。
公司共有技术人员 105 人，其中高级工程师 31 名，享受国务院特殊津贴专
家2人，陕西省有突出贡献中青年专家1人，西安市突出贡献专家2人，在国内
变压器专用设备领域技术实力最强，公司核心技术人员多次荣获省部级以上科技
奖项。
多年来，公司一直把培养、吸引和凝聚人才作为公司的主要任务之一，制定
实施了一系列培养、引进、稳定人才的人力资源制度，凝聚了一支国内最高水平
的变压器专用设备研发队伍，保证了公司快速发展对人才的需求。
（二）国内领先、国际先进的技术优势
"
8,N_A,"1、研发实力雄厚，自主创新能力强
公司是原机械工业部批准设立的“机械工业电工专用设备工程技术研究中
心”，是国家级高新技术企业、陕西省企业技术中心。
公司共有技术人员 105 人，其中高级工程师 31 名，享受国务院特殊津贴专
家2人，陕西省有突出贡献中青年专家1人，西安市突出贡献专家2人，在国内
变压器专用设备领域技术实力最强，公司核心技术人员多次荣获省部级以上科技
奖项。
多年来，公司一直把培养、吸引和凝聚人才作为公司的主要任务之一，制定
实施了一系列培养、引进、稳定人才的人力资源制度，凝聚了一支国内最高水平
的变压器专用设备研发队伍，保证了公司快速发展对人才的需求。
（二）国内领先、国际先进的技术优势
1、核心技术拥有自主知识产权
公司通过持续的技术创新，目前拥有电工硅钢带纵剪技术、电工硅钢片横剪
技术、变压器线圈立式绕制技术等9项变压器专用设备制造核心技术，打破了国
外公司的技术垄断。上述核心技术均为公司技术团队自行研制、开发，拥有自主
知识产权，处于国内领先地位且大多数为国内首创，并达到国际先进水平。
在国内，公司主导产品技术水平最高、精度最高、自动化程度最高、可靠性
强、承载吨位最重，公司生产的硅钢带纵剪生产线和硅钢片横剪生产线代表国内
最高水平，是国内唯一能生产剪切宽度 1,250 毫米的高速（120 米/分，150 米/
分）纵剪线，900 型气动横剪线、400 型电动横剪线、600 型电动横剪线以及纵
横混合剪生产线的企业；是国内唯一能实现波纹油箱波翅成型、剪断折弯、波翅
端头自动封焊的企业；同时也是国内唯一能生产45吨立式绕线机、35吨带压紧
卧式绕线机、80吨电抗器线圈全自动绕制（包封）成套设备等的企业。
公司大部分主导产品已达到或接近国际先进水平，凭借着良好的性价比优
势，目前产品已远销美国、葡萄牙、波兰、俄罗斯、印度、巴西、土耳其等 41
个国家和地区。
公司设计开发的大型电力电抗器线圈数控卷制机、BHX900 变压器铁芯数控
横剪线等产品获得国家火炬计划项目证书；900型变压器铁芯数控横剪生产线、
超大型电抗器线圈全自动绕制（包封）成套设备、饼式顺磁电抗器铁芯双L剪切
生产线、BX1-33绝缘件加工中心等产品获得国家重点新产品证书；BJ34-90型总
线控制的全功能剪切线、超大型电抗器线圈全自动绕制（包封）成套设备等产品
获得机械工业科学技术进步二等奖。
"
9,N_A,"卧式绕线机、80吨电抗器线圈全自动绕制（包封）成套设备等的企业。
公司大部分主导产品已达到或接近国际先进水平，凭借着良好的性价比优
势，目前产品已远销美国、葡萄牙、波兰、俄罗斯、印度、巴西、土耳其等 41
个国家和地区。
公司设计开发的大型电力电抗器线圈数控卷制机、BHX900 变压器铁芯数控
横剪线等产品获得国家火炬计划项目证书；900型变压器铁芯数控横剪生产线、
超大型电抗器线圈全自动绕制（包封）成套设备、饼式顺磁电抗器铁芯双L剪切
生产线、BX1-33绝缘件加工中心等产品获得国家重点新产品证书；BJ34-90型总
线控制的全功能剪切线、超大型电抗器线圈全自动绕制（包封）成套设备等产品
获得机械工业科学技术进步二等奖。
截至本招股意向书签署日，公司已获得了变压器铁芯横剪线冲孔装置、变压
器铁芯片电动伺服剪切装置、数控绝缘件加工中心真空吸盘装置等 27 项专利，
正在申请中的专利11项，其中发明专利3项、实用新型专利8项。
2、国家标准、行业标准的制定者，引领行
公司拥有多位在国内变压器专用设备领域具有重要影响的专家，并且一直主
持或参与制定变压器专用设备行业的相关标准，通过将产品关键性能指标在国家
标准和行业标准中体现，引领着行业技术的发展。近年来本公司主持或参与制定
的电工专用设备行业国家标准（GB）和行业标准（JB）如下：
（三）齐全的产品线
公司为国内最早自主开发制造变压器专用设备的企业之一，是国内唯一能为
客户提供系列成套设备的厂家，国内市场占有率最高，也是全球变压器专用设备
制造商中产品品种最齐全的厂家之一。
齐全的产品线使公司能为客户提供“一站式”服务，能够满足大中小型各类
变压器生产厂商的需求，提高了公司对客户的吸引力，增强了公司的议价能力和
抗风险能力，使公司的业务保持平稳较快发展。
（四）丰富的客户资源
目前国内主要的变压器生产厂家约300余家，经过多年的积累，本公司与其
中的大部分厂家都建立了长期稳定的合作关系，为公司保持变压器专用设备市场
的领先地位奠定了牢固的基础。丰富的客户资源和强大的销售网络为公司业绩的
持续增长、市场份额的不断扩大提供了保障。
（五）强大的品牌优势
公司是行业内最负盛名、市场占有率最高的企业，产品被国内外著名的变压
器生产厂商如 SIEMENS、ABB、TOSHIBA、AREVA、中国西电、天威保变、
特变电工等使用。公司3项产品分别被评为陕西省、西安市名牌产品，5项产品
"
