页码,表格,纯文本
0,N_A,"本次股票发行后拟在创业板市场上市，该市场具有较高的投资风险。创业
板公司具有业绩不稳定、经营风险高、退市风险大等特点，投资者面临较
大的市场风险。投资者应充分了解创 业板市场的投资风险及本公司所披露
的风险因素，审慎作出投资决定。
江苏天瑞仪器股份有限公司
（江苏省昆山市巴城镇苇城南路 1666 号天瑞大厦）
首次公开发行股票并在创业板上市
招股意向书
首次公开发行股票并在创业板上市招股意向书

承诺Ⅰ：本公司控股股东及实际控制人刘召贵先生、
刘召贵先生的配偶杜颖莉女士、刘召贵先生的胞妹刘美
珍女士承诺：在天瑞仪器股票上市之日起三十六个月内，
不转让或委托他人管理其所持天瑞仪器的股份，也不由
天瑞仪器回购该部分股份。上述锁定期限届满后，刘召
贵先生及其配偶杜颖莉女士转让上述股份将依法进行并
履行相关信息披露义务。
承诺Ⅱ：本公司发起人股东应刚先生、胡晓斌先生以
及应刚先生的母亲朱英女士分别承诺：在天瑞仪器股票
上市之日起二十四个月内，不转让或委托他人管理其所
持天瑞仪器的股份，也不由天瑞仪器回购该部分股份。
上述锁定期限届满后，应刚先生、胡晓斌先生转让上述
股份将依法进行并履行相关信息披露义务。
承诺Ⅲ：本公司股东苏州高远、江苏高投、苏州国发、
同创伟业分别承诺：在天瑞仪器股票上市之日起十二个
月内，不转让或委托他人管理其所持天瑞仪器的股份，
也不由天瑞仪器回购上述股份。上述锁定期限届满后，
其转让上述股份将依法进行并履行相关信息披露义务。
承诺Ⅳ：本公司股东余正东先生、王耀斌先生、肖廷
良先生、李胜辉先生、严卫南先生、黎桥先生、景琨玉
女士、汪振道先生、周立业先生分别承诺：自天瑞仪器
股票上市之日起十二个月内，不转让或委托他人管理其
所持天瑞仪器的股份。
承诺Ⅴ：担任公司董事、高级管理人员的股东刘召贵
先生、应刚先生、胡晓斌先生、杜颖莉女士、余正东先
生、王耀斌先生、肖廷良先生分别承诺：前述承诺Ⅰ、
Ⅱ、Ⅳ期满后，其在本公司任职期间每年转让的股份数
不超过其所持有公司股份数的百分之二十五，且在离职
后半年内，不转让其所持有的公司股份。
此外，刘召贵先生的胞妹刘美珍女士、应刚先生的
母亲朱英女士分别承诺：前述承诺Ⅰ、Ⅱ期满后，在其
及其关联方在本公司任职期间每年转让的股份数不超过
其所持有公司股份数的百分之二十五，离职后半年内，
不转让其所持有的公司股份。
发行人及全体董事、监事、高级管理人员承诺招股说明书不存在虚假记载、
"
1,N_A,"女士、汪振道先生、周立业先生分别承诺：自天瑞仪器
股票上市之日起十二个月内，不转让或委托他人管理其
所持天瑞仪器的股份。
承诺Ⅴ：担任公司董事、高级管理人员的股东刘召贵
先生、应刚先生、胡晓斌先生、杜颖莉女士、余正东先
生、王耀斌先生、肖廷良先生分别承诺：前述承诺Ⅰ、
Ⅱ、Ⅳ期满后，其在本公司任职期间每年转让的股份数
不超过其所持有公司股份数的百分之二十五，且在离职
后半年内，不转让其所持有的公司股份。
此外，刘召贵先生的胞妹刘美珍女士、应刚先生的
母亲朱英女士分别承诺：前述承诺Ⅰ、Ⅱ期满后，在其
及其关联方在本公司任职期间每年转让的股份数不超过
其所持有公司股份数的百分之二十五，离职后半年内，
不转让其所持有的公司股份。
发行人及全体董事、监事、高级管理人员承诺招股说明书不存在虚假记载、
误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律
责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股说明书中财
务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所作的任何决定或意见，均不表明其
对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
一、发行前股东自愿锁定股份的承诺
承诺Ⅰ：本公司控股股东及实际控制人刘召贵先生、刘召贵先生的配偶杜颖
莉女士、刘召贵先生的胞妹刘美珍女士承诺：在天瑞仪器股票上市之日起三十六
个月内，不转让或委托他人管理其所持天瑞仪器的股份，也不由天瑞仪器回购该
部分股份。上述锁定期限届满后，刘召贵先生及其配偶杜颖莉女士转让上述股份
将依法进行并履行相关信息披露义务。
承诺Ⅱ：本公司发起人股东应刚先生、胡晓斌先生以及应刚先生的母亲朱英
女士分别承诺：在天瑞仪器股票上市之日起二十四个月内，不转让或委托他人管
理其所持天瑞仪器的股份，也不由天瑞仪器回购该部分股份。上述锁定期限届满
后，应刚先生、胡晓斌先生转让上述股份将依法进行并履行相关信息披露义务。
承诺Ⅲ：本公司股东苏州高远、江苏高投、苏州国发、同创伟业分别承诺：
在天瑞仪器股票上市之日起十二个月内，不转让或委托他人管理其所持天瑞仪器
的股份，也不由天瑞仪器回购上述股份。上述锁定期限届满后，其转让上述股份
"
2,N_A,"个月内，不转让或委托他人管理其所持天瑞仪器的股份，也不由天瑞仪器回购该
部分股份。上述锁定期限届满后，刘召贵先生及其配偶杜颖莉女士转让上述股份
将依法进行并履行相关信息披露义务。
承诺Ⅱ：本公司发起人股东应刚先生、胡晓斌先生以及应刚先生的母亲朱英
女士分别承诺：在天瑞仪器股票上市之日起二十四个月内，不转让或委托他人管
理其所持天瑞仪器的股份，也不由天瑞仪器回购该部分股份。上述锁定期限届满
后，应刚先生、胡晓斌先生转让上述股份将依法进行并履行相关信息披露义务。
承诺Ⅲ：本公司股东苏州高远、江苏高投、苏州国发、同创伟业分别承诺：
在天瑞仪器股票上市之日起十二个月内，不转让或委托他人管理其所持天瑞仪器
的股份，也不由天瑞仪器回购上述股份。上述锁定期限届满后，其转让上述股份
将依法进行并履行相关信息披露义务。
承诺Ⅳ：本公司股东余正东先生、王耀斌先生、肖廷良先生、李胜辉先生、
严卫南先生、黎桥先生、景琨玉女士、汪振道先生、周立业先生分别承诺：自天
瑞仪器股票上市之日起十二个月内，不转让或委托他人管理其所持天瑞仪器的股
份。
承诺Ⅴ：担任公司董事、高级管理人员的股东刘召贵先生、应刚先生、胡晓
斌先生、杜颖莉女士、余正东先生、王耀斌先生、肖廷良先生分别承诺：前述承
诺Ⅰ、Ⅱ、Ⅳ期满后，其在本公司任职期间每年转让的股份数不超过其所持有公
司股份数的百分之二十五，且在离职后半年内，不转让其所持有的公司股份。
此外，刘召贵先生的胞妹刘美珍女士、应刚先生的母亲朱英女士分别承诺：
前述承诺Ⅰ、Ⅱ期满后，在其及其关联方在本公司任职期间每年转让的股份数不
超过其所持有公司股份数的百分之二十五，离职后半年内，不转让其所持有的公
司股份。
公司 2010 年第一次临时股东大会审议并通过，公司本次发行前滚存未分配
利润将由本次发行完成后的新老股东共享。截止2010 年 6月 30 日，发行人未分
配利润为 55,583,204.45 元。
三、根据财政部、国家税务总局、海关总署《关于鼓励软件产业和集成电路产
业发展有关税收政策问题的通知》（财税[2000]25 号）第一条第一款的规定，发
行人销售其自行开发生产的软件产品，所享受的增值税即征即退政策将于2010
年底前结束。
四、本公司产品销售无明显的季节性特征，但每年春节所在月份以及七、八月
份，相对于每年的其他月份，是发行人产品销售的淡季。
五、本公司特别提醒投资者关注下列风险
"
3,N_A,"超过其所持有公司股份数的百分之二十五，离职后半年内，不转让其所持有的公
司股份。
公司 2010 年第一次临时股东大会审议并通过，公司本次发行前滚存未分配
利润将由本次发行完成后的新老股东共享。截止2010 年 6月 30 日，发行人未分
配利润为 55,583,204.45 元。
三、根据财政部、国家税务总局、海关总署《关于鼓励软件产业和集成电路产
业发展有关税收政策问题的通知》（财税[2000]25 号）第一条第一款的规定，发
行人销售其自行开发生产的软件产品，所享受的增值税即征即退政策将于2010
年底前结束。
四、本公司产品销售无明显的季节性特征，但每年春节所在月份以及七、八月
份，相对于每年的其他月份，是发行人产品销售的淡季。
五、本公司特别提醒投资者关注下列风险
本公司特别提醒投资者关注下列风险，投资者应认真阅读招股说明书第四章
五、本公司特别提醒投资者关注下列风险
本公司特别提醒投资者关注下列风险，投资者应认真阅读招股说明书第四章
“风险因素”的全部内容。
1、行业波动的风险
报告期内，公司产品在环境保护领域实现的销售较大，2007 年、2008 年、
2009 年、2010 年 1-6 月占公司总收入比重分别为 88.95%、68.99%、60.96%、
54.32%。公司产品在该领域的应用主要是对电子电器、玩具等出口商品进行有害
元素检测。
全球经济形势的好坏以及我国对外贸易形势的好坏直接影响公司以产品出
口为主的下游客户（如：电子电器、玩具等生产企业）的经营业绩，进而传导至
对公司产品的购买需求。2008 年下半年，经济危机席卷全球，欧美地区经济的
不景气导致我国对其出口商品贸易量的减少，进而使公司 2008 年度在环境保护
领域的销售收入同比下降了4.85%，2009 年随着世界经济的“触底”及发达国家
市场消费品库存消耗完毕，同时，我国各项外贸促进政策等有利因素逐步发挥效
应，公司下游客户的产品出口进入恢复性增长轨道，公司 2009 年在环境保护领
域实现的销售收入比2008 年度增长了38.50%。
未来若受国际（或地区）经济、金融危机不定期爆发或者我国宏观经济形势
不景气或者我国与他国（或地区）发生贸易摩擦或者我国对外出口贸易增速放缓
等因素的影响，公司下游产业发展面临一定风险，进而将影响到公司下游客户对
公司产品在环境保护领域的市场需求。
"
4,N_A,"不景气导致我国对其出口商品贸易量的减少，进而使公司 2008 年度在环境保护
领域的销售收入同比下降了4.85%，2009 年随着世界经济的“触底”及发达国家
市场消费品库存消耗完毕，同时，我国各项外贸促进政策等有利因素逐步发挥效
应，公司下游客户的产品出口进入恢复性增长轨道，公司 2009 年在环境保护领
域实现的销售收入比2008 年度增长了38.50%。
未来若受国际（或地区）经济、金融危机不定期爆发或者我国宏观经济形势
不景气或者我国与他国（或地区）发生贸易摩擦或者我国对外出口贸易增速放缓
等因素的影响，公司下游产业发展面临一定风险，进而将影响到公司下游客户对
公司产品在环境保护领域的市场需求。
2、市场竞争加剧导致的产品售价下滑的风险
公司主要产品X射线荧光光谱仪在元素检测领域优势显著，应用行业领域
广泛，目前国内市场正处于快速发展，毛利率水平较高，但随着市场竞争的加剧，
造成公司产品的销售价格及毛利率呈下降的趋势，2010 年 1-6月、2009 年、2008
年、2007 年公司产品的平均销售价格分别为14.29 万元、15.62 万元、16.41 万元、
18.05 万元，毛利率分别为 73.31%、76.85%、69.46%、73.00%，下降的主要原因
是，一方面，在华国际巨头、国内厂商为了取得有利竞争地位，纷纷抓住机遇占
领市场、扩大销量，使得营销推广、收款条件等多方面的竞争加剧；另一方面，
由于产品毛利率水平较高，吸引了国内外一些具有资金与一定技术实力的新进入
者参与竞争，新进入者往往在初期采取各种竞争手段以争取跨过市场门槛，虽然
成功率较低，但仍然加剧了市场竞争的激烈程度。
X射线荧光光谱仪行业技术门槛高，公司经过多年的发展，在XRF 方面积
累了雄厚的技术实力，取得了大量的技术成果，具备了一定的技术优势。本次上
市成功后，公司的资金、管理及市场影响力将进一步提升，公司在行业中的市场
地位将会得到进一步的巩固和加强。
3、产品的客户对象较集中于环境保护领域的风险
报告期内，2007 年度、2008 年度、2009 年度、2010 年1-6月发行人在环境
保护领域实现的销售在营业收入中的占比分别为88.95%、68.99%、60.96%、
54.32%，公司主要产品X射线荧光光谱仪应用于环境保护领域，主要是对电子
电器、玩具等出口商品进行有害元素检测，该部分产品的应用涉及RoHS、WEEE、
"
5,N_A,"成功率较低，但仍然加剧了市场竞争的激烈程度。
X射线荧光光谱仪行业技术门槛高，公司经过多年的发展，在XRF 方面积
累了雄厚的技术实力，取得了大量的技术成果，具备了一定的技术优势。本次上
市成功后，公司的资金、管理及市场影响力将进一步提升，公司在行业中的市场
地位将会得到进一步的巩固和加强。
3、产品的客户对象较集中于环境保护领域的风险
报告期内，2007 年度、2008 年度、2009 年度、2010 年1-6月发行人在环境
保护领域实现的销售在营业收入中的占比分别为88.95%、68.99%、60.96%、
54.32%，公司主要产品X射线荧光光谱仪应用于环境保护领域，主要是对电子
电器、玩具等出口商品进行有害元素检测，该部分产品的应用涉及RoHS、WEEE、
EN71、CPSIA以及我国的“RoHS”条例《电子信息产品污染控制管理办法》等
强制性环保指令，各国政府对指令的执行力以及将来的实施情况将会影响XRF
域实现的销售收入比2008 年度增长了38.50%。
未来若受国际（或地区）经济、金融危机不定期爆发或者我国宏观经济形势
不景气或者我国与他国（或地区）发生贸易摩擦或者我国对外出口贸易增速放缓
等因素的影响，公司下游产业发展面临一定风险，进而将影响到公司下游客户对
公司产品在环境保护领域的市场需求。
产品的市场销售和对XRF 产品需求的迫切程度。
报告期内公司产品的客户对象集中于环境保护领域，若各个国家或地区对环
保型指令的改变或执行不力，将会影响到公司产品在环境保护领域的市场需求。
但从整个环境保护领域的发展趋势看，世界各国政府对环保政策的要求日趋严
格，公司产品在该领域的市场空间将进一步扩大，公司也在积极拓展产品在冶金
钢铁、地质矿产、建筑建材、镀层测厚等工业检测与分析领域的应用，2008 年
度、2009 年度、2010 年上半年公司产品在这些行业销售均出现了大幅增长，使
得公司来自环境保护领域的销售占比从2007 年度的88.95%下降到2010 年1-6
月的 54.32%。
（二）技术与产品不能保持持续创新的风险
1、技术与产品不能保持持续创新的风险
XRF 产品技术发展快，产品更新周期短。作为国内领先的X射线荧光光谱
仪制造企业，公司必须尽可能准确地预测相关技术发展趋势，及时将更成熟实用、
更先进的技术应用于产品的设计和开发工作，未来才能在激烈的市场竞争中占得
"
6,N_A,"格，公司产品在该领域的市场空间将进一步扩大，公司也在积极拓展产品在冶金
钢铁、地质矿产、建筑建材、镀层测厚等工业检测与分析领域的应用，2008 年
度、2009 年度、2010 年上半年公司产品在这些行业销售均出现了大幅增长，使
得公司来自环境保护领域的销售占比从2007 年度的88.95%下降到2010 年1-6
月的 54.32%。
（二）技术与产品不能保持持续创新的风险
1、技术与产品不能保持持续创新的风险
XRF 产品技术发展快，产品更新周期短。作为国内领先的X射线荧光光谱
仪制造企业，公司必须尽可能准确地预测相关技术发展趋势，及时将更成熟实用、
更先进的技术应用于产品的设计和开发工作，未来才能在激烈的市场竞争中占得
先机。如果公司不能准确地把握行业技术的发展趋势，在技术与产品开发上不能
持续保持创新性，不能及时将新技术运用于产品升级开发，将可能使公司丧失技
术和市场的领先地位。公司面临技术与产品开发不能保持持续创新的风险。
2、核心技术人员不足或流失的风险
本公司为技术密集型的高新技术企业，在技术研发、新产品开发、市场拓展、
国际合作及公司管理等方面不可避免地要依赖各类专业人才，特别是核心技术人
员。公司核心技术人员较早参与了国内 X 射线荧光光谱仪的开发，通过多年的
行业应用和技术探索，积累了丰富的技术经验，并使公司形成了较强的技术优势。
本公司核心技术团队自 2006 年组建以来，一直保持较高的稳定性；但随着公司
经营规模的快速扩张，对技术人才的需求逐渐增加，随着市场竞争的不断加剧，
行业内对优秀人才的争夺也日趋激烈，如果今后发生核心技术人员离职，而公司
不能安排适当人选接替，将会对公司造成一定的不利影响，公司将面临核心技术
人才不足或流失的风险。
为解决人才缺乏问题，发行人已推出了针对后备梯队人才的培养和针对重点
关注人才的培养和成长的计划，针对长期专才培养的目标，解决公司未来可能面
临的人才缺乏问题。
（三）税收优惠政策发生不利变化的风险
报告期内公司及全资子公司深圳天瑞、邦鑫伟业享受的税收优惠如下：
1、企业所得税减免
2008年12月，本公司取得江苏省科学技术厅、江苏省财政厅、江苏省国家税
务局、江苏省地方税务局核发的编号为GR200832001314的《高新技术企业证书》
（有效期三年）。根据《中华人民共和国企业所得税法》第四章第二十八条的规
"
7,N_A,"不能安排适当人选接替，将会对公司造成一定的不利影响，公司将面临核心技术
人才不足或流失的风险。
为解决人才缺乏问题，发行人已推出了针对后备梯队人才的培养和针对重点
关注人才的培养和成长的计划，针对长期专才培养的目标，解决公司未来可能面
临的人才缺乏问题。
（三）税收优惠政策发生不利变化的风险
报告期内公司及全资子公司深圳天瑞、邦鑫伟业享受的税收优惠如下：
1、企业所得税减免
2008年12月，本公司取得江苏省科学技术厅、江苏省财政厅、江苏省国家税
务局、江苏省地方税务局核发的编号为GR200832001314的《高新技术企业证书》
（有效期三年）。根据《中华人民共和国企业所得税法》第四章第二十八条的规
定，本公司2008年度、2009年度所得税按照15%所得税率计征。
本公司已于2008年6月取得江苏省信息产业厅核发的编号为苏R-2008-5017
的《软件企业认定证书》。根据财政部、国家税务总局《关于企业所得税若干优
惠政策的通知》（财税[2008]1号），经主管税务机关审核，本公司自获利年度起，
第一年和第二年免征企业所得税，第三年至第五年减半征收企业所得税。
因此，本公司2008年度、2009年度企业所得税享受全免优惠，2010—2012
年度按25%的法定税率减半征收企业所得税。公司2008年度、2009年度、2010年
1-6月减免缴纳企业所得税分别为617.22万元、1,625.57万元、467.92万元（按25%
的法定税率计算），分别占公司2008年度、2009年度、2010年1-6月合并报表净利
润的13.08%、22.99%、11.82%。
深圳天瑞系注册于深圳市宝安区的工业企业。根据《深圳市人民政府关于深
圳特区企业税收政策若干问题的规定》（深府[1988]232号）及深圳市宝安区国家
税务局福永税务分局《减、免税批准通知书》（深国税宝福减免[2006]0053号），
深圳天瑞2006、2007年度企业所得税按15%征收，且从2006年度（获利年度）起，
享受企业所得税“两免三减半”优惠。因此，深圳天瑞2007年度企业所得税全免。
2008年12月，深圳天瑞取得深圳市科技和信息局、深圳市财政局、深圳市国
家税务局、深圳市地方税务局核发的编号为GR200844200267的《高新技术企业
证书》（有效期三年）。根据《中华人民共和国企业所得税法》第四章第二十八条
"
8,N_A,"深圳天瑞系注册于深圳市宝安区的工业企业。根据《深圳市人民政府关于深
圳特区企业税收政策若干问题的规定》（深府[1988]232号）及深圳市宝安区国家
税务局福永税务分局《减、免税批准通知书》（深国税宝福减免[2006]0053号），
深圳天瑞2006、2007年度企业所得税按15%征收，且从2006年度（获利年度）起，
享受企业所得税“两免三减半”优惠。因此，深圳天瑞2007年度企业所得税全免。
2008年12月，深圳天瑞取得深圳市科技和信息局、深圳市财政局、深圳市国
家税务局、深圳市地方税务局核发的编号为GR200844200267的《高新技术企业
证书》（有效期三年）。根据《中华人民共和国企业所得税法》第四章第二十八条
的规定，深圳天瑞2008年度、2009年度所得税按照15%所得税率计征。根据《国
务院关于实施企业所得税过渡优惠政策的通知》（国发[2007]39号），自2008年1
月1日起，深圳天瑞继续享受原企业所得税“两免三减半”优惠期满（2010年度）
为止。根据国家税务总局“关于进一步明确企业所得税过渡期优惠政策执行口径
问题的通知”（国税函[2010]157号）有关精神，深圳天瑞2008年度、2009年度、
2010年度过渡期适用的优惠税率分别按照18%、20%、22%减半征收，即2008年
度、2009年度、2010年度实际执行税率分别为9%、10%和11%。深圳天瑞2007
年度、2008年度、2009年度、2010年1-6月减免缴纳企业所得税分别为912.92万元
（按15%的税率计算）、515.99万元、13.74万元、11.19万元（按25%的法定税率
计算），分别占公司2007年度、2008年度、2009年度、2010年1-6月合并报表净利
润的16.05%、10.94%、0.19%、0.28%。
2008年12月，邦鑫伟业取得北京市科学技术委员会、北京市财政厅、北京市
国家税务局、北京市地方税务局核发的编号为GR200811000022的《高新技术企
业证书》（有效期三年）。根据《中华人民共和国企业所得税法》第四章第二十八
条的规定，邦鑫伟业2008-2010年度所得税按照15%所得税率计征。2009年度、
2010年1-6月邦鑫伟业享受企业所得税减缴额为12.52万元、64.25万元（按25%的
税率计算），分别占公司2009年度、2010年1-6月合并报表净利润的0.18%、1.62%。
"
9,N_A,"（按15%的税率计算）、515.99万元、13.74万元、11.19万元（按25%的法定税率
计算），分别占公司2007年度、2008年度、2009年度、2010年1-6月合并报表净利
润的16.05%、10.94%、0.19%、0.28%。
2008年12月，邦鑫伟业取得北京市科学技术委员会、北京市财政厅、北京市
国家税务局、北京市地方税务局核发的编号为GR200811000022的《高新技术企
业证书》（有效期三年）。根据《中华人民共和国企业所得税法》第四章第二十八
条的规定，邦鑫伟业2008-2010年度所得税按照15%所得税率计征。2009年度、
2010年1-6月邦鑫伟业享受企业所得税减缴额为12.52万元、64.25万元（按25%的
税率计算），分别占公司2009年度、2010年1-6月合并报表净利润的0.18%、1.62%。
2、增值税退税
本公司2008年6月取得江苏省信息产业厅核发的编号为苏R-2008-5017的《软
件企业认定证书》。根据财政部、国家税务总局《关于嵌入式软件增值税政策的
通知》（财税[2008]92号），财政部、国家税务总局、海关总署《关于鼓励软件产
业和集成电路产业发展有关税收政策问题的通知》（财税[2000]25号），经主管税
务机关审核，自2008年8月起，本公司开发生产销售的嵌入式软件的增值税享受
即征即退优惠，即：对本公司销售自行开发生产的软件产品，按17%的法定税率
征收增值税后，对增值税实际税负超过3%的部分实行即征即退。
深圳天瑞2007年3月取得深圳市科技和信息局核发的编号为深R-2007-0037
的《软件企业认定证书》。根据“财税[2000]25号”文件，经主管税务机关审核，
自2007年5月起，深圳天瑞生产销售软件的增值税享受即征即退优惠。
2007年、2008年、2009年、2010年1-6月，公司及深圳天瑞收到的增值税退
税分别为112.23万元、612.13万元、922.51万元、774.40万元，占当期公司合并报
表净利润的比例分别为1.97%、12.97%、13.05%、19.57%。
税收优惠对公司净利润的综合影响情况如下：

如果国家关于企业所得税税收优惠政策发生变化，或公司和深圳天瑞、邦鑫
伟业未来不能被持续认定为高新技术企业，或者公司和深圳天瑞未来不能被持续
认定为软件企业，或国家关于软件企业的增值税退税政策发生变化，将对公司未
"
