页码,表格,纯文本
0,N_A,"



中国证监会、交易所对本次发行所作的任何决定或意见，均不表明其对注
册申请文件及所披露信息的真实性、准确性、完整性作出保证，也不表明其对
发行人的盈利能力、投资价值或者对投资者的收益作出实质性判断或保证。任
何与之相反的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由
发行人自行负责；投资者自主判断发行人的投资价值，自主作出投资决策，自
行承担股票依法发行后因发行人经营与收益变化或者股票价格变动引致的投
资风险。
发行人及全体董事、监事、高级管理人员承诺招股意向书及其他信息披露资
料不存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承
担个别和连带的法律责任。
发行人控股股东承诺本招股意向书不存在虚假记载、误导性陈述或重大遗漏
并对其真实性、准确性、完整性承担个别和连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书中财
务会计资料真实、准确、完整。
发行人及全体董事、监事、高级管理人员、发行人的控股股东以及保荐人、
承销的证券公司承诺因发行人招股意向书及其他信息披露资料有虚假记载、误导
性陈述或者重大遗漏，致使投资者在证券发行和交易中遭受损失的，将依法赔偿
投资者损失。
保荐人及证券服务机构承诺因其为发行人本次公开发行制作、出具的文件有
虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，将依法赔偿投资者
损失。
本公司特别提请投资者注意，在作出投资决策之前，务必仔细阅读本招股
意向书正文内容，并特别关注以下重要事项。
一、本公司特别提醒投资者注意“风险因素”中的下列风险
（一）业务集中于境外家用储能市场的风险
目前，全球家用储能需求主要来自欧洲、日本、北美、澳洲和南非等境外市
场。报告期内，公司家用储能电池系统境外销售收入分别为 7,007.64 万元、
28,718.66万元、55,496.75万元和35,160.55万元，分别占储能电池系统总收入的
53.25%、73.14%、74.54%和74.26%。公司业务集中于境外家用储能市场。
2019年，全球自主品牌家用储能产品出货量前三名分别为特斯拉、LG化学
和派能科技，所占市场份额分别为 15%、11%和 8.5%。公司在全球家用储能市
场中面临与特斯拉、LG 化学等巨头企业的直接竞争。随着市场竞争不断加剧，
公司未来可能难以维持其在全球家用储能领域的竞争优势和市场地位，进而对经
"
1,N_A,"（一）业务集中于境外家用储能市场的风险
目前，全球家用储能需求主要来自欧洲、日本、北美、澳洲和南非等境外市
场。报告期内，公司家用储能电池系统境外销售收入分别为 7,007.64 万元、
28,718.66万元、55,496.75万元和35,160.55万元，分别占储能电池系统总收入的
53.25%、73.14%、74.54%和74.26%。公司业务集中于境外家用储能市场。
2019年，全球自主品牌家用储能产品出货量前三名分别为特斯拉、LG化学
和派能科技，所占市场份额分别为 15%、11%和 8.5%。公司在全球家用储能市
场中面临与特斯拉、LG 化学等巨头企业的直接竞争。随着市场竞争不断加剧，
公司未来可能难以维持其在全球家用储能领域的竞争优势和市场地位，进而对经
营业绩产生不利影响。此外，近年来全球家用储能市场高速发展，如果未来市场
增速放缓，公司经营业绩可能面临增速下降甚至下滑的风险。
（二）产业政策变化风险
近年来，全球各国对发展储能颇为重视，相继出台了推动储能行业发展的支
持政策，包括支持储能技术的发展、开展储能项目示范、储能安装补贴、制定相
关规范和标准以及建立和完善涉及储能的法律法规等，有力地促进了全球电化学
储能产业的商业化、规模化发展。例如，德国联邦及各州自 2016 年开始陆续发
布多项储能安装补贴计划；英国于 2017 年制定《英国智能灵活能源系统发展战
略》，计划通过多项行动方案促进储能发展；美国于2017年将储能纳入投资税收
抵免政策的覆盖范围，美国各州近年来也针对储能出台了安装补贴政策和储能采
购目标政策等。
报告期内，公司产品主要外销区域为德国、南非、意大利、英国、西班牙、
美国和澳大利亚等。其中，除南非、英国和西班牙以外，德国、意大利、美国和
澳大利亚等地均发布了储能安装补贴政策，政策覆盖区域内的客户或终端用户购
买公司产品可获得政策补贴，但相关政策通常在一定期限或额度内有效。
如果未来全球储能相关产业政策发生重大不利变化，如储能安装补贴政策到
期或提前终止等，可能会对行业的稳定、快速发展产生不利影响，进而影响公司
的经营业绩。
报告期内，公司产品远销欧洲、南非、东南亚、北美和澳洲等境外市场，境
外销售收入占主营业务收入的比重分别为 54.42%、71.42%、71.22%和 88.02%。
公司产品主要出口境外地区，亦有少量电子元件从境外进口。当前，在全球贸易
"
2,N_A,"报告期内，公司产品主要外销区域为德国、南非、意大利、英国、西班牙、
美国和澳大利亚等。其中，除南非、英国和西班牙以外，德国、意大利、美国和
澳大利亚等地均发布了储能安装补贴政策，政策覆盖区域内的客户或终端用户购
买公司产品可获得政策补贴，但相关政策通常在一定期限或额度内有效。
如果未来全球储能相关产业政策发生重大不利变化，如储能安装补贴政策到
期或提前终止等，可能会对行业的稳定、快速发展产生不利影响，进而影响公司
的经营业绩。
报告期内，公司产品远销欧洲、南非、东南亚、北美和澳洲等境外市场，境
外销售收入占主营业务收入的比重分别为 54.42%、71.42%、71.22%和 88.02%。
公司产品主要出口境外地区，亦有少量电子元件从境外进口。当前，在全球贸易
保护主义抬头的大背景下，未来国际贸易政策和环境存在一定的不确定性。如果
全球贸易摩擦进一步加剧，境外客户可能会减少订单、要求公司产品降价或者承
担相应关税等措施，境外供应商可能会被限制或被禁止向公司供货。若出现上述
情况，则公司的经营可能会受到不利影响。
（四）通信备电业务市场占有率较低且集中于关联方中兴通讯的风险
报告期内，公司通信备电产品销售收入分别为 985.42 万元、5,412.64 万元、
10,864.40万元和2,292.59万元，分别占储能电池系统总收入的 7.49%、13.78%、
14.59%和4.84%。
近年来随着锂电池在通信储能领域的渗透率快速上升，光宇电源、海四达、
南都电源等传统通信铅酸电池厂商纷纷涉足锂电池业务。目前我国通信储能锂电
池企业有数十家，其中 60%以上同时经营锂电池和铅酸电池。2019 年我国通信
储能锂电池企业营收规模前三名企业分别为光宇电源、国轩高科和海四达，所占
市场份额分别为 20.2%、14.7%和 11.9%。2019 年公司销售通信备电产品共计
100MWh，约占同期我国通信储能锂电池出货总量的1.7%。
公司在我国通信储能锂电池市场的占有率较低，面临较为激烈的市场竞争，
且各年向关联方中兴通讯的销售占比均超过95%，客户结构较为单一。若未来中
兴通讯减少或终止向公司采购，且公司未能拓展其他客户，将对公司通信备电业
务的可持续性产生不利影响。
（五）在境内电力系统储能市场出货量较少、占有率较低，未来市场
拓展存在不确定性的风险
（五）在境内电力系统储能市场出货量较少、占有率较低，未来市场
"
3,N_A,"池企业有数十家，其中 60%以上同时经营锂电池和铅酸电池。2019 年我国通信
储能锂电池企业营收规模前三名企业分别为光宇电源、国轩高科和海四达，所占
市场份额分别为 20.2%、14.7%和 11.9%。2019 年公司销售通信备电产品共计
100MWh，约占同期我国通信储能锂电池出货总量的1.7%。
公司在我国通信储能锂电池市场的占有率较低，面临较为激烈的市场竞争，
且各年向关联方中兴通讯的销售占比均超过95%，客户结构较为单一。若未来中
兴通讯减少或终止向公司采购，且公司未能拓展其他客户，将对公司通信备电业
务的可持续性产生不利影响。
（五）在境内电力系统储能市场出货量较少、占有率较低，未来市场
拓展存在不确定性的风险
（五）在境内电力系统储能市场出货量较少、占有率较低，未来市场
分别为 4,931.47 万元、4,707.36 万元、7,039.82 万元和 2,352.48 万元，分别占储
能电池系统总收入的37.47%、11.99%、9.46%和4.97%。
2018 年我国电化学储能项目在电力系统的新增装机规模为 682.9MW，主要
应用于工商业和电网级储能领域。受我国居民电价较低、家用光伏渗透率较低等
因素影响，家用储能市场需求较小。我国电力系统电化学储能市场参与者较多，
市场竞争较为激烈，2018 年在国内市场装机规模排名前三位的储能技术提供商
依次为南都电源、宁德时代和中天科技。
报告期内，除通信备电产品外，公司的储能电池系统在境内市场的销售量分
别为23.32MWh、25.93MWh、44.93MWh和14.29MWh，出货量较少、占有率较
低，未来市场拓展存在不确定性的风险。如果未来公司无法提升在国内工商业和
电网级储能领域的出货量和市场份额，将对公司的经营业绩产生不利影响。
（六）行业技术路线变化的风险
近年来，锂电池在全球电化学储能市场中的占比保持在90%以上，占据主导
地位。当前应用于储能的锂电池存在多种技术路线，按照正极材料的类型可以分
为磷酸铁锂电池和三元锂电池等。2019 年我国电力系统储能锂电池出货量中磷
酸铁锂电池占比达95.5%。2019年全球家用储能产品出货量中磷酸铁锂电池占比
41%，较 2018 年提高约 7 个百分点；镍钴锰三元锂电池占比 55%（主要来自特
斯拉和 LG化学等），其他锂电池占比4%。按照电池的封装方式和形状可以分为
"
4,N_A,"低，未来市场拓展存在不确定性的风险。如果未来公司无法提升在国内工商业和
电网级储能领域的出货量和市场份额，将对公司的经营业绩产生不利影响。
（六）行业技术路线变化的风险
近年来，锂电池在全球电化学储能市场中的占比保持在90%以上，占据主导
地位。当前应用于储能的锂电池存在多种技术路线，按照正极材料的类型可以分
为磷酸铁锂电池和三元锂电池等。2019 年我国电力系统储能锂电池出货量中磷
酸铁锂电池占比达95.5%。2019年全球家用储能产品出货量中磷酸铁锂电池占比
41%，较 2018 年提高约 7 个百分点；镍钴锰三元锂电池占比 55%（主要来自特
斯拉和 LG化学等），其他锂电池占比4%。按照电池的封装方式和形状可以分为
软包、方形和圆柱电池等，2019 年全球自主品牌家用储能产品出货量前三名企
业中，特斯拉采用圆柱锂电池，LG 化学和派能科技均采用软包锂电池。未来，
储能锂电池技术将继续围绕高安全、长寿命和低成本的目标持续发展。
公司的储能电池系统基于软包磷酸铁锂电池，如果未来储能锂电池的技术路
线发生重大变化，导致软包磷酸铁锂电池在安全性、寿命和成本方面不具备竞争
优势，可能对软包磷酸铁锂电池的下游需求带来不利影响；同时，如果公司未能
及时、有效开发推出与主流技术路线相适应的新产品，将对公司的竞争优势与盈
利能力产生不利影响。
（七）与部分主要客户签订排他性条款的风险
公司与部分主要客户签订了排他性条款。
境外主要客户中，公司与 Sonnen 正在执行的合同有排他性条款，约定若
Sonnen在约定的期间向公司的采购达到约定的量，公司不能向与Sonnen有竞争
关系的四家公司销售产品，不能向其他客户销售本合同约定的定制化产品。
境内主要客户中，公司与中兴通讯、中兴康讯正在执行的协议有排他性条款，
具体为：2019 年签订的《OEM 合作协议》，约定公司不与中兴通讯的“主要竞
争对手开展相同产品合作”，同时公司“不得使用自有品牌产品参与中兴通讯采
用双方合作产品或方案参与的市场项目”，“在协议有效期及协议终止后一年内，
不向任何第三方提供与本合同相同或类似的产品、技术和服务也不得与任何第三
方签订与本合同相同或类似的任何形式的技术协议”；2020 年签订的《供应商
OEM 合作协议》中约定，公司与中兴通讯正在进行 OEM 合作的产品，公司在
国际/国内市场不向中兴通讯的竞争对手供货同款产品，不在国际/国内市场跟中
"
5,N_A,"关系的四家公司销售产品，不能向其他客户销售本合同约定的定制化产品。
境内主要客户中，公司与中兴通讯、中兴康讯正在执行的协议有排他性条款，
具体为：2019 年签订的《OEM 合作协议》，约定公司不与中兴通讯的“主要竞
争对手开展相同产品合作”，同时公司“不得使用自有品牌产品参与中兴通讯采
用双方合作产品或方案参与的市场项目”，“在协议有效期及协议终止后一年内，
不向任何第三方提供与本合同相同或类似的产品、技术和服务也不得与任何第三
方签订与本合同相同或类似的任何形式的技术协议”；2020 年签订的《供应商
OEM 合作协议》中约定，公司与中兴通讯正在进行 OEM 合作的产品，公司在
国际/国内市场不向中兴通讯的竞争对手供货同款产品，不在国际/国内市场跟中
兴通讯进行同质化竞争。
上述排他性条款对公司的市场开拓有一定限制，未来可能对公司的市场开拓
等产生影响，进而影响公司经营业绩。
二、本次发行相关的重要承诺和说明
公司及主要股东、董事、监事、高级管理人员、核心技术人员，以及本次发
行的保荐人及证券服务机构就本次发行作出了相关承诺，承诺的具体内容详见本
招股意向书“第十节 投资者保护”之“六、本次发行相关主体作出的重要承诺”。
三、财务报告审计截止日后的主要财务信息及经营状况
（一）2020 年三季度财务信息及审计截止日后经营状况
1、会计师事务所的审阅意见
公司财务报告审计截止日为2020年6月30日，根据《关于首次公开发行股
票并上市公司招股意向书财务报告审计截止日后主要财务信息及经营状况信息
披露指引》，天健会计师对公司2020年9月30日合并及公司资产负债表、 2020
年 1-9 月、2020 年 7-9 月的合并及公司利润表、合并及公司现金流量表、2020
年1-9月的合并及公司所有者权益变动表以及财务报表附注进行了审阅，并出具
了《审阅报告》（天健审【2020】9986号），发表了如下意见：根据我们的审阅，
我们没有注意到任何事项使我们相信派能科技公司 2020 年第 3 季度财务报表没
有按照企业会计准则的规定编制，未能在所有重大方面公允反映派能科技公司合
并及母公司的财务状况、经营成果和现金流量。”
2、发行人的专项声明
公司董事、监事、高级管理人员已对公司 2020 年 1 月 1 日至 2020 年 9 月
30 日未经审计的财务报表进行了认真审阅并出具专项声明，保证审计截止日后
"
6,N_A,"年 1-9 月、2020 年 7-9 月的合并及公司利润表、合并及公司现金流量表、2020
年1-9月的合并及公司所有者权益变动表以及财务报表附注进行了审阅，并出具
了《审阅报告》（天健审【2020】9986号），发表了如下意见：根据我们的审阅，
我们没有注意到任何事项使我们相信派能科技公司 2020 年第 3 季度财务报表没
有按照企业会计准则的规定编制，未能在所有重大方面公允反映派能科技公司合
并及母公司的财务状况、经营成果和现金流量。”
2、发行人的专项声明
公司董事、监事、高级管理人员已对公司 2020 年 1 月 1 日至 2020 年 9 月
30 日未经审计的财务报表进行了认真审阅并出具专项声明，保证审计截止日后
财务报表不存在虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准
确性及完整性承担相应的法律责任。
公司法定代表人、主管会计工作的公司负责人及会计机构负责人已对公司
2020 年 1 月 1 日至 2020 年 9 月 30 日未经审计的财务报表进行了认真审阅并出
具专项声明，保证审计截止日后财务报表所载资料真实、准确、完整。
公司 2020 年 1-9 月及 2020 年 7-9 月财务报告（未经审计，但已经天健会计
事务所审阅）主要财务数据如下：
（4）非经常性损益明细表主要数据
2020年1-9月，公司实现营业收入80,844.20万元，较上年同期增长70.64%；
实现净利润19,671.40万元，较去年同期增长178.50%。公司 2020年1-9月销售
收入及净利润增长主要由于当期境外家用储能市场持续向好，公司家用储能产品
销售规模持续增长。22020 年 1-9 月，公司净利润增长幅度大于收入增长幅度，
主要由于当期毛利率较高的自主品牌家用储能产品和其他产品中的高价工商用
储能产品销售占比提升，公司毛利率增长较多。
经营业绩的持续增长，导致公司 2020 年 9 月底资产和所有者权益规模有所
增长。截至2020年9月30日，公司资产总额为113,206.28万元，较上年末增长
42.05%；公司归属于公司股东权益为64,178.37万元，较上年末增长44.40%。
2020 年 1-9 月，公司经营活动产生的现金流量净额为 22,432.93 万元，同比
增长 41.77%，主要由于公司业务状况持续向好、销售增长；2020 年 1-9 月投资
"
7,N_A,"销售规模持续增长。22020 年 1-9 月，公司净利润增长幅度大于收入增长幅度，
主要由于当期毛利率较高的自主品牌家用储能产品和其他产品中的高价工商用
储能产品销售占比提升，公司毛利率增长较多。
经营业绩的持续增长，导致公司 2020 年 9 月底资产和所有者权益规模有所
增长。截至2020年9月30日，公司资产总额为113,206.28万元，较上年末增长
42.05%；公司归属于公司股东权益为64,178.37万元，较上年末增长44.40%。
2020 年 1-9 月，公司经营活动产生的现金流量净额为 22,432.93 万元，同比
增长 41.77%，主要由于公司业务状况持续向好、销售增长；2020 年 1-9 月投资
活动产生的现金流量净额为-7,292.29万元，主要系公司持续构建产线，加大固定
资产规模所致。
2020年1-9月，公司非经常性损益合计为256.12万元，主要系政府补助和确
认股份支付金额所致。
财务报告审计基准日后至本招股意向书签署日，公司经营状况良好，主要原
材料采购情况、主要产品销售情况、主要客户及供应商的构成情况、税收政策以
及其他可能影响投资者判断的重大事项方面未发生重大变化，未发生会对发行人
持续经营能力及发行条件产生重大不利影响的事项。
（二）财务报告审计基准日后公司经营情况
财务报告审计基准日后至本招股意向书签署日，公司经营状况良好，主要原
材料采购情况、主要产品销售情况、主要客户及供应商的构成情况、税收政策以
及其他可能影响投资者判断的重大事项方面未发生重大变化，未发生会对发行人
持续经营能力及发行条件产生重大不利影响的事项。
（三）2020 年度经营成果预计
结合行业发展趋势及公司实际经营情况，公司预计 2020 年实现营业收入约
110,000万元至130,000万元，同比增长约34.17%至58.57%；预计实现归属于母
公司股东的净利润约27,000万元至32,000万元，同比增长约87.35%至122.05%，
预计实现扣除非经常损益后归属于母公司股东的净利润约 26,710 万元至 31,710
万元，同比增长约66.74%至97.95%。上述财务数据为公司初步测算数据，不构
成盈利预测。
结合行业发展趋势及公司实际经营情况，公司预计 2020 年实现营业收入约
110,000万元至130,000万元，同比增长约34.17%至58.57%；预计实现归属于母
"
8,N_A,"（三）2020 年度经营成果预计
结合行业发展趋势及公司实际经营情况，公司预计 2020 年实现营业收入约
110,000万元至130,000万元，同比增长约34.17%至58.57%；预计实现归属于母
公司股东的净利润约27,000万元至32,000万元，同比增长约87.35%至122.05%，
预计实现扣除非经常损益后归属于母公司股东的净利润约 26,710 万元至 31,710
万元，同比增长约66.74%至97.95%。上述财务数据为公司初步测算数据，不构
成盈利预测。
结合行业发展趋势及公司实际经营情况，公司预计 2020 年实现营业收入约
110,000万元至130,000万元，同比增长约34.17%至58.57%；预计实现归属于母
公司股东的净利润约27,000万元至32,000万元，同比增长约87.35%至122.05%，
预计实现扣除非经常损益后归属于母公司股东的净利润约 26,710 万元至 31,710
万元，同比增长约66.74%至97.95%。上述财务数据为公司初步测算数据，不构
成盈利预测。
十一、董事、监事、高级管理人员及核心技术人员最近两年变动情况........ 100
十二、董事、监事、高级管理人员及核心技术人员的其他对外投资以及持有发
一、发行人股东大会、董事会、监事会、独立董事、董事会秘书以及专门委员
五、发行人不存在特别表决权股份、协议控制架构或类似特殊安排，尚未盈利
二、报告期内对公司财务状况和经营成果有重大影响会计政策和会计估计 .. 260
九、期后事项、或有事项、其他重要事项以及重大担保、诉讼等事项 .......... 393
五、发行人不存在特别表决权股份、协议控制架构或类似特殊安排，尚未盈利
在本招股意向书中，除非文义另有所指，下列简称和术语具有如下涵义：
注：本招股意向书中部分合计数与各单项数据之和在尾数上存在差异，这些差异是由于
五入原因所致。
注：本招股意向书中部分合计数与各单项数据之和在尾数上存在差异，这些差异是由于
五入原因所致。
本概览仅对招股意向书全文作扼要提示。投资者作出投资决策前，应认真阅
读本招股意向书全文。
一、发行人及本次发行的中介机构基本情况
网下向询价对象询价配售、战略配售与网上资金申购定价发行相结合
发行方式
的方式或中国证监会批准的其他方式
向符合资格的询价对象和在上海证券交易所开户的境内自然人、法人
"
9,N_A,"九、期后事项、或有事项、其他重要事项以及重大担保、诉讼等事项 .......... 393
五、发行人不存在特别表决权股份、协议控制架构或类似特殊安排，尚未盈利
在本招股意向书中，除非文义另有所指，下列简称和术语具有如下涵义：
注：本招股意向书中部分合计数与各单项数据之和在尾数上存在差异，这些差异是由于
五入原因所致。
注：本招股意向书中部分合计数与各单项数据之和在尾数上存在差异，这些差异是由于
五入原因所致。
本概览仅对招股意向书全文作扼要提示。投资者作出投资决策前，应认真阅
读本招股意向书全文。
一、发行人及本次发行的中介机构基本情况
网下向询价对象询价配售、战略配售与网上资金申购定价发行相结合
发行方式
的方式或中国证监会批准的其他方式
向符合资格的询价对象和在上海证券交易所开户的境内自然人、法人
发行对象 等投资者发行（中华人民共和国法律、法规及发行人必须遵守的其他
监管要求所禁止购买者除外），或监管机构认可的其他投资者
保荐机构将安排相关子公司中信建投投资有限公司参与本次发行战
略配售，初始跟投比例为本次公开发行数量的 5.00%，即 193.5560
保荐机构参与战略配 万股，最终具体比例和金额将在 2020 年12月16日（T-2日）确定
售情况 发行价格后确定。中信建投投资有限公司本次跟投获配股票的限售期
为 24 个月，限售期自本次公开发行的股票在上交所上市之日起开始
4、用于本次发行的信息披露费用：403.77万元；
5、发行手续费等其他费用：59.94万元。
注： 1、发行手续费中暂未包含本次发行的印花税，印花税将结合最
终发行情况计算并纳入发行手续费。
2、以上发行费用均为不含增值税金额，各项费用根据发行结果可能
会有调整。
三、发行人报告期的主要财务数据和财务指标
发行人报告期内主要财务数据及财务指标如下：
发行人报告期内主要财务数据及财务指标如
注：上述财务指标的计算方法如下：
1、资产负债率=负债总额/资产总额
2、扣除非经常性损益后基本每股收益＝P/（S0+S1+Si×Mi÷M0-Sj×Mj÷M0）。
3、扣除非经常性损益后稀释每股收益＝（P+已确认为费用的稀释性潜在普通股利息×（1-
所得税率）－转换费用）/（S0＋S1＋Si×Mi÷M0－Sj×Mj÷M0+认股权证、期权行权增加股份
数）
4、扣除非经常性损益后加权平均净资产收益率＝P/（E0+NP÷2+Ei×Mi÷M0-Ej×Mj÷M0）；
"
10,N_A,"2、以上发行费用均为不含增值税金额，各项费用根据发行结果可能
会有调整。
三、发行人报告期的主要财务数据和财务指标
发行人报告期内主要财务数据及财务指标如下：
发行人报告期内主要财务数据及财务指标如
注：上述财务指标的计算方法如下：
1、资产负债率=负债总额/资产总额
2、扣除非经常性损益后基本每股收益＝P/（S0+S1+Si×Mi÷M0-Sj×Mj÷M0）。
3、扣除非经常性损益后稀释每股收益＝（P+已确认为费用的稀释性潜在普通股利息×（1-
所得税率）－转换费用）/（S0＋S1＋Si×Mi÷M0－Sj×Mj÷M0+认股权证、期权行权增加股份
数）
4、扣除非经常性损益后加权平均净资产收益率＝P/（E0+NP÷2+Ei×Mi÷M0-Ej×Mj÷M0）；
其中：P 为报告期扣除非经常性损益后归属于母公司所有者的净利润；E0 为归属于母公司
的期初净资产，Ei 为报告期内发行新股或债转股等新增的、归属于母公司股东的净资产，
Ej为报告期回购或现金分红等减少的、归属于母公司股东的净资产；NP为报告期归属于母
公司的净利润；S0为期初股份总数；S1为报告期因公积金转增股本或股票股利分配等增加
股份数；Si 为报告期因发行新股或债转股等增加股份数；Sj 为报告期因回购或缩股等减少
股份数；M0为报告期月份数；Mi为增加股份下一月份起至报告期期末的月份数；Mj为减
少股份下一月份起至报告期期末的月份数
5、每股经营活动的现金流量＝经营活动产生的现金流量净额/期末普通股股份总数
6、研发投入占营业收入的比例=研发费用/营业收入
四、发行人的主营业务经营情况
公司是行业领先的储能电池系统提供商，专注于磷酸铁锂电芯、模组及储能
电池系统的研发、生产和销售。公司产品可广泛应用于电力系统的发、输、配、
用等环节以及通信基站和数据中心等场景。
报告期内，公司销售主要集中在家用储能和通信备电两个领域，下游客户绝
大部分为集成商客户，销售模式可分为自主品牌销售和贴牌销售两种类型。根据
GGII 的统计，2018 年和 2019 年，公司电力系统储能锂电池出货量分别位居国
内第二、第三名；根据 IHS 的统计，2019 年公司自主品牌家用储能产品出货量
约占全球出货总量的 8.5%，位居全球第三名。2019 年公司以自主品牌和贴牌方
式销售家用储能产品共计366MWh，约占全球出货总量的12.2%。
"
11,N_A,"公司是行业领先的储能电池系统提供商，专注于磷酸铁锂电芯、模组及储能
电池系统的研发、生产和销售。公司产品可广泛应用于电力系统的发、输、配、
用等环节以及通信基站和数据中心等场景。
报告期内，公司销售主要集中在家用储能和通信备电两个领域，下游客户绝
大部分为集成商客户，销售模式可分为自主品牌销售和贴牌销售两种类型。根据
GGII 的统计，2018 年和 2019 年，公司电力系统储能锂电池出货量分别位居国
内第二、第三名；根据 IHS 的统计，2019 年公司自主品牌家用储能产品出货量
约占全球出货总量的 8.5%，位居全球第三名。2019 年公司以自主品牌和贴牌方
式销售家用储能产品共计366MWh，约占全球出货总量的12.2%。
近年来，全球电化学储能市场进入快速成长期。2013-2017 年全球电化学储
能项目在电力系统的新增装机规模由 0.1GW 增加至 0.9GW，年均复合增速达
78%，但总体规模较小；2018年，全球电化学储能项目在电力系统的新增装机规
模达3.7GW，同比增长305%，实现跨越式增长。2019年中国通信储能锂电池出
货量达 6.0GWh，2017-2019 年年均增长 88%。伴随着全球电化学储能市场的加
速发展，报告期内公司近年来经营规模不断扩大。2017 年至 2020年1-6 月，公
司分别实现营业收入14,333.77万元、42,602.55万元、81,984.92万元和49,460.62
万元，净利润-4,412.50 万元、4,545.93 万元、14,411.42 万元和 12,353.08 万元，
经营业绩实现高速增长。
五、发行人的技术先进性、模式创新性、研发技术产业化情况以
及未来发展战略
（一）发行人的技术先进性、研发技术产业化情况
公司专注锂电池储能应用超过十年，是国家高新技术企业和江苏省磷酸铁锂
电池工程技术研究中心。公司产品具有安全可靠性高、循环寿命长以及模块化、
智能化等技术优势，主要产品通过国际 IEC、欧盟 CE、欧洲 VDE、美国 UL、
澳洲 CEC、日本 JIS、联合国 UN38.3 等安全认证，并符合 REACH、RoHS 和
WEEE等环保指令要求，是行业内拥有最全资质认证的储能厂商之一。公司多项
产品获得江苏省高新技术产品和高新技术成果转化项目认定。截至 2020 年 6 月
30 日，公司拥有发明专利 15 项，实用新型专利 47 项，软件著作权 3 项，集成
"
12,N_A,"五、发行人的技术先进性、模式创新性、研发技术产业化情况以
及未来发展战略
（一）发行人的技术先进性、研发技术产业化情况
公司专注锂电池储能应用超过十年，是国家高新技术企业和江苏省磷酸铁锂
电池工程技术研究中心。公司产品具有安全可靠性高、循环寿命长以及模块化、
智能化等技术优势，主要产品通过国际 IEC、欧盟 CE、欧洲 VDE、美国 UL、
澳洲 CEC、日本 JIS、联合国 UN38.3 等安全认证，并符合 REACH、RoHS 和
WEEE等环保指令要求，是行业内拥有最全资质认证的储能厂商之一。公司多项
产品获得江苏省高新技术产品和高新技术成果转化项目认定。截至 2020 年 6 月
30 日，公司拥有发明专利 15 项，实用新型专利 47 项，软件著作权 3 项，集成
电路布图设计11项。
公司垂直整合产业链，是国内少数同时具备电芯、模组、电池管理系统、能
量管理系统等储能核心部件自主研发和制造能力的企业。公司产品采用模块化设
计，易于安装和扩展，智能化电池管理系统可自动适配 5~1,500V 不同等级电气
环境，灵活满足从家用 kWh 等级到电网 MWh 等级的储能需求，支持为家庭、
工商业、电网、通信基站、数据中心等各类场景提供“一站式”储能解决方案。
关于发行人技术先进性、研发技术产业化的具体情况，详见本招股意向书“第
六节 业务与技术”相关内容。
能源是国家经济发展的动力源泉。当前，全球新一轮科技革命和产业变革蓬
勃发展，能源消费结构发生深刻变革。全球新能源发电占比逐步提高，智能电网、
能源互联网的兴起正在推动储能产业成为构建绿色、清洁、高效的能源体系的重
要组成部分；储能成为全球能源变革的重要影响因素之一。
随着锂离子电池和可再生能源发电技术持续进步及成本下降，以及各国对可
再生能源并网接入的政策推动力度的加大，以风储、光储、通信储能、UPS 储能
为代表的储能应用场景商业模式逐步成熟。未来较长时间内，锂离子电池储能市
场仍将维持较高的增幅。
磷酸铁锂电池具有循环寿命长、充放电快速、安全性能好、温度适应性强等
性能优势，在储能领域具有显著的竞争优势。派能科技专注于磷酸铁锂电池和储
能电池系统领域的研发与产业化，基本实现产业链核心技术自有化的布局，实现
了分布式储能产品全系列化，产品广泛应用于中国、德国、南非、意大利、英国、
西班牙、美国、捷克等全球40多个国家和地区。
"
