页码,表格,纯文本
0,N_A,"东北证券股份有限公司
（吉林省长春市自由大路1138号
（吉林省长春市自由大路1138号
发行人及全体董事、监事、高级管理人员承诺招股说明书及其摘要不存在虚
假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和
连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股说明书及其
摘要中财务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其
对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反
的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股说明书及其摘要存在任何疑问，应咨询自已的股票经纪
人、律师、会计师或其他专业顾问。
发行人及全体董事、监事、高级管理人员承诺招股说明书及其摘要不存在虚
假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和
连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股说明书及其
摘要中财务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其
对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反
的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股说明书及其摘要存在任何疑问，应咨询自已的股票经纪
人、律师、会计师或其他专业顾问。
1、发行人本次发行前总股本为5,850万股，本次拟首次公开发行1,950万股，
发行后总股本7,800万股，上述股份均为流通股。
（1）公司实际控制人陈建平、陈成辉和控股股东科华伟业均作出承诺：自
发行人首次公开发行股票并上市之日起三十六个月内，不转让或者委托他人管理
已经直接（间接）持有的发行人的股份，也不由其回购该部分股份。
（2）公司股东林仪、吴建文、张少武、苏瑞瑜、陈四雄、林晓浙均作出承
诺：自发行人首次公开发行股票并上市之日起三十六个月内，不转让或者委托他
人管理已经直接持有发行人的股份，也不由其回购该部分股份。
（3）公司股东谢伟平、刘军、王安朴、王军、王禄河均作出承诺：自发行
人首次公开发行股票并上市之日起十二个月内，不转让或者委托他人管理已经直
"
1,N_A,"1、发行人本次发行前总股本为5,850万股，本次拟首次公开发行1,950万股，
发行后总股本7,800万股，上述股份均为流通股。
（1）公司实际控制人陈建平、陈成辉和控股股东科华伟业均作出承诺：自
发行人首次公开发行股票并上市之日起三十六个月内，不转让或者委托他人管理
已经直接（间接）持有的发行人的股份，也不由其回购该部分股份。
（2）公司股东林仪、吴建文、张少武、苏瑞瑜、陈四雄、林晓浙均作出承
诺：自发行人首次公开发行股票并上市之日起三十六个月内，不转让或者委托他
人管理已经直接持有发行人的股份，也不由其回购该部分股份。
（3）公司股东谢伟平、刘军、王安朴、王军、王禄河均作出承诺：自发行
人首次公开发行股票并上市之日起十二个月内，不转让或者委托他人管理已经直
接持有的发行人的股份，也不由发行人回购该部分股份。
除上述锁定和限售外，本公司董事、监事、高级管理人员均承诺：自发行人
首次公开发行股票并上市之日起三十六个月内，不转让或者委托他人管理已经直
接持有发行人控股股东科华伟业的股份，也不由科华伟业回购该部分股份；同时，
遵守《公司法》第一百四十二条规定的股份转让限制性规定。
2、根据公司2009年第二次临时股东大会决议，如果公司本次公开发行股票
成功，则本次股票发行前滚存未分配利润由发行后新老股东依其所持股份比例共
享。
3、本公司作为我国UPS行业首家“国家火炬计划重点高新技术企业”，多年
来依靠自主创新，不断打破国外厂商对我国 UPS 高端产品的技术垄断，在国内
UPS 市场保持着本土品牌第一的地位，并在高端 UPS 市场与位列世界 500 强的
国外厂商展开竞争。自主研发和创新能力是本公司立足于市场的根本，是本公司
核心竞争力之所在，如果公司不能保持并不断提高自主研发能力、保持良好的技
术创新机制，将对本公司市场竞争能力、盈利能力产生较大不利影响。
4、不断开发新产品是UPS企业扩大市场份额、提高盈利能力的重要手段，
为此企业需要投入大量资金用于技术升级及新产品研发。随着市场竞争的不断加
剧，产品更新换代周期越来越短，公司如果不能及时准确地把握市场需求，将导
致公司研发的新产品不能获得市场认可，对公司市场竞争能力产生较大不利影
响。
5、公司自成立以来，坚持以“自主技术、自有品牌”占领市场，产品的质量
和技术服务对公司品牌形象至关重要。UPS作为重要设备的电力保护装置，对产
"
2,N_A,"国外厂商展开竞争。自主研发和创新能力是本公司立足于市场的根本，是本公司
核心竞争力之所在，如果公司不能保持并不断提高自主研发能力、保持良好的技
术创新机制，将对本公司市场竞争能力、盈利能力产生较大不利影响。
4、不断开发新产品是UPS企业扩大市场份额、提高盈利能力的重要手段，
为此企业需要投入大量资金用于技术升级及新产品研发。随着市场竞争的不断加
剧，产品更新换代周期越来越短，公司如果不能及时准确地把握市场需求，将导
致公司研发的新产品不能获得市场认可，对公司市场竞争能力产生较大不利影
响。
5、公司自成立以来，坚持以“自主技术、自有品牌”占领市场，产品的质量
和技术服务对公司品牌形象至关重要。UPS作为重要设备的电力保护装置，对产
品的安全性、可靠性有着较高的要求，一旦由于产品质量或服务出现问题给用户
造成重大损失，将影响到本公司多年累积的品牌信誉和市场份额，对公司未来发
展造成较大不利影响。
四、香港振华的基本情况及其向发行人主要经营者、业务骨干奖励股份的原
四、香港振华的基本情况及其向发行人主要经营者、业务骨干奖励股份的原
二、董事、监事、高管人员、核心技术人员及其近亲属持股情况............187
四、董事、监事、高管人员及核心技术人员2008年收入及报酬情况......189
六、董事、监事、高管人员及核心技术人员相互之间存在的亲属关系....190
七、董事、监事、高管人员及核心技术人员的协议安排、承诺及履行情况
一、公司股东大会、董事会、监事会、独立董事、董事会秘书制度的情况
一、公司股东大会、董事会、监事会、独立董事、董事会秘书制度的情况
一、公司股东大会、董事会、监事会、独立董事、董事会秘书制度的情况
十一、报告期内现金流量情况及不涉及到现金收支的重大投资或筹资活动
明书中，除非另有说明，下列词汇具有如下
本公司、公司、股份公司、
指厦门科华恒盛股份有限公司
发行人、科华恒盛
科华伟业 指厦门科华伟业股份有限公司，系本公司控股股东
科华技术 指漳州科华技术有限责任公司
科华电子 指漳州科华电子有限公司
通信配套 指漳州科华通信配套设备有限公司
通信电源 指漳州科华通信电源有限公司
厦门科华 指厦门科华电子有限公司
深圳科华 指深圳市科华恒盛科技有限公司
电子设备 指漳州科华电子设备有限公司
科华新能源 指漳州科华新能源技术有限公司
科灿信息 指厦门科灿信息技术有限公司
"
3,N_A,"一、公司股东大会、董事会、监事会、独立董事、董事会秘书制度的情况
十一、报告期内现金流量情况及不涉及到现金收支的重大投资或筹资活动
明书中，除非另有说明，下列词汇具有如下
本公司、公司、股份公司、
指厦门科华恒盛股份有限公司
发行人、科华恒盛
科华伟业 指厦门科华伟业股份有限公司，系本公司控股股东
科华技术 指漳州科华技术有限责任公司
科华电子 指漳州科华电子有限公司
通信配套 指漳州科华通信配套设备有限公司
通信电源 指漳州科华通信电源有限公司
厦门科华 指厦门科华电子有限公司
深圳科华 指深圳市科华恒盛科技有限公司
电子设备 指漳州科华电子设备有限公司
科华新能源 指漳州科华新能源技术有限公司
科灿信息 指厦门科灿信息技术有限公司
科龙公司 指漳州市科龙计算机技术开发公司
香港振华 指振华贸易公司
香港华盛 指华盛贸易公司
香港华裕 指华裕投资发展公司
股东或股东大会 指本公司股东或股东大会
董事或董事会 指本公司董事或董事会
监事或监事会 指本公司监事或监事会
《公司法》 指《中华人民共和国公司法》
《证券法》 指《中华人民共和国证券法》
普通股、A股 指本公司本次发行的人民币普通股
本次发行、首次公开发行 指本公司本次公开发行股票
交易日 指证券交易所的正常营业日
登记机构 指中国证券登记结算有限责任公司
中国证监会 指中国证券监督管理委员会
主承销商、保荐机构 指东北证券股份有限公司
发行人律师 指北京市国枫律师事务所
天健华证中洲所、天健光华 指天健华证中洲（北京）会计师事务所有限公司(2008年9月，
所 变更名称为天健光华（北京）会计师事务所有限公司)
漳州众诚所 指漳州众诚有限责任会计师事务所
CCID 指中国电子信息产业发展研究院
指赛迪顾问股份有限公司，直属于信息产业部中国电子信息产
CCID Consulting、赛迪顾问
业发展研究院
元 指人民币元
二、专业释义
KVA 千伏安，视在功率计量单位
KW 千瓦，有功功率计量单位
MW 兆瓦，有功功率计量单位
是不间断电源（Uninterruptible Power Supply）的缩写，主要由
UPS、UPS电源 主机、储能部件组成，能在交流输入正常或者异常时，确保负
载设备稳定、可靠、不间断供电。
LCD 指液晶显示器。
GBT 一种半导体开关元件，主要应用在电力电子变换装置中。
是《电气、电子设备中限制使用某些有害物质指令》（the
"
4,N_A,"漳州众诚所 指漳州众诚有限责任会计师事务所
CCID 指中国电子信息产业发展研究院
指赛迪顾问股份有限公司，直属于信息产业部中国电子信息产
CCID Consulting、赛迪顾问
业发展研究院
元 指人民币元
二、专业释义
KVA 千伏安，视在功率计量单位
KW 千瓦，有功功率计量单位
MW 兆瓦，有功功率计量单位
是不间断电源（Uninterruptible Power Supply）的缩写，主要由
UPS、UPS电源 主机、储能部件组成，能在交流输入正常或者异常时，确保负
载设备稳定、可靠、不间断供电。
LCD 指液晶显示器。
GBT 一种半导体开关元件，主要应用在电力电子变换装置中。
是《电气、电子设备中限制使用某些有害物质指令》（the
Restriction of the use of certain hazardous substances in electrical
ROHS
and electronic equipment）的英文缩写，是欧盟设置的一种检验
标准。如果出口欧盟的电器产品达不到该标准, 无法进入海关。
是印刷电路板（Printed Circuit Board）的缩写，通常用作电子产
PCB
品控制电路的基板。
是欧盟对进入欧盟地区销售的电子产品强制要求的安全认证，
CE认证
在欧盟销售的产品必须贴有CE认证标识。
是德国莱茵技术监护顾问公司组织的电子产品安全认证，通过
TUV认证
认证的产品贴有TUV认证标识。
指我国信息产业部泰尔认证中心的认证，主要针对通信系统的
TLC认证
产品入网认证。
UPS 的一种工作方式，基本结构由逆变器、电池组和切换开关
离线式（后备式） 组成。电网异常时，UPS 通过切换开关转到逆变器输出方式，
交流输入正常与异常转换时，输出存在一定的切换时间。
UPS 的一种工作方式，基本结构由整流器、电池组、逆变器和
旁路开关组成。无论电网是否正常，一直由逆变器输出稳定的
交流电给负载，交流输入正常与异常转换时，输出没有切换时
间。
UPS 的一种工作方式，基本结构由双向逆变器、电池和切换开
关组成。电网异常时，由逆变器向负载供电，电网正常时逆变
器转而向电池充电。交流输入正常与异常转换时，输出存在一
定的切换时间。
是用电设备消耗的有功功率（W）与视在功率（VA）的比值，
功率因数绝对值介于 0 与 1 之间。输入功率因数越高表明设备
"
5,N_A,"UPS 的一种工作方式，基本结构由逆变器、电池组和切换开关
离线式（后备式） 组成。电网异常时，UPS 通过切换开关转到逆变器输出方式，
交流输入正常与异常转换时，输出存在一定的切换时间。
UPS 的一种工作方式，基本结构由整流器、电池组、逆变器和
旁路开关组成。无论电网是否正常，一直由逆变器输出稳定的
交流电给负载，交流输入正常与异常转换时，输出没有切换时
间。
UPS 的一种工作方式，基本结构由双向逆变器、电池和切换开
关组成。电网异常时，由逆变器向负载供电，电网正常时逆变
器转而向电池充电。交流输入正常与异常转换时，输出存在一
定的切换时间。
是用电设备消耗的有功功率（W）与视在功率（VA）的比值，
功率因数绝对值介于 0 与 1 之间。输入功率因数越高表明设备
对电网利用效率越高，节能效果越好。
当用电设备输入电流不是正弦波时，其输入电流中含有电流谐
波。电流谐波会使电流波形发生畸变，对电网造成污染，产生
额外的能源损耗。
指由半导体功率器件、磁性器件和相关电路组成，把电能从一
种形式转换成另外一种形式的电力电子装置。
是将直流电（DC）转换成交流电（AC）的变换器，UPS中利用
逆变器将电池的能量变换成供交流负载使用的交流电。
用来将交流电（AC）变换成直流电（DC）的变换器。
SPWM是正弦脉宽调制（Sinusoidal Pulse Width Modulation）的
英文缩写，SPWM调制技术是正弦波逆变器中的典型控制技术，
用于将模拟信号转换成开关数字信号。
指操作人员通过 UPS 面板的显示器和操作，实现操作人员与
UPS之间信息交流的功能，如了解UPS的运行情况、设定UPS
的运行模式和参数等。
指采用监控软件、数据通信手段，实现对 UPS 电源运行参数、
工作状态和工作参数设置的功能。
指采用相关电力电子技术，实现电力电子设备输入功率因数的
提升以及降低输入电流谐波的技术方法。
指采用DSP器件和合适的数字化算法，实现对UPS产品内部的
工作逻辑管理、闭环控制的技术手段。
指通过采用相应的技术手段，使得电子产品满足各项标准对产
品电磁兼容指标的要求。
一种先进的UPS并联控制技术，可以使并联的UPS无主从之分，
具有自动适应参数漂移和环境变化、工程安装简单等优点。发
行人已获得国家专利。
MCU是单片机(Micro Controller Unit)的缩写，全数字化MCU控
"
6,N_A,"UPS之间信息交流的功能，如了解UPS的运行情况、设定UPS
的运行模式和参数等。
指采用监控软件、数据通信手段，实现对 UPS 电源运行参数、
工作状态和工作参数设置的功能。
指采用相关电力电子技术，实现电力电子设备输入功率因数的
提升以及降低输入电流谐波的技术方法。
指采用DSP器件和合适的数字化算法，实现对UPS产品内部的
工作逻辑管理、闭环控制的技术手段。
指通过采用相应的技术手段，使得电子产品满足各项标准对产
品电磁兼容指标的要求。
一种先进的UPS并联控制技术，可以使并联的UPS无主从之分，
具有自动适应参数漂移和环境变化、工程安装简单等优点。发
行人已获得国家专利。
MCU是单片机(Micro Controller Unit)的缩写，全数字化MCU控
制技术是指采用相应 MCU 器件和合适的数字化算法，实现对
UPS产品内部的工作逻辑管理、闭环控制的技术手段。
采用高电压、大电流规格的IGBT器件，实现大功率的电力电子
产品设计的各项技术手段，例如驱动技术、EMC技术、工艺等。
采用高频磁性器件和高频半导体器件，实现功率变换的电力电
子技术，具备体积小、效率高、成本低的优势。
是提升大功率 UPS 电源运行效率的一种先进的技术手段，可以
大幅度地节约能源。
输出功率在1000KVA等级的大功率变换器设计技术，包括功率
电路设计技术、控制技术、大功率产品工艺等。
一种用于排除电子产品早期失效的方法，一般是让电子产品依
照相关的工作条件，加载运行一定的时间。
采用数字化算法和相关器件，可实现相关目标的自动控制技术
与方法，具备控制精度高、速度快、方法灵活、稳定性好、升
级容易等特点，广泛应用于电力电子产品。
指可以实现能量变换的功率电路结构。
即MCU(MicroControllerUnit)，中文名称为微控制单元，是指随
着大规模集成电路的出现及其发展，将计算机的CPU、RAM、
ROM、定时数器和多种 I/O 接口集成在一片芯片上，形成芯片
级的计算机，为不同的应用场合做不同组合控制。
是Digtal Signal Processor的缩写，中文意思是数字信号处理器，
是一种特别适合于进行数字信号处理运算的微处理器具，其主
机应用是实时快速地实现各种数字信号处理算法。
本概览仅对招股说明书全文做扼要提示。投资者作出投资决策前，应认真
阅读招股说明书全文。
"
7,N_A,"与方法，具备控制精度高、速度快、方法灵活、稳定性好、升
级容易等特点，广泛应用于电力电子产品。
指可以实现能量变换的功率电路结构。
即MCU(MicroControllerUnit)，中文名称为微控制单元，是指随
着大规模集成电路的出现及其发展，将计算机的CPU、RAM、
ROM、定时数器和多种 I/O 接口集成在一片芯片上，形成芯片
级的计算机，为不同的应用场合做不同组合控制。
是Digtal Signal Processor的缩写，中文意思是数字信号处理器，
是一种特别适合于进行数字信号处理运算的微处理器具，其主
机应用是实时快速地实现各种数字信号处理算法。
本概览仅对招股说明书全文做扼要提示。投资者作出投资决策前，应认真
阅读招股说明书全文。
一、发行人简介
发行人名称：厦门科华恒盛股份有限公司
英文名称： XIAMEN KEHUA HENGSHENG CO.，LTD.
注册地址： 厦门火炬高新区火炬园光业楼第三层东单元
注册资本： 58,500,000元
法定代表人：陈建平
厦门科华恒盛股份有限公司是经厦门市经济体制改革委员会厦体改
[1999]016 号文批准，由陈建平等 128 名自然人于 1999 年 3 月 26 日共同发起设
立的股份有限公司。公司主营业务为不间断电源（UPS）系列产品以及配套产品
的设计、生产、销售和服务。
UPS是用电设备的电力保护装置，可以确保主电源中断时对用电设备连续供
电。对于重要设备对电能的稳定与不间断要求较高的行业，如信息通信、金融、
电力、钢铁、有色金属、煤炭、石油化工、建筑、医药、汽车、食品、军事、航
空航天工业等，配备UPS电源系统将保障供电稳定和连续，有效防范因电能出现
问题所造成的重大损失。此外，随着技术水平的进步，新型UPS产品更注重节能
设计和减少电能污染，对提升设备的可靠性及提高工业化制造水平有着不可忽视
的作用。
公司设立至今，始终专注于不间断电源产品的研发、生产、销售和服务。多
年来，公司坚持走自主创新之路，不断打破国外 UPS 厂商对我国不间断电源高
端产品的技术垄断，致力于发展民族工业，实现“高端产品平民化”，通过与国外
企业在高端产品市场上的竞争，使国内 UPS 用户享受到较高性价比的产品以及
全方位、快捷的技术服务。UPS国产化为我国信息化建设提供了可靠的电源保障，
在提高“中国制造”的工业装备水平，以及质量、安全和节能方面发挥了积极作用。
"
8,N_A,"空航天工业等，配备UPS电源系统将保障供电稳定和连续，有效防范因电能出现
问题所造成的重大损失。此外，随着技术水平的进步，新型UPS产品更注重节能
设计和减少电能污染，对提升设备的可靠性及提高工业化制造水平有着不可忽视
的作用。
公司设立至今，始终专注于不间断电源产品的研发、生产、销售和服务。多
年来，公司坚持走自主创新之路，不断打破国外 UPS 厂商对我国不间断电源高
端产品的技术垄断，致力于发展民族工业，实现“高端产品平民化”，通过与国外
企业在高端产品市场上的竞争，使国内 UPS 用户享受到较高性价比的产品以及
全方位、快捷的技术服务。UPS国产化为我国信息化建设提供了可靠的电源保障，
在提高“中国制造”的工业装备水平，以及质量、安全和节能方面发挥了积极作用。
行业地位：公司成立至今，中大功率UPS销售额连续多年位列本土品牌第一。
根据CCID赛迪顾问（直属于信息产业部中国电子信息产业发展研究院）2008年
统计数据，在中国市场上包括国外品牌在内的全部UPS产品销售额排名中，公司
位居第四，在本土品牌中排名第一；在中国市场上包括国外品牌在内的全部大功
率UPS产品销售额排名中，公司位居第三，在本土品牌中排名第一；公司在我国
中大功率UPS市场份额超过10%，是中国本土厂商中最大的高端UPS电源提供商，
并成为国际知名高端UPS品牌在中国市场的主要竞争者。
产品方面：公司拥有完整的信息设备用 UPS 产品系列，全部通过信息产业
部泰尔认证中心认证。产品曾被列入国家级火炬计划项目 12 次、国家重点新产
品计划项目7项，并获得省部级火炬计划等其它科技项目9项、福建省、漳州市
科技进步奖十余项。公司信息设备用 UPS 产品在覆盖全功率段的基础上，逐渐
向中大功率产品倾斜，稳步实现高端产品的战略定位。工业动力用 UPS 是不间
断电源产品中的高端产品，国内市场长期被国外厂商垄断。公司经过近三年的自
主研发和创新，开发出能够适应工业环境的工业动力用 UPS 产品，成为目前唯
一在工业动力用UPS 领域实现产业化生产的国内企业。
技术方面：公司拥有专业、稳定的核心技术团队，核心技术人员多为公司的
创始人，拥有创业者和股东的双重身份。公司总裁陈成辉、副总裁陈四雄、副总
裁苏瑞瑜为公司自主培养的享受国务院特殊津贴专家，由其带领的研发团队承担
了二十八项国家级、省级火炬计划项目及国家级重点新产品项目，获得了三十余
"
9,N_A,"科技进步奖十余项。公司信息设备用 UPS 产品在覆盖全功率段的基础上，逐渐
向中大功率产品倾斜，稳步实现高端产品的战略定位。工业动力用 UPS 是不间
断电源产品中的高端产品，国内市场长期被国外厂商垄断。公司经过近三年的自
主研发和创新，开发出能够适应工业环境的工业动力用 UPS 产品，成为目前唯
一在工业动力用UPS 领域实现产业化生产的国内企业。
技术方面：公司拥有专业、稳定的核心技术团队，核心技术人员多为公司的
创始人，拥有创业者和股东的双重身份。公司总裁陈成辉、副总裁陈四雄、副总
裁苏瑞瑜为公司自主培养的享受国务院特殊津贴专家，由其带领的研发团队承担
了二十八项国家级、省级火炬计划项目及国家级重点新产品项目，获得了三十余
项国家专利和福建省、漳州市科技进步奖十余项，先后参与了信息产业部中国通
信标准化协会主持的五项 UPS 标准起草工作。公司自主研发、国内首创的无主
从自适应多机并联技术，使得国产中大功率产品的技术达到了国际先进水平。
销售与服务方面：公司建立了“主动式三级服务体系”，以厦门总部为核心，
以华北、东北、华东等9大技术服务与营销中心和1个海外事业部为骨干，以四
十多个直属销售与服务网点为支撑，带动二百多个合作伙伴，形成有效的营销服
务网络。公司将“主动服务”的理念贯穿于从产品研发、设计、制造、应用方案到
售后服务的整个周期之中，根据不同市场特点和行业用户需求规律，为用户制定
全面的一体化电源解决方案。同时，公司在服务技术方面实现了“元器件级”维护，
即避免对故障模板进行整板更换，有效降低了客户的运营成本并提高了工作效
率。自2001年至今，公司连续多年获得各权威机构颁发的“金融行业优秀解决方
案奖”、“制造业解决方案用户满意奖”、“电力行业解决方案英华奖”、“中国交通
行业最具应用价值解决方案奖”、“中国政府行业最具应用价值解决方案奖”、“中
国UPS最佳用户服务满意奖”、“最佳用户服务奖”、“最佳用户服务承诺兑现奖”、
“2008 中国下一代数据中心十佳产品奖”、“绿色之星”、“最佳绿色节能产品奖”
等荣誉。2009 年 4 月，科华“KELONG”商标被国家工商行政管理总局认定为中
国驰名商标，成为国产UPS品牌中唯一获此殊荣的企业。
公司产品广泛应用于各大银行、保险、证券、税务、通信、能源、军队、政
府、制造等行业领域，包括2008奥运会主会场（鸟巢）、青岛奥林匹克帆船中心、
"
