页码,表格,纯文本
0,N_A,"威龙葡萄酒股份有限公司
威龙葡萄酒股份有限公司
首次公开发行股票招股意向书
北京市西城区武定侯街6号卓著中心10层
第一创业摩根大通证券有限责任公司
北京市西城区武定侯街6号卓著中心10层
威龙葡萄酒股份有限公司
公开发行股票招股意向书

超过其所持有的发行人股份总数的25%；（3）本人离职后六个月内不
转让其所持有的发行人股份；（4）本人所持发行人股份在锁定期满后
两年内无减持意向；如超过上述期限本人拟减持发行人股份的，承诺
将依法按照《公司法》、《证券法》、中国证监会及上海证券交易所相
关规定办理；（5）公司上市后6个月内如公司股票连续20个交易日的
收盘价均低于发行价，或者上市后6个月期末收盘价低于发行价，本
人持有公司股票的锁定期限自动延长6个月。
3、作为董事/高级管理人员的自然人股东孙砚田、姜淑华、田元典、
丁惟杰、姜常慧、赵国林、陈青昌、王绍琨、曲本欣、慕翠玲分别承
诺：（1）自发行人股票上市之日起十二个月内，不转让或者委托他人
管理其持有的发行人股份，也不由发行人回购其持有的发行人股份；
（2）除前述锁定期外，在任职期间每年转让的股份数不超过其所持
有的发行人股份总数的25%；（3）本人离职后六个月内不转让其所持
有的发行人股份；（4）本人所持发行人股份在锁定期满后两年内减持
的，其减持价格不低于发行价，如果因派发现金红利、送股、转增股
本、增发新股等原因进行除权、除息的，减持价格将按有关规定作相
应调整；（5）公司上市后6个月内如公司股票连续20个交易日的收盘
价均低于发行价，或者上市后6个月期末收盘价低于发行价，本人持
有公司股票的锁定期限自动延长6个月。
4、作为监事的自然人股东焦复润、刘延广、詹慧慧分别承诺：（1）
自发行人股票上市之日起十二个月内，不转让或者委托他人管理其持
有的发行人股份，也不由发行人回购其持有的发行人股份；（2）除前
述锁定期外，在任职期间每年转让的股份数不超过其所持有的发行人
股份总数的25%；（3）本人离职后六个月内不转让其所持有的发行人
股份。
5、公开发行前持股5%以上的自然人股东刘乃若承诺：（1）自发行人
股票上市之日起十二个月内，不转让或者委托他人管理其本次发行前
所持有的发行人股份，也不由发行人回购其持有的发行人股份；（2）
本人所持公司股份在锁定期满两年内拟减持不超过本人持有公司股
份的15%，减持价格不低于公司首次公开发行的发行价格，如果因派
"
1,N_A,"4、作为监事的自然人股东焦复润、刘延广、詹慧慧分别承诺：（1）
自发行人股票上市之日起十二个月内，不转让或者委托他人管理其持
有的发行人股份，也不由发行人回购其持有的发行人股份；（2）除前
述锁定期外，在任职期间每年转让的股份数不超过其所持有的发行人
股份总数的25%；（3）本人离职后六个月内不转让其所持有的发行人
股份。
5、公开发行前持股5%以上的自然人股东刘乃若承诺：（1）自发行人
股票上市之日起十二个月内，不转让或者委托他人管理其本次发行前
所持有的发行人股份，也不由发行人回购其持有的发行人股份；（2）
本人所持公司股份在锁定期满两年内拟减持不超过本人持有公司股
份的15%，减持价格不低于公司首次公开发行的发行价格，如果因派
发现金红利、送股、转增股本、增发新股等原因进行除权、除息的，
减持价格将按有关规定作相应调整；如超过上述期限，本人减持公司
股份的，承诺将依法按照《公司法》、《证券法》、中国证监会及上海
本公司及全体董事、监事、高级管理人员承诺招股意向书及其摘要不存在虚假记载、
误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及其摘要中
财务会计资料真实、完整。
保荐人承诺因其为发行人首次公开发行股票制作、出具的文件有虚假记载、误导性
陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其对本公
司股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的声明均属虚假
不实陈述。
根据《证券法》的规定，股票依法发行后，本公司经营与收益的变化，由本公司自
行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪人、律师、
会计师或其他专业顾问。
本公司特别提醒投资者，在评价本公司本次发行的股票时，应特别关注下列重大事
项和风险，并认真阅读本招股意向书“第四章风险因素”的全部内容。
1、公司控股股东、实际控制人王珍海先生承诺：（1）自公司股票上市之日起三十
六个月内，不转让或者委托他人管理其持有的发行人股份，也不由发行人回购其持有的
发行人股份；（2）除前述锁定期外，在任职期间每年转让的股份数不超过其所持有的发
行人股份总数的25%；（3）本人离职后六个月内不转让其所持有的发行人股份；（4）本
"
2,N_A,"根据《证券法》的规定，股票依法发行后，本公司经营与收益的变化，由本公司自
行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪人、律师、
会计师或其他专业顾问。
本公司特别提醒投资者，在评价本公司本次发行的股票时，应特别关注下列重大事
项和风险，并认真阅读本招股意向书“第四章风险因素”的全部内容。
1、公司控股股东、实际控制人王珍海先生承诺：（1）自公司股票上市之日起三十
六个月内，不转让或者委托他人管理其持有的发行人股份，也不由发行人回购其持有的
发行人股份；（2）除前述锁定期外，在任职期间每年转让的股份数不超过其所持有的发
行人股份总数的25%；（3）本人离职后六个月内不转让其所持有的发行人股份；（4）本
人所持发行人股份在锁定期满后两年内无减持意向；如超过上述期限本人拟减持发行人
股份的，承诺将依法按照《公司法》、《证券法》、中国证监会及上海证券交易所相关规
定办理；（5）公司上市后6个月内如公司股票连续20个交易日的收盘价均低于发行价，
或者上市后6个月期末收盘价低于发行价，本人持有公司股票的锁定期限自动延长6个
月。
2、公司控股股东、实际控制人王珍海先生的亲属、公司高级管理人员王冰先生承
诺：（1）自公司股票上市之日起三十六个月内，不转让或者委托他人管理其持有的发行
人股份，也不由发行人回购其持有的发行人股份；（2）除前述锁定期外，在任职期间每
年转让的股份数不超过其所持有的发行人股份总数的25%；（3）本人离职后六个月内不
转让其所持有的发行人股份；（4）本人所持发行人股份在锁定期满后两年内无减持意向；
如超过上述期限本人拟减持发行人股份的，承诺将依法按照《公司法》、《证券法》、中
国证监会及上海证券交易所相关规定办理；（5）公司上市后6个月内如公司股票连续20
个交易日的收盘价均低于发行价，或者上市后6个月期末收盘价低于发行价，本人持有
公司股票的锁定期限自动延长6个月。
3、作为董事/高级管理人员的自然人股东孙砚田、姜淑华、田元典、丁惟杰、姜常
慧、赵国林、陈青昌、王绍琨、曲本欣、慕翠玲分别承诺：（1）自发行人股票上市之日
起十二个月内，不转让或者委托他人管理其持有的发行人股份，也不由发行人回购其持
有的发行人股份；（2）除前述锁定期外，在任职期间每年转让的股份数不超过其所持有
的发行人股份总数的25%；（3）本人离职后六个月内不转让其所持有的发行人股份；（4）
"
3,N_A,"转让其所持有的发行人股份；（4）本人所持发行人股份在锁定期满后两年内无减持意向；
如超过上述期限本人拟减持发行人股份的，承诺将依法按照《公司法》、《证券法》、中
国证监会及上海证券交易所相关规定办理；（5）公司上市后6个月内如公司股票连续20
个交易日的收盘价均低于发行价，或者上市后6个月期末收盘价低于发行价，本人持有
公司股票的锁定期限自动延长6个月。
3、作为董事/高级管理人员的自然人股东孙砚田、姜淑华、田元典、丁惟杰、姜常
慧、赵国林、陈青昌、王绍琨、曲本欣、慕翠玲分别承诺：（1）自发行人股票上市之日
起十二个月内，不转让或者委托他人管理其持有的发行人股份，也不由发行人回购其持
有的发行人股份；（2）除前述锁定期外，在任职期间每年转让的股份数不超过其所持有
的发行人股份总数的25%；（3）本人离职后六个月内不转让其所持有的发行人股份；（4）
本人所持发行人股份在锁定期满后两年内减持的，其减持价格不低于发行价，如果因派
发现金红利、送股、转增股本、增发新股等原因进行除权、除息的，减持价格将按有关
规定作相应调整；（5）公司上市后6个月内如公司股票连续20个交易日的收盘价均低于
发行价，或者上市后6个月期末收盘价低于发行价，本人持有公司股票的锁定期限自动
延长6个月。
4、作为监事的自然人股东焦复润、刘延广、詹慧慧分别承诺：（1）自发行人股票
上市之日起十二个月内，不转让或者委托他人管理其持有的发行人股份，也不由发行人
回购其持有的发行人股份；（2）除前述锁定期外，在任职期间每年转让的股份数不超过
其所持有的发行人股份总数的25%；（3）本人离职后六个月内不转让其所持有的发行人
股份。
5、公开发行前持股5%以上的自然人股东刘乃若承诺：（1）自发行人股票上市之日
起十二个月内，不转让或者委托他人管理其本次发行前所持有的发行人股份，也不由发
行人回购其持有的发行人股份；（2）本人所持公司股份在锁定期满两年内拟减持不超过
本人持有公司股份的15%，减持价格不低于公司首次公开发行的发行价格，如果因派发
现金红利、送股、转增股本、增发新股等原因进行除权、除息的，减持价格将按有关规
定作相应调整；如超过上述期限，本人减持公司股份的，承诺将依法按照《公司法》、
《证券法》、中国证监会及上海证券交易所相关规定办理。
6、公司其他股东分别承诺：自发行人股票上市之日起十二个月内，不转让或者委
"
4,N_A,"其所持有的发行人股份总数的25%；（3）本人离职后六个月内不转让其所持有的发行人
股份。
5、公开发行前持股5%以上的自然人股东刘乃若承诺：（1）自发行人股票上市之日
起十二个月内，不转让或者委托他人管理其本次发行前所持有的发行人股份，也不由发
行人回购其持有的发行人股份；（2）本人所持公司股份在锁定期满两年内拟减持不超过
本人持有公司股份的15%，减持价格不低于公司首次公开发行的发行价格，如果因派发
现金红利、送股、转增股本、增发新股等原因进行除权、除息的，减持价格将按有关规
定作相应调整；如超过上述期限，本人减持公司股份的，承诺将依法按照《公司法》、
《证券法》、中国证监会及上海证券交易所相关规定办理。
6、公司其他股东分别承诺：自发行人股票上市之日起十二个月内，不转让或者委
托他人管理其本次发行前所持有的发行人股份，也不由发行人回购其持有的发行人股
份。
为保护投资者利益，进一步明确稳定公司上市后三年内公司股价低于每股净资产时
稳定公司股价的措施，按照证监会《关于进一步推进新股发行体制改革的意见》的相关
要求，本公司特制订《威龙葡萄酒股份有限公司股价稳定预案》。
1、启动股价稳定措施的具体条件
本公司在上市后三年内股价低于每股净资产时：最近连续20个交易日公司股票收盘
价（若因除权除息等事项致使股票收盘价与公司最近一期经审计的每股净资产不具可比
性的，股票收盘价应做相应调整）均价低于最近一期经审计的每股净资产时，公司将于
两个交易日内作出提示公告，七个交易日内公告股价稳定措施，按公告内容启动股价稳
定措施。
2、具体的股价稳定措施
触发启动股价稳定措施的条件时，公司将推出以下股价稳定措施中的一项或多项：
（1）公司将以不低于1,000万元自有资金回购公司股份，回购金额累计不超过首次
公开发行新股募集资金总额，且回购不应导致公司股权分布不符合上市条件；
（2）公司控股股东、实际控制人王珍海将以不低于1,000万元增持公司股票；
（3）公司董事（独立董事除外）和高级管理人员将分别各自以不低于上一年度年薪
的50%资金增持公司股票；
（4）证券监管部门认可的其他方式。
公司将严格按照证监会和上海证券交易所要求实施上述措施，将根据证监会和上海
证券交易所规定、指引要求及时进行公告。
公司控股股东及实际控制人王珍海、公司董事（独立董事除外）、高级管理人员在
启动股价稳定措施时应提前告知公司具体实施方案以便公告。
"
5,N_A,"触发启动股价稳定措施的条件时，公司将推出以下股价稳定措施中的一项或多项：
（1）公司将以不低于1,000万元自有资金回购公司股份，回购金额累计不超过首次
公开发行新股募集资金总额，且回购不应导致公司股权分布不符合上市条件；
（2）公司控股股东、实际控制人王珍海将以不低于1,000万元增持公司股票；
（3）公司董事（独立董事除外）和高级管理人员将分别各自以不低于上一年度年薪
的50%资金增持公司股票；
（4）证券监管部门认可的其他方式。
公司将严格按照证监会和上海证券交易所要求实施上述措施，将根据证监会和上海
证券交易所规定、指引要求及时进行公告。
公司控股股东及实际控制人王珍海、公司董事（独立董事除外）、高级管理人员在
启动股价稳定措施时应提前告知公司具体实施方案以便公告。
3、股价稳定措施终止条件及再次触发条件
（1）自股价稳定方案公告之日起90个自然日内，若出现以下情形之一的，则视为
本次稳定股价措施实施完毕及承诺履行完毕，已公告的稳定股价方案终止执行：
第一，公司股票连续10个交易日的收盘价均高于公司最近一期经审计的每股净资
产，若因除权除息等事项致使股票收盘价与公司最近一期经审计的每股净资产不具可比
性的，股票收盘价应做相应调整；第二，继续回购或增持公司股份将导致公司股权分布
不符合上市条件；
（2）公司稳定股价措施实施完毕之日起两个交易日内，公司应将稳定股价措施实
施情况予以公告。公司稳定股价措施实施完毕后，如公司股票价格再度触发启动股价稳
定措施的条件，则本公司、控股股东、董事（独立董事除外）、高级管理人员等相关责
任主体将继续按照上述稳定股价措施履行相关义务。自股价稳定方案公告之日起90个自
然日内，若股价稳定方案终止的条件未能实现，则公司董事会制定的股价稳定方案即刻
自动重新生效，公司继续履行股价稳定措施；或者公司董事会即刻提出并实施新的股价
稳定方案，直至股价稳定方案终止的条件实现。
（1）公司未履行上述公开承诺，公司应在未履行承诺的事实得到确认的次一交易
日公告相关情况，公司法定代表人将在证监会指定报刊上公开作出解释并向投资者道
歉。
（2）若公司控股股东及实际控制人未履行上述公开承诺，公司应在未履行承诺的
事实得到确认的次一交易日公告相关情况，公司控股股东及实际控制人将在证监会指定
报刊上公开作出解释并向投资者道歉。在当年公司向股东分红时，控股股东自愿将其分
"
6,N_A,"任主体将继续按照上述稳定股价措施履行相关义务。自股价稳定方案公告之日起90个自
然日内，若股价稳定方案终止的条件未能实现，则公司董事会制定的股价稳定方案即刻
自动重新生效，公司继续履行股价稳定措施；或者公司董事会即刻提出并实施新的股价
稳定方案，直至股价稳定方案终止的条件实现。
（1）公司未履行上述公开承诺，公司应在未履行承诺的事实得到确认的次一交易
日公告相关情况，公司法定代表人将在证监会指定报刊上公开作出解释并向投资者道
歉。
（2）若公司控股股东及实际控制人未履行上述公开承诺，公司应在未履行承诺的
事实得到确认的次一交易日公告相关情况，公司控股股东及实际控制人将在证监会指定
报刊上公开作出解释并向投资者道歉。在当年公司向股东分红时，控股股东自愿将其分
红所得交由公司代管，作为履行承诺的保证。如果当年分红已经完成，控股股东自愿将
下一年分红所得交由公司代管，作为履行承诺的保证。
（3）若公司董事（独立董事除外）及高级管理人员未履行上述公开承诺，公司不
得将其作为股权激励对象，或调整出已开始实施的股权激励方案的行权名单；视情节轻
重，公司可以对未履行承诺的董事、高级管理人员，采取扣减绩效薪酬、降薪、降职、
停职、撤职等处罚措施。
（4）上市公司将在定期报告中披露上市公司及其控股股东、公司董事（独立董事
除外）及高级管理人员的股价稳定措施的履行情况，和未履行股价稳定措施时的补救及
改正情况。
（5）公司未来新选聘的董事（独立董事除外）、高级管理人员也应履行公司发行上
市时董事、高级管理人员已作出的关于股价稳定措施的相应承诺要求。
三、关于招股意向书中有虚假记载、误导性陈述或者重大遗漏影响发
行条件回购公司股份的承诺
行条件回购公司股份的承诺
公司及控股股东、实际控制人王珍海对关于公司招股意向书中有虚假记载、误导性
陈述或者重大遗漏影响发行条件回购股票作出如下公开承诺：
1、公司的相关承诺
（1）启动股份回购措施的程序
发行人首次公开发行股票并上市招股意向书有虚假记载、误导性陈述或者重大遗
漏，对判断公司是否符合法律规定的发行条件构成重大、实质影响的，公司应该在得知
该事实的次一交易日公告，并依法回购公司首次公开发行的全部新股。公司董事会在公
告后的七个交易日内制定股份回购预案并公告，按证监会、上海证券交易所的规定和预
案启动股份回购措施。
（2）回购价格
公司以要约方式回购股份的，回购价格不低于公告回购报告书前30个交易日股票加
"
7,N_A,"三、关于招股意向书中有虚假记载、误导性陈述或者重大遗漏影响发
行条件回购公司股份的承诺
行条件回购公司股份的承诺
公司及控股股东、实际控制人王珍海对关于公司招股意向书中有虚假记载、误导性
陈述或者重大遗漏影响发行条件回购股票作出如下公开承诺：
1、公司的相关承诺
（1）启动股份回购措施的程序
发行人首次公开发行股票并上市招股意向书有虚假记载、误导性陈述或者重大遗
漏，对判断公司是否符合法律规定的发行条件构成重大、实质影响的，公司应该在得知
该事实的次一交易日公告，并依法回购公司首次公开发行的全部新股。公司董事会在公
告后的七个交易日内制定股份回购预案并公告，按证监会、上海证券交易所的规定和预
案启动股份回购措施。
（2）回购价格
公司以要约方式回购股份的，回购价格不低于公告回购报告书前30个交易日股票加
权平均价的算术平均值。
（3）未履行承诺的约束措施
①公司未履行公开承诺的回购公司股份事项的，公司应在未履行承诺的事实得到确
认的次一交易日公告相关情况。上述事实确认的时间指下述时间的较早者（以下同）：
（A）证监会、交易所等监管机构认定时；
（B）保荐机构认定时；
（C）独立董事认定时。
②公司未履行回购股份的公开承诺，公司应在未履行承诺的事实得到确认的次一交
易日公告相关情况，公司法定代表人将在证监会指定报刊上公开作出解释并向投资者道
歉。
③上市公司将在定期报告中披露上市公司的回购公司股份承诺履行情况，和未履行
承诺时的补救及改正情况。
2、控股股东、实际控制人的相关承诺
（1）发行人首次公开发行股票并上市招股意向书有虚假记载、误导性陈述或者重
大遗漏，对判断发行人是否符合法律规定的发行条件构成重大、实质影响的，本人将回
购已转让的原限售股份。以要约方式回购首次公开发行时已转让的原限售股份的，回购
价格不低于公告相关文件前30个交易日股票加权平均价的算术平均值。
（2）未履行承诺的约束措施
若本人未履行上述公开承诺，本人将在证监会指定报刊上公开作出解释并向投资者
道歉。在当年发行人向股东分红时，本人自愿将分红所得交由发行人代管，作为履行承
诺的保证。如果当年分红已经完成，本人自愿将下一年分红所得交由发行人代管，作为
履行承诺的保证。
四、关于招股意向书中有虚假记载、误导性陈述或者重大遗
四、关于招股意向书中有虚假记载、误导性陈述或者重大遗漏赔偿投
资者损失的承诺
"
8,N_A,"大遗漏，对判断发行人是否符合法律规定的发行条件构成重大、实质影响的，本人将回
购已转让的原限售股份。以要约方式回购首次公开发行时已转让的原限售股份的，回购
价格不低于公告相关文件前30个交易日股票加权平均价的算术平均值。
（2）未履行承诺的约束措施
若本人未履行上述公开承诺，本人将在证监会指定报刊上公开作出解释并向投资者
道歉。在当年发行人向股东分红时，本人自愿将分红所得交由发行人代管，作为履行承
诺的保证。如果当年分红已经完成，本人自愿将下一年分红所得交由发行人代管，作为
履行承诺的保证。
四、关于招股意向书中有虚假记载、误导性陈述或者重大遗
四、关于招股意向书中有虚假记载、误导性陈述或者重大遗漏赔偿投
资者损失的承诺
四、关于招股意向书中有虚假记载、误导性陈述或者重大遗漏赔偿投
1、本公司及其控股股东、实际控制人、董事、监事、高级管理人员等相关责任主
体承诺，本公司招股意向书有虚假记载、误导性陈述或者重大遗漏，致使投资者在证券
交易中遭受损失的，将依法赔偿投资者损失。
2、保荐机构承诺：本公司为发行人首次公开发行制作、出具的文件不存在虚假记
载、误导性陈述或者重大遗漏的情形；若因本公司为发行人首次公开发行制作、出具的
文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，本公司将依法赔偿
投资者损失。
为进一步保护投资者权益，2016年2月，保荐机构承诺：因其为发行人首次公开发
行股票制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，
将先行赔偿投资者损失。
3、发行人律师、会计师承诺：因其为发行人首次公开发行制作、出具的文件有虚
1、本公司及其控股股东、实际控制人、董事、监事、高级管理人员等相关责任主
体承诺，本公司招股意向书有虚假记载、误导性陈述或者重大遗漏，致使投资者在证券
交易中遭受损失的，将依法赔偿投资者损失。
2、保荐机构承诺：本公司为发行人首次公开发行制作、出具的文件不存在虚假记
载、误导性陈述或者重大遗漏的情形；若因本公司为发行人首次公开发行制作、出具的
文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，本公司将依法赔偿
投资者损失。
为进一步保护投资者权益，2016年2月，保荐机构承诺：因其为发行人首次公开发
行股票制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，
将先行赔偿投资者损失。
"
9,N_A,"1、本公司及其控股股东、实际控制人、董事、监事、高级管理人员等相关责任主
体承诺，本公司招股意向书有虚假记载、误导性陈述或者重大遗漏，致使投资者在证券
交易中遭受损失的，将依法赔偿投资者损失。
2、保荐机构承诺：本公司为发行人首次公开发行制作、出具的文件不存在虚假记
载、误导性陈述或者重大遗漏的情形；若因本公司为发行人首次公开发行制作、出具的
文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，本公司将依法赔偿
投资者损失。
为进一步保护投资者权益，2016年2月，保荐机构承诺：因其为发行人首次公开发
行股票制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，
将先行赔偿投资者损失。
3、发行人律师、会计师承诺：因其为发行人首次公开发行制作、出具的文件有虚
假记载、误导性陈述或者重大遗漏，给投资者造成损失的，将依法赔偿投资者损失。
五、公开发行前持股5%以上股东的持股意向及减持意向
1、本公司控股股东、实际控制人王珍海承诺：本人所持公司股份在锁定期满后两
年内无减持意向；如超过上述期限本人拟减持公司股份的，承诺将依法按照《公司法》、
《证券法》、中国证监会及上海证券交易所相关规定办理。
2、公开发行前持股5%以上股东刘乃若承诺：本人所持公司股份在锁定期满两年内
拟减持不超过本人持有公司股份的15%，减持价格不低于公司首次公开发行的发行价格，
如果因派发现金红利、送股、转增股本、增发新股等原因进行除权、除息的，减持价格
将按有关规定作相应调整；如超过上述期限，本人减持公司股份的，承诺将依法按照《公
司法》、《证券法》、中国证监会及上海证券交易所相关规定办理。
3、公开发行前持股5%以上股东王珍海、刘乃若承诺：若本人因未履行上述承诺而
获得收入的，所得收入归公司所有，本人将在获得收入的五日内将前述收入支付给公司
指定账户。如果因本人未履行上述承诺事项给公司或者其他投资者造成损失的，本人将
向公司或者其他投资者依法承担赔偿责任。
五、公开发行前持股5%以上股东的持股意向及减持意向
六、相关责任主体承诺事项的约束措施
根据《中国证监会关于进一步推进新股发行体制改革的意见》,发行人及其控股股
东、实际控制人以及公司董事、监事、高级管理人员等责任主体就本次发行做出一系列
公开承诺，为督促上述承诺责任主体严格履行公开承诺事项，除承诺本身已经作出履行
约束措施外，对上述人员作出的其他承诺，特制定以下履行承诺约束措施：
"
