页码,表格,纯文本
0,N_A,"首次公开发行股票
招股意向书

（广东省深圳市福田区中心三路8号卓越时代广场（二期）北座）
本次发行前股东对所持股份自愿锁定的承诺：
公司实际控制人林志雄、林志军以及公司股东大博通商、大博国际、大博传奇、合心同创以及
持有公司股份的董事、监事、高级管理人员承诺：在公司股票上市之日起 36 个月之内，不转让或
委托他人管理其于本次发行前直接或间接持有的公司股份，也不由公司回购其直接或间接持有的公
司公开发行股票前已发行的股份。若其所持公司股票在锁定期满后两年内进行减持的，股票减持的
价格应不低于公司首次公开发行股票的发行价。若公司上市后 6 个月内股票连续 20 个交易日的收
盘价均低于发行价，或者公司上市后6个月期末股票收盘价低于发行价，其承诺的股票锁定期限将
自动延长6个月；于其担任公司董事、监事、高级管理人员期间，每年转让的公司股份不超过其直
接或间接所持股份总数的25%，如其自公司离职，则自离职后半年内不转让其所持有的公司股份；
如遇除权除息事项，上述发行价作相应调整。
公司股东大博通商、大博国际、林志军承诺：若其所持有的公司股票在锁定期满后进行减持，
每年减持数量不超过上年末公司总股本的 5%，减持行为将通过竞价交易、大宗交易、协议转让等
合法方式进行，其将至少提前三个交易日通知公司公告本次减持的数量、减持价格区间、减持时间
区间等。
发行人及全体董事、监事、高级管理人员承诺招股意向书不存在虚假记载、误导性
陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律责任。
保荐人承诺因其为发行人首次公开发行股票制作、出具的文件有虚假记载、误导性
陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及其摘要中
财务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所作的任何决定或意见，均不表明其对发行
人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的声明均属虚假
不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发行人自
行负责；由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪人、律师、
会计师或其他专业顾问。
本公司特别提醒投资者认真阅读本招股意向书的“风险因素”部分，并特别注意下
"
1,N_A,"陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及其摘要中
财务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所作的任何决定或意见，均不表明其对发行
人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的声明均属虚假
不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发行人自
行负责；由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪人、律师、
会计师或其他专业顾问。
本公司特别提醒投资者认真阅读本招股意向书的“风险因素”部分，并特别注意下
列事项：
一、本次发行的相关重要承诺的说
公司实际控制人林志雄、林志军以及公司股东大博通商、大博国际、大博传奇、合
心同创以及持有公司股份的董事、监事、高级管理人员承诺：
“1、发行人经中国证券监督管理委员会核准首次公开发行股票后，自发行人股票
上市之日起三十六个月内，本人/本公司不转让或者委托他人管理本次发行前所直接和
间接持有的发行人股份，也不由发行人回购本次发行前所直接和间接持有的发行人股
份。
2、本人/本公司所持发行人股票在锁定期满后两年内减持的，其减持价格不低于发
行人首次公开发行股票时的发行价。
3、发行人上市后六个月内如发行人股票连续二十个交易日的收盘价均低于发行人
首次公开发行股票时的发行价，或者上市后六个月期末收盘价低于发行人首次公开发行
股票时的发行价，本人/本公司持有发行人股票的锁定期限自动延长 6个月。
发行人上市后，如有派息、送股、资本公积转增股本、配股等除权除息事项，上述
第2、3项所述发行价作相应调整。
4、本人担任发行人董事、监事、高级管理人员期间，每年转让发行人股份不超过
本人直接或间接所持有股份总数的 25%；在离职后半年内不转让其本人所持有的发行人
股份。
若因本人/本公司未履行上述承诺而获得收入的，所得收入归发行人所有，本人/本
公司将在获得收入的五日内将上述收入支付给发行人指定账户。如果因本人/本公司未
履行上述承诺给发行人或者其他投资者造成损失的，本人/本公司将向发行人或其他投
资者依法承担赔偿责任。”
（二）公司股东的持股意向及减持意向
公司全体股东承诺不参与原股东公开发售股份。
公司股东大博通商、大博国际、林志军承诺：
"
2,N_A,"发行人上市后，如有派息、送股、资本公积转增股本、配股等除权除息事项，上述
第2、3项所述发行价作相应调整。
4、本人担任发行人董事、监事、高级管理人员期间，每年转让发行人股份不超过
本人直接或间接所持有股份总数的 25%；在离职后半年内不转让其本人所持有的发行人
股份。
若因本人/本公司未履行上述承诺而获得收入的，所得收入归发行人所有，本人/本
公司将在获得收入的五日内将上述收入支付给发行人指定账户。如果因本人/本公司未
履行上述承诺给发行人或者其他投资者造成损失的，本人/本公司将向发行人或其他投
资者依法承担赔偿责任。”
（二）公司股东的持股意向及减持意向
公司全体股东承诺不参与原股东公开发售股份。
公司股东大博通商、大博国际、林志军承诺：
“在锁定期满后，本人/本公司将审慎制定发行人股票的减持计划，按照相关计划
逐步进行减持，每年减持数量不超过上年末发行人总股本的 5%。
在锁定期满后两年内，若本人本公司所持发行人股票进行减持，减持行为将通过竞
价交易、大宗交易、协议转让等合法方式进行，本人/本公司将至少提前三个交易日通
知发行人公告本次减持的数量、减持价格区间、减持时间区间等。
若本人/本公司违反上述声明，本人/本公司将在发行人股东大会及中国证监会指定
报刊上公开说明未履行的具体原因并向股东和社会公众投资者道歉，并将在符合法律、
法规及规范性文件规定的情况下 10 个交易日内购回违规卖出的股票，且自购回完成之
日起自动延长持有股份的锁定期 3 个月；如果因未履行上述公开声明事项而获得收益
的，所得的收益归发行人所有。”
（三）关于上市后三年内稳定股价的预案
本公司及大博通商、公司全体董事、高级管理人员承诺：“发行人上市（以股份公
司股票在深圳证券交易所挂牌交易之日为准）后三年内，若发行人股价持续低于每股净
资产，本公司/本人将严格依照《大博医疗科技股份有限公司上市后三年内稳定公司股
价的预案》中规定的相关程序通过回购股份公司股票的方式启动股价稳定措施。”
1、启动股价稳定措施的条件
公司股票连续 20 个交易日的收盘价均低于公司最近一年度末经审计的每股净资产
（若因除权除息等事项致使上述股票收盘价与公司最近一年度末经审计的每股净资产
不具可比性的，上述股票收盘价应做相应调整）。
2、股价稳定措施的方式及顺序
股价稳定措施包括：（1）公司回购股票；（2）公司控股股东增持公司股票；（3）董
"
3,N_A,"本公司及大博通商、公司全体董事、高级管理人员承诺：“发行人上市（以股份公
司股票在深圳证券交易所挂牌交易之日为准）后三年内，若发行人股价持续低于每股净
资产，本公司/本人将严格依照《大博医疗科技股份有限公司上市后三年内稳定公司股
价的预案》中规定的相关程序通过回购股份公司股票的方式启动股价稳定措施。”
1、启动股价稳定措施的条件
公司股票连续 20 个交易日的收盘价均低于公司最近一年度末经审计的每股净资产
（若因除权除息等事项致使上述股票收盘价与公司最近一年度末经审计的每股净资产
不具可比性的，上述股票收盘价应做相应调整）。
2、股价稳定措施的方式及顺序
股价稳定措施包括：（1）公司回购股票；（2）公司控股股东增持公司股票；（3）董
事（不含独立董事，下同）、高级管理人员增持公司股票等方式。
选用前述方式时应考虑：（1）不能导致公司不满足法定上市条件；（2）不能迫使控
股股东履行要约收购义务。
股价稳定措施的实施顺序如下：
（1）第一选择为公司回购股票，但如公司回购股票将导致公司不满足法定上市条
件，则第一选择为控股股东增持公司股票；
（2）第二选择为控股股东增持公司股票。在下列情形之一出现时将启动第二选择：
A、公司无法实施回购股票或回购股票议案未获得公司股东大会批准，且控股股东
增持公司股票不会致使公司将不满足法定上市条件或触发控股股东的要约收购义务；或
B、公司虽实施股票回购计划但仍未满足连续 3个交易日的收盘价均已高于公司最
近一年度末经审计的每股净资产之条件。
（3）第三选择为董事、高级管理人员增持公司股票。启动该选择的条件为：在控
股股东增持公司股票方案实施完成后，如公司股票仍未满足连续 3个交易日的收盘价均
已高于公司最近一年度末经审计的每股净资产之条件，并且董事、高级管理人员增持公
司股票不会致使公司将不满足法定上市条件或触发董事、高级管理人员的要约收购义
务。
单一会计年度，公司需强制启动股价稳定措施的义务限一次。
3、实施公司回购股票的程序
在达到触发启动股价稳定措施条件的情况下，公司将在 10个自然日内召开董事会，
依法作出实施回购股票的决议、提交股东大会批准并履行相应公告程序。公司将在董事
会决议公告之日起 30 个自然日内召开股东大会，审议实施回购股票的议案，公司股东
大会对实施回购股票作出决议，必须经出席会议的股东所持表决权的 2/3 以上通过。公
"
4,N_A,"股股东增持公司股票方案实施完成后，如公司股票仍未满足连续 3个交易日的收盘价均
已高于公司最近一年度末经审计的每股净资产之条件，并且董事、高级管理人员增持公
司股票不会致使公司将不满足法定上市条件或触发董事、高级管理人员的要约收购义
务。
单一会计年度，公司需强制启动股价稳定措施的义务限一次。
3、实施公司回购股票的程序
在达到触发启动股价稳定措施条件的情况下，公司将在 10个自然日内召开董事会，
依法作出实施回购股票的决议、提交股东大会批准并履行相应公告程序。公司将在董事
会决议公告之日起 30 个自然日内召开股东大会，审议实施回购股票的议案，公司股东
大会对实施回购股票作出决议，必须经出席会议的股东所持表决权的 2/3 以上通过。公
司股东大会批准实施回购股票的议案后公司将依法履行相应的公告、备案及通知债权人
等义务。在满足法定条件下依照决议通过的实施回购股票的议案中所规定的价格区间、
期限实施回购。
公司回购股份的资金为自有资金，回购股份的价格不超过最近一个会计年度末经审
计的每股净资产，回购股份的方式为集中竞价交易方式、要约方式或证券监督管理部门
认可的其他方式。
单一会计年度用以稳定股价的回购资金合计不超过最近一个会计年度经审计的归
属于母公司股东净利润的 50%。超过上述标准的，有关稳定股价措施在当年度不再继续
实施。但如下一年度继续出现需启动稳定股价措施的情形时，公司将继续按照上述原则
执行稳定股价预案。
除非出现下列情形，公司将在股东大会决议作出之日起 4个月内回购股票：
（1）公司股票连续 3 个交易日的收盘价均已高于公司最近一年度末经审计的每股
净资产；
（2）继续回购股票将导致公司不满足法定上市条件。
单次实施回购股票完毕或终止后，本次回购的公司股票应在实施完毕或终止之日起
10个自然日内注销，并及时办理公司减资程序。
4、实施控股股东增持公司股票的程序
（1）启动程序
A、公司未实施股票回购计划
在达到触发启动股价稳定措施条件的情况下，并且在公司无法实施回购股票或回购
股票议案未获得公司股东大会批准，且控股股东增持公司股票不会致使公司将不满足法
定上市条件或触发控股股东的要约收购义务的前提下，公司控股股东将在达到触发启动
股价稳定措施条件或公司股东大会作出不实施回购股票计划的决议之日起 30 个自然日
内向公司提交增持公司股票的方案并由公司公告。
"
5,N_A,"（2）继续回购股票将导致公司不满足法定上市条件。
单次实施回购股票完毕或终止后，本次回购的公司股票应在实施完毕或终止之日起
10个自然日内注销，并及时办理公司减资程序。
4、实施控股股东增持公司股票的程序
（1）启动程序
A、公司未实施股票回购计划
在达到触发启动股价稳定措施条件的情况下，并且在公司无法实施回购股票或回购
股票议案未获得公司股东大会批准，且控股股东增持公司股票不会致使公司将不满足法
定上市条件或触发控股股东的要约收购义务的前提下，公司控股股东将在达到触发启动
股价稳定措施条件或公司股东大会作出不实施回购股票计划的决议之日起 30 个自然日
内向公司提交增持公司股票的方案并由公司公告。
B、公司已实施股票回购计划
公司虽实施股票回购计划但仍未满足公司股票连续 3 个交易日的收盘价均已高于
公司最近一年度末经审计的每股净资产之条件，公司控股股东将在公司股票回购计划实
施完毕或终止之日起30 个自然日内向公司提交增持公司股票的方案并由公司公告。
（2）控股股东增持公司股票的计划
在履行相应的公告等义务后，控股股东将在满足法定条件下依照方案中所规定的价
格区间、期限实施增持。
控股股东增持股票的金额不超过控股股东上年度从公司领取的分红和上年度从公
司领取的薪酬的合计值，增持股份的价格不超过最近一个会计年度末经审计的每股净资
产。公司不得为控股股东实施增持公司股票提供资金支持。
除非出现下列情形，控股股东将在增持方案公告之日起 4个月内实施增持公司股票
计划：
A、公司股票连续3 个交易日的收盘价均已高于公司最近一年度末经审计的每股净
资产；
B、继续增持股票将导致公司不满足法定上市条件；
C、继续增持股票将导致控股股东需要履行要约收购义务且控股股东未计划实施要
约收购。
5、董事、高级管理人员增持公司股票的程序
在控股股东增持公司股票方案实施完成或终止的情况下，公司股票仍未满足连续 3
个交易日的收盘价均已高于公司最近一年度末经审计的每股净资产之条件且董事、高级
管理人员增持公司股票不会致使公司将不满足法定上市条件或触发其要约收购义务的
情况下，董事、高级管理人员将在控股股东增持公司股票方案实施完成或终止的 90 个
自然日内增持公司股票，且增持资金不超过其上一年度于公司取得薪酬总额，增持股份
的价格不超过最近一个会计年度末经审计的每股净资产。具体增持股票的数量等事项将
"
6,N_A,"B、继续增持股票将导致公司不满足法定上市条件；
C、继续增持股票将导致控股股东需要履行要约收购义务且控股股东未计划实施要
约收购。
5、董事、高级管理人员增持公司股票的程序
在控股股东增持公司股票方案实施完成或终止的情况下，公司股票仍未满足连续 3
个交易日的收盘价均已高于公司最近一年度末经审计的每股净资产之条件且董事、高级
管理人员增持公司股票不会致使公司将不满足法定上市条件或触发其要约收购义务的
情况下，董事、高级管理人员将在控股股东增持公司股票方案实施完成或终止的 90 个
自然日内增持公司股票，且增持资金不超过其上一年度于公司取得薪酬总额，增持股份
的价格不超过最近一个会计年度末经审计的每股净资产。具体增持股票的数量等事项将
提前公告。
董事、高级管理人员增持公司股票在达到以下条件之一的情况下终止：
（1）公司股票连续 3 个交易日的收盘价均已高于公司最近一年度末经审计的每股
净资产；
（2）继续增持股票将导致公司不满足法定上市条件；
（3）继续增持股票将导致需要履行要约收购义务且其未计划实施要约收购。
公司针对其面临的产品降价风险、产品质量及面临医疗纠纷的风险、实际控制人控
制失当的风险等，制定了完善的业务发展战略及目标以合理控制风险。同时，公司建立
了完善的公司治理和内部控制制度，并不断完善利润分配政策，强化投资者回报机制，
加强人才队伍建设，积蓄发展活力，上述措施有助于提高公司日常运营效率、降低公司
运营成本和提升公司经营业绩。
本次首次发行摊薄即期回报采取填补的措施及承诺的详细情况请参见本招股意向
书“第十一节 管理层讨论与分析”之“八、本次发行对公司即期回报摊薄的影响分析
及填补措施”。
本公司及公司实际控制人林志雄、林志军，大博通商以及公司董事、监事、高级管
理人员承诺：
“本人/本公司承诺招股意向书不存在虚假记载、误导性陈述或重大遗漏，并对其
真实性、准确性、完整性承担个别和连带的法律责任。
如招股意向书存在虚假记载、误导性陈述或者重大遗漏，对判断发行人是否符合法
律规定的发行条件构成重大、实质影响的，本人/本公司将以二级市场价格依法回购本
次公开发行的全部新股。
如招股意向书存在虚假记载、误导性陈述或者重大遗漏，致使投资者在买卖公司股
票的证券交易中遭受损失的，本人/本公司将依法赔偿投资者损失。
如本人/本公司未能履行首次公开发行上市时已作出的公开承诺，则采取或接受以
"
7,N_A,"书“第十一节 管理层讨论与分析”之“八、本次发行对公司即期回报摊薄的影响分析
及填补措施”。
本公司及公司实际控制人林志雄、林志军，大博通商以及公司董事、监事、高级管
理人员承诺：
“本人/本公司承诺招股意向书不存在虚假记载、误导性陈述或重大遗漏，并对其
真实性、准确性、完整性承担个别和连带的法律责任。
如招股意向书存在虚假记载、误导性陈述或者重大遗漏，对判断发行人是否符合法
律规定的发行条件构成重大、实质影响的，本人/本公司将以二级市场价格依法回购本
次公开发行的全部新股。
如招股意向书存在虚假记载、误导性陈述或者重大遗漏，致使投资者在买卖公司股
票的证券交易中遭受损失的，本人/本公司将依法赔偿投资者损失。
如本人/本公司未能履行首次公开发行上市时已作出的公开承诺，则采取或接受以
下措施：（1）在有关监管机关要求的期限内予以纠正；（2）给投资者造成直接损失的，
依法赔偿损失；（3）有违法所得的，按相关法律法规处理；（4）如该违反的承诺属可以
继续履行的，将继续履行该承诺；（5）根据届时规定可以采取的其他措施。”
公司承诺：
“本公司将严格履行所作出的与本次发行人拟向社会公众首次公开发行股票并于
深圳证券交易所上市相关的所有公开承诺事项，积极接受社会监督。如本公司的承诺未
能履行、确已无法履行或无法按期履行的，本公司将采取如下措施：
1、以自有资金补偿公众投资者因依赖相关承诺实施交易而遭受的直接损失，补偿
金额由本公司与投资者协商确定，或根据证券监督管理部门、司法机关认定的方式确定；
2、自本公司完全消除未履行相关承诺事项所产生的不利影响之日起 12 个月内，本
公司将不得发行证券，包括但不限于股票、公司债券、可转换的公司债券及证券监督管
理部门认可的其他品种等；
3、自本公司未完全消除未履行相关承诺事项所产生的不利影响之前，本公司不得
以任何形式向本公司之董事、监事、高级管理人员增加薪资或津贴。”
实际控制人林志雄、林志军，大博通商以及公司董事、监事、高级管理人员承诺：
“本公司/本人将严格履行所作出的与本次发行人拟向社会公众首次公开发行股票
并于深圳证券交易所上市相关的所有公开承诺事项，积极接受社会监督。如本公司的承
诺未能履行、确已无法履行或无法按期履行的，本公司/本人将采取如下措施：
1、以自有资金（包括但不限于本公司/本人自发行人所获分红）补偿发行人因依赖
"
8,N_A,"公司将不得发行证券，包括但不限于股票、公司债券、可转换的公司债券及证券监督管
理部门认可的其他品种等；
3、自本公司未完全消除未履行相关承诺事项所产生的不利影响之前，本公司不得
以任何形式向本公司之董事、监事、高级管理人员增加薪资或津贴。”
实际控制人林志雄、林志军，大博通商以及公司董事、监事、高级管理人员承诺：
“本公司/本人将严格履行所作出的与本次发行人拟向社会公众首次公开发行股票
并于深圳证券交易所上市相关的所有公开承诺事项，积极接受社会监督。如本公司的承
诺未能履行、确已无法履行或无法按期履行的，本公司/本人将采取如下措施：
1、以自有资金（包括但不限于本公司/本人自发行人所获分红）补偿发行人因依赖
该等承诺而遭受的直接损失；
2、自本人完全消除未履行相关承诺事项所产生的不利影响之前，本人不得以任何
方式要求发行人为本人增加薪资或津贴，且亦不得以任何形式接受发行人增加支付的薪
资或津贴。
3、自本公司/本人完全消除未履行相关承诺事项所产生的不利影响之前，本公司/
本人不得以任何方式减持持有的发行人股份。”
七）本次发行相关中介机构的声明和承诺
本次发行的保荐机构中信证券股份有限公司承诺：“本公司为发行人首次公开发行
制作、出具的文件不存在虚假记载、误导性陈述或者重大遗漏的情形；若因本公司为发
行人首次公开发行制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者
造成损失的，本公司将先行赔偿投资者损失。”
本次发行的发行人律师承诺：“本所已严格履行法定职责，按照律师行业的业务标
准和执业规范，对发行人首次公开发行所涉相关法律问题进行了核查验证，确保本所出
具的文件真实、准确、完整、及时，不存在虚假记载、误导性陈述或者重大遗漏。如因
本所为发行人首次公开发行出具的文件存在虚假记载、误导性陈述或者重大遗漏，给投
资者造成损失，本所将依法赔偿投资者损失。有权获得赔偿的投资者资格、投资者损失
的范围认定、赔偿主体之间的责任划分和免责事由按照《证券法》、《最高人民法院关于
审理证券市场因虚假陈述引发的民事赔偿案件的若干规定》（法释[2003]2 号）等相关法
律法规和司法解释的规定执行。如相关法律法规和司法解释相应修订，则按届时有效的
法律法规和司法解释执行。本所承诺将严格按生效司法文书所认定的赔偿方式和赔偿金
额进行赔偿，确保投资者合法权益得到有效保护。”
本次发行的审计机构天健会计师事务所（特殊普通合伙）承诺：“因本所为大博医
"
9,N_A,"具的文件真实、准确、完整、及时，不存在虚假记载、误导性陈述或者重大遗漏。如因
本所为发行人首次公开发行出具的文件存在虚假记载、误导性陈述或者重大遗漏，给投
资者造成损失，本所将依法赔偿投资者损失。有权获得赔偿的投资者资格、投资者损失
的范围认定、赔偿主体之间的责任划分和免责事由按照《证券法》、《最高人民法院关于
审理证券市场因虚假陈述引发的民事赔偿案件的若干规定》（法释[2003]2 号）等相关法
律法规和司法解释的规定执行。如相关法律法规和司法解释相应修订，则按届时有效的
法律法规和司法解释执行。本所承诺将严格按生效司法文书所认定的赔偿方式和赔偿金
额进行赔偿，确保投资者合法权益得到有效保护。”
本次发行的审计机构天健会计师事务所（特殊普通合伙）承诺：“因本所为大博医
疗科技股份有限公司首次公开发行股票上市制作、出具的文件有虚假记载、误导性陈述
或者重大遗漏，给投资者造成损失的，将依法赔偿投资者损失，如能证明本所没有过错
的除外。”
二、关于公司上市后股利分配政策及上市前滚存利润的分配
根据公司 2016 年第一次临时股东大会审议通过的《公司章程（草案）》，公司本次
发行后的利润分配政策为：
1、利润分配的原则：公司充分重视对投资者的合理投资回报，同时兼顾全体股东
的整体利益及公司的长远利益和可持续发展。利润分配每年按当年实现的合并报表和母
公司报表中可供分配利润孰低的原则确定具体比例向股东分配股利，利润分配政策应保
持连续性和稳定性，并坚持按照法定顺序分配利润和同股同权、同股同利的原则。
2、利润分配的形式：公司采取现金方式或者现金与股票相结合方式分配股利，其
中优先以现金分红方式分配股利。具备现金分红条件的，应当采用现金分红进行利润分
配。采用股票股利进行利润分配的，应当具有公司成长性、每股净资产的摊薄等真实合
理因素。
3、利润分配期间间隔：在符合分红条件的情况下，公司原则上每年度进行一次现
金分红。公司董事会可以根据当期的盈利规模、现金流状况、发展阶段及资金需求状况，
提议公司进行中期分红。
4、现金、股票分红具体条件和比例
（1）在公司当年盈利且累计未分配利润为正数且保证公司能够持续经营和长期发
展的前提下，如公司无重大资金支出安排，公司应当优先采取现金方式分配股利，且公
司每年以现金方式分配的利润不低于当年实现的可供股东分配利润的 20%。具体每个年
"
10,N_A,"中优先以现金分红方式分配股利。具备现金分红条件的，应当采用现金分红进行利润分
配。采用股票股利进行利润分配的，应当具有公司成长性、每股净资产的摊薄等真实合
理因素。
3、利润分配期间间隔：在符合分红条件的情况下，公司原则上每年度进行一次现
金分红。公司董事会可以根据当期的盈利规模、现金流状况、发展阶段及资金需求状况，
提议公司进行中期分红。
4、现金、股票分红具体条件和比例
（1）在公司当年盈利且累计未分配利润为正数且保证公司能够持续经营和长期发
展的前提下，如公司无重大资金支出安排，公司应当优先采取现金方式分配股利，且公
司每年以现金方式分配的利润不低于当年实现的可供股东分配利润的 20%。具体每个年
度的分红比例由董事会根据公司年度盈利状况和未来资金使用计划提出预案。
（2）在公司经营状况良好，且董事会认为公司每股收益、股票价格与公司股本规
模、股本结构不匹配时，公司可以在满足上述现金分红比例的前提下，同时采取发放股
票股利的方式分配利润。公司在确定以股票方式分配利润的具体金额时，应当充分考虑
以股票方式分配利润后的总股本是否与公司目前的经营规模、盈利增长速度相适应，并
考虑对未来债权融资成本的影响，以确保利润分配方案符合全体股东的整体利益和长远
利益。
（3）公司董事会应当综合考虑所处行业特点、发展阶段、自身经营模式、盈利水
平以及是否有重大资金支出安排等因素，区分下列情形，并按照《公司章程》规定的程
序，提出差异化的现金分红政策：A、公司发展阶段属成熟期且无重大资金支出安排的，
进行利润分配时，现金分红在本次利润分配中所占比例最低应达到 80%；B、公司发展
阶段属成熟期且有重大资金支出安排的，进行利润分配时，现金分红在本次利润分配中
所占比例最低应达到40%；C、公司发展阶段属成长期且有重大资金支出安排的，进行
利润分配时，现金分红在本次利润分配中所占比例最低应达到 20%；D、公司发展阶段
不易区分但有重大资金支出安排的，可以按照前项规定处理。
（4）上述重大资金支出事项是指以下任一情形：A、公司未来十二个月内拟对外
投资、收购或购买资产累计支出达到或超过 5,000 万元；B、当年经营活动产生的现金
流量净额为负；C、中国证监会或者深圳证券交易所规定的其他情形。
5、利润分配政策的调整程序：公司根据自身经营情况、投资规划和长期发展的需
要，或者根据外部经营环境发生重大变化而确需调整利润分配政策的，调整后的利润分
"
11,N_A,"阶段属成熟期且有重大资金支出安排的，进行利润分配时，现金分红在本次利润分配中
所占比例最低应达到40%；C、公司发展阶段属成长期且有重大资金支出安排的，进行
利润分配时，现金分红在本次利润分配中所占比例最低应达到 20%；D、公司发展阶段
不易区分但有重大资金支出安排的，可以按照前项规定处理。
（4）上述重大资金支出事项是指以下任一情形：A、公司未来十二个月内拟对外
投资、收购或购买资产累计支出达到或超过 5,000 万元；B、当年经营活动产生的现金
流量净额为负；C、中国证监会或者深圳证券交易所规定的其他情形。
5、利润分配政策的调整程序：公司根据自身经营情况、投资规划和长期发展的需
要，或者根据外部经营环境发生重大变化而确需调整利润分配政策的，调整后的利润分
配政策不得违反中国证监会和深圳证券交易所的有关规定，有关调整利润分配政策议案
由董事会根据公司经营状况和中国证监会的有关规定拟定，经全体董事过半数同意,且
经二分之一以上独立董事同意方可提交股东大会审议，独立董事应对利润分配政策的调
整或变更发表独立意见。
股东大会在审议利润分配政策的调整或变更事项时，应当提供网络形式的投票平台
为股东参加股东大会提供便利，且应当经出席股东大会的股东（包括股东代理人）所持
表决权的三分之二以上通过。
6、存在股东违规占用公司资金情况的，公司应当扣减该股东分配的现金红利，以
偿还其占用的资金。
7、股东分红回报规划的制定周期和调整机制
（1）公司应以三年为一个周期，制定股东回报规划，公司应当在总结之前三年股
东回报规划执行情况的基础上，充分考虑公司所面临各项因素，以及股东（特别是中小
股东）、独立董事和监事的意见，确定是否需对公司利润分配政策及未来三年的股东回
报规划予以调整。
（2）如遇到战争、自然灾害等不可抗力，或者公司外部经营环境发生重大变化并
对公司生产经营造成重大影响，或公司自身经营状况发生较大变化，或现行的具体股东
回报规划影响公司的可持续经营，确有必要对股东回报规划进行调整的，公司可以根据
本条确定的利润分配基本原则，重新制订股东回报规划。
（二）本次发行完成前滚存利润分配政策
根据公司 2016 年第一次临时股东大会决议，公司本次公开发行人民币普通股股票
如最终获得中国证券监督管理委员会的核准，则公司本次发行前滚存的未分配利润，将
由发行前公司的老股东和发行完成后公司新增加的社会公众股东按持股比例共同享有。
"
