页码,表格,纯文本
0,N_A,"
首次公开发行股票招股意向书

券交易所上市交易之日起 12 个月内不转让或委托他人
管理其持有的公司首次公开发行股票前已发行的股份，
也不由公司回购该部分股份。
持有本公司股份的董事、监事、高级管理人员承诺：
在任职期间，每年转让的股份不超过其所持有公司股份
总数的 25%；离职后6个月内不转让其所持有的公司股
份，离职 6 个月后的 12 个月内通过证券交易所挂牌交
易出售的公司股份不超过其所持公司股份总数的 50%。
公司控股股东、持有本公司股份的董事、高级管理
人员承诺：若其所持公司股票在锁定期满后两年内减持
的，该等股票的减持价格将不低于发行价，公司上市后
6 个月内，如公司股票连续 20 个交易日的收盘价均低
于发行价，或者上市后 6个月期末收盘价低于发行价，
其持有公司股票的锁定期限自动延长 6个月。
（主承销商）： 华林证券股份有限公司
向书签署日期： 2017 年2月8日
发行人及全体董事、监事、高级管理人员承诺招股意向书及其摘要不存在虚
假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连
带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及其
摘要中财务会计资料真实、完整。
保荐人承诺因其为发行人首次公开发行股票制作、出具的文件有虚假记载、
误导性陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其
对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、会计师或其他专业顾问。
本公司特别提醒投资者注意，在作出投资决策之前，务必仔细阅读本招股意
向书“风险因素”章节的内容全文，并应特别注意下列重大事项及公司风险。
一、股份流通限制及自愿锁定股份的承诺
本次发行前股东对所持股份的限售安排及自愿锁定的承诺：
本公司控股股东童永胜及其配偶王萍承诺：自公司股票在证券交易所上市交
易之日起 36 个月内，不转让或委托他人管理其持有的公司首次公开发行股票前
已发行的股份，也不由公司回购该部分股份。
"
1,N_A,"根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、会计师或其他专业顾问。
本公司特别提醒投资者注意，在作出投资决策之前，务必仔细阅读本招股意
向书“风险因素”章节的内容全文，并应特别注意下列重大事项及公司风险。
一、股份流通限制及自愿锁定股份的承诺
本次发行前股东对所持股份的限售安排及自愿锁定的承诺：
本公司控股股东童永胜及其配偶王萍承诺：自公司股票在证券交易所上市交
易之日起 36 个月内，不转让或委托他人管理其持有的公司首次公开发行股票前
已发行的股份，也不由公司回购该部分股份。
本公司股东李升付、张志、YUN GAO（高云）、王晓蓉、陈养德、严钦彬、
王涛、桂成才、代新社、方旺林、蓝裕民、詹星、王勇峰、谢伟佳、李伟、高军、
陈杰、邱鹏飞、周满枝、林德福、赵英军、官继红、李顺才、陈利强、丰学义、
管晶晶、徐进、唐玲、朱明军、吴清平、冉洪江、祖志立、金成英、陈小敏、黄
小丽、张晓、刘勇、胡新星、刘战锋、刘小波、赵林、付芝琼、周律律、孟祥光、
朱灿辉、张尚宇、陈柱春、赵万栋、韩龙飞、闵阳、汪红英承诺：自公司股票在
证券交易所上市交易之日起，12 个月内不转让或委托他人管理其持有的公司首
次公开发行股票前已发行的股份，也不由公司回购该部分股份；24 个月内转让
的前述所持股份不超过该部分股份的 50%。
本公司股东复星创泓、金石投资、金陵华软、华轩投资、邢世平、王长颖和
戴婷婷承诺：自公司股票在证券交易所上市交易之日起 12 个月内不转让或委托
他人管理其持有的公司首次公开发行股票前已发行的股份，也不由公司回购该部
分股份。
持有本公司股份的董事、监事、高级管理人员承诺：在任职期间，每年转让
的股份不超过其所持有公司股份总数的 25%；离职后6个月内不转让其所持有的
公司股份，离职 6 个月后的 12 个月内通过证券交易所挂牌交易出售的公司股份
不超过其所持公司股份总数的 50%。
公司控股股东、持有本公司股份的董事、高级管理人员承诺：若其所持公司
股票在锁定期满后两年内减持的，该等股票的减持价格将不低于发行价，公司上
市后 6 个月内，如公司股票连续 20 个交易日的收盘价均低于发行价，或者上市
后6个月期末收盘价低于发行价，其持有公司股票的锁定期限自动延长 6个月。
"
2,N_A,"戴婷婷承诺：自公司股票在证券交易所上市交易之日起 12 个月内不转让或委托
他人管理其持有的公司首次公开发行股票前已发行的股份，也不由公司回购该部
分股份。
持有本公司股份的董事、监事、高级管理人员承诺：在任职期间，每年转让
的股份不超过其所持有公司股份总数的 25%；离职后6个月内不转让其所持有的
公司股份，离职 6 个月后的 12 个月内通过证券交易所挂牌交易出售的公司股份
不超过其所持公司股份总数的 50%。
公司控股股东、持有本公司股份的董事、高级管理人员承诺：若其所持公司
股票在锁定期满后两年内减持的，该等股票的减持价格将不低于发行价，公司上
市后 6 个月内，如公司股票连续 20 个交易日的收盘价均低于发行价，或者上市
后6个月期末收盘价低于发行价，其持有公司股票的锁定期限自动延长 6个月。
如果其未能履行上述承诺，将在股东大会及中国证监会指定报刊上公开说明未履
行的具体原因并向股东和社会公众投资者道歉，并购回违反本承诺减持的股票；
如其因上述减持获得收益，所得收益归公司所有；同时，其将承担由此可能导致
的一切法律责任。
二、有关公司利润分配的安排
（一）本次发行上市后的股利分配政策
麦格米特于 2014年12月 10 日召开2014年度第一次临时股东大会，审议通
过了《关于制定公司首次公开发行股票并在中小板上市后公司章程（草案）的议
案》以及《关于制定公司上市后未来三年股东回报规划的议案》。本次公开发行
并上市后，公司将依照如下原则执行股利分配：
1、股利分配原则
公司实行持续、稳定和积极的利润分配政策，重视对投资者的合理投资回报
并兼顾公司的可持续发展。
2、利润分配形式
公司采用现金、股票或者法律允许的其他形式分配利润，公司董事会可以根
据公司的资金实际情况提议公司进行中期现金分红，具体分配方案由董事会拟
定，提交股东大会审议批准。
在公司盈利、现金流满足公司正常经营和长期发展的前提下，公司将优先采
取现金方式分配股利；在预计公司未来将保持较好的发展前景，且公司发展对现
金需求较大的情形下，公司可采用股票分红的方式分配股利。
现金分红的具体条件为：公司该年度实现的可分配利润（即公司弥补亏损、
提取公积金后所余的税后利润）为正值，且现金流充裕，实施现金分红不会影响
公司后续持续经营；公司累计可供分配利润为正值；审计机构对公司该年度财务
报告出具标准无保留意见的审计报告；公司不存在重大投资计划或重大现金支出
"
3,N_A,"2、利润分配形式
公司采用现金、股票或者法律允许的其他形式分配利润，公司董事会可以根
据公司的资金实际情况提议公司进行中期现金分红，具体分配方案由董事会拟
定，提交股东大会审议批准。
在公司盈利、现金流满足公司正常经营和长期发展的前提下，公司将优先采
取现金方式分配股利；在预计公司未来将保持较好的发展前景，且公司发展对现
金需求较大的情形下，公司可采用股票分红的方式分配股利。
现金分红的具体条件为：公司该年度实现的可分配利润（即公司弥补亏损、
提取公积金后所余的税后利润）为正值，且现金流充裕，实施现金分红不会影响
公司后续持续经营；公司累计可供分配利润为正值；审计机构对公司该年度财务
报告出具标准无保留意见的审计报告；公司不存在重大投资计划或重大现金支出
等特殊事项（募集资金项目除外）。重大投资计划或重大现金支出是指：公司未
来十二个月内拟对外投资、收购资产或者购买设备的累计支出达到或者超过公司
最近一期经审计归属于母公司净资产的 30%。
股票分红的具体条件为：在公司经营情况良好，并且董事会认为发放股票股
利有利于公司全体股东整体利益时，可以在确保足额现金股利分配的前提下，提
出股票股利分配预案。公司采用股票股利进行利润分配的，应当充分考虑发放股
票股利后的总股本是否与公司目前的经营规模、盈利增长速度、每股净资产的摊
薄等相适用，以确保利润分配方案符合全体股东的整体利益和长远利益。
3、现金分红比例
（1）在满足上述现金分红条件下，公司每年以现金形式分配的利润不少于
当年实现的可供分配利润的 20%。
（2）公司董事会应当综合考虑所处行业特点、发展阶段、自身经营模式、
盈利水平以及是否有重大资金支出安排等因素，区分下列情形，并按照公司章程
规定的程序，提出差异化的现金分红政策：
①公司发展阶段属成熟期且无重大资金支出安排的，进行利润分配时，现金
分红在本次利润分配中所占比例最低应达到 80%；
②公司发展阶段属成熟期且有重大资金支出安排的，进行利润分配时，现金
分红在本次利润分配中所占比例最低应达到 40%；
③公司发展阶段属成长期且有重大资金支出安排的，进行利润分配时，现金
分红在本次利润分配中所占比例最低应达到 20%；
公司发展阶段不易区分但有重大投资计划或重大现金支出安排的，可以按照
前项规定处理。
4、利润分配的期间间隔
在满足利润分配条件、保证公司正常经营和长远发展的前提下，公司原则上
"
4,N_A,"盈利水平以及是否有重大资金支出安排等因素，区分下列情形，并按照公司章程
规定的程序，提出差异化的现金分红政策：
①公司发展阶段属成熟期且无重大资金支出安排的，进行利润分配时，现金
分红在本次利润分配中所占比例最低应达到 80%；
②公司发展阶段属成熟期且有重大资金支出安排的，进行利润分配时，现金
分红在本次利润分配中所占比例最低应达到 40%；
③公司发展阶段属成长期且有重大资金支出安排的，进行利润分配时，现金
分红在本次利润分配中所占比例最低应达到 20%；
公司发展阶段不易区分但有重大投资计划或重大现金支出安排的，可以按照
前项规定处理。
4、利润分配的期间间隔
在满足利润分配条件、保证公司正常经营和长远发展的前提下，公司原则上
每年年度股东大会审议通过后进行一次利润分配。公司董事会可以根据公司的盈
利状况及资金需求状况提议公司进行中期现金分红，并提交股东大会审议批准。
5、利润分配政策决策程序
（1）董事会制定年度利润分配方案、中期利润分配方案，独立董事应对利
润分配方案单独发表明确意见。独立董事可以征集中小股东的意见，提出分红提
案，并直接提交董事会审议。
（2）监事会应当审议利润分配方案，并作出决议，若有外部监事，外部监
事应对利润分配方案单独发表明确意见。
（3）董事会和监事会审议并通过利润分配方案后提交股东大会审议批准。
（4）股东大会审议利润分配方案。公司应当提供网络投票等方式以方便股
东参与股东大会表决。股东大会对现金分红具体方案进行审议前，公司应当通过
多种渠道（包括但不限于股东热线电话、传真、邮箱、互动平台等）主动与股东
特别是中小股东进行沟通和交流，充分听取中小股东的意见和诉求，及时答复中
小股东关心的问题。
（5）公司股东大会对利润分配方案作出决议后，公司董事会须在股东大会
审议通过后 2个月内完成利润分配事项。
东参与股东大会表决。股东大会对现金分红具体方案进行审议前，公司应当通过
多种渠道（包括但不限于股东热线电话、传真、邮箱、互动平台等）主动与股东
特别是中小股东进行沟通和交流，充分听取中小股东的意见和诉求，及时答复中
小股东关心的问题。
（5）公司股东大会对利润分配方案作出决议后，公司董事会须在股东大会
审议通过后 2个月内完成利润分配事项。
6、利润分配政策修改
（1）当公司外部经营环境或自身经营状况发生较大变化，或根据投资规划
"
5,N_A,"特别是中小股东进行沟通和交流，充分听取中小股东的意见和诉求，及时答复中
小股东关心的问题。
（5）公司股东大会对利润分配方案作出决议后，公司董事会须在股东大会
审议通过后 2个月内完成利润分配事项。
东参与股东大会表决。股东大会对现金分红具体方案进行审议前，公司应当通过
多种渠道（包括但不限于股东热线电话、传真、邮箱、互动平台等）主动与股东
特别是中小股东进行沟通和交流，充分听取中小股东的意见和诉求，及时答复中
小股东关心的问题。
（5）公司股东大会对利润分配方案作出决议后，公司董事会须在股东大会
审议通过后 2个月内完成利润分配事项。
6、利润分配政策修改
（1）当公司外部经营环境或自身经营状况发生较大变化，或根据投资规划
和长期发展需要等确需调整利润分配方案的，可以调整利润分配政策。调整后的
利润分配政策，不得违反中国证监会和证券交易所的有关规定。
（2）董事会制定利润分配政策修改方案，独立董事应在董事会召开前单独
发表明确意见。
（3）监事会应当审议利润分配政策修改方案，并作出决议，若有外部监事，
外部监事应对利润分配政策修改方案单独发表明确意见。
（4）董事会和监事会审议通过利润分配政策修改方案后，提交股东大会审
议。公司应当提供网络投票等方式以方便股东参与股东大会表决。利润分配政策
调整或者变更议案需经出席股东大会的股东所持表决权的 2/3 以上通过。
（二）本次发行前滚存利润的分配
根据本公司 2016 年第一次临时股东大会决议，若公司本次公开发行股票并
在中小板上市方案经中国证监会核准并得以实施，公司首次公开发行股票前滚存
的未分配利润在扣除上市前公司股东大会决议批准的拟分配利润后，由公司首次
公开发行股票并上市后的新老股东共同享有。
关于本公司股利分配政策及滚存利润分配方案的具体内容，请参见本招股意
向书“第十四节 股利分配政策”。
三、上市后稳定公司股价的预案
自公司股票上市之日起三年内，若连续 20 个交易日公司股票每日收盘价均
低于公司上一会计年度末经审计的每股净资产，将通过公司回购股份、控股股东、
董事、高管人员增持公司股票等方式来启动股价稳定措施。
（一）启动稳定股价措施的条件
自公司股票上市之日起三年内，若连续 20 个交易日公司股票每日收盘价均
低于公司上一会计年度末经审计的每股净资产。若因除权除息等事项致使上述股
票收盘价与公司上一会计年度末经审计的每股净资产不具可比性的，上述股票收
"
6,N_A,"的未分配利润在扣除上市前公司股东大会决议批准的拟分配利润后，由公司首次
公开发行股票并上市后的新老股东共同享有。
关于本公司股利分配政策及滚存利润分配方案的具体内容，请参见本招股意
向书“第十四节 股利分配政策”。
三、上市后稳定公司股价的预案
自公司股票上市之日起三年内，若连续 20 个交易日公司股票每日收盘价均
低于公司上一会计年度末经审计的每股净资产，将通过公司回购股份、控股股东、
董事、高管人员增持公司股票等方式来启动股价稳定措施。
（一）启动稳定股价措施的条件
自公司股票上市之日起三年内，若连续 20 个交易日公司股票每日收盘价均
低于公司上一会计年度末经审计的每股净资产。若因除权除息等事项致使上述股
票收盘价与公司上一会计年度末经审计的每股净资产不具可比性的，上述股票收
盘价应做相应调整。
（二）稳定股价的具体措施
1、公司回购
发行人承诺：若条件成就，其将在 3个交易日内召开董事会讨论具体的回购
方案，并提交股东大会审议。具体实施方案将在公司依法召开董事会、股东大会
做出股份回购决议后公告。在股东大会审议通过股份回购方案后，公司将依法通
知债权人，并向证券监督管理部门、证券交易所等主管部门报送相关材料，办理
审批或备案手续。公司回购需同时满足下列条件：
（1）回购结果不会导致公司的股权分布不符合上市条件；
（2）回购价格不超过公司上一会计年度末经审计的每股净资产的价格；
（3）单次用于回购的资金金额累计不超过上一年度经审计的归属于母公司
所有者净利润的 20%；
（4）单一会计年度累计用于回购的资金金额不超过上一年度经审计的归属
于母公司所有者净利润的 30%；
（5）公司按上述条件实施回购后三个月内再次出现触发回购情形的，在该
三个月内不再履行回购义务。
如果回购方案实施前公司股价已经不满足启动稳定公司股价措施条件的，可
不再继续实施该方案。
如果公司未能履行上述承诺，将在股东大会及中国证监会指定报刊上公开说
明未履行的具体原因并向股东和社会公众投资者道歉。
2、控股股东增持
本公司控股股东童永胜承诺：若条件成就，其将在 3个交易日内向公司提交
增持计划并公告，并将在公司公告的 3个交易日后，按照增持计划开始实施买入
公司股份的计划。控股股东增持需同时满足下列条件：
（1）公司已实施完成回购公众股措施但公司股票收盘价仍低于上一会计年
度末经审计的每股净资产；
"
7,N_A,"（5）公司按上述条件实施回购后三个月内再次出现触发回购情形的，在该
三个月内不再履行回购义务。
如果回购方案实施前公司股价已经不满足启动稳定公司股价措施条件的，可
不再继续实施该方案。
如果公司未能履行上述承诺，将在股东大会及中国证监会指定报刊上公开说
明未履行的具体原因并向股东和社会公众投资者道歉。
2、控股股东增持
本公司控股股东童永胜承诺：若条件成就，其将在 3个交易日内向公司提交
增持计划并公告，并将在公司公告的 3个交易日后，按照增持计划开始实施买入
公司股份的计划。控股股东增持需同时满足下列条件：
（1）公司已实施完成回购公众股措施但公司股票收盘价仍低于上一会计年
度末经审计的每股净资产；
（2）增持结果不会导致公司的股权分布不符合上市条件；
（3）增持价格不超过公司上一会计年度末经审计的每股净资产的价格；
（4）单次用于增持的资金金额累计不超过公司上市后控股股东累计从公司
所获得现金分红金额的 15%；
（5）累计用于增持的资金金额不超过公司上市后控股股东累计从公司所获
得现金分红金额的 30%；
（6）本人按上述条件实施增持后三个月内再次出现触发增持情形的，在该
三个月内不再履行回购义务。
如果公司公告控股股东增持计划后 3 个交易日内公司股价已经不满足启动
稳定股价措施的条件的，可不再实施上述增持公司股份的计划。
如未能履行该承诺，控股股东将在股东大会及中国证监会指定报刊上公开说
明未履行的具体原因并向股东和社会公众投资者道歉，公司有权扣减应向其支付
的分红代其履行上述增持义务，扣减金额不超过该承诺增持金额上限规定。
发行人董事（独立董事除外）、高级管理人员承诺：若条件成就，其将在 3
个交易日内向公司提交增持计划并公告，并将在公司公告的 3 个交易日后，按照
增持计划开始实施买入公司股份的计划。董事、高级管理人员增持需同时满足下
列条件：
（1）公司已实施完成回购公众股措施且控股股东已实施完成增持股份措施
但公司股票收盘价仍低于上一会计年度末经审计的每股净资产；
（2）增持结果不会导致公司的股权分布不符合上市条件；
（3）增持价格不超过公司上一会计年度末经审计的每股净资产的价格；
（4）单次用于增持的资金金额累计不超过其上一年度自公司领取税后薪酬
或津贴总和的 15%；
（5）单一会计年度累计用于增持的资金金额不超过其上一年度自公司领取
税后薪酬或津贴总和的 30%；
"
8,N_A,"发行人董事（独立董事除外）、高级管理人员承诺：若条件成就，其将在 3
个交易日内向公司提交增持计划并公告，并将在公司公告的 3 个交易日后，按照
增持计划开始实施买入公司股份的计划。董事、高级管理人员增持需同时满足下
列条件：
（1）公司已实施完成回购公众股措施且控股股东已实施完成增持股份措施
但公司股票收盘价仍低于上一会计年度末经审计的每股净资产；
（2）增持结果不会导致公司的股权分布不符合上市条件；
（3）增持价格不超过公司上一会计年度末经审计的每股净资产的价格；
（4）单次用于增持的资金金额累计不超过其上一年度自公司领取税后薪酬
或津贴总和的 15%；
（5）单一会计年度累计用于增持的资金金额不超过其上一年度自公司领取
税后薪酬或津贴总和的 30%；
（6）实施前次增持后三个月内再次出现触发增持情形的，在该三个月内不
再履行增持义务。
如果公司公告董事、高级管理人员增持计划后 3个交易日内公司股价已经不
满足启动稳定股价措施的条件的，可不再实施上述增持公司股份的计划。
如果未能履行该承诺，相关董事、高级管理人员将在股东大会及中国证监会
指定报刊上公开说明未履行的具体原因并向股东和社会公众投资者道歉，公司有
权扣减应向其支付的薪酬或津贴代其履行上述增持义务，扣减金额不超过该承诺
增持金额上限规定。
对于未来新聘的董事、高级管理人员，公司将敦促并确保该等董事、高级管
理人员履行公司发行上市时董事、高级管理人员已作出的关于稳定股价预案方面
的相应承诺要求。
四、发行人及公司控股股东、董事、监事、高级管理人员关于招股意
书无虚假记载、误导性陈述或重大遗漏
发行人承诺：如果公司招股意向书有虚假记载、误导性陈述或者重大遗漏，
对判断公司是否符合法律规定的发行条件构成重大、实质影响的，在中国证监会
对公司作出行政处罚决定之日起三十日内，公司将启动依法回购首次公开发行的
全部新股的程序，公司将通过深圳证券交易所以二级市场交易价格回购首次公开
发行的全部新股。公司招股意向书有虚假记载、误导性陈述或者重大遗漏，致使
投资者在证券交易中遭受损失的，自赔偿责任成立之日起三十日内，本公司将依
法赔偿投资者损失。如果未能履行该承诺，将在公司股东大会及中国证监会指定
报刊上公开说明未履行的具体原因并向股东和社会公众投资者道歉，给投资者造
成损失的，将向投资者依法承担赔偿责任。
控股股东承诺：如果公司招股意向书有虚假记载、误导性陈述或者重大遗漏，
"
9,N_A,"发行人承诺：如果公司招股意向书有虚假记载、误导性陈述或者重大遗漏，
对判断公司是否符合法律规定的发行条件构成重大、实质影响的，在中国证监会
对公司作出行政处罚决定之日起三十日内，公司将启动依法回购首次公开发行的
全部新股的程序，公司将通过深圳证券交易所以二级市场交易价格回购首次公开
发行的全部新股。公司招股意向书有虚假记载、误导性陈述或者重大遗漏，致使
投资者在证券交易中遭受损失的，自赔偿责任成立之日起三十日内，本公司将依
法赔偿投资者损失。如果未能履行该承诺，将在公司股东大会及中国证监会指定
报刊上公开说明未履行的具体原因并向股东和社会公众投资者道歉，给投资者造
成损失的，将向投资者依法承担赔偿责任。
控股股东承诺：如果公司招股意向书有虚假记载、误导性陈述或者重大遗漏，
对判断公司是否符合法律规定的发行条件构成重大、实质影响的，在中国证监会
对公司作出行政处罚决定之日起三十日内，其将以二级市场交易价格依法购回已
转让的原限售股份。公司招股意向书有虚假记载、误导性陈述或者重大遗漏，致
使投资者在证券交易中遭受损失的，自赔偿责任成立之日起三十日内，其将依法
赔偿投资者损失。如果未能履行该承诺，将在违反上述承诺发生之日起 5个工作
日内，在公司股东大会及中国证监会指定报刊上公开说明未履行的具体原因并向
公司股东和社会公众投资者道歉；其持有的公司股份将不得转让，若转让的，转
让所得将全部用于履行上述承诺；同时，公司有权扣减应向其支付的分红代其履
行上述承诺，直至其按上述承诺采取相应的赔偿措施并实施完毕时为止。
发行人全体董事、监事、高级管理人员承诺：如果公司招股意向书有虚假记
载、误导性陈述或者重大遗漏，致使投资者在证券交易中遭受损失的，自赔偿责
任成立之日起三十日内，其将依法赔偿投资者的损失。其能够证明自己没有过错
的除外。如果未能履行该承诺，将在违反上述承诺发生之日起 5个工作日内，在
公司股东大会及中国证监会指定报刊上公开说明未履行的具体原因并向公司股
东和社会公众投资者道歉，公司有权扣减应向其支付的薪酬或津贴代其履行上述
承诺，直至其按上述承诺采取相应的赔偿措施并实施完毕时为止。
误导性陈述或重大遗漏的承诺
保荐机构（主承销商）华林证券股份有限公司承诺：华林证券为发行人首次
公开发行制作、出具的文件不存在虚假记载、误导性陈述或者重大遗漏的情
形，对其真实性、准确性和完整性承担法律责任。如因华林证券为发行人首次
"
