页码,表格,纯文本
0,N_A,"浙江百达精工股份有限公司
Zhejiang Baida Precision Manufacturing Corp.
浙江百达精工股份有限公司

交易之日起三十六个月内，不转让或者委托他人管理本人持有的发行人股份，
也不由发行人回购该部分股份。在担任公司的监事期间，每年转让的股份不超
过其持有公司股份总数的百分之二十五；在离职后半年内，不转让其持有的发
行人股份。所持股票在锁定期满后两年内减持的，其减持价格不低于发行价；
发行人上市后6个月内如公司股票连续20个交易日的收盘价均低于发行价，
或者上市后6个月期末收盘价低于发行价，本人持有发行人股票的锁定期限自
动延长至少6个月。本人不因职务变更、离职等原因而放弃履行上述延长锁定
期限的承诺。
4、公司股东阮卢安承诺：自发行人股票在证券交易所上市交易之日起三
十六个月内，不转让或者委托他人管理本人持有的发行人股份，也不由发行人
回购该部分股份。所持股票在锁定期满后两年内减持的，其减持价格不低于发
行价；公司上市后6个月内如公司股票连续20个交易日的收盘价均低于发行
价，或者上市后6个月期末收盘价低于发行价，本人持有发行人股票的锁定期
限自动延长至少6个月。
5、公司股东魏成刚、杨海平、邵伯明及铭峰投资承诺：自发行人股票在
证券交易所上市交易之日起三十六个月内，不转让或者委托他人管理本人持有
的发行人股份，也不由发行人回购该部分股份。
发行人及全体董事、监事、高级管理人员承诺招股意向书及其摘要不存在
虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别
和连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及
其摘要中财务会计资料真实、完整。
保荐人承诺因其为发行人首次公开发行股票制作、出具的文件有虚假记载、
误导性陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明
其对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相
反的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由
发行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、专业会计师或其他专业顾问。
本重大事项提示仅对需投资者特别关注的公司风险及其他重要事项进行提
"
1,N_A,"公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及
其摘要中财务会计资料真实、完整。
保荐人承诺因其为发行人首次公开发行股票制作、出具的文件有虚假记载、
误导性陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明
其对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相
反的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由
发行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、专业会计师或其他专业顾问。
本重大事项提示仅对需投资者特别关注的公司风险及其他重要事项进行提
醒。敬请投资者认真阅读招股意向书“风险因素”章节的全部内容。
本公司特别提请投资者注意下列重大事项
一、股份流通限制和自愿锁定承诺及约束措施
1、发行人实际控制人施小友、阮吉林、张启春、张启斌承诺如下：“（1）
自发行人股票在证券交易所上市交易之日起三十六个月内，不转让或者委托他人
管理本人持有的发行人股份，也不由发行人回购该部分股份。（2）在担任发行
人的董事、监事或高级管理人员期间，每年转让的股份不超过其持有发行人股份
总数的百分之二十五。在离职后半年内，不转让其持有的发行人股份。（3）所
持股票在锁定期满后两年内减持的，其减持价格不低于发行价；公司上市后 6
个月内如公司股票连续 20 个交易日的收盘价均低于发行价，或者上市后 6 个月
期末收盘价低于发行价，本人持有发行人股票的锁定期限自动延长至少 6个月。
本人不因职务变更、离职等原因而放弃履行上述延长锁定期限的承诺。（4）如
果未履行上述承诺事项，本人将在发行人股东大会及中国证监会指定报刊上公开
说明未履行承诺的具体原因并向发行人的其他股东和社会公众投资者道歉。如违
反上述承诺事项，所得收益归发行人所有。如果未履行上述承诺事项，致使投资
者在证券交易中遭受损失的，本人将依法赔偿投资者损失。”
2、发行人控股股东百达控股承诺如下：“（1）自发行人股票在证券交易所
上市交易之日起三十六个月内，不转让或者委托他人管理本公司持有的发行人股
份，也不由发行人回购该部分股份。（2）所持股票在锁定期满后两年内减持的，
其减持价格不低于发行价；发行人上市后 6 个月内如公司股票连续 20 个交易日
"
2,N_A,"期末收盘价低于发行价，本人持有发行人股票的锁定期限自动延长至少 6个月。
本人不因职务变更、离职等原因而放弃履行上述延长锁定期限的承诺。（4）如
果未履行上述承诺事项，本人将在发行人股东大会及中国证监会指定报刊上公开
说明未履行承诺的具体原因并向发行人的其他股东和社会公众投资者道歉。如违
反上述承诺事项，所得收益归发行人所有。如果未履行上述承诺事项，致使投资
者在证券交易中遭受损失的，本人将依法赔偿投资者损失。”
2、发行人控股股东百达控股承诺如下：“（1）自发行人股票在证券交易所
上市交易之日起三十六个月内，不转让或者委托他人管理本公司持有的发行人股
份，也不由发行人回购该部分股份。（2）所持股票在锁定期满后两年内减持的，
其减持价格不低于发行价；发行人上市后 6 个月内如公司股票连续 20 个交易日
的收盘价均低于发行价，或者上市后 6个月期末收盘价低于发行价，本公司持有
发行人股票的锁定期限自动延长至少 6 个月。（3）如果未履行上述承诺事项，
本公司将在发行人股东大会及中国证监会指定报刊上公开说明未履行承诺的具
体原因并向发行人的其他股东和社会公众投资者道歉。如违反上述承诺事项，所
得收益归发行人所有。如果未履行上述承诺事项，致使投资者在证券交易中遭受
损失的，本公司将依法赔偿投资者损失。”
3、发行人监事会主席史建伟承诺如下：“（1）自发行人股票在证券交易所
上市交易之日起三十六个月内，不转让或者委托他人管理本人持有的发行人股
份，也不由发行人回购该部分股份。（2）在担任公司的监事期间，每年转让的
股份不超过其持有公司股份总数的百分之二十五；在离职后半年内，不转让其持
有的发行人股份。（3）所持股票在锁定期满后两年内减持的，其减持价格不低
于发行价；发行人上市后 6 个月内如公司股票连续 20 个交易日的收盘价均低于
发行价，或者上市后 6个月期末收盘价低于发行价，本人持有发行人股票的锁定
期限自动延长至少 6个月。本人不因职务变更、离职等原因而放弃履行上述延长
锁定期限的承诺。（4）如果未履行上述承诺事项，本人将在发行人股东大会及
中国证监会指定报刊上公开说明未履行承诺的具体原因并向发行人的其他股东
和社会公众投资者道歉。如违反上述承诺事项，所得收益归发行人所有。如果未
履行上述承诺事项，致使投资者在证券交易中遭受损失的，本人将依法赔偿投资
者损失。”
"
3,N_A,"股份不超过其持有公司股份总数的百分之二十五；在离职后半年内，不转让其持
有的发行人股份。（3）所持股票在锁定期满后两年内减持的，其减持价格不低
于发行价；发行人上市后 6 个月内如公司股票连续 20 个交易日的收盘价均低于
发行价，或者上市后 6个月期末收盘价低于发行价，本人持有发行人股票的锁定
期限自动延长至少 6个月。本人不因职务变更、离职等原因而放弃履行上述延长
锁定期限的承诺。（4）如果未履行上述承诺事项，本人将在发行人股东大会及
中国证监会指定报刊上公开说明未履行承诺的具体原因并向发行人的其他股东
和社会公众投资者道歉。如违反上述承诺事项，所得收益归发行人所有。如果未
履行上述承诺事项，致使投资者在证券交易中遭受损失的，本人将依法赔偿投资
者损失。”
4、发行人股东阮卢安承诺如下：“自发行人股票在证券交易所上市交易之
日起三十六个月内，不转让或者委托他人管理本人持有的发行人股份，也不由发
行人回购该部分股份。所持股票在锁定期满后两年内减持的，其减持价格不低于
发行价；发行人上市后 6 个月内如公司股票连续 20 个交易日的收盘价均低于发
行价，或者上市后 6个月期末收盘价低于发行价，本人持有发行人股票的锁定期
限自动延长至少6 个月。”
5、发行人股东魏成刚、杨海平、邵伯明、台州市铭峰投资合伙企业（有限
合伙）承诺如下：“自发行人股票在证券交易所上市交易之日起三十六个月内，
不转让或者委托他人管理本人持有的发行人股份，也不由发行人回购该部分股
份。”
二、关于稳定股价的预案、承诺及约束措施
（一）关于上市后三年内稳定公司股价的预案
为维护公众投资者的利益，公司上市后三年内出现公司股票连续 20 个交易
日收盘价均低于最近一期经审计的每股净资产时，为启动股价稳定措施的条件。
股价稳定措施的方式包括：控股股东增持股票；公司回购股票；董事（不含独立
董事）、高管增持股票；其他法律、法规以及中国证监会、证券交易所规定允许
的措施。
股价稳定措施应确保：1、不会导致公司股权结构不符合上市条件；2、不会
迫使控股股东或实际控制人履行要约收购义务；3、遵守相关法律、法规、规范
性文件及证券交易所的相关规定。每一个自然年度，公司需强制启动股价稳定措
施的义务仅限一次。
（二）控股股东、实际控制人及发行人关于上市后三年内稳定公司股价的
承诺
1、发行人控股股东百达控股承诺如下：“本公司将在增持方案公告之日起 6
"
4,N_A,"为维护公众投资者的利益，公司上市后三年内出现公司股票连续 20 个交易
日收盘价均低于最近一期经审计的每股净资产时，为启动股价稳定措施的条件。
股价稳定措施的方式包括：控股股东增持股票；公司回购股票；董事（不含独立
董事）、高管增持股票；其他法律、法规以及中国证监会、证券交易所规定允许
的措施。
股价稳定措施应确保：1、不会导致公司股权结构不符合上市条件；2、不会
迫使控股股东或实际控制人履行要约收购义务；3、遵守相关法律、法规、规范
性文件及证券交易所的相关规定。每一个自然年度，公司需强制启动股价稳定措
施的义务仅限一次。
（二）控股股东、实际控制人及发行人关于上市后三年内稳定公司股价的
承诺
1、发行人控股股东百达控股承诺如下：“本公司将在增持方案公告之日起 6
个月内实施增持计划，且合计增持数量不少于发行人股份总数的 2%。当触发启
动股价稳定措施的前提条件满足之日起 5个交易日内，如本公司未采取稳定股价
的具体措施，本公司将在发行人股东大会及中国证监会指定报刊上公开说明未采
取上述稳定股价措施的具体原因并向发行人股东和社会公众投资者道歉。当触发
启动股价稳定措施的条件满足之日起 15 个交易日内本公司尚未启动有关稳定股
价的措施，或未履行上述增持股份的承诺的，本公司不得领取股价稳定措施条件
满足之当年现金分红，分红所得归发行人所有。”
2、发行人实际控制人施小友、阮吉林、张启春、张启斌承诺如下：“本人将
在增持方案公告之日起 6个月内实施增持计划，且合计增持数量不少于公司股份
总数的 1%。当触发启动股价稳定措施的前提条件满足之日起 5 个交易日内，如
本人未采取稳定股价的具体措施，本人将在公司股东大会及中国证监会指定报刊
上公开说明未采取上述稳定股价措施的具体原因并向公司股东和社会公众投资
者道歉。当触发启动股价稳定措施的条件满足之日起 15 个交易日内本人尚未启
发行人董事（独立董事除外）、高级管理人员承诺如下：“本人将在增持方案
公告之日起6个月内实施增持计划，用于增持公司股份的资金不低于上一年度自
公司领取薪酬的 30%，并以其上年度自公司领取薪酬的 60%为限。当触发启动
股价稳定措施的前提条件满足之日起 15 个交易日内，如本人未采取上述稳定股
价的具体措施，本人将在公司股东大会及中国证监会指定报刊上公开说明未采取
上述稳定股价措施的具体原因并向公司股东和社会公众投资者道歉。当触发启动
"
5,N_A,"本人未采取稳定股价的具体措施，本人将在公司股东大会及中国证监会指定报刊
上公开说明未采取上述稳定股价措施的具体原因并向公司股东和社会公众投资
者道歉。当触发启动股价稳定措施的条件满足之日起 15 个交易日内本人尚未启
发行人董事（独立董事除外）、高级管理人员承诺如下：“本人将在增持方案
公告之日起6个月内实施增持计划，用于增持公司股份的资金不低于上一年度自
公司领取薪酬的 30%，并以其上年度自公司领取薪酬的 60%为限。当触发启动
股价稳定措施的前提条件满足之日起 15 个交易日内，如本人未采取上述稳定股
价的具体措施，本人将在公司股东大会及中国证监会指定报刊上公开说明未采取
上述稳定股价措施的具体原因并向公司股东和社会公众投资者道歉。当触发启动
股价稳定措施的条件满足之日起 20 个交易日内本人尚未启动有关稳定股价的措
施，或未履行上述增持承诺的，本人将以上一年度在发行人处领取薪酬的 50%
作为罚款，罚款归发行人所有。”
（四）董事、高级管理人员对公司填补回报措施能够得到切实履行作出的
承诺
动有关稳定股价的措施，或未履行上述增持股份的承诺的，本人不得领取股价稳
定措施条件满足之当年现金分红，分红所得归发行人所有。”
3、发行人股东阮卢安承诺如下：“本人将在增持方案公告之日起 6个月内实
施增持计划，且合计增持数量不少于公司股份总数的 1%。当触发启动股价稳定
措施的前提条件满足之日起 5个交易日内，如本人未采取稳定股价的具体措施，
本人将在公司股东大会及中国证监会指定报刊上公开说明未采取上述稳定股价
措施的具体原因并向公司股东和社会公众投资者道歉。当触发启动股价稳定措施
的条件满足之日起 15 个交易日内本人尚未启动有关稳定股价的措施，或未履行
上述增持股份的承诺的，本人不得领取股价稳定措施条件满足之当年现金分红，
分红所得归发行人所有。”
4、发行人承诺如下：“当触发启动股价稳定措施的前提条件满足之日起 10
个交易日内，公司董事会未采取上述稳定股价的具体措施，应在中国证监会指定
报刊上公开说明未采取上述稳定股价措施的具体原因并向公司股东和社会公众
投资者道歉。公司上市后新聘任的董事（不含独立董事）、高管人员需遵守稳定
股价方案的相关规定，并签署相应的承诺。”
（三）公司董事（独立董事除外）及高级管理人员关于上市后三年内稳定
公司股价的承诺
发行人董事（独立董事除外）、高级管理人员承诺如下：“本人将在增持方案
"
6,N_A,"措施的具体原因并向公司股东和社会公众投资者道歉。当触发启动股价稳定措施
的条件满足之日起 15 个交易日内本人尚未启动有关稳定股价的措施，或未履行
上述增持股份的承诺的，本人不得领取股价稳定措施条件满足之当年现金分红，
分红所得归发行人所有。”
4、发行人承诺如下：“当触发启动股价稳定措施的前提条件满足之日起 10
个交易日内，公司董事会未采取上述稳定股价的具体措施，应在中国证监会指定
报刊上公开说明未采取上述稳定股价措施的具体原因并向公司股东和社会公众
投资者道歉。公司上市后新聘任的董事（不含独立董事）、高管人员需遵守稳定
股价方案的相关规定，并签署相应的承诺。”
（三）公司董事（独立董事除外）及高级管理人员关于上市后三年内稳定
公司股价的承诺
发行人董事（独立董事除外）、高级管理人员承诺如下：“本人将在增持方案
公告之日起6个月内实施增持计划，用于增持公司股份的资金不低于上一年度自
公司领取薪酬的 30%，并以其上年度自公司领取薪酬的 60%为限。当触发启动
股价稳定措施的前提条件满足之日起 15 个交易日内，如本人未采取上述稳定股
价的具体措施，本人将在公司股东大会及中国证监会指定报刊上公开说明未采取
上述稳定股价措施的具体原因并向公司股东和社会公众投资者道歉。当触发启动
股价稳定措施的条件满足之日起 20 个交易日内本人尚未启动有关稳定股价的措
施，或未履行上述增持承诺的，本人将以上一年度在发行人处领取薪酬的 50%
作为罚款，罚款归发行人所有。”
（四）董事、高级管理人员对公司填补回报措施能够得到切实履行作出的
公司董事、高级管理人员根据中国证监会相关规定对公司填补回报措施能够
得到切实履行作出如下承诺：
1、承诺不无偿或以不公平条件向其他单位或者个人输送利益，也不采用其
他方式损害公司利益；
2、承诺对董事和高级管理人员的职务消费行为进行约束；
3、承诺不动用公司资产从事与其履行职责无关的投资、消费活动；
4、承诺由董事会或薪酬委员会制定的薪酬制度与公司填补回报措施的执行
情况相挂钩；
5、承诺拟公布的公司股权激励的行权条件与公司填补回报措施的执行情况
相挂钩。
三、相关责任主体关于招股意向书真实、准确及完整的
承诺
1、发行人承诺如下：“若发行人招股意向书有虚假记载、误导性陈述或者重
大遗漏，对判断发行人是否符合法律规定的发行条件构成重大、实质影响的，本
"
7,N_A,"公司董事、高级管理人员根据中国证监会相关规定对公司填补回报措施能够
得到切实履行作出如下承诺：
1、承诺不无偿或以不公平条件向其他单位或者个人输送利益，也不采用其
他方式损害公司利益；
2、承诺对董事和高级管理人员的职务消费行为进行约束；
3、承诺不动用公司资产从事与其履行职责无关的投资、消费活动；
4、承诺由董事会或薪酬委员会制定的薪酬制度与公司填补回报措施的执行
情况相挂钩；
5、承诺拟公布的公司股权激励的行权条件与公司填补回报措施的执行情况
相挂钩。
三、相关责任主体关于招股意向书真实、准确及完整的
承诺
1、发行人承诺如下：“若发行人招股意向书有虚假记载、误导性陈述或者重
大遗漏，对判断发行人是否符合法律规定的发行条件构成重大、实质影响的，本
公司将按照二级市场价格依法购回已转让的原限售股份，若公司股票有送股、资
本公积金转增股本等事项，回购数量将进行相应调整。如招股意向书有虚假记载、
误导性陈述或者重大遗漏，致使投资者在证券交易中遭受损失的，将依法赔偿投
资者损失。本公司将自重大信息披露违法行为由有权部门认定或法院作出相关判
决之日起 10 个交易日内依法启动回购股份程序。如本公司未能履行、确已无法
履行或无法按期履行的，将采取以下措施：（1）及时、充分披露承诺未得到执行、
无法执行或无法按期执行的原因；（2）向发行人及其投资者提出补充或替代承诺，
以保护发行人及其投资者的权益；（3）将上述补充承诺或替代承诺提交股东大会
审议；（4）给投资者造成直接损失的，依法赔偿损失；（5）有违法所得的，按相
关法律法规处理；（6）其他根据届时规定可以采取的其他措施。”
2、发行人控股股东百达控股承诺如下：“若发行人招股意向书有虚假记载、
误导性陈述或者重大遗漏，对判断发行人是否符合法律规定的发行条件构成重
大、实质影响的，本公司将按照二级市场价格依法购回已转让的原限售股份，若
公司股票有送股、资本公积金转增股本等事项，回购数量将进行相应调整。如招
股意向书有虚假记载、误导性陈述或者重大遗漏，致使投资者在证券交易中遭受
损失的，将依法赔偿投资者损失。本公司将自重大信息披露违法行为由有权部门
认定或法院作出相关判决之日起 10 个交易日内依法启动回购股份程序。如本公
司未能履行、确已无法履行或无法按期履行的，将采取以下措施：（1）及时、充
分披露承诺未得到执行、无法执行或无法按期执行的原因；（2）向发行人及其投
"
8,N_A,"2、发行人控股股东百达控股承诺如下：“若发行人招股意向书有虚假记载、
误导性陈述或者重大遗漏，对判断发行人是否符合法律规定的发行条件构成重
大、实质影响的，本公司将按照二级市场价格依法购回已转让的原限售股份，若
公司股票有送股、资本公积金转增股本等事项，回购数量将进行相应调整。如招
股意向书有虚假记载、误导性陈述或者重大遗漏，致使投资者在证券交易中遭受
损失的，将依法赔偿投资者损失。本公司将自重大信息披露违法行为由有权部门
认定或法院作出相关判决之日起 10 个交易日内依法启动回购股份程序。如本公
司未能履行、确已无法履行或无法按期履行的，将采取以下措施：（1）及时、充
分披露承诺未得到执行、无法执行或无法按期执行的原因；（2）向发行人及其投
资者提出补充或替代承诺，以保护发行人及其投资者的权益；（3）将上述补充承
诺或替代承诺提交股东大会审议；（4）给投资者造成直接损失的，依法赔偿损失；
（5）有违法所得的，按相关法律法规处理；（6）其他根据届时规定可以采取的
其他措施。”
3、发行人实际控制人施小友、阮吉林、张启春、张启斌承诺如下：“若发行
人招股意向书有虚假记载、误导性陈述或者重大遗漏，对判断发行人是否符合法
律规定的发行条件构成重大、实质影响的，本人将按照二级市场价格依法购回已
转让的原限售股份，若公司股票有送股、资本公积金转增股本等事项，回购数量
将进行相应调整。如招股意向书有虚假记载、误导性陈述或者重大遗漏，致使投
资者在证券交易中遭受损失的，将依法赔偿投资者损失。本人将自重大信息披露
违法行为由有权部门认定或法院作出相关判决之日起 10 个交易日内依法启动回
购股份程序。如本人未能履行、确已无法履行或无法按期履行的，将采取以下措
施：（1）及时、充分披露承诺未得到执行、无法执行或无法按期执行的原因；（2）
向发行人及其投资者提出补充或替代承诺，以保护发行人及其投资者的权益；（3）
将上述补充承诺或替代承诺提交股东大会审议；（4）给投资者造成直接损失的，
依法赔偿损失；（5）有违法所得的，按相关法律法规处理；（6）其他根据届时规
定可以采取的其他措施。”
4、发行人董事、监事、高级管理人员承诺如下：“发行人招股意向书有虚假
记载、误导性陈述或者重大遗漏，致使投资者在证券交易中遭受损失的，本人将
依法赔偿投资者损失。”
5、中泰证券股份有限公司承诺如下：“保荐人承诺因其为发行人首次公开发
"
9,N_A,"购股份程序。如本人未能履行、确已无法履行或无法按期履行的，将采取以下措
施：（1）及时、充分披露承诺未得到执行、无法执行或无法按期执行的原因；（2）
向发行人及其投资者提出补充或替代承诺，以保护发行人及其投资者的权益；（3）
将上述补充承诺或替代承诺提交股东大会审议；（4）给投资者造成直接损失的，
依法赔偿损失；（5）有违法所得的，按相关法律法规处理；（6）其他根据届时规
定可以采取的其他措施。”
4、发行人董事、监事、高级管理人员承诺如下：“发行人招股意向书有虚假
记载、误导性陈述或者重大遗漏，致使投资者在证券交易中遭受损失的，本人将
依法赔偿投资者损失。”
5、中泰证券股份有限公司承诺如下：“保荐人承诺因其为发行人首次公开发
行股票制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成
损失的，将先行赔偿投资者损失。”投资者有权获得赔偿的投资者资格、投资者
损失的范围认定、赔偿主体之间的责任划分和免责事由按照《证券法》、《最高人
民法院关于审理证券市场因虚假陈述引发的民事赔偿案件的若干规定》（法释
[2003]2 号）等相关法律法规的规定执行，如相关法律法规相应修订，则按届时
有效的法律法规执行。本保荐机构将严格履行生效司法文书认定的赔偿方式和赔
偿金额，并接受社会监督，确保投资者合法权益得到有效保护。
6、天健会计师事务所（特殊普通合伙）承诺如下：“因本所为浙江百达精
工股份有限公司首次公开发行制作、出具的文件有虚假记载、误导性陈述或者重
大遗漏，给投资者造成损失的，将依法赔偿投资者损失。”
7、国浩律师（杭州）事务所承诺如下：“如因本所为发行人首次公开发行
股票并上市而出具的文件有虚假记载、误导性陈述或重大遗漏，致使投资者在证
券交易中遭受损失的，经国家司法机关有效判决生效后，本所将依法赔偿投资者
损失。”
四、关于减持意向的承诺及约束措
1、发行人控股股东百达控股承诺如下：“本公司将严格遵守首次公开发行关
于股份流动限制和股份锁定的承诺，在持有公司股票的锁定期届满后拟减持公司
股票的，将通过合法方式进行减持，并通过公司在减持前 3个交易日予以公告。
本公司持有的公司股票锁定期届满后两年内将不进行减持。如果未履行上述承诺
事项，本公司将在发行人股东大会及中国证监会指定报刊上公开说明未履行承诺
的具体原因并向发行人的其他股东和社会公众投资者道歉。如违反上述承诺事
"
