页码,表格,纯文本
0,N_A,"
（RUIDA FUTURES CO., LTD）
厦门市思明区塔埔东路 169 号 13
厦门市思明区塔埔东路 169 号 13
瑞达期货股份有限公司
次公开发行股票招股意向

广东省深圳市福田区中心三路 8 号卓越时代广场（二期

瑞达期货股份有限公司
首次公开发行股票招股意向书
公司控股股东泉州市佳诺实业有限责任公司，实际控制人林志斌、林鸿斌及林
丽芳承诺：
自股票上市之日起三十六个月内，不转让或者委托他人管理其直接或间接
持有的发行人股份，也不由发行人回购该部分股份；所持股票在锁定期满后两
年内减持的，其减持价格不低于发行价；发行人上市后 6个月内如股票连续20
个交易日的收盘价均低于发行价，或者上市后 6个月期末收盘价低于发行价，
其持有发行人股票的锁定期限自动延长 6个月。
公司主要股东厦门中宝进出口贸易有限公司、厦门市金信隆进出口有限公司、
泉州运筹投资有限公司承诺：
发行人及全体董事、监事、高级管理人员承诺招股意向书及其摘要不存在虚
假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连
带的法律责任。
本公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及
其摘要中财务会计资料真实、完整。
保荐人承诺因其为发行人首次公开发行股票制作、出具的文件有虚假记载、
误导性陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其
对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、会计师或其他专业顾问。
一、股份锁定承诺及减持价格承诺
（一）公司控股股东泉州市佳诺实业有限责任公司，实际控制人
林志斌、林鸿斌及林丽芳承诺
自股票上市之日起三十六个月内，不转让或者委托他人管理其直接或间接持
有的发行人股份，也不由发行人回购该部分股份；所持股票在锁定期满后两年内
减持的，其减持价格不低于发行价；发行人上市后 6 个月内如发行人股票连续
20个交易日的收盘价均低于发行价，或者上市后 6个月期末收盘价低于发行价，
其持有发行人股票的锁定期限自动延长 6个月。
"
1,N_A,"根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、会计师或其他专业顾问。
一、股份锁定承诺及减持价格承诺
（一）公司控股股东泉州市佳诺实业有限责任公司，实际控制人
林志斌、林鸿斌及林丽芳承诺
自股票上市之日起三十六个月内，不转让或者委托他人管理其直接或间接持
有的发行人股份，也不由发行人回购该部分股份；所持股票在锁定期满后两年内
减持的，其减持价格不低于发行价；发行人上市后 6 个月内如发行人股票连续
20个交易日的收盘价均低于发行价，或者上市后 6个月期末收盘价低于发行价，
其持有发行人股票的锁定期限自动延长 6个月。
（二）公司主要股东厦门中宝进出口贸易有限公司、厦门市金信
隆进出口有限公司及泉州运筹投资有限公司承诺
自股票上市之日起十二个月内，不转让或者委托他人管理其直接或间接持有
的发行人股份，也不由发行人回购该部分股份。
（三）担任公司董事、监事、高级管理人员的葛昶、刘世鹏、黄
伟光、杨明东、徐志谋、曾永红、杨璐、陈欣及林娟承诺
自股票上市之日起十二个月内不以任何方式转让其直接或间接持有的发行
人股份；任职期间每年转让股份不超过其直接或间接持有发行人股份总数的
25%；离职半年内将不以任何方式转让其直接或间接持有的股份；在离职六个月
后的十二个月内通过交易所挂牌交易出售的股份不超过持有发行人股份总数的
50%。
（四）担任公司董事、高级管理人员的葛昶、刘世鹏、黄伟光、
自股票上市之日起十二个月内不以任何方式转让其直接或间接持有的发行
人股份；任职期间每年转让股份不超过其直接或间接持有发行人股份总数的
25%；离职半年内将不以任何方式转让其直接或间接持有的股份；在离职六个月
后的十二个月内通过交易所挂牌交易出售的股份不超过持有发行人股份总数的
50%。
（四）担任公司董事、高级管理人员的葛昶、刘世鹏、黄伟光、
杨明东、徐志谋、曾永红及林娟承诺
市后 6 个月内如股票连续 20 个交易日的收盘价均低于发行价，或者上市后 6 个
月期末收盘价低于发行价，其持有发行人股票的锁定期限自动延长 6个月。
上述发行价指公司首次公开发行股票的发行价格，如果公司上市后因派发现
金红利、送股、转增股本、增发新股等原因进行除权、除息的，则按照中国证监
"
2,N_A,"自股票上市之日起十二个月内不以任何方式转让其直接或间接持有的发行
人股份；任职期间每年转让股份不超过其直接或间接持有发行人股份总数的
25%；离职半年内将不以任何方式转让其直接或间接持有的股份；在离职六个月
后的十二个月内通过交易所挂牌交易出售的股份不超过持有发行人股份总数的
50%。
（四）担任公司董事、高级管理人员的葛昶、刘世鹏、黄伟光、
杨明东、徐志谋、曾永红及林娟承诺
市后 6 个月内如股票连续 20 个交易日的收盘价均低于发行价，或者上市后 6 个
月期末收盘价低于发行价，其持有发行人股票的锁定期限自动延长 6个月。
上述发行价指公司首次公开发行股票的发行价格，如果公司上市后因派发现
金红利、送股、转增股本、增发新股等原因进行除权、除息的，则按照中国证监
会、证券交易所的有关规定作除权除息处理。
二、关于公司上市后三年内稳定股价的预案
为稳定公司股价，保护中小股东和投资者利益，公司特制定了股价稳定预案，
公司、公司控股股东、董事、高级管理人员已就公司股价稳定预案作出了相关承
诺。公司上市后三年内稳定股价的预案具体如下：
（一）启动股价稳定措施的具体条件和程序
1、预警条件：当公司股票连续5个交易日的收盘价低于每股净资产的 120%
时，公司将在 10 个交易日内召开投资者见面会，与投资者就公司经营状况、财
务指标、发展战略进行深入沟通。
2、启动条件及程序：当公司股票连续20个交易日的收盘价低于每股净资产
时，公司应当在 5个交易日内召开董事会审议稳定股价具体方案，并提交股东大
会审议。
3、停止条件：在上述第 2 项稳定股价具体方案的实施期间内，如公司股票
连续 20个交易日收盘价高于每股净资产时，将停止实施股价稳定措施。
执行上述启动条件和程序且稳定股价具体方案实施期满后，若再次触发启动
条件，则再次启动稳定股价措施。
（二）稳定股价措施的责任主体
稳定股价措施的责任主体包括控股股东、公司及公司董事（不包括独立董事）
和高级管理人员（以下称“有责任的董事和高级管理人员”），既包括公司上市时
任职的董事和高级管理人员，也包括公司上市后三年内新任职的有责任的董事和
高级管理人员。
（三）稳定股价的具体措施
当触发前述稳定股价启动条件时，公司控股股东、有责任的董事和高级管理
人员应依照法律、法规、规范性文件和公司章程的规定，积极配合并保证公司按
照要求制定并启动稳定股价的实施方案。公司按以下顺序实施股价稳定措施：
"
3,N_A,"连续 20个交易日收盘价高于每股净资产时，将停止实施股价稳定措施。
执行上述启动条件和程序且稳定股价具体方案实施期满后，若再次触发启动
条件，则再次启动稳定股价措施。
（二）稳定股价措施的责任主体
稳定股价措施的责任主体包括控股股东、公司及公司董事（不包括独立董事）
和高级管理人员（以下称“有责任的董事和高级管理人员”），既包括公司上市时
任职的董事和高级管理人员，也包括公司上市后三年内新任职的有责任的董事和
高级管理人员。
（三）稳定股价的具体措施
当触发前述稳定股价启动条件时，公司控股股东、有责任的董事和高级管理
人员应依照法律、法规、规范性文件和公司章程的规定，积极配合并保证公司按
照要求制定并启动稳定股价的实施方案。公司按以下顺序实施股价稳定措施：
1、公司回购股票
当触发前述稳定股价启动条件时，公司应在 5个交易日内召开董事会，讨论
公司向社会公众股东回购公司股份的方案，并提交股东大会审议。
在股东大会审议通过股份回购方案后，公司依法通知债权人，向证券监督管
理部门、证券交易所等主管部门报送相关材料，办理审批或备案手续。
在完成必需的审批、备案、信息披露等程序后，公司方可实施相应的股份回
购方案。
公司回购股份的资金为自有资金，回购股份的价格不超过上一个会计年度终
了时经审计的每股净资产的价格，回购股份的方式为以法律法规允许的交易方式
向社会公众股东回购股份。公司用于回购股份的资金金额以 5,000万元为限。
如果公司股价已经不满足启动稳定公司股价措施的条件的，公司可不再实施
向社会公众股东回购股份。回购股份后，公司的股权分布应当符合上市条件。
公司向社会公众股东回购公司股份应符合公司法、证券法以及中国证监会、
证券交易所关于上市公司回购股份的规定。
2、公司控股股东增持公司股票
当公司完成股价稳定措施——公司回购股票后，公司股票连续 10 个交易日
的收盘价仍低于公司上一会计年度经审计的每股净资产时，或无法实施股价稳定
措施——公司回购股票时，公司控股股东应通过法律法规允许的交易方式买入公
司股票以稳定公司股价。
公司控股股东在启动股价稳定措施时应提前三个交易日公告具体实施方案。
公司控股股东买入公司股份后，公司的股权分布应当符合上市条件。
公司控股股东通过法律法规允许的交易方式买入公司股份，买入价格不高于
公司上一会计年度终了时经审计的每股净资产，公司控股股东用于购买股份的金
"
4,N_A,"公司向社会公众股东回购公司股份应符合公司法、证券法以及中国证监会、
证券交易所关于上市公司回购股份的规定。
2、公司控股股东增持公司股票
当公司完成股价稳定措施——公司回购股票后，公司股票连续 10 个交易日
的收盘价仍低于公司上一会计年度经审计的每股净资产时，或无法实施股价稳定
措施——公司回购股票时，公司控股股东应通过法律法规允许的交易方式买入公
司股票以稳定公司股价。
公司控股股东在启动股价稳定措施时应提前三个交易日公告具体实施方案。
公司控股股东买入公司股份后，公司的股权分布应当符合上市条件。
公司控股股东通过法律法规允许的交易方式买入公司股份，买入价格不高于
公司上一会计年度终了时经审计的每股净资产，公司控股股东用于购买股份的金
额以3,000万元为限。如果公司股价已经不满足启动稳定公司股价措施的条件的，
公司控股股东可不再买入公司股份。
公司控股股东买入公司股份应符合相关法律、法规的规定，需要履行证券监
督管理部门、证券交易所等主管部门审批的，应履行相应的审批手续。因未获得
批准而未买入公司股份的，视同已履行本预案及承诺。
3、公司非独立董事、高级管理人员增持公司股票
当公司完成股价稳定措施——控股股东增持公司股票后，公司股票连续 10
个交易日的收盘价仍低于公司上一会计年度经审计的每股净资产时，或无法实施
股价稳定措施——控股股东增持公司股票时，公司时任非独立董事、高级管理人
员（包括本预案承诺签署时尚未就任或未来新选聘的公司非独立董事、高级管理
人员）应通过法律法规允许的交易方式买入公司股票以稳定公司股价。
公司非独立董事、高级管理人员在启动股价稳定措施时应提前三个交易日公
告具体实施方案。公司非独立董事、高级管理人员买入公司股份后，公司的股权
分布应当符合上市条件。
公司非独立董事、高级管理人员通过法律法规允许的交易方式买入公司股
份，买入价格不高于公司上一会计年度终了时经审计的每股净资产，各非独立董
事、高级管理人员用于购买股份的金额为公司非独立董事、高级管理人员上一会
计年度从公司领取税后薪酬额的30%。如果公司股价已经不满足启动稳定公司股
价措施的条件的，非独立董事、高级管理人员可不再买入公司股份。
公司非独立董事、高级管理人员买入公司股份应符合相关法律、法规的规定，
需要履行证券监督管理部门、证券交易所等主管部门审批的，应履行相应的审批
手续。因未获得批准而未买入公司股份的，视同已履行本预案及承诺。
"
5,N_A,"公司非独立董事、高级管理人员在启动股价稳定措施时应提前三个交易日公
告具体实施方案。公司非独立董事、高级管理人员买入公司股份后，公司的股权
分布应当符合上市条件。
公司非独立董事、高级管理人员通过法律法规允许的交易方式买入公司股
份，买入价格不高于公司上一会计年度终了时经审计的每股净资产，各非独立董
事、高级管理人员用于购买股份的金额为公司非独立董事、高级管理人员上一会
计年度从公司领取税后薪酬额的30%。如果公司股价已经不满足启动稳定公司股
价措施的条件的，非独立董事、高级管理人员可不再买入公司股份。
公司非独立董事、高级管理人员买入公司股份应符合相关法律、法规的规定，
需要履行证券监督管理部门、证券交易所等主管部门审批的，应履行相应的审批
手续。因未获得批准而未买入公司股份的，视同已履行本预案及承诺。
（四）约束措施
在启动股价稳定措施的条件满足时，如公司、控股股东、董事、高级管理人
员未采取上述稳定股价的具体措施，公司、控股股东、董事、高级管理人员承诺
接受以下约束措施：
1、公司、控股股东、董事、高级管理人员将在公司股东大会及中国证监会
指定报刊上公开说明未采取上述稳定股价措施的具体原因并向公司股东和社会
公众投资者道歉。
2、如果控股股东未采取上述稳定股价的具体措施的，则控股股东持有的公
司股份不得转让，直至其按本预案的规定采取相应的稳定股价措施并实施完毕。
在此期间，公司有权扣留应向控股股东支付的现金分红。
3、如果董事、高级管理人员未采取上述稳定股价的具体措施的，将在前述
事项发生之日起 10 个交易日内，公司停止发放未履行承诺董事、高级管理人员
的薪酬，同时该等董事、高级管理人员持有的公司股份不得转让，直至该等董事、
高级管理人员按本预案的规定采取相应的股价稳定措施并实施完毕。
三、关于招股意向书不存在虚假记载、误导性陈述或者重大遗
漏的承诺
（一）公司及控股股东关于公司首次公开发行股票招股意向书不
存在虚假记载、误导性陈述或者重大遗漏的承诺
若公司首次公开发行股票招股意向书存在虚假记载、误导性陈述或者重大遗
漏，对判断公司是否符合法律规定的发行条件构成重大、实质影响的，公司将依
法回购首次公开发行的全部新股。
在证券监督管理部门或其他有权部门认定公司招股意向书存在对判断公司
是否符合法律规定的发行条件构成重大、实质影响的虚假记载、误导性陈述或者
重大遗漏后 10 个交易日内，公司将根据相关法律、法规、规章及公司章程的规
"
6,N_A,"的薪酬，同时该等董事、高级管理人员持有的公司股份不得转让，直至该等董事、
高级管理人员按本预案的规定采取相应的股价稳定措施并实施完毕。
三、关于招股意向书不存在虚假记载、误导性陈述或者重大遗
漏的承诺
（一）公司及控股股东关于公司首次公开发行股票招股意向书不
存在虚假记载、误导性陈述或者重大遗漏的承诺
若公司首次公开发行股票招股意向书存在虚假记载、误导性陈述或者重大遗
漏，对判断公司是否符合法律规定的发行条件构成重大、实质影响的，公司将依
法回购首次公开发行的全部新股。
在证券监督管理部门或其他有权部门认定公司招股意向书存在对判断公司
是否符合法律规定的发行条件构成重大、实质影响的虚假记载、误导性陈述或者
重大遗漏后 10 个交易日内，公司将根据相关法律、法规、规章及公司章程的规
定召开董事会，并提议召开股东大会，启动股份回购措施，回购价格以公司首次
公开发行股票时的发行价加上同期银行存款利息（如果因派发现金红利、送股、
转增股本、增发新股等原因进行除权、除息的，须按照中国证监会、证券交易所
的有关规定作相应调整），和有关违法事实被证券监管部门认定之日前 20个交易
日公司股票交易均价的孰高者确定。
（二）公司实际控制人、董事、监事、高级管理人员关于公司首
次公开发行股票招股意向书不存在虚假记载、误导性陈述或者重大
遗漏的承诺
公司首次公开发行股票招股意向书有虚假记载、误导性陈述或者重大遗漏，
致使投资者在证券交易中遭受损失的，公司及本人将依法赔偿投资者损失。
1、在证券监督管理部门或其他有权部门认定公司招股意向书存在虚假记载、
误导性陈述或者重大遗漏后 10 个交易日内，公司及本人将启动赔偿投资者损失
的相关工作。
2、投资者损失根据与投资者协商确定的金额，或者依据证券监督管理部门、
司法机关认定的方式或金额确定。
（三）各中介机构关于公司首次公开发行股票招股意向书不存在
虚假记载、误导性陈述或者重大遗漏的承诺
保荐机构承诺：本公司已对瑞达期货股份有限公司招股意向书及其摘要进行
了核查，确认不存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性
和完整性承担相应的法律责任。本公司为瑞达期货股份有限公司首次公开发行股
票制作、出具的文件不存在虚假记载、误导性陈述或者重大遗漏的情形；若因本
公司为发行人首次公开发行制作、出具的文件有虚假记载、误导性陈述或者重大
遗漏，给投资者造成损失的，将先行赔偿投资者损失。
"
7,N_A,"误导性陈述或者重大遗漏后 10 个交易日内，公司及本人将启动赔偿投资者损失
的相关工作。
2、投资者损失根据与投资者协商确定的金额，或者依据证券监督管理部门、
司法机关认定的方式或金额确定。
（三）各中介机构关于公司首次公开发行股票招股意向书不存在
虚假记载、误导性陈述或者重大遗漏的承诺
保荐机构承诺：本公司已对瑞达期货股份有限公司招股意向书及其摘要进行
了核查，确认不存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性
和完整性承担相应的法律责任。本公司为瑞达期货股份有限公司首次公开发行股
票制作、出具的文件不存在虚假记载、误导性陈述或者重大遗漏的情形；若因本
公司为发行人首次公开发行制作、出具的文件有虚假记载、误导性陈述或者重大
遗漏，给投资者造成损失的，将先行赔偿投资者损失。
申报会计师承诺：本所为瑞达期货股份有限公司首次公开发行制作、出具的
文件不存在虚假记载、误导性陈述或者重大遗漏的情形；若因本所为发行人首次
公开发行制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造
成损失的，在该等违法事实被认定后，本所将依法赔偿投资者损失。
申报律师承诺：本所为瑞达期货股份有限公司首次公开发行制作、出具的文
件不存在虚假记载、误导性陈述或者重大遗漏的情形；若因本所为发行人首次公
开发行制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成
损失的，本所将依法赔偿投资者损失。
（二）公司实际控制人、董事、监事、高级管理人员关于公司首
次公开发行股票招股意向书不存在虚假记载、误导性陈述或者重大
遗漏的承诺
公司首次公开发行股票招股意向书有虚假记载、误导性陈述或者重大遗漏，
致使投资者在证券交易中遭受损失的，公司及本人将依法赔偿投资者损失。
1、在证券监督管理部门或其他有权部门认定公司招股意向书存在虚假记载、
误导性陈述或者重大遗漏后 10 个交易日内，公司及本人将启动赔偿投资者损失
的相关工作。
2、投资者损失根据与投资者协商确定的金额，或者依据证券监督管理部门、
司法机关认定的方式或金额确定。
司法机关认定的方式或金额确定。
（三）各中介机构关于公司首次公开发行股票招股意向书不存在
虚假记载、误导性陈述或者重大遗漏的承诺
保荐机构承诺：本公司已对瑞达期货股份有限公司招股意向书及其摘要进行
了核查，确认不存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性
"
8,N_A,"公司首次公开发行股票招股意向书有虚假记载、误导性陈述或者重大遗漏，
致使投资者在证券交易中遭受损失的，公司及本人将依法赔偿投资者损失。
1、在证券监督管理部门或其他有权部门认定公司招股意向书存在虚假记载、
误导性陈述或者重大遗漏后 10 个交易日内，公司及本人将启动赔偿投资者损失
的相关工作。
2、投资者损失根据与投资者协商确定的金额，或者依据证券监督管理部门、
司法机关认定的方式或金额确定。
司法机关认定的方式或金额确定。
（三）各中介机构关于公司首次公开发行股票招股意向书不存在
虚假记载、误导性陈述或者重大遗漏的承诺
保荐机构承诺：本公司已对瑞达期货股份有限公司招股意向书及其摘要进行
了核查，确认不存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性
和完整性承担相应的法律责任。本公司为瑞达期货股份有限公司首次公开发行股
票制作、出具的文件不存在虚假记载、误导性陈述或者重大遗漏的情形；若因本
公司为发行人首次公开发行制作、出具的文件有虚假记载、误导性陈述或者重大
遗漏，给投资者造成损失的，将先行赔偿投资者损失。
申报会计师承诺：本所为瑞达期货股份有限公司首次公开发行制作、出具的
文件不存在虚假记载、误导性陈述或者重大遗漏的情形；若因本所为发行人首次
公开发行制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造
成损失的，在该等违法事实被认定后，本所将依法赔偿投资者损失。
申报律师承诺：本所为瑞达期货股份有限公司首次公开发行制作、出具的文
件不存在虚假记载、误导性陈述或者重大遗漏的情形；若因本所为发行人首次公
开发行制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成
损失的，本所将依法赔偿投资者损失。
四、摊薄即期回报及填补措施
公司董事会就本次公开发行股票是否摊薄即期回报进行了分析，并制定了相
关填补措施，公司全体董事、高级管理人员出具了切实履行公司摊薄即期回报填
补措施的承诺。公司第三届董事会第二次会议就上述事项通过了《关于首次公开
发行 A股股票摊薄即期回报及填补措施》的议案，并经公司 2018年年度股东大
会审议通过。具体内容请仔细阅读本招股意向书“第十二节 管理层讨论与分析”
之“六、本次公开发行股票摊薄即期回报及填补措施”。
公司制定填补回报措施不等于对公司未来利润做出保证。公司在本次公开发
行股票后，将在定期报告中持续披露填补即期回报措施的完成情况及相关承诺主
"
9,N_A,"开发行制作、出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成
损失的，本所将依法赔偿投资者损失。
四、摊薄即期回报及填补措施
公司董事会就本次公开发行股票是否摊薄即期回报进行了分析，并制定了相
关填补措施，公司全体董事、高级管理人员出具了切实履行公司摊薄即期回报填
补措施的承诺。公司第三届董事会第二次会议就上述事项通过了《关于首次公开
发行 A股股票摊薄即期回报及填补措施》的议案，并经公司 2018年年度股东大
会审议通过。具体内容请仔细阅读本招股意向书“第十二节 管理层讨论与分析”
之“六、本次公开发行股票摊薄即期回报及填补措施”。
公司制定填补回报措施不等于对公司未来利润做出保证。公司在本次公开发
行股票后，将在定期报告中持续披露填补即期回报措施的完成情况及相关承诺主
体承诺事项的履行情况。
五、公司董事及高级管理人员对本次公开发行摊薄即期回报采
公司的董事、高级管理人员承诺忠实、勤勉地履行职责，维护公司和全体股
东的合法权益，对公司本次发行上市摊薄即期回报采取的填补措施能够得到切实
履行作出以下承诺：
（一）承诺不无偿或以不公平条件向其他单位或者个人输送利益，也不采用
其他方式损害公司利益。
（二）承诺对董事和高级管理人员的职务消费行为进行约束。
（三）承诺不动用公司资产从事与其履行职责无关的投资、消费活动。
（四）承诺由董事会或薪酬与考核委员会制定的薪酬制度与公司填补回报措
施的执行情况相挂钩。
（五）承诺公司股权激励（如有）的行权条件与公司填补回报措施的执行情
况相挂钩。
六、关于未履行承诺时的约束措施的承诺
（二）公司控股股东、实际控制人关于未履行承诺事项时采取约
束措施的承诺
（一）发行人关于未履行承诺时的约束措施的承诺
本公司保证将严格履行招股意向书披露的承诺事项，同时提出未能履行承诺
时的约束措施如下：
1、如果本公司未履行招股意向书披露的承诺事项，本公司将在股东大会及
中国证监会指定报刊上公开说明未履行承诺的具体原因并向股东和社会公众投
资者道歉。
2、如果因本公司未履行相关承诺事项，致使投资者在证券交易中遭受损失
的，本公司将依法向投资者赔偿相关损失。
（1）在证券监督管理部门或其他有权部门认定公司招股意向书存在虚假记
载、误导性陈述或者重大遗漏后 10 个交易日内，公司将启动赔偿投资者损失的
相关工作。
（2）投资者损失根据与投资者协商确定的金额，或者依据证券监督管理部
"
