页码,表格,纯文本
0,N_A,"东莞勤上光电股份有限公司
（注册地址：东莞市常平镇横江厦村
（注册地址：深圳市红岭中路 1012 号国信证券大厦 16-26 层）
发行人及全体董事、监事、高级管理人员承诺招股意向书及其摘要不存在虚
假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连
带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及其
摘要中财务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其
对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、会计师或其他专业顾问。
一、股份限制流通及自愿锁定承诺
本次发行前公司总股本 14,050.00 万股，本次拟发行股票 4,683.50 万股，发
行后总股本18,733.50万股，上述股份均为流通股。
公司控股股东东莞勤上集团有限公司、实际控制人李旭亮先生和温琦女士、
东莞市合盈创业投资有限公司、李淑贤、梁金成、莫群积分别承诺：自公司股票
上市之日起三十六个月内，不转让或者委托他人管理本公司/本人直接或间接持
有的公司公开发行股票前已发行的股份，也不由公司回购该部分股份。
深圳市创新资本投资有限公司、大庆市中科汇银创业投资有限责任公司、天
津达正元股权投资基金合伙企业（有限合伙）、深圳葳尔科兴投资有限公司、杭
州中证大道金海投资合伙企业（有限合伙）、广东海富投资管理有限公司、杭州
英琦瑞河股权投资合伙企业（有限合伙）、通联资本管理有限公司、大庆市中科
汇金创业投资有限责任公司、江苏高投成长创业投资有限公司、新疆特变电工集
团有限公司、新疆宏联创业投资有限公司、杭州中证大道嘉湖股权投资合伙企业
（有限合伙）、深圳市和泰成长创业投资有限责任公司、广东通盈创业投资有限
公司、北京明石信远创业投资中心（有限合伙）、上海鼎锋资产管理有限公司、
浙江黑石投资合伙企业（有限合伙）、深圳市瑞德海创新投资合伙企业（有限合
伙）、山西大正元投资咨询有限公司等 20家机构股东及刘亿、何炎坤、陈少芬、
盛春林、林茂玉、陈俊岭、梁开平、李建宏、张振华、陈锐强、毛晓斌、黄冠志、
"
1,N_A,"州中证大道金海投资合伙企业（有限合伙）、广东海富投资管理有限公司、杭州
英琦瑞河股权投资合伙企业（有限合伙）、通联资本管理有限公司、大庆市中科
汇金创业投资有限责任公司、江苏高投成长创业投资有限公司、新疆特变电工集
团有限公司、新疆宏联创业投资有限公司、杭州中证大道嘉湖股权投资合伙企业
（有限合伙）、深圳市和泰成长创业投资有限责任公司、广东通盈创业投资有限
公司、北京明石信远创业投资中心（有限合伙）、上海鼎锋资产管理有限公司、
浙江黑石投资合伙企业（有限合伙）、深圳市瑞德海创新投资合伙企业（有限合
伙）、山西大正元投资咨询有限公司等 20家机构股东及刘亿、何炎坤、陈少芬、
盛春林、林茂玉、陈俊岭、梁开平、李建宏、张振华、陈锐强、毛晓斌、黄冠志、
李明官、冉慧霞、冯明康、李霖君、周海昌、吴超、林江、庄玉冰、张博、崔俊
贤、罗毅、魏萍、沈清全、詹苏华、区苑璧、李玉荣、翁君、王勤荣、纪荣军、
何镜清、苗波、张凤兰、孙召利分别承诺：自发行人股票上市之日起十二个月内，
不转让或者委托他人管理本公司（本人）已持有的发行人股份，也不由发行人回
购该部分股份。
杭州尚泰永源股权投资合伙企业（有限合伙）、叶林茂、黄炯、郭小燕、罗
念槽、田苗、王小平、石东明、李秋堡、叶少勇、章道波分别承诺：若发行人在
2011年 12 月 30 日之前刊登招股说明书，则自持有发行人股份之日起（以完成
工商变更登记手续的2010 年 12 月30 日为基准日）三十六个月内，不转让或者
委托他人管理本公司（本人）已持有的发行人股份，也不由发行人回购该部分股
份；若发行人在 2011年 12 月 30 日之后刊登招股说明书，自股票上市之日起十
二个月内，不转让或者委托他人管理本公司（本人）已持有的发行人股份，也不
由发行人回购该部分股份。
除上述锁定期外，担任发行人董事、监事和高级管理人员的陈俊岭、温琦、
梁金成、黄冠志、林茂玉、章道波及毛晓斌还承诺：在其任职期间，每年转让的
股份不超过其所持有公司股份总数的百分之二十五，离职后六个月内，不转让其
所持有的公司股份；在申报离任六个月后的十二个月内通过证券交易所挂牌交易
出售公司股票数量占其所持有公司股票总数的比例不超过百分之五十。
截至 2011 年 6 月 30 日，发行人可供股东分配的滚存未分配利润余额为
222,055,442.91元，经2011年1 月26日召开的公司2011年第一次临时股东大会
"
2,N_A,"份；若发行人在 2011年 12 月 30 日之后刊登招股说明书，自股票上市之日起十
二个月内，不转让或者委托他人管理本公司（本人）已持有的发行人股份，也不
由发行人回购该部分股份。
除上述锁定期外，担任发行人董事、监事和高级管理人员的陈俊岭、温琦、
梁金成、黄冠志、林茂玉、章道波及毛晓斌还承诺：在其任职期间，每年转让的
股份不超过其所持有公司股份总数的百分之二十五，离职后六个月内，不转让其
所持有的公司股份；在申报离任六个月后的十二个月内通过证券交易所挂牌交易
出售公司股票数量占其所持有公司股票总数的比例不超过百分之五十。
截至 2011 年 6 月 30 日，发行人可供股东分配的滚存未分配利润余额为
222,055,442.91元，经2011年1 月26日召开的公司2011年第一次临时股东大会
决议，同意本次公开发行人民币普通股（A 股）前形成的滚存未分配利润，由本
次公开发行A股后的新老股东按照发行后持股比例共享。
三、本公司特别提醒投资者注意“风险因素”中的下列风险
三、本公司特别提醒投资者注意“风险因素”中的下列风险
公司所在的半导体照明行业作为新兴产业，近年来由于国家及各级地方政府
的大力扶持以及上游 LED 芯片价格下降及发光效率的提高，半导体照明应用逐
渐渗透到通用照明、专业照明及特种照明领域。随着应用规模的日益扩大，半导
体照明行业的广阔前景也越来越得到全社会的广泛关注，资金、人才逐步向本行
业聚集，行业内企业的数量和规模不断壮大。同时，越来越多的传统照明企业也
开始逐渐向半导体照明企业转型，参与到本行业的市场竞争中来。
随着半导体照明行业的发展和半导体照明应用技术的普及，LED 照明产品
进入市场化竞争阶段；同时，由于国内外一些实力雄厚的传统照明企业的进入，
市场竞争压力逐步显现。特别是随着 LED 芯片性价比的进一步提升，价格等经
济性指标也逐渐成为行业竞争的重要因素，对于技术、成本控制、生产与质量管
理不占优势的企业，存在较大的市场竞争风险。
（二）应收账款余额较高的风险
在报告期内，公司应收账款净额 2008 年末、2009 年末、2010 年末和 2011
年6月 30日分别为13,351万元、18,920万元、20,323万元和18,082万元，应收
账款净额占资产总额的比重分别为 18%、24%、17%和 14%。公司提供的户外照
明产品及综合解决方案通常需要经过投标、建设和客户验收几个阶段，周期相对
"
3,N_A,"随着半导体照明行业的发展和半导体照明应用技术的普及，LED 照明产品
进入市场化竞争阶段；同时，由于国内外一些实力雄厚的传统照明企业的进入，
市场竞争压力逐步显现。特别是随着 LED 芯片性价比的进一步提升，价格等经
济性指标也逐渐成为行业竞争的重要因素，对于技术、成本控制、生产与质量管
理不占优势的企业，存在较大的市场竞争风险。
（二）应收账款余额较高的风险
在报告期内，公司应收账款净额 2008 年末、2009 年末、2010 年末和 2011
年6月 30日分别为13,351万元、18,920万元、20,323万元和18,082万元，应收
账款净额占资产总额的比重分别为 18%、24%、17%和 14%。公司提供的户外照
明产品及综合解决方案通常需要经过投标、建设和客户验收几个阶段，周期相对
较长，而且部分政府路灯采购工程具有较强的季节性，通常集中在下半年，使得
公司应收账款较大而且增长速度较快。
如果发生无法及时收回货款的情况，公司将面临坏账损失的风险。
（三）募集资金投资项目市场风险
本次募集资金总额为46,343.33 万元，占截至2011年6月30日止净资产的
54%，项目投产后，产能大幅扩张。公司此次募集资金投资项目技术成熟、政策
支持、市场前景较好，公司已进行了充分的可行性论证。但由于产能扩张迅速，
且项目要求大力开拓国内外市场，公司可能会因市场开拓能力不足，市场预期出
现偏差导致产大于销的市场风险。
上述风险都将直接或间接影响公司的经营业绩，请投资者特别关注“风险因
素”一节关于上述风险的内容。
二、董事、监事、高级管理人员与核心技术人员及其近亲属持有本公司股份的情况.......220
本招股意向书中部分合计数与各加数直接相加之和在尾数上存在差异，这些
差异是由四舍五入造成的。
本概览仅对招股意向书全文做扼要提示，投资者作出投资决策前，应认真阅
读招股意向书全文。
公司是于2007年12月由东莞勤上五金塑胶制品有限公司依法整体变更设立
的股份有限公司。
公司的主营业务是研发、生产、销售半导体照明产品，为用户提供LED照
明解决方案。
公司主营业务包括LED景观照明、LED 功能照明、LED显示屏和LED 特
种照明四个大的系列，其中基于大功率白光 LED 照明技术的LED 功能照明是公
司主营业务的主要方面和发展方向，报告期末，其在公司主营业务收入的占比超
"
4,N_A,"二、董事、监事、高级管理人员与核心技术人员及其近亲属持有本公司股份的情况.......220
本招股意向书中部分合计数与各加数直接相加之和在尾数上存在差异，这些
差异是由四舍五入造成的。
本概览仅对招股意向书全文做扼要提示，投资者作出投资决策前，应认真阅
读招股意向书全文。
公司是于2007年12月由东莞勤上五金塑胶制品有限公司依法整体变更设立
的股份有限公司。
公司的主营业务是研发、生产、销售半导体照明产品，为用户提供LED照
明解决方案。
公司主营业务包括LED景观照明、LED 功能照明、LED显示屏和LED 特
种照明四个大的系列，其中基于大功率白光 LED 照明技术的LED 功能照明是公
司主营业务的主要方面和发展方向，报告期末，其在公司主营业务收入的占比超
过了一半。大功率白光LED 功能照明作为革命性的照明实现方式和战略性新兴
产业，受到了世界各国政府的重点支持，市场前景非常广阔，其对公司主营业务
的贡献也将逐年大幅提高。
包括户外照明和室内照明在内的LED功能照明是在公司LED景观照明业务
的基础上发展起来的。2007年公司成功解决了大功率白光LED 实现功能照明在
应用端必须解决的LED 光源光学管理、热管理和恒流驱动等多项技术难题，开
发出系列大功率LED照明产品，在全球范围内率先实现大功率LED 功能照明产
品规模化量产和商业化推广。在此基础上，公司持续进行技术开发和产品创新，
截至报告期末共拥有专利166 项，其中发明专利 24项，成为在LED 功能照明领
域具有自主知识产权和自有品牌的领先企业。
具体在LED 功能照明业务方面，公司以大功率LED 路灯为切入点，渐次向
隧道、停车场、广场、码头、地铁、加油站、体育场等其他户外照明领域和商场、
酒店、工厂、写字楼、学校和家庭等室内功能照明领域拓展，按照不同的应用领
域进行专业化细分，在具体专业领域确立公司的产品线。经过近4年的努力，公
司已经成为LED照明产品品种和款式最为丰富的厂家之一。报告期末，公司的
LED功能照明产品已经成功应用于国内外的道路照明、交通照明、商业照明、
工业照明、办公照明、教育照明和民用照明等各主要照明应用领域的众多LED
照明示范工程和LED重点照明工程，相较于传统照明，在提升了照明质量的同
时节能超过50%，且具有使命寿命长、节省维护管理费用、无污染和可以智能控
制等诸多优势，实现了照明方式的升级。
"
5,N_A,"具体在LED 功能照明业务方面，公司以大功率LED 路灯为切入点，渐次向
隧道、停车场、广场、码头、地铁、加油站、体育场等其他户外照明领域和商场、
酒店、工厂、写字楼、学校和家庭等室内功能照明领域拓展，按照不同的应用领
域进行专业化细分，在具体专业领域确立公司的产品线。经过近4年的努力，公
司已经成为LED照明产品品种和款式最为丰富的厂家之一。报告期末，公司的
LED功能照明产品已经成功应用于国内外的道路照明、交通照明、商业照明、
工业照明、办公照明、教育照明和民用照明等各主要照明应用领域的众多LED
照明示范工程和LED重点照明工程，相较于传统照明，在提升了照明质量的同
时节能超过50%，且具有使命寿命长、节省维护管理费用、无污染和可以智能控
制等诸多优势，实现了照明方式的升级。
公司在提供标准化产品的同时，也为重点客户和重点工程提供定制化产品，
满足特定用户的个性化需求和重点项目的特殊需求及复合需求。公司可以为工程
照明用户提供包括照明方案设计、灯具选型、工程指导内等的全过程服务。
基于公司在产品和服务方面的综合优势，公司既可以为主要细分应用领域提
供专业化的LED照明解决方案，也可以针对综合性应用场所不同空间的不同照
明需求提供一站式LED 照明解决方案。此外，公司还通过LED 照明技术与其他
技术的结合，提供LED 智能照明解决方案和将LED 照明与风能、太阳能集成应
用的风光互补解决方案。公司在解决方案提供能力上的优势进一步强化了公司主
营业务的核心竞争能力 。
除了大功率LED功能照明产品之外，公司开发的大功率 LED 投光灯、泛光
灯在景观照明领域替代金卤灯具有很好的应用前景，从而使公司景观照明的产品
结构在小功率LED灯饰产品为主的基础上有了进一步的优化。在特种照明方面，
截至报告期末，公司的LED 车灯、LED 医用无影灯和LED 防爆灯也相继开发完
成并将逐步开始推向市场。
LED 显示屏为公司LED 照明之外的辅助性业务，报告期内主要是应客户的
要求提供定制化产品和安装指导服务。由于公司良好的品牌效应，报告期内公司
的LED 显示屏业务在包括天安门广场特大型显示屏等国内的多个重点项目中中
标，并展现出良好的业务发展势头。
公司的产品销售采用直销和渠道销售相结合的模式。其中中小功率的LED
灯饰和景观照明产品继续以出口订单模式为主；在LED户外照明产品方面，除
"
6,N_A,"灯在景观照明领域替代金卤灯具有很好的应用前景，从而使公司景观照明的产品
结构在小功率LED灯饰产品为主的基础上有了进一步的优化。在特种照明方面，
截至报告期末，公司的LED 车灯、LED 医用无影灯和LED 防爆灯也相继开发完
成并将逐步开始推向市场。
LED 显示屏为公司LED 照明之外的辅助性业务，报告期内主要是应客户的
要求提供定制化产品和安装指导服务。由于公司良好的品牌效应，报告期内公司
的LED 显示屏业务在包括天安门广场特大型显示屏等国内的多个重点项目中中
标，并展现出良好的业务发展势头。
公司的产品销售采用直销和渠道销售相结合的模式。其中中小功率的LED
灯饰和景观照明产品继续以出口订单模式为主；在LED户外照明产品方面，除
了在本埠区域和国内的重大照明项目采用直销方式之外，公司积极与国内外的照
明工程商合作，与之建立产品经销和项目合作关系；同时，公司已在国内建立了
多家子公司和参股公司，通过与具有优势资源合作伙伴的有效合作，更好地实现
本地化的市场拓展和本地化服务。公司室内照明产品和其他照明产品的销售将以
发展经销商为主、以工程项目直销为辅，相关招商工作已经展开并取得良好进展。
此外，公司是在照明应用领域率先使用合同能源管理（EMC）模式并具有成
熟EMC 业务操作经验的企业之一，公司通过在合同期内分期获得用户照明节能
效益返还实现公司与用户的双赢。随着LED照明性价比的不断提高、电费的上
涨和相关扶持政策的出台，EMC 模式在公共照明、工业照明和商业照明领域对
加速LED 照明对传统照明的替代进程将发挥出重要作用，未来三年内该模式对
公司主营业务的贡献将逐年提升。
报告期内，公司总体业务发展稳健，LED 功能照明业务快速成长，业务结
构不断优化。2009年由于受金融危机影响，公司 LED景观照明产品出口下滑，
导致公司营业收入由2008年的 45,745.73万元下降为42,410.63万元。公司在危
机中把握大功率LED功能性照明产品的良好发展机遇，充分利用国家的节能减
排政策，大力拓展LED 路灯、隧道灯等LED 户外照明市场，开发制造LED室
内照明产品，带动2010年营业收入达到55,228.30万元，比2009年增长了30.22%。
三、控股股东及实际控制人的简要情况
本公司实际控制人为李旭亮先生和温琦女士。李旭亮先生和温琦女士是夫妻
关系。
"
7,N_A,"公司主营业务的贡献将逐年提升。
报告期内，公司总体业务发展稳健，LED 功能照明业务快速成长，业务结
构不断优化。2009年由于受金融危机影响，公司 LED景观照明产品出口下滑，
导致公司营业收入由2008年的 45,745.73万元下降为42,410.63万元。公司在危
机中把握大功率LED功能性照明产品的良好发展机遇，充分利用国家的节能减
排政策，大力拓展LED 路灯、隧道灯等LED 户外照明市场，开发制造LED室
内照明产品，带动2010年营业收入达到55,228.30万元，比2009年增长了30.22%。
三、控股股东及实际控制人的简要情况
本公司实际控制人为李旭亮先生和温琦女士。李旭亮先生和温琦女士是夫妻
关系。
发行人总股本为14,050.00万股，其中李旭亮夫妇通过勤上集团持有4,851.70
万股股份，占发行人总股本的34.53%；温琦直接持有发行人208.60万股股份，
占发行人总股本的1.48%。李旭亮夫妇通过勤上集团所持有发行人股份合并温琦
直接持有发行人股份总数占发行人总股本的36.01%。
四、报告期内主要财务数据
根据深圳鹏城审计的合并财务报表，公司主要财务数据如下：
（一）合并资产负债表主要数据
（三）合并现金流量表主要数据

本次发行募集资金扣除发行费用后将投资于以
若本次实际募集资金小于上述项目投资资金需求，缺口部分由本公司自筹方
式解决；若实际募集资金大于上述项目投资资金需求，则用于补充公司流动资金。
募集资金到位前，公司根据项目实际需要，用银行贷款、自筹资金先期投入，募
集资金到位后置换已支付的银行贷款、自筹资金。关于募集资金投资项目的具体
情况参见“第十三节 募集资金运用”部分。
1、股票种类：人民币普通股（A股）；
2、每股面值：1.00元人民币；
3、发行股数：4,683.50万股，约占发行后总股本25.00%；
4、发行价格：通过向询价对象初步询价确定发行价格区间后，由发行人和
主承销商确定发行价格；
5、发行前每股净资产：6.15元/股（以2011年6 月30日经审计的归属于母
公司所有者权益除以本次发行前总股本计算）；
6、发行后每股净资产：【 】元/股（以【 】年【 】月【 】日经审计的净
资产除以发行后总股本计算）；
7、发行市盈率：
【 】倍（每股收益按照【 】年经审计的扣除非经常性损益的净利润除以本
次发行前总股本计算）；
"
8,N_A,"集资金到位后置换已支付的银行贷款、自筹资金。关于募集资金投资项目的具体
情况参见“第十三节 募集资金运用”部分。
1、股票种类：人民币普通股（A股）；
2、每股面值：1.00元人民币；
3、发行股数：4,683.50万股，约占发行后总股本25.00%；
4、发行价格：通过向询价对象初步询价确定发行价格区间后，由发行人和
主承销商确定发行价格；
5、发行前每股净资产：6.15元/股（以2011年6 月30日经审计的归属于母
公司所有者权益除以本次发行前总股本计算）；
6、发行后每股净资产：【 】元/股（以【 】年【 】月【 】日经审计的净
资产除以发行后总股本计算）；
7、发行市盈率：
【 】倍（每股收益按照【 】年经审计的扣除非经常性损益的净利润除以本
次发行前总股本计算）；
【 】倍（每股收益按照【 】年经审计的扣除非经常性损益的净利润除以本
次发行后总股本计算）；
8、发行市净率：
【 】倍（按每股发行价格除以本次发行前每股净资产计算）；
【 】倍（按每股发行价格除以本次发行后每股净资产计算）；
9、发行方式：采用网下向询价对象配售和网上资金申购定价发行相结合的
方式，或采用中国证监会核准的其他发行方式；
10、发行对象：符合资格的询价对象和在深圳证券交易所开户的境内自然人、
法人投资者（国家法律、法规禁止购买的除外）或中国证监会规定的其他对象；
11、承销方式：由保荐人（主承销商）组织的承销团以余额包销方式承销；
12、预计募集资金总额：【 】万元；
13、预计募集资金净额：【 】万元；
1、股票种类：人民币普通股（A股）；
2、每股面值：1.00元人民币；
3、发行股数：4,683.50万股，约占发行后总股本25.00%；
4、发行价格：通过向询价对象初步询价确定发行价格区间后，由发行人和
主承销商确定发行价格；
5、发行前每股净资产：6.15元/股（以2011年6 月30日经审计的归属于母
公司所有者权益除以本次发行前总股本计算）；
6、发行后每股净资产：【 】元/股（以【 】年【 】月【 】日经审计的净
资产除以发行后总股本计算）；
7、发行市盈率：
【 】倍（每股收益按照【 】年经审计的扣除非经常性损益的净利润除以本
次发行前总股本计算）；
【 】倍（每股收益按照【 】年经审计的扣除非经常性损益的净利润除以本
次发行后总股本计算）；
8、发行市净率：
"
9,N_A,"3、发行股数：4,683.50万股，约占发行后总股本25.00%；
4、发行价格：通过向询价对象初步询价确定发行价格区间后，由发行人和
主承销商确定发行价格；
5、发行前每股净资产：6.15元/股（以2011年6 月30日经审计的归属于母
公司所有者权益除以本次发行前总股本计算）；
6、发行后每股净资产：【 】元/股（以【 】年【 】月【 】日经审计的净
资产除以发行后总股本计算）；
7、发行市盈率：
【 】倍（每股收益按照【 】年经审计的扣除非经常性损益的净利润除以本
次发行前总股本计算）；
【 】倍（每股收益按照【 】年经审计的扣除非经常性损益的净利润除以本
次发行后总股本计算）；
8、发行市净率：
【 】倍（按每股发行价格除以本次发行前每股净资产计算）；
【 】倍（按每股发行价格除以本次发行后每股净资产计算）；
9、发行方式：采用网下向询价对象配售和网上资金申购定价发行相结合的
方式，或采用中国证监会核准的其他发行方式；
10、发行对象：符合资格的询价对象和在深圳证券交易所开户的境内自然人、
法人投资者（国家法律、法规禁止购买的除外）或中国证监会规定的其他对象；
11、承销方式：由保荐人（主承销商）组织的承销团以余额包销方式承销；
12、预计募集资金总额：【 】万元；
13、预计募集资金净额：【 】万元；
二、本次发行的有关当事人
（一）发行人
名 称：东莞勤上光电股份有限公司
法定代表人：李旭亮
住 所：东莞市常平镇横江厦村
电 话：0769—83996285
传 真：0769—83756736
联 系 人：韦 莉、王 超
互联网网址：http://www.kingsun-china.com
电子邮箱： ks_dsh@kingsun-china.com
（二）保荐机构（主承销商）
名 称：国信证券股份有限公司
法定代表人：何 如
住 所：深圳市红岭中路1012号国信证券大厦16－26层
电 话：0755-82130462
传 真：0755-82133419
保荐代表人：林斌彦、龙 敏
项目协办人：陈向峰
项目组成员：李 俊
名 称：广东君信律师事务所
负 责 人：谈 凌
住 所：广州市农林下路83号广发银行大厦20楼
电 话：020-87311008
传 真：020-87311808
经 办 律 师：高向阳、戴 毅
名 称：广东君信律师事务所
负 责 人：谈 凌
"
