页码,表格,纯文本
0,N_A,"本次股票发行后拟在科创板上市，该市场具有较高的投资风险。科创板
公司具有研发投入大、经营风险高、业绩不稳定、退市风险高等特点，投资
者面临较大的市场风险。投资者应充分了解科创板市场的投资风险及本公司
所披露的风险因素，审慎做出投资决定。

汉兴图新科电子股份有限
Wuhan Xingtu Xinke Electronics Co.,Ltd.
（湖北省武汉市东湖新技术开发区关山大道1号软件产业三期A3栋8层）
首次公开发行股票并在科创板上市
中国证监会、交易所对本次发行所作的任何决定或意见，均不表明其对注册
申请文件及所披露信息的真实性、准确性、完整性作出保证，也不表明其对发行
人的盈利能力、投资价值或者对投资者的收益作出实质性判断或保证。任何与之
相反的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责；投资者自主判断发行人的投资价值，自主作出投资决策，自行承
担股票依法发行后因发行人经营与收益变化或者股票价格变动引致的投资风险。
发行人及全体董事、监事、高级管理人员承诺招股意向书及其他信息披露资
料不存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承
担个别和连带的法律责任。
发行人控股股东、实际控制人承诺本招股意向书不存在虚假记载、误导性陈
述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书中财
务会计资料真实、完整。
发行人及全体董事、监事、高级管理人员、发行人的控股股东、实际控制人
以及保荐人、承销的证券公司承诺因发行人招股意向书及其他信息披露资料有虚
假记载、误导性陈述或者重大遗漏，致使投资者在证券发行和交易中遭受损失的，
将依法赔偿投资者损失。
保荐人及证券服务机构承诺因其为发行人本次公开发行制作、出具的文件有
虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，将依法赔偿投资者
损失。
发行人特别提请投资者注意，在作出投资决策之前，务必仔细阅读本招股
意向书“风险因素”章节的全部内容，并特别关注以下事项:
一、本公司特别提醒投资者注意“风险因素”中的下列特别风险
（一）新技术、新产品研发试制的风险
公司所处的信息技术产业中新技术、新产品层出不穷，技术更新换代周期短，
而掌握新技术、开发新产品对于满足用户需求、保持市场竞争力至关重要，如国
"
1,N_A,"以及保荐人、承销的证券公司承诺因发行人招股意向书及其他信息披露资料有虚
假记载、误导性陈述或者重大遗漏，致使投资者在证券发行和交易中遭受损失的，
将依法赔偿投资者损失。
保荐人及证券服务机构承诺因其为发行人本次公开发行制作、出具的文件有
虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，将依法赔偿投资者
损失。
发行人特别提请投资者注意，在作出投资决策之前，务必仔细阅读本招股
意向书“风险因素”章节的全部内容，并特别关注以下事项:
一、本公司特别提醒投资者注意“风险因素”中的下列特别风险
（一）新技术、新产品研发试制的风险
公司所处的信息技术产业中新技术、新产品层出不穷，技术更新换代周期短，
而掌握新技术、开发新产品对于满足用户需求、保持市场竞争力至关重要，如国
际编解码技术标准每隔几年更新一代、国内编解码技术标准特别是军队编解码技
术标准也不断迭代升级，行业内企业如果不能快速开发出适应新标准的编解码技
术、系统和设备，则将被行业和市场淘汰。
公司新技术、新产品的研发工作将持续投入，如公司对行业发展趋势、技术
发展方向，以及新一代指挥控制系统、编解码设备等新技术、新产品的研究、开
发和试制等研究开发工作判断偏离市场需求，研究开发工作不能产生预期效益，
公司研发投入与产出不匹配将导致公司业绩受到不利影响，公司将面临新技术、
新产品研发试制未取得预期效益的风险。
（二）行业及客户集中度较高的风险
报告期内，公司主要向国防客户提供视频指挥控制、视频预警控制等视音频
系统产品，直接和间接向国防客户的销售额合计分别为 6,464.51万元、14,414.16
万元、18,780.67 万元和 4,627.14 万元，占主营业务收入的比重分别为 82.10%、
97.31%、94.84%和 94.34%；我国军工行业用户集中度高，导致以国防客户为主
的发行人具有客户集中的特征，发行人报告期内向前五名客户合计销售额分别为
4,189.49 万元、10,208.22 万元、16,014.91 万元和 4,401.33 万元，占营业收入的
比重分别为52.66%、68.58%、80.83%和89.72%，2016年受军改的影响，来自军
方最终用户的订单不同程度的延迟或取消等，导致当年发行人资产状况、收入和
利润水平受到较大影响，因此行业政策变动或特定用户需求变动均可能对公司经
营产生较大影响，公司存在行业及客户集中度较高的风险。
"
2,N_A,"万元、18,780.67 万元和 4,627.14 万元，占主营业务收入的比重分别为 82.10%、
97.31%、94.84%和 94.34%；我国军工行业用户集中度高，导致以国防客户为主
的发行人具有客户集中的特征，发行人报告期内向前五名客户合计销售额分别为
4,189.49 万元、10,208.22 万元、16,014.91 万元和 4,401.33 万元，占营业收入的
比重分别为52.66%、68.58%、80.83%和89.72%，2016年受军改的影响，来自军
方最终用户的订单不同程度的延迟或取消等，导致当年发行人资产状况、收入和
利润水平受到较大影响，因此行业政策变动或特定用户需求变动均可能对公司经
营产生较大影响，公司存在行业及客户集中度较高的风险。
（一）新技术、新产品研发试制的风险
经测算，来自其他行业订单和收入不发生变化的情况下 ，发行人直接和间
接来自军方市场的收入每增加或减少 1%，发行人营业利润变动的情况如下表：

报告期内，公司的下游行业主要为军工行业。报告期期初，受军队改革的影
响，来自军方最终用户的订单不同程度的延迟或取消等，当年发行人收入和利润
规模处于较低水平，但 2017年及以后，随着新一轮国防和军队改革的不断深化，
强军兴军持续推进，我国国防支出逐年增长、军队信息化建设的步伐逐步加快，
报告期内，发行人直接和间接来自军队用户的合同数量和营业收入实现了快速增
长。但不排除未来因下游行业客户采购计划的调整，如军工行业根据需要大幅提
高或降低采购量，而导致公司营业收入及经营业绩出现波动。
经测算，发行人营业收入每增加或减少 1%，发行人当期营业利润的变动幅
度如下表所示：

受国防军队预算管理体制的影响，公司的军队客户或服务于军队的总体单位
等客户的结算周期较长，导致发行人报告期各期末应收账款余额较高、报告期各
期应收账款周转率较低。报告期各期末，公司应收账款账面价值分别为 9,107.26
万元、11,485.28万元、18,597.78万元和13,125.06 万元，占当期营业收入的比例
分别为114.48%、77.16%、93.86%和267.55%，应收账款账面价值及占当期营业
收入比重较高。随着公司经营规模持续较快增长，应收账款规模也可能持续增加，
如果出现应收账款不能按期收回或无法收回的情况，公司将面临应收账款坏账损
"
3,N_A,"经测算，发行人营业收入每增加或减少 1%，发行人当期营业利润的变动幅
度如下表所示：

受国防军队预算管理体制的影响，公司的军队客户或服务于军队的总体单位
等客户的结算周期较长，导致发行人报告期各期末应收账款余额较高、报告期各
期应收账款周转率较低。报告期各期末，公司应收账款账面价值分别为 9,107.26
万元、11,485.28万元、18,597.78万元和13,125.06 万元，占当期营业收入的比例
分别为114.48%、77.16%、93.86%和267.55%，应收账款账面价值及占当期营业
收入比重较高。随着公司经营规模持续较快增长，应收账款规模也可能持续增加，
如果出现应收账款不能按期收回或无法收回的情况，公司将面临应收账款坏账损
失的风险。
报告期各期，发行人资产减值损失中坏账准备的金额分别为 193.60 万元、
467.56万元、947.49 万元和217.56 万元，占当期营业利润的比重分别为 83.70%、
12.35%、18.43%和173.85%。由此可见，如果发行人应收账款增速速度快于营业
收入的增长，或者逾期未能回款、账龄延长，则会导致发行人计提的坏账准备过
大，严重侵蚀发行人的利润。
（五）涉密信息豁免披露或脱密披露影响投资者对公司价值判断的风险
公司主要业务为涉军业务，部分生产、销售和技术信息属于国家秘密，不宜
披露或直接披露。根据《中华人民共和国保密法》、《军工企业对外融资特殊财务
信息披露管理暂行办法》等的相关规定，公司部分涉密信息申请了豁免披露或采
取脱密处理的方式进行披露。投资者将因涉密信息豁免披露或脱密披露而无法获
知公司的部分信息，可能影响其对公司价值的判断，造成其投资决策失误。
（六）本次募集资金投资项目实施完成后公司折旧费用和摊销费用大幅增
加的风险
截至 2019 年 6 月 30 日，公司固定资产和无形资产账面价值合计为 847.27
万元。本次募集资金投资项目实施完成后，公司将增加固定资产 12,961.30 万元，
无形资产1,020.00万元，固定资产和无形资产大幅增加，相应固定资产折旧费用
和摊销费用亦会大幅增加，按照公司会计政策本次募集资金投资项目实施完成后
每年将增加折旧费用和摊销费用合计约 1,450.50 万元。如果未来行业或市场环境
发生难以预期的不利变化，或由于公司管理能力、资产运营能力不足等原因对募
"
4,N_A,"知公司的部分信息，可能影响其对公司价值的判断，造成其投资决策失误。
（六）本次募集资金投资项目实施完成后公司折旧费用和摊销费用大幅增
加的风险
截至 2019 年 6 月 30 日，公司固定资产和无形资产账面价值合计为 847.27
万元。本次募集资金投资项目实施完成后，公司将增加固定资产 12,961.30 万元，
无形资产1,020.00万元，固定资产和无形资产大幅增加，相应固定资产折旧费用
和摊销费用亦会大幅增加，按照公司会计政策本次募集资金投资项目实施完成后
每年将增加折旧费用和摊销费用合计约 1,450.50 万元。如果未来行业或市场环境
发生难以预期的不利变化，或由于公司管理能力、资产运营能力不足等原因对募
集资金投资项目的按期实施造成不利影响，募集资金投资项目折旧费用、摊销费
用的增加可能导致公司营业利润出现一定程度的下滑甚至亏损。公司提请投资者
关注本次募集资金投资项目实施完成后公司折旧费用和摊销费用大幅增加的风
险。
（六）本次募集资金投资项目实施完成后公司折旧费用和摊销费用大幅增
加的风险
截至 2019 年 6 月 30 日，公司固定资产和无形资产账面价值合计为 847.27
万元。本次募集资金投资项目实施完成后，公司将增加固定资产 12,961.30 万元，
无形资产1,020.00万元，固定资产和无形资产大幅增加，相应固定资产折旧费用
和摊销费用亦会大幅增加，按照公司会计政策本次募集资金投资项目实施完成后
每年将增加折旧费用和摊销费用合计约 1,450.50 万元。如果未来行业或市场环境
发生难以预期的不利变化，或由于公司管理能力、资产运营能力不足等原因对募
集资金投资项目的按期实施造成不利影响，募集资金投资项目折旧费用、摊销费
用的增加可能导致公司营业利润出现一定程度的下滑甚至亏损。公司提请投资者
关注本次募集资金投资项目实施完成后公司折旧费用和摊销费用大幅增加的风
险。
（七）发行人无法完成军品收入备案而无法享受退税优惠政策的风险
受报告期内主管部门变动等影响，2016 年-2018 年度以及 2019 年 1-6 月，
发行人尚未经备案确认的军品收入分别为 2,978.27 万元、6,022.75万元、9,457.87
万元、409.04万元，可退税金额合计 2,275.35 万元。公司无法控制、无法预计备
案主管部门的相关程序完成时点，如未来军品退税相关政策发生不利变动，公司
"
5,N_A,"发生难以预期的不利变化，或由于公司管理能力、资产运营能力不足等原因对募
集资金投资项目的按期实施造成不利影响，募集资金投资项目折旧费用、摊销费
用的增加可能导致公司营业利润出现一定程度的下滑甚至亏损。公司提请投资者
关注本次募集资金投资项目实施完成后公司折旧费用和摊销费用大幅增加的风
险。
（七）发行人无法完成军品收入备案而无法享受退税优惠政策的风险
受报告期内主管部门变动等影响，2016 年-2018 年度以及 2019 年 1-6 月，
发行人尚未经备案确认的军品收入分别为 2,978.27 万元、6,022.75万元、9,457.87
万元、409.04万元，可退税金额合计 2,275.35 万元。公司无法控制、无法预计备
案主管部门的相关程序完成时点，如未来军品退税相关政策发生不利变动，公司
报告期内尚未经备案确认的军品收入可能存在无法实际享受退税优惠政策的风
险。
（八）收入存在季节性波动的风险
报告期内，公司营业收入主要来源于军方客户，受军方战略部署、军事需要
及内部计划的影响，军方通常采用预算管理制度、集中采购制度，一般上半年进
行项目预算审批，下半年组织实施采购。2016 年至2018年，发行人四季度收入
占收入的比重分别为 80.08%、80.49%、75.06%，由此导致发行人利润主要集中
在下半年，每年上半年微利或亏损，2019年上半年净利润仅 72.92万元。鉴于公
司与军方客户的合同签订、交付及验收多集中于下半年特别是第四季度，公司的
营业收入存在明显的季节性特征，导致发行人存在不同季节利润波动较大、甚至
出现亏损的风险。
（九）经营活动产生的现金流量和净利润不匹配的风险
报告期内，公司各期净利润分别为 460.98 万元、3,115.34万元、4,221.38万
元及72.92 万元，受资产减值准备、长期资产折旧及摊销等影响净利润但未发生
实际现金流出的项目以及存货和经营性应收项目、经营性应付项目波动的影响，
各期经营活动产生的现金流量分别为-1,058.70 万元、2,459.47 万元、-291.47 万
元及-324.60 万元，与当期净利润存在较大差异。其中，经营性应收项目的变动
对各期经营活动现金流的影响分别为-131.58 万元、-2,791.93 万元、-9,283.85 万
元和4,159.67 万元，系导致经营活动的现金流量和净利润之间存在差异的主要因
"
6,N_A,"（九）经营活动产生的现金流量和净利润不匹配的风险
报告期内，公司各期净利润分别为 460.98 万元、3,115.34万元、4,221.38万
元及72.92 万元，受资产减值准备、长期资产折旧及摊销等影响净利润但未发生
实际现金流出的项目以及存货和经营性应收项目、经营性应付项目波动的影响，
各期经营活动产生的现金流量分别为-1,058.70 万元、2,459.47 万元、-291.47 万
元及-324.60 万元，与当期净利润存在较大差异。其中，经营性应收项目的变动
对各期经营活动现金流的影响分别为-131.58 万元、-2,791.93 万元、-9,283.85 万
元和4,159.67 万元，系导致经营活动的现金流量和净利润之间存在差异的主要因
素之一。因此，受上述因素的影响，公司存在经营活动的现金流量和净利润不匹
配的风险。
（十）合同实施过程中存在发货早于合同签署等特殊情形导致的风险
公司合同实施过程主要包括销售立项、备货、合同签订、发货、到货验收等
重要环节。一般情况下，公司获取项目线索并确定项目需求后进行销售立项，审
批项目经费并安排人员持续跟踪客户需求，立项时间一般较早；合同签订后，公
司按客户要求安排发货；发货完成并依部分合同约定完成安装调试后，客户对公
司产品进行验收，验收通过后公司确认收入。受公司业务模式及客户需求特点影
响，公司部分合同签署和收入确认过程中可能存在如下情形：
1、立项时间远早于中标时间或合同签订时间。为增加订单获取机会，公司
需长期跟踪客户需求，故公司获取项目线索后即进行销售立项，安排销售人员持
续跟踪客户需求，且军方建设计划及预算审批流程一般较长，使得立项时间远早
于中标时间或合同签订时间；
2、验收日期距发货日期间隔短。公司向下游客户如系统集成单位、总体单
位等销售产品时，在合同约定公司不承担集成安装、项目施工等职责的情形下，
公司发挥产品供应商职责，按照客户要求提供经检验的标准化产品，向该等客户
发货到验收的时间通常较短；
军方用户或总体单位选定的集成单位通常具备具有较为丰富的项目建设经
验、良好技术实力，奥维通信、兴唐通信等部分集成单位与公司合作时间较长或
在招标过程中已经对产品进行了充分考察论证，对公司产品各项指标较为熟悉，
且军方对已广泛部署的公司产品验收标准明确，因此该等集成客户有能力对公司
产品进行验收。此外，部分集成单位也会聘请第三方进行出厂检验。
"
7,N_A,"续跟踪客户需求，且军方建设计划及预算审批流程一般较长，使得立项时间远早
于中标时间或合同签订时间；
2、验收日期距发货日期间隔短。公司向下游客户如系统集成单位、总体单
位等销售产品时，在合同约定公司不承担集成安装、项目施工等职责的情形下，
公司发挥产品供应商职责，按照客户要求提供经检验的标准化产品，向该等客户
发货到验收的时间通常较短；
军方用户或总体单位选定的集成单位通常具备具有较为丰富的项目建设经
验、良好技术实力，奥维通信、兴唐通信等部分集成单位与公司合作时间较长或
在招标过程中已经对产品进行了充分考察论证，对公司产品各项指标较为熟悉，
且军方对已广泛部署的公司产品验收标准明确，因此该等集成客户有能力对公司
产品进行验收。此外，部分集成单位也会聘请第三方进行出厂检验。
3、发货或验收日期早于合同签订日期。由于军方合同签订审批流程较长，
特别是 2016 年军改后用户各层级单位职责及人事关系调整频繁，进一步延缓了
部分项目的计划、预算及合同签订审批流程耗时，当最终用户执行紧急任务或面
临重大保障任务时，公司为支持国防建设、保障最终用户项目顺利执行，会按照
客户要求于合同签订前发货，但该种情形下客户较少签发备货函，多数以口头通
知形式通知公司发货，使得公司部分发货或验收日期早于合同签订日期。
上述特定情形中，如客户最终未能与公司签订合同或对产品验收结果产生异
议，可能导致公司收入确认滞后，甚至无法回款的风险。
（十一）应收账款回款周期较长的风险
公司客户主要为军方或服务于军方的大型央企科研院所等单位，且最终用户
一般为军方。受行业惯例和最终用户及其项目特殊性的影响，报告期内公司对部
分直接军方单位及总体单位的应收账款回款周期相对较长。受军方系统级武器装
备产业链较长及大型作战信息化项目规模较大的影响，当军方经总体单位向各装
备承制单位采购系统级装备时，在承制单位提供的产品验收后、货款结算前，军
方须完成对总体单位系统级项目的验收，验收完成后须经过军方、总体单位审批
付款流程，使得结算周期普遍较长。发行人总体单位客户（如单位 A、单位 D）
通常承担军方大型作战信息系统或指挥中心的承建，该类项目通常预算规模大、
建设周期和回款周期长，受其军方最终客户在结算货款前需履行较长的审批及资
金划拨程序影响，其对公司回款周期较长、应收账款周转率较低。
2016 至2018年，发行人应收账款周转率分别为 0.74、1.23和1.13，应收账
"
8,N_A,"一般为军方。受行业惯例和最终用户及其项目特殊性的影响，报告期内公司对部
分直接军方单位及总体单位的应收账款回款周期相对较长。受军方系统级武器装
备产业链较长及大型作战信息化项目规模较大的影响，当军方经总体单位向各装
备承制单位采购系统级装备时，在承制单位提供的产品验收后、货款结算前，军
方须完成对总体单位系统级项目的验收，验收完成后须经过军方、总体单位审批
付款流程，使得结算周期普遍较长。发行人总体单位客户（如单位 A、单位 D）
通常承担军方大型作战信息系统或指挥中心的承建，该类项目通常预算规模大、
建设周期和回款周期长，受其军方最终客户在结算货款前需履行较长的审批及资
金划拨程序影响，其对公司回款周期较长、应收账款周转率较低。
2016 至2018年，发行人应收账款周转率分别为 0.74、1.23和1.13，应收账
款周转天数分别为 493.24 天、296.75 天和 323.01 天。应收账款作为发行人资产
的重要组成部分，回款周期影响发行人的资金周转速度和经营活动的现金流量。
若应收账款回款周期过长，公司可能面临运营效率降低和经营业绩下滑的风险。
（十二）民用市场拓展风险
报告期内，公司产品主要应用于国防指挥信息系统，以及监狱、油田等少量
民用通信领域。报告期内公司在民用市场实现销售收入分别为 1,409.12 万元、
398.56万元、1,021.81 万元和277.57万元，占当期营业收入比例分别为 17.90%、
2.69%、5.16%和5.66%，整体占比较少。
报告期内公司视频预警控制类产品销售收入呈现先下降后上升的趋势，2016
年度视频预警控制类产品收入主要来自河南省监狱系统项目及塔里木油田项目，
2017 年度、2018 年度该系列产品收入下滑较大，主要原因是随着军改的逐步深
化，视频指挥控制类产品需求快速增长，公司积极调整经营策略，将有限的资金、
研发力量和营销力量投入到以军方客户为主的视频指挥控制类产品，在民品领域
投入的资金、研发和营销力量有所下降，并且公司尚未建立广泛的营销网络进行
民用领域业务的推广，造成了视频预警控制类产品收入规模下滑。若后续仍未加
大民品领域投入，民品业务开拓不力，将导致民品收入规模增长较慢甚至下滑的
风险。
（十三）财务报告审计截止日后的主要财务信息和经营状况
财务报告审计截止日后的主要财务信息
公司最近一期审计报告截止日为 2019年 6月30日，公司已在本招股意向书
"
9,N_A,"年度视频预警控制类产品收入主要来自河南省监狱系统项目及塔里木油田项目，
2017 年度、2018 年度该系列产品收入下滑较大，主要原因是随着军改的逐步深
化，视频指挥控制类产品需求快速增长，公司积极调整经营策略，将有限的资金、
研发力量和营销力量投入到以军方客户为主的视频指挥控制类产品，在民品领域
投入的资金、研发和营销力量有所下降，并且公司尚未建立广泛的营销网络进行
民用领域业务的推广，造成了视频预警控制类产品收入规模下滑。若后续仍未加
大民品领域投入，民品业务开拓不力，将导致民品收入规模增长较慢甚至下滑的
风险。
（十三）财务报告审计截止日后的主要财务信息和经营状况
财务报告审计截止日后的主要财务信息
公司最近一期审计报告截止日为 2019年 6月30日，公司已在本招股意向书
“第八节 财务会计信息与管理层分析”之“三、财务报告审计截止日后的主要
财务信息和经营状况”中披露了公司2019年1-9月的主要财务信息及经营状况。
公司 2019 年 1-9 月财务报告未经审计，但已经天健会计师事务所（特殊普通合
伙）审阅。公司提示投资者关注本招股意向书已披露财务报告审计截止日后的主
要财务信息及经营情况。
2019 年7-9月主要经营数据及同比变动情况如下表：
-9月主要经营数据及同比变动情况如下表：
注：以上数据已经天健会计师事务所（特殊普通合伙）审阅。
2019 年1-9月，公司实现营业收入 6,823.86 万元，较上年同期增长 37.89%，
收入规模的增长主要受下半年重大活动影响，军方部分训练任务提前进行，部分
订单提前下达，公司作为重要的产品供应商为相关任务提供保障，与此相关的销
售收入1,162.46万元，占第 3季度营业收入的 60.60%。
2019 年1-9月，归属于母公司股东的净利润和扣除非经常性损益后归属于母
公司股东的净利润分别为-103.72万元和-167.59 万元，较上年同期亏损幅度显著
缩小。公司 2019 年前三季度归属于母公司所有者的净利润为负数，主要系收入
季节性特征影响，前三季度营业毛利暂无法覆盖期间费用等其他损益，当年营业
收入预期主要在第四季度确认。
订单提前下达，公司作为重要的产品供应商为相关任务提供保障，与此相关的销
售收入1,162.46万元，占第 3季度营业收入的 60.60%。
2019 年1-9月，归属于母公司股东的净利润和扣除非经常性损益后归属于母
"
