页码,表格,纯文本
0,N_A,"创业板投资风险提示：本次股票发行后拟在创业板市场上市，该市场具有较高的投
资风险。创业板公司具有业绩不稳定、经营风险高、退市风险大等特点，投资者面临较
大的 市场风险。投资者应充分了解创业板市场的投资风险及本公司所披露的风险因素，
审慎作出投资决定。
创业板投资风险提示：本次股票发行后拟在创业板市场上市，该市场具有较高的投
资风险。创业板公司具有业绩不稳定、经营风险高、退市风险大等特点，投资者面临较
大的 市场风险。投资者应充分了解创业板市场的投资风险及本公司所披露的风险因素
审慎作出投资决定。
山东国瓷功能材料股份有限公司
Shandong Sinocera Functional Material Co.,Ltd
（山东省东营市东营区辽河路 24 号）
首次公开发行股票并在创业板上市
招股意向书

深圳市 福田区 益田路 江苏大厦 38－45 楼
发行人及全体董事、监事、高级管理人员承诺招股意向书不存在虚假记载、
误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律
责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书中财
务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表对发
行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的声明
均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
本次发行前公司总股本4,680万股，本次发行1,560万股社会公众股，发行
后总股本6,240万股。上述股份全部为流通股。
本公司全体股东盈泰石油、宝利佳、北京通达、东营奥远、东营智汇、青岛
朗固德、中科宏易（香港）分别承诺：自本公司股票上市之日起三十六个月内，
不转让或者委托他人管理其持有的本公司股份，也不由本公司回购其持有的股
份。
担任本公司董事、监事、高级管理人员并间接持有公司股份的张曦、刘美娜、
张兵、张帆、孙来贵、周焕涛、宋锡滨、司留启承诺，其间接持有的公司股份，
自首次公开发行股票上市之日起，每年转让的股份不超过本人间接持有的发行人
股份总数的25%；首次公开发行股票上市之日起六个月内申报离职的，自申报离
职之日起十八个月内不转让本人间接持有的本公司股份；在首次公开发行股票上
市之日起第七个月至第十二个月之间申报离职的，自申报离职之日起十二个月内
"
1,N_A,"后总股本6,240万股。上述股份全部为流通股。
本公司全体股东盈泰石油、宝利佳、北京通达、东营奥远、东营智汇、青岛
朗固德、中科宏易（香港）分别承诺：自本公司股票上市之日起三十六个月内，
不转让或者委托他人管理其持有的本公司股份，也不由本公司回购其持有的股
份。
担任本公司董事、监事、高级管理人员并间接持有公司股份的张曦、刘美娜、
张兵、张帆、孙来贵、周焕涛、宋锡滨、司留启承诺，其间接持有的公司股份，
自首次公开发行股票上市之日起，每年转让的股份不超过本人间接持有的发行人
股份总数的25%；首次公开发行股票上市之日起六个月内申报离职的，自申报离
职之日起十八个月内不转让本人间接持有的本公司股份；在首次公开发行股票上
市之日起第七个月至第十二个月之间申报离职的，自申报离职之日起十二个月内
不转让本人间接持有的本公司股份。
二、本次发行前未分配利润的处理
2010年10月28日，山东国瓷召开2010年第二次临时股东大会，决议通过
了以 2010 年上半年未经审计的净利润为基准，向股东分红 540 万元，折合每股
分配0.12元（税前），上述股东分红已在2010年11月4日分配完毕。
公司 2010 年年度股东大会决议通过：若公司本次公开发行股票（A 股）并
在创业板上市方案经中国证监会核准并得以实施，首次公开发行股票前滚存的未
分配利润在公司首次公开发行股票并在创业板上市后由新老股东共同享有。
本公司无实际控制人。
2011 年 9 月 9 日，本公司所有股东均出具声明，声明其在本公司的经营管
理过程中独自行使其股东权利；其与本公司其他各股东之间从未签署任何一致行
动协议，也未有一致行动的背景、意思表示及实质行为；未来其与本公司其他各
股东之间也不存在签署一致行动协议或私下达成一致行动意思表示的意愿。
本公司股东宝利佳、中科宏易（香港）同时声明，其在以往本公司的经营历
史中不存在谋求本公司控制权的意图或行为；未来本公司发行上市后其亦不存在
谋求本公司控制权的意图或行为。
（一）发行人股东分红回报规划原则
公司股东分红回报规划重视对社会公众股东的合理投资回报，以可持续发展
和维护股东权益为宗旨，充分考虑和听取股东（特别是公众投资者）、独立董事
和监事的意见，如无重大投资计划或重大现金支出事项发生，坚持每年现金分红
不低于当年实现可供分配利润10%的政策要求，保持利润分配政策的连续性和稳
"
2,N_A,"动协议，也未有一致行动的背景、意思表示及实质行为；未来其与本公司其他各
股东之间也不存在签署一致行动协议或私下达成一致行动意思表示的意愿。
本公司股东宝利佳、中科宏易（香港）同时声明，其在以往本公司的经营历
史中不存在谋求本公司控制权的意图或行为；未来本公司发行上市后其亦不存在
谋求本公司控制权的意图或行为。
（一）发行人股东分红回报规划原则
公司股东分红回报规划重视对社会公众股东的合理投资回报，以可持续发展
和维护股东权益为宗旨，充分考虑和听取股东（特别是公众投资者）、独立董事
和监事的意见，如无重大投资计划或重大现金支出事项发生，坚持每年现金分红
不低于当年实现可供分配利润10%的政策要求，保持利润分配政策的连续性和稳
定性，符合法律、法规的相关规定。
（二）发行人股东分红回报具体计划
公司在2011-2015年计划将为股东提供以下投资回报：（1）2011-2015年，
如无重大投资计划或重大现金支出事项的发生，公司将每年以现金形式分配的利
润不少于当年实现的可供分配利润的10%。（2）在确保足额现金股利分配的前提
下，公司可以另行增加股票股利分配。公司将接受所有股东、独立董事、监事和
公众投资者对公司分红的建议和监督。
如无重大投资计划或重大现金支出事项的发生，公司将每年以现金形式分配的利
润不少于当年实现的可供分配利润的10%。（2）在确保足额现金股利分配的前提
下，公司可以另行增加股票股利分配。公司将接受所有股东、独立董事、监事和
公众投资者对公司分红的建议和监督。
（三）公司发行上市后的利润分配政策
2011 年 2 月 20 日，发行人 2010 年年度股东大会审议通过《关于授权董事
会全权办理公司首次公开发行股票并在创业板上市相关事宜的议案》，内容如下：
“同意授权董事会全权办理与本次公开发行股票并在创业板上市有关的事宜，包
括按中国证监会及其他政府有关部门的要求，修改《公司章程（草案）》有关条
款、办理有关股权变更、工商登记手续。”
2011 年 11 月 15 日，发行人第一届董事会第八次会议审议通过了上市后适
用的公司章程（草案），制定有关股利分配政策，主要内容如下：
1、公司的利润分配政策应重视对投资者的合理投资回报，应保持连续性和
稳定性。公司可以采取现金或股票等方式分配利润，利润分配不得超过累计可分
配利润的范围，不得损害公司持续经营能力。公司董事会、监事会和股东大会对
"
3,N_A,"2011 年 2 月 20 日，发行人 2010 年年度股东大会审议通过《关于授权董事
会全权办理公司首次公开发行股票并在创业板上市相关事宜的议案》，内容如下：
“同意授权董事会全权办理与本次公开发行股票并在创业板上市有关的事宜，包
括按中国证监会及其他政府有关部门的要求，修改《公司章程（草案）》有关条
款、办理有关股权变更、工商登记手续。”
2011 年 11 月 15 日，发行人第一届董事会第八次会议审议通过了上市后适
用的公司章程（草案），制定有关股利分配政策，主要内容如下：
1、公司的利润分配政策应重视对投资者的合理投资回报，应保持连续性和
稳定性。公司可以采取现金或股票等方式分配利润，利润分配不得超过累计可分
配利润的范围，不得损害公司持续经营能力。公司董事会、监事会和股东大会对
利润分配政策的决策和论证过程中应当充分考虑独立董事、外部监事和公众投资
者的意见。
2、如无重大投资计划或重大现金支出事项发生，公司必须进行现金分红，
以现金形式分配的利润不少于当年实现的可供分配利润的百分之十。在实施上述
现金分配股利的同时，可以派发股票股利，但不得单独派发股票股利。公司的公
（三）公司发行上市后的利润分配政策
积金用于弥补公司的亏损、扩大生产经营规模或转增公司资本，法定公积金转为
资本时，所留存的该项公积金将不少于转增前公司注册资本的25%。
重大投资计划或重大现金支出事项指以下情形之一：
（1）公司未来十二个月内拟对外投资、收购资产或购买设备累计支出达到
或超过公司最近一期经审计净资产的50%，且超过5,000万元；
（2）公司未来十二个月内拟对外投资、收购资产或购买设备累计支出达到
或超过公司最近一期经审计总资产的30%。
上述事项需经公司董事会批准并提交股东大会审议通过。
3、公司股东大会按照既定利润分配政策对利润分配方案作出决议后，公司
董事会须在股东大会召开后二个月内完成股利（或股票股利）的派发事项；公司
董事会可以根据公司的资金需求状况提议公司进行中期现金分配。
公司将保持股利分配政策的连续性、稳定性，如果变更股利分配政策，必须
经过董事会、股东大会表决通过。
公司将根据自身实际情况，并结合股东（特别是公众投资者）、独立董事和
外部监事的意见制定和调整股东回报计划。但公司保证现行及未来的股东回报计
划不得违反以下原则：即如无重大投资计划或重大现金支出发生，公司应当采取
"
4,N_A,"（2）公司未来十二个月内拟对外投资、收购资产或购买设备累计支出达到
或超过公司最近一期经审计总资产的30%。
上述事项需经公司董事会批准并提交股东大会审议通过。
3、公司股东大会按照既定利润分配政策对利润分配方案作出决议后，公司
董事会须在股东大会召开后二个月内完成股利（或股票股利）的派发事项；公司
董事会可以根据公司的资金需求状况提议公司进行中期现金分配。
公司将保持股利分配政策的连续性、稳定性，如果变更股利分配政策，必须
经过董事会、股东大会表决通过。
公司将根据自身实际情况，并结合股东（特别是公众投资者）、独立董事和
外部监事的意见制定和调整股东回报计划。但公司保证现行及未来的股东回报计
划不得违反以下原则：即如无重大投资计划或重大现金支出发生，公司应当采取
现金方式分配股利，以现金方式分配的利润不少于当年实现的可分配利润的百分
之十。
发行人发行上市后的利润分配政策，所作出的具体回报规划、分红政策和分
红计划，请详细参阅“财务会计信息和管理层分析”一节的内容。
别提醒投资者注意“风险因素”中的
（一）主要客户较为集中的风险
报告期内公司的客户较为集中，前五大客户销售额占公司销售总额的比例分
别为 87.95%、88.90%、80.54%及 83.68%；2008 年至 2010 年，风华高科为本公
司的第一大客户，2011 年上半年，该公司为本公司的第二大客户，报告期内本
公司对其销售额占销售总额比例分别为 34.73%、41.73%、30.67%及 22.65%。若
未来本公司销售给风华高科的产品价格有所下降，则可能会对本公司经营业绩产
生不利影响。
MLCC 属于高技术、高投入行业，全球产业分布较为集中。MLCC 生产的集中
必然带来对于 MLCC 电子陶瓷材料需求的相对集中，本公司的集中销售主要是由
于市场需求方面的客观因素所致。
大型MLCC企业对技术和产品一致性的要求很高，其对MLCC电子陶瓷材料供
应商的认证较为严格，通常需要两年或以上的审查时间。而一旦电子陶瓷材料供
应商通过审查，MLCC企业不会轻易更换供应商，以免带来较大的质量波动风险，
而是倾向于与 MLCC 电子陶瓷材料供应商建立较为紧密的合作关系。因此公司未
来由于主要客户流失造成的经营风险较小。
由于公司的客户相对集中，若出现一个或多个客户突然与公司解约，或发生
不可预见情况导致其对本公司产品的需求量大幅降低，则可能给公司销售带来不
"
5,N_A,"MLCC 属于高技术、高投入行业，全球产业分布较为集中。MLCC 生产的集中
必然带来对于 MLCC 电子陶瓷材料需求的相对集中，本公司的集中销售主要是由
于市场需求方面的客观因素所致。
大型MLCC企业对技术和产品一致性的要求很高，其对MLCC电子陶瓷材料供
应商的认证较为严格，通常需要两年或以上的审查时间。而一旦电子陶瓷材料供
应商通过审查，MLCC企业不会轻易更换供应商，以免带来较大的质量波动风险，
而是倾向于与 MLCC 电子陶瓷材料供应商建立较为紧密的合作关系。因此公司未
来由于主要客户流失造成的经营风险较小。
由于公司的客户相对集中，若出现一个或多个客户突然与公司解约，或发生
不可预见情况导致其对本公司产品的需求量大幅降低，则可能给公司销售带来不
利影响。
（二）人民币持续升值带来利润率下降的风险
报告期内，本公司的出口销售占销售总额的比例分别为 42.99%、35.63%、
50.29%及63.10%，出口销售以美元结算。报告期内公司的汇兑损益分别为14.43
万元、4.53 万元、32.69 万元及 36.79 万元，占当期公司净利润的比例分别为
1.21%、0.31%、1.05%及2.02%，汇兑损益对公司净利润的影响较小。
由于本公司的出口销售以美元结算，人民币兑美元汇率走高会对本公司的利
润率水平造成一定的挤压。而另一方面，本公司的主要竞争对手为日本的生产厂
家，2010 年日元兑人民币汇率也在不断升值，因此，对本公司而言目前的市场
竞争环境还较为宽松。
但随着中国经济的持续发展以及汇率市场化进程的不断进行，未来人民币兑
美元继续升值的可能性较大。若人民币兑美元的汇率仍持续上升，则公司因价格
优势带来的市场竞争力将有所削弱，产品销售量及利润率均可能受到一定的负面
影响。
（三）股权结构较为分散的风险
公司目前股权结构较为分散，公司无控股股东，第一大股东盈泰石油持有
25.84%的公司股权。公司无实际控制人。在股权分散的前提下，若公司的内部控
制不完善、治理结构不健全，则可能无法对公司进行有效的管理和控制。另一方
面，若公司未来股权结构不稳定或发生重大变化，例如股东间通过股权转让或其
它协议安排使控制权趋于集中、或更加趋于分散，也可能对公司的日常经营管理
造成不利影响。
本公司的主要原材料包括八水氢氧化钡、四氯化钛等，主要原材料的价格波
动会对本公司的毛利率及盈利水平带来较大影响。假设其他条件不变，报告期内
"
6,N_A,"美元继续升值的可能性较大。若人民币兑美元的汇率仍持续上升，则公司因价格
优势带来的市场竞争力将有所削弱，产品销售量及利润率均可能受到一定的负面
影响。
（三）股权结构较为分散的风险
公司目前股权结构较为分散，公司无控股股东，第一大股东盈泰石油持有
25.84%的公司股权。公司无实际控制人。在股权分散的前提下，若公司的内部控
制不完善、治理结构不健全，则可能无法对公司进行有效的管理和控制。另一方
面，若公司未来股权结构不稳定或发生重大变化，例如股东间通过股权转让或其
它协议安排使控制权趋于集中、或更加趋于分散，也可能对公司的日常经营管理
造成不利影响。
本公司的主要原材料包括八水氢氧化钡、四氯化钛等，主要原材料的价格波
动会对本公司的毛利率及盈利水平带来较大影响。假设其他条件不变，报告期内
上述材料价格独立变动对总体毛利率影响如下：1、假设报告期内八水氢氧化钡
价格上涨10%，则带动公司综合毛利率分别下降0.81%、0.70%、0.93%、1.05%；
2、假设报告期内四氯化钛价格上涨10%，则带动公司综合毛利率分别下降0.37%、
0.25%、0.44%、0.59%。
2011 年上半年，公司上述原材料价格有所上涨，八水氢氧化钡采购均价从
2010年的6.51元/千克上涨到6.53元/千克，涨幅0.31%；四氯化钛采购均价从
5.72元/千克上涨到7.98元/千克，涨幅39.62%。上述原材料价格的上涨对公司
综合毛利率造成了不利影响。
同时，公司原材料中涉及氧化钇、氧化铒、氧化钕、氧化钬等稀土类氧化物，
2010 年开始我国对稀土类矿产的开采已采取总量控制, 2011 年开始，国内稀土
类原材料的价格不断攀升，给本公司的成本带来较大压力。
未来若公司主要原材料价格上涨而公司产品价格无法同比上涨的情况下，则
可能导致公司的利润水平受到挤压，盈利情况不佳。
（五）出口退税政策变化的风险
本公司属于电子产品所用的新材料行业，国家对本公司出口销售的增值税采
用“免、抵、退”政策，2008年1月至2009年3月，公司产品的出口退税率为
5%，2009年4月开始，产品出口退税率调整为13%。报告期内公司营业成本中免
抵退税不得免征和抵扣税额占营业成本的比重较小。
本公司不断加强内部生产管理，提高产品质量及成品率；并通过对各个生产
经营环节的严格监管，合理控制生产成本；此外，随着生产规模的持续扩大，公
"
7,N_A,"2010 年开始我国对稀土类矿产的开采已采取总量控制, 2011 年开始，国内稀土
类原材料的价格不断攀升，给本公司的成本带来较大压力。
未来若公司主要原材料价格上涨而公司产品价格无法同比上涨的情况下，则
可能导致公司的利润水平受到挤压，盈利情况不佳。
（五）出口退税政策变化的风险
本公司属于电子产品所用的新材料行业，国家对本公司出口销售的增值税采
用“免、抵、退”政策，2008年1月至2009年3月，公司产品的出口退税率为
5%，2009年4月开始，产品出口退税率调整为13%。报告期内公司营业成本中免
抵退税不得免征和抵扣税额占营业成本的比重较小。
本公司不断加强内部生产管理，提高产品质量及成品率；并通过对各个生产
经营环节的严格监管，合理控制生产成本；此外，随着生产规模的持续扩大，公
司针对上游原材料供应商及下游客户的议价能力均有所增强，这些因素均有利于
降低出口退税政策对公司经营业绩的影响。
但未来若国家出口退税政策发生较大变化，则可能对公司的生产经营造成不
利影响。
（六）发生环境污染事故的风险
本公司生产的产品属于电子信息材料行业，但部分生产工艺属于精细化工，
因此需符合国家对化工行业的整体监管要求。
公司一直重视对环境的保护，严格遵循国家及地方的环保法律法规，并投入
了大量人力物力对生产过程中的废水、粉尘、废气、固体废物及噪音污染进行控
制和处理。本公司自成立以来，未发生违反环境保护法律法规的行为，也未有环
保行政处罚纪录。2010 年 6 月，公司获得 ISO14001:2004 环境管理体系认证证
书。
2011年7月27日，东营市环境保护局经济开发区分局及东营市环境保护局
分别出具证明，证明本公司依照国家和地方有关环境保护的法律法规进行生产和
经营，在环境保护、排放污染物方面符合国家及地方标准，截止2011年6月30
日，未发生因违反有关环境保护法律、法规而遭受处罚的情况。2011 年 3 月 25
日和2011年9月30日，山东省环保厅分别出具《山东省环境保护厅关于山东国
瓷功能材料股份有限公司上市环保核查的意见》和《山东省环境保护厅关于山东
国瓷功能材料股份有限公司上市环保核查的补充意见》，原则同意本公司通过上
市环保核查。
尽管公司严格执行相关环保法规及政策，但仍不能完全排除在环保方面出现
意外情况的可能。未来若出现环保方面的事故，将会对公司造成一定损失。
"
8,N_A,"2011年7月27日，东营市环境保护局经济开发区分局及东营市环境保护局
分别出具证明，证明本公司依照国家和地方有关环境保护的法律法规进行生产和
经营，在环境保护、排放污染物方面符合国家及地方标准，截止2011年6月30
日，未发生因违反有关环境保护法律、法规而遭受处罚的情况。2011 年 3 月 25
日和2011年9月30日，山东省环保厅分别出具《山东省环境保护厅关于山东国
瓷功能材料股份有限公司上市环保核查的意见》和《山东省环境保护厅关于山东
国瓷功能材料股份有限公司上市环保核查的补充意见》，原则同意本公司通过上
市环保核查。
尽管公司严格执行相关环保法规及政策，但仍不能完全排除在环保方面出现
意外情况的可能。未来若出现环保方面的事故，将会对公司造成一定损失。
请投资者认真阅读本招股意向书“第四节 风险因素”的全部内容，并特别
关注上述风险的描述。
二、董事、监事、高级管理人员、其他核心人员及其近亲属持股情况........... 182
三、董事、监事、高级管理人员与其他核心人员在发行前对外投资情况......... 183
七、董事、监事、高级管理人员及其他核心人员有关协议或承诺情况........... 185
一、公司股东大会、董事会、监事会、独立董事、董事会秘书制度的建立健全及运行情
声明
本概览仅对招股意向书全文做扼要提示。投资者做出投资决策前，应认真阅
读招股意向书全文。
本公司系于 2010 年 5 月 4 日经山东省商务厅《关于同意山东国瓷功能材料
有限公司变更为外商投资股份有限公司的批复》（鲁商务外资字[2010]343号）
批准，根据立信大华审计的 2009 年 12 月 31 日净资产值 55,027,279.46 元折为
股份公司股本4,500万元，由山东国瓷功能材料有限公司整体变更设立的股份有
限公司。公司于2010年5月25日在山东省工商局登记注册成立，并领取了《企
业法人营业执照》（注册号370500400001069），公司注册资本为4,500万元。
（三）发行人经营范围、主营业务及产品
（三）发行人经营范围、主营业务及产品
根据省工商局核发的《企业法人营业执照》（注册号370500400001069），公
司的经营范围为：生产、销售电子陶瓷粉体材料（不含危险品），对销售后的产
品进行技术服务（以上经营事项涉及法律法规规定需报批的，凭批准证书经营）。
"
9,N_A,"批准，根据立信大华审计的 2009 年 12 月 31 日净资产值 55,027,279.46 元折为
股份公司股本4,500万元，由山东国瓷功能材料有限公司整体变更设立的股份有
限公司。公司于2010年5月25日在山东省工商局登记注册成立，并领取了《企
业法人营业执照》（注册号370500400001069），公司注册资本为4,500万元。
（三）发行人经营范围、主营业务及产品
（三）发行人经营范围、主营业务及产品
根据省工商局核发的《企业法人营业执照》（注册号370500400001069），公
司的经营范围为：生产、销售电子陶瓷粉体材料（不含危险品），对销售后的产
品进行技术服务（以上经营事项涉及法律法规规定需报批的，凭批准证书经营）。
公司的主营业务为生产和销售包括高纯度、纳米级钛酸钡基础粉及X7R、X5R、
Y5V、C0G 等 MLCC 配方粉在内的电子陶瓷粉体材料，主要用于 MLCC 的生产，属
于国家鼓励和支持的新型电子功能材料领域。公司是中国大陆地区规模最大的批
量生产并对外销售 MLCC 配方粉的厂家，也是继日本堺化学（Sakai Chemical
Industry）之后全球第二家成功运用高温高压水热工艺批量生产高纯度、纳米级
钛酸钡粉体的厂家。自本公司成立起至今，公司一直专注于钛酸钡基础粉、MLCC
配方粉等电子陶瓷粉体材料的生产和销售，主营业务未发生变化。
公司将“以人为本、质量第一、持续创新、客户满意”作为质量方针，力求
为客户提供优质的产品和服务。公司内部推行“5S”现场管理，施行生产过程全
面质量控制和改进，先后通过了ISO9001:2004及ISO9001:2008质量管理体系认
证，产品品质符合国内外行业标准。目前，公司主要客户包括风华高科、深圳宇
阳、潮州三环、韩国三星电机、韩国三和、美国JDI、台湾禾伸堂等国内外一线
MLCC厂家，并已与日本京瓷、日本村田、台湾华新科及台湾国巨等MLCC厂家初
步建立了良好的合作关系。
（四）发行人未来发展战略
本公司将顺应目前良好的市场环境，进一步扩大产能；根据市场需求的变化，
适时增加产品品种及应用范围；在现有工艺的基础上加大研发力度，吸引优秀人
才，坚持自主创新路线，提升产品品质；持续引进国际先进的管理理念及方法，
加强生产流程及产品质量管理；在保证产品质量的前提下不断降低生产成本，增
强市场竞争力，力争将本公司发展成为国际领先的 MLCC 电子陶瓷材料供应商之
"
