页码,表格,纯文本
0,N_A,"烟台杰瑞石油服务集团股份有限公司
天河北路 183 号大都会广场 43 楼)
发行人及全体董事、监事、高级管理人员承诺招股意向书及其摘要不存在虚假记载、
误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及其摘要中财
务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其对发行人
股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的声明均属虚假不实
陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发行人自行
负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪人、律师、
会计师或其他专业顾问。
请投资者仔细阅读本招股意向书全文，并特别关注下述重大事项提示。
一、根据公司2008年2月23日召开的2008年第二次临时股东大会以及2008年12
月21日召开的2008年第五次临时股东大会决议：公司发行上市前的滚存利润由上市以
后的新老股东按照持股比例共同享有。
二、公司实际控制人孙伟杰、王坤晓和刘贞峰3人承诺：在以下两种情况下，均不
转让或者委托他人管理其所持有的烟台杰瑞的股份，也不由烟台杰瑞回购其所持有的股
份：(1)自烟台杰瑞首次向社会公开发行股票并上市之日起 36 个月内；(2)自烟台杰瑞
离职后 6 个月内。在其担任烟台杰瑞董事、监事或高级管理人员期间，上述(1)期限届
满之日起每年转让的股份数额不超过其所持有的烟台杰瑞股份总数的25%。
公司其他股东股份锁定承诺详见本招股意向书“第五章 发行人基本情况”之“七、
(五)本次发行前股东所持股份的流通限制和自愿锁定股份的承诺”部分内容。
三、最近三年来，公司主营业务由油田设备维修改造及配件销售逐步向油田专用设
备制造以及海上油田钻采平台工程作业服务领域延伸。本次发行成功后，募集资金主要
投向油田专用设备制造和海上油田钻采平台工程作业服务项目，公司存在因产业链延伸
而引致的经营风险。
四、公司从事的油田专用设备制造和油田技术服务业务的市场需求直接受到油气勘
探开发和生产投资规模的影响。如果油气价格持续低迷，可能会抑制油公司的勘探开发
和生产投资，从而可能会减少对石油装备及油田服务的需求。公司业务存在随石油天然
"
1,N_A,"公司其他股东股份锁定承诺详见本招股意向书“第五章 发行人基本情况”之“七、
(五)本次发行前股东所持股份的流通限制和自愿锁定股份的承诺”部分内容。
三、最近三年来，公司主营业务由油田设备维修改造及配件销售逐步向油田专用设
备制造以及海上油田钻采平台工程作业服务领域延伸。本次发行成功后，募集资金主要
投向油田专用设备制造和海上油田钻采平台工程作业服务项目，公司存在因产业链延伸
而引致的经营风险。
四、公司从事的油田专用设备制造和油田技术服务业务的市场需求直接受到油气勘
探开发和生产投资规模的影响。如果油气价格持续低迷，可能会抑制油公司的勘探开发
和生产投资，从而可能会减少对石油装备及油田服务的需求。公司业务存在随石油天然
气行业周期性波动的风险。
五、目前公司仍有部分核心技术为非专利技术，不受知识产权法保护，一旦核心技
术失密，将直接影响公司的市场竞争地位。
九、持股5%以上的主要股东以及作为股东的董事、监事、高级管理人员的重要承诺
二、董事、监事、高级管理人员、核心技术人员及其近亲属在发行前持有本公司股份
三、董事、监事、高级管理人员与核心技术人员在本次发行前对外投资情况 .... 170
六、董事、监事、高级管理人员与核心技术人员相互之间的亲属关系 .......... 172
七、公司与董事、监事、高级管理人员及核心技术人员所签订的协议 .......... 173
二、股东大会、董事会、监事会、独立董事与董事会秘书制度的建立健全及运行情况
三、公司募集资金投资项目所涉及的产品取得相关的许可和审批情况 .......... 300
五、董事、监事、高级管理人员和核心技术人员涉及刑事诉讼的情况 .......... 322
意向书中，除非文义另有所指，下列简称具
本概览仅对招股意向书全文做扼要提示。投资者作出投资决策前，应认真阅读招股
意向书全文。
中文名称：烟台杰瑞石油服务集团股份有限公司
注册资本： 8,581.80万元
法定代表人：孙伟杰
成立时间：1999年12月10日
整体变更为股份有限公司时间：2007年11月22日
住 所：山东省烟台市莱山区澳柯玛大街7号
邮政编码：264003
经营范围：油田专用设备、油田特种作业车、油田专用半挂车的生产、组装、销售、
维修（不含国家专项规定需要审批的设备）；油田设备、矿山设备、工业专用设备的维
修、技术服务和配件销售；为石油勘探和钻采提供工程技术服务；机电产品（不含品牌
"
2,N_A,"五、董事、监事、高级管理人员和核心技术人员涉及刑事诉讼的情况 .......... 322
意向书中，除非文义另有所指，下列简称具
本概览仅对招股意向书全文做扼要提示。投资者作出投资决策前，应认真阅读招股
意向书全文。
中文名称：烟台杰瑞石油服务集团股份有限公司
注册资本： 8,581.80万元
法定代表人：孙伟杰
成立时间：1999年12月10日
整体变更为股份有限公司时间：2007年11月22日
住 所：山东省烟台市莱山区澳柯玛大街7号
邮政编码：264003
经营范围：油田专用设备、油田特种作业车、油田专用半挂车的生产、组装、销售、
维修（不含国家专项规定需要审批的设备）；油田设备、矿山设备、工业专用设备的维
修、技术服务和配件销售；为石油勘探和钻采提供工程技术服务；机电产品（不含品牌
汽车）、专用载货汽车、牵引车、挂车的销售；油田专用设备和油田服务技术的研究和
开发；计算机软件开发、自产计算机软件销售；货物及技术的进出口（国家禁止的除外，
须许可经营的凭许可证经营）。
主营业务：油田专用设备制造，油田、矿山设备维修改造及配件销售和海上油田钻
采平台工程作业服务。
烟台杰瑞成立于 1999 年 12 月，目前是国家科技部认定的“国家火炬计划重点高新
技术企业”，曾获“山东省优秀中小企业”、“山东省成长型中小企业”、 2006年度和2007
年度“烟台市百强民营企业”等多项荣誉称号。
公司目前全面推行 HSE(Health 职业健康、Safety 职业安全和 Environment 环保)管
理体系，并通过美国石油协会(API)Q1、ISO9000 及 ISO/TS29001 认证，已成为中石油
集团勘探开发设备一级供应网络成员，是一家迅速崛起、颇具发展潜力的油田服务企业。
、公司控股股东及实际控制人情况
截至本招股意向书签署之日，孙伟杰持有公司 3,032.4 万股股份，占公司总股本的
35.3352%，为公司的控股股东。
孙伟杰2004年5月当选烟台市莱山区劳动模范，2006年荣获“莱山区财政贡献先进
单位负责人”称号，2007年8月当选烟台市莱山区工商联副主席，2007年当选烟台市第
十五届人民代表大会代表，2008 年 4 月当选烟台市劳动模范，连续获得 2007、2008、
2009年度烟台市莱山区“经济贡献奖”，2009年4月获得“山东省富民兴鲁劳动奖章”。
"
3,N_A,"理体系，并通过美国石油协会(API)Q1、ISO9000 及 ISO/TS29001 认证，已成为中石油
集团勘探开发设备一级供应网络成员，是一家迅速崛起、颇具发展潜力的油田服务企业。
、公司控股股东及实际控制人情况
截至本招股意向书签署之日，孙伟杰持有公司 3,032.4 万股股份，占公司总股本的
35.3352%，为公司的控股股东。
孙伟杰2004年5月当选烟台市莱山区劳动模范，2006年荣获“莱山区财政贡献先进
单位负责人”称号，2007年8月当选烟台市莱山区工商联副主席，2007年当选烟台市第
十五届人民代表大会代表，2008 年 4 月当选烟台市劳动模范，连续获得 2007、2008、
2009年度烟台市莱山区“经济贡献奖”，2009年4月获得“山东省富民兴鲁劳动奖章”。
截至本招股意向书签署之日，孙伟杰持有发行人 35.3352%的股份，为发行人第一
大股东，目前担任发行人的董事长；王坤晓目前持有发行人 24.1767%的股份，为发行
人第二大股东，目前担任发行人的副董事长；刘贞峰目前持有发行人18.9066%的股份，
为发行人第三大股东，目前担任发行人的董事。自 2001 年 3 月以来，孙伟杰、王坤晓
和刘贞峰均直接持有发行人股份，三人一直是发行人的前三大股东，且其持股比例远高
于其他股东。三人对发行人的股东大会（股东会）、董事会决议具有重要影响，对董事
和高级管理人员的提名和任免均起到重要作用，是发行人的决策核心，但三人均不能单
独对公司实施控制。
在最近三年内，持有、实际支配发行人股份表决权比例最高的股东始终为孙伟杰，
没有发生变化，不存在重大不确定性。最近三年来，孙伟杰、王坤晓和刘贞峰三人在发
行人历次股东大会（股东会）、董事会会议上就重大决策均做出了相同的表决意见。
为进一步保持发行人控制权稳定，2009 年 11 月 1 日，孙伟杰、王坤晓和刘贞峰签
订《协议书》，约定鉴于三方因多年合作而形成的信任关系，三方决定继续保持以往的
良好合作关系，相互尊重对方意见，在发行人的经营管理和决策中保持一致意见。该协
议自签署之日起生效，在三方均为发行人股东期间始终有效。
因此，孙伟杰、王坤晓和刘贞峰为公司共同控制人。
公司最近三年及一期的财务报告已经中喜会计师事务所有限责任公司审计，并出具
中喜审字[2009]第01401号《审计报告》。公司的主要财务数据如下(金额单位为元)：
"
4,N_A,"没有发生变化，不存在重大不确定性。最近三年来，孙伟杰、王坤晓和刘贞峰三人在发
行人历次股东大会（股东会）、董事会会议上就重大决策均做出了相同的表决意见。
为进一步保持发行人控制权稳定，2009 年 11 月 1 日，孙伟杰、王坤晓和刘贞峰签
订《协议书》，约定鉴于三方因多年合作而形成的信任关系，三方决定继续保持以往的
良好合作关系，相互尊重对方意见，在发行人的经营管理和决策中保持一致意见。该协
议自签署之日起生效，在三方均为发行人股东期间始终有效。
因此，孙伟杰、王坤晓和刘贞峰为公司共同控制人。
公司最近三年及一期的财务报告已经中喜会计师事务所有限责任公司审计，并出具
中喜审字[2009]第01401号《审计报告》。公司的主要财务数据如下(金额单位为元)：
(一)合并资产负债表主要数据
(三)合并现金流量表主要数据
根据公司业务发展目标，本次募集资金运用将围绕公司主营业务展开，着重提高产
品与服务的技术水平，扩大经营规模，改善服务质量，进一步提升公司的核心竞争力。
本次募集资金投资项目已经公司2008年第二次临时股东大会及2008年第五次临时
股东大会审议批准。公司预计募集资金净额为【 】万元(扣除发行费用)，拟按轻重缓
急用于以下项目：
本次发行实际募集资金超出以上预计募集资金投资总额，多余资金将用于补充流动
资金。
第三章 本次发行概况
(一)股票种类：人民币普通股(A股)。
(二)每股面值：人民币1.00元。
(三)发行股数、占发行后总股本的比例：本次拟发行不高于2,900万股(最终发行数
量由公司与主承销商根据申购情况协商确定)，占发行后总股本的25.26%。
(四)每股发行价格：公司取得发行核准文件后，由保荐人组织股票发行询价，根据
询价结果，公司和保荐人协商确定发行价格。
(五)发行市盈率：【 】倍(计算口径：【 】)。
(六)每股净资产：
1、发行前每股净资产：2.84元(以截至2009年6月30日归属于母公司所有者权益
与截至发行前公司股本总数为基准计算)。
2、发行后每股净资产：【 】元(以截至2009年6月30日归属于母公司所有者权益
加上募集资金净额，按发行后的股本全面摊薄计算)。
(七)发行市净率：【 】倍(计算口径：【 】)。
(八)发行方式：采用网下向询价对象配售发行与网上资金申购定价发行相结合的方式。
(九)发行对象：本次发行面向符合国家法律法规及中国证监会规定的条件的认购对象。
"
5,N_A,"(四)每股发行价格：公司取得发行核准文件后，由保荐人组织股票发行询价，根据
询价结果，公司和保荐人协商确定发行价格。
(五)发行市盈率：【 】倍(计算口径：【 】)。
(六)每股净资产：
1、发行前每股净资产：2.84元(以截至2009年6月30日归属于母公司所有者权益
与截至发行前公司股本总数为基准计算)。
2、发行后每股净资产：【 】元(以截至2009年6月30日归属于母公司所有者权益
加上募集资金净额，按发行后的股本全面摊薄计算)。
(七)发行市净率：【 】倍(计算口径：【 】)。
(八)发行方式：采用网下向询价对象配售发行与网上资金申购定价发行相结合的方式。
(九)发行对象：本次发行面向符合国家法律法规及中国证监会规定的条件的认购对象。
(十)承销方式：由保荐人(主承销商)广发证券股份有限公司组织的承销团以余额包
销方式承销。
(十一)本次预计募集资金总额为【 】万元。
(十二)发行费用概算(包括承销暨保荐费用、会计师费用、律师费用、发行手续费、
股票登记费等)。
本次发行费用预计共需约【 】万元，具体明细如下：
二、与本次发行有关的当事人
1、 发 行 人： 烟台杰瑞石油服务集团股份有限公司
法定代表人： 孙伟杰
住 所： 烟台市莱山区澳柯玛大街7号
电 话： 0535-6723532
传 真： 0535-6723171
联 系 人： 程永峰
互联网网址： www.jereh.com
电子信箱： zqb@jereh.com
2、 保荐人(主承销商)： 广发证券股份有限公司
法定代表人： 王志伟
住 所： 广州市天河北路183号大都会广场43楼
联系地址： 北京市西城区月坛北街2号月坛大厦18层
联系电话： 010-68083328
传 真： 010-68083351
保荐代表人： 刘旭阳、姚春潮
项目协办人： 赵怡
联 系 人： 赵怡、宋雷
3、 发行人律师： 北京市天元律师事务所
单位负责人： 王立华
住 所： 北京市西城区金融大街35号 国际企业大厦C座11层
联系电话： 010-88092188
传 真： 010-88092150
经办律师： 吴冠雄、周世君、贺秋平
4、 发行人审计机构： 中喜会计师事务所有限责任公司
法定代表人： 张增刚
住 所： 北京市西城区西长安街88号首都时代广场422室
联系电话： 010-83915232
传 真： 010-83913756
"
6,N_A,"联系地址： 北京市西城区月坛北街2号月坛大厦18层
联系电话： 010-68083328
传 真： 010-68083351
保荐代表人： 刘旭阳、姚春潮
项目协办人： 赵怡
联 系 人： 赵怡、宋雷
3、 发行人律师： 北京市天元律师事务所
单位负责人： 王立华
住 所： 北京市西城区金融大街35号 国际企业大厦C座11层
联系电话： 010-88092188
传 真： 010-88092150
经办律师： 吴冠雄、周世君、贺秋平
4、 发行人审计机构： 中喜会计师事务所有限责任公司
法定代表人： 张增刚
住 所： 北京市西城区西长安街88号首都时代广场422室
联系电话： 010-83915232
传 真： 010-83913756
签字注册会计师： 高桂玲、祁卫红
5、 股票登记机构： 中国证券登记结算有限责任公司深圳分公司
住 所： 广东省深圳市深南中路1093 号中信大厦18 层
电 话： 0755-25938000
传 真： 0755-25988122
6、 主承销商收款银行： 工行广州市分行第一支行
户 名： 广发证券股份有限公司
银行账号： 3602000109001674642
三、发行人与有关中介机构的股权关系和其他权益关系
发行人与本次发行的中介机构之间不存在直接或间接的股权关系和其他权益关系，
各中介机构负责人、高级管理人员及经办人员未持有发行人股份，与发行人也不存在其
他权益关系。
四、与本次发行上市有关重要日期
投资者在考虑投资本公司本次发售的股票时，除本招股意向书提供的其他各项资料
外，应特别认真地考虑下述各项风险因素。根据重要性原则或可能影响投资决策的程度
大小排序，本公司风险如下：
公司充分挖掘客户价值，不断延伸产业链条。公司在从事油田、矿山设备维修改造
及配件销售业务的基础上，专门成立了固压设备研发部门，逐步掌握了固井设备、压裂
设备等油田专用设备的生产技术与工艺，并于 2004 年开始从事固井设备、压裂设备及
天然气压缩输送设备的生产与销售；随后，公司业务又延伸到泵送、岩屑回注等海上油
田钻采平台工程作业服务领域。
由于油田专用设备制造以及海上油田钻采平台工程作业服务业务所处行业发展前
景良好，公司确立了以油田、矿山设备维修改造服务及配件销售为基础，以油田专用设
备制造和海上油田钻采平台工程作业服务为发展重点的战略规划。
报告期内，油田、矿山设备维修改造及配件销售仍是公司的主要业务，2006年、2007
"
7,N_A,"外，应特别认真地考虑下述各项风险因素。根据重要性原则或可能影响投资决策的程度
大小排序，本公司风险如下：
公司充分挖掘客户价值，不断延伸产业链条。公司在从事油田、矿山设备维修改造
及配件销售业务的基础上，专门成立了固压设备研发部门，逐步掌握了固井设备、压裂
设备等油田专用设备的生产技术与工艺，并于 2004 年开始从事固井设备、压裂设备及
天然气压缩输送设备的生产与销售；随后，公司业务又延伸到泵送、岩屑回注等海上油
田钻采平台工程作业服务领域。
由于油田专用设备制造以及海上油田钻采平台工程作业服务业务所处行业发展前
景良好，公司确立了以油田、矿山设备维修改造服务及配件销售为基础，以油田专用设
备制造和海上油田钻采平台工程作业服务为发展重点的战略规划。
报告期内，油田、矿山设备维修改造及配件销售仍是公司的主要业务，2006年、2007
年、2008 年及 2009 年 1-6 月，公司油田、矿山设备维修改造及配件销售的销售收入占
同期主营业务收入的比例分别为91.20%、65.72%、63.70%及47.74%，其销售毛利占主
营业务毛利的比例分别为90.63%、56.51%、48.66%及35.11%。如本次股票发行成功，
募集资金将主要用于油田专用设备制造和海上油田钻采平台工程作业服务，将使公司该
等业务的生产和服务能力大幅度提高，服务一体化程度得到加强。由于该等业务在经营
模式上与油田、矿山设备维修改造及配件销售业务存在较大差异，公司存在产业链延伸
引致的经营风险。
(二)外购件和外协件采购、配套的风险
专业分工、协作配套是油田专用设备制造行业的重要特点，公司作为整机制造商，
主要对设备整体布局的实用性、控制系统的精准性、关键部件的品质提升进行研究，围
绕整体设计、整体装配、过程控制等环节提供品牌产品，而大量零部件则依靠外包协作。
目前公司产品生产所需主要零部件靠外购或外协取得，柱塞泵等关键部件以提供技
术图纸的方式委托外协加工或外购取得，发动机、变速箱和液压件等标准化的部件以外
购方式取得。如果外购件、外协件的供货数量、产品质量及供货周期不能满足公司的生
产需要，或供货价格发生重大变化，都将对公司的生产经营造成不利影响。
(一)石油天然气行业周期性波动风险
油田专用设备制造和油田技术服务的市场需求直接受到油气勘探开发和生产投资
规模的影响。如果油气价格持续低迷，将会抑制或延迟油公司的勘探开发和生产投资，
"
8,N_A,"专业分工、协作配套是油田专用设备制造行业的重要特点，公司作为整机制造商，
主要对设备整体布局的实用性、控制系统的精准性、关键部件的品质提升进行研究，围
绕整体设计、整体装配、过程控制等环节提供品牌产品，而大量零部件则依靠外包协作。
目前公司产品生产所需主要零部件靠外购或外协取得，柱塞泵等关键部件以提供技
术图纸的方式委托外协加工或外购取得，发动机、变速箱和液压件等标准化的部件以外
购方式取得。如果外购件、外协件的供货数量、产品质量及供货周期不能满足公司的生
产需要，或供货价格发生重大变化，都将对公司的生产经营造成不利影响。
(一)石油天然气行业周期性波动风险
油田专用设备制造和油田技术服务的市场需求直接受到油气勘探开发和生产投资
规模的影响。如果油气价格持续低迷，将会抑制或延迟油公司的勘探开发和生产投资，
从而减少或延缓对油田专用设备及油田技术服务的需求。
从历史上看，国际市场油气价格曾出现过大幅波动，这种波动是由多种因素造成的，
如全球及产油区的地区经济和政治形势的变化，全球和地区性原油和炼制产品的供求关
系等。“十五”以及“十一五”期间，我国加大了石油天然气勘探开发力度，油田专用设备
制造和油田技术服务行业得到了快速发展，随着国家发展重大装备产业政策的落实，该
行业将迎来快速发展期。受 2008 年下半年国际金融危机的影响，国际原油价格于 2008
年 12 月跌至 40 美元/桶以下，目前已回升至 70 美元/桶以上，但距 2008 年 7 月 145 美
元/桶的历史高价还有较大差距，加之世界经济形势的变化、石油勘探开发投资规模波动
等诸多因素的影响，本公司会面临石油天然气行业周期性波动的风险。
1、油田专用设备制造业务
我国油田专用设备制造业近年来快速发展，在油田固井、压裂设备(以下简称“固压
设备”)制造领域，国内主要的生产厂家有中国石化集团江汉石油管理局第四石油机械厂
(以下简称“四机厂”)、四机赛瓦石油钻采设备有限公司(以下简称“四机赛瓦”)等，他们
起步较早、技术积累较多、产品得到客户的广泛认可，目前这两家企业在国内固压设备
的市场份额上占有优势。公司在巩固国内市场份额和提升国内市场地位上面临着较大的
挑战，存在竞争对手降低销售价格、提高售后服务质量，争夺客户使公司国内市场占有
率降低的风险。公司能否利用销售渠道、价格、技术和售后服务等优势，获得国外用户
"
9,N_A,"等诸多因素的影响，本公司会面临石油天然气行业周期性波动的风险。
1、油田专用设备制造业务
我国油田专用设备制造业近年来快速发展，在油田固井、压裂设备(以下简称“固压
设备”)制造领域，国内主要的生产厂家有中国石化集团江汉石油管理局第四石油机械厂
(以下简称“四机厂”)、四机赛瓦石油钻采设备有限公司(以下简称“四机赛瓦”)等，他们
起步较早、技术积累较多、产品得到客户的广泛认可，目前这两家企业在国内固压设备
的市场份额上占有优势。公司在巩固国内市场份额和提升国内市场地位上面临着较大的
挑战，存在竞争对手降低销售价格、提高售后服务质量，争夺客户使公司国内市场占有
率降低的风险。公司能否利用销售渠道、价格、技术和售后服务等优势，获得国外用户
的认同，进一步打开国际市场，也存在一定的不确定性。
2、海上油田钻采平台工程作业服务业务、油田矿山设备维修改造及配件销售业务
随着中石油、中石化和中海油三大集团不断深化企业改革，传统体制下油田技术服
务领域内原有的行政壁垒逐渐被打破，市场竞争和行业整合成为发展的必然趋势。油田
技术服务企业之间呈现出越来越激烈的竞争态势，将直接影响本公司未来的收入和盈利
水平。如果公司不能充分适应竞争环境，不能保持技术、服务等方面的优势，将会在激
烈的市场竞争中丧失发展机会和市场份额。
(一)资产规模扩张过快带来的管理风险
由于公司业务发展情况良好，资产规模持续扩张，2006 年末、2007 年末、2008 年
末和 2009 年 6 月末公司的总资产分别为 17,067.06 万元、25,582.87 万元、44,018.73 万
元和 41,798.28 万元。尽管公司已建立较为规范的管理体系，公司主要管理人员拥有较
为丰富的管理经验，但是随着公司股票发行和上市、募集资金投资项目的逐步实施，公
司资产规模、人员规模、管理机构都将迅速扩大，组织架构和管理体系亦将趋于复杂，
公司经营决策和风险控制的难度大为增加，公司运作效率也有可能下降。能否顺应上市
后的发展要求，及时调整、完善组织结构和管理体系将是公司所面临的课题。
本次股票发行前，公司股东孙伟杰、王坤晓和刘贞峰合计持有本公司 78.43%的股
份，是本公司的实际控制人。本次股票发行后，此三人仍将控制本公司不低于 58.61%
的股份，实际控制人的地位并没有改变，同时孙伟杰担任董事长、王坤晓任副董事长、
"
