页码,表格,纯文本
0,N_A,"公司及全体董事、监事、高级管理人员承诺招股意向书不存在虚假记载、误
导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律责
任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书中财
务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其
对公司股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的声
明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，公司经营与收益的变化，由公司
自行负责，由此变化引致的投资风险，由投资者自行负责。
公司特别提醒投资者注意，在作出投资决策之前，务必仔细阅读本招股意
向书“风险因素”章节的全部内容，并特别关注以下重要事项及公司风险：
向书“风险因素”章节的全部内容，并特别关注以下重要事项及公司风险：
1、股份锁定承诺
公司控股股东海南双成投资有限公司、实际控制人王成栋和Wang Yingpu
（王荧璞）父子及其关联股东HSP Investment Holdings Limited承诺：自本公司股
票上市之日起三十六个月内，不转让或者委托他人管理其直接或间接持有的本公
司股份，也不由本公司回购该部分股份。
公司股东Ming Xiang Capital I, Ltd.、SEAVI Advent Equity Pte. Ltd.、湖南中
琻创业投资有限公司、深圳市南海成长创科投资合伙企业（有限合伙）、长沙先
导硅谷天堂创业投资有限公司、海口润木投资咨询有限公司、武汉硅谷天堂阳光
创业投资有限公司、鞍山文成工艺品有限公司、Best Deed Investments Limited、
海口通合盛投资咨询有限公司、Ming Xiang Capital II, Ltd.、海南昊双源贸易有限
公司、林定和、海口宝昌轩投资咨询有限公司、Easyworth Investments Limited、
北京锦绣财略管理顾问中心（有限合伙）、海口鑫融成投资咨询有限公司、鞍山
明峰投资咨询有限公司、海口碧成贸易有限公司承诺：自发行人股票上市之日起
12个月内，不转让或者委托他人管理本公司持有的发行人公开发行股票前已发行
的股份，也不由发行人回购该部分股份。
任公司董事的王成栋、Wang Yingpu（王荧璞）、杨飞、陈汝君、王维、彭
阿力、Teo Yi-Dar（张毅达）等7名股东还承诺：在本公司任职期间，每年转让其
"
1,N_A,"创业投资有限公司、鞍山文成工艺品有限公司、Best Deed Investments Limited、
海口通合盛投资咨询有限公司、Ming Xiang Capital II, Ltd.、海南昊双源贸易有限
公司、林定和、海口宝昌轩投资咨询有限公司、Easyworth Investments Limited、
北京锦绣财略管理顾问中心（有限合伙）、海口鑫融成投资咨询有限公司、鞍山
明峰投资咨询有限公司、海口碧成贸易有限公司承诺：自发行人股票上市之日起
12个月内，不转让或者委托他人管理本公司持有的发行人公开发行股票前已发行
的股份，也不由发行人回购该部分股份。
任公司董事的王成栋、Wang Yingpu（王荧璞）、杨飞、陈汝君、王维、彭
阿力、Teo Yi-Dar（张毅达）等7名股东还承诺：在本公司任职期间，每年转让其
直接或间接持有的本公司股份不超过其直接或间接持有本公司股份总数的百分
之二十五；在离职后六个月内，不转让其直接或间接持有的本公司股份；离职六
个月后的十二个月内通过证券交易所挂牌交易出售本公司股票数量占其直接或
间接持有本公司股票总数的比例不超过50%。
2、滚存利润分配方案
经公司2010年度股东大会审议通过，公司发行前滚存利润的分配方案为：
公司发行上市前的滚存利润由上市以后的新老股东按照持股比例共同享有。
3、本次发行上市后的股利分配政策
公司本着保持公司持续稳定发展的原则，努力为股东提供稳定的投资回报，
同时为感谢股东为公司发展做出的贡献，未来公司在考虑保证公司发展所需资金
以及公司盈利状况的前提下，逐步把累积的未分配利润以现金分红的方式回报给
股东。
本次发行完成后，公司股利分配政策为：
（1）公司每年将根据当期经营情况和项目投资的资金需求计划，在充分考
虑股东利益的基础上，正确处理公司的短期利益及长远发展的关系，确定合理的
利润分配方案；
（2）公司依照同股同利的原则，按各股东所持股份数分配利润；
（3）公司重视对投资者的合理投资回报，保持利润分配的连续性和稳定性；
（4）公司采用现金、股票或者法律允许的其他方式分配利润。在有条件的
情况下，公司可以进行中期现金分红；
（5）公司每年须以现金方式分配利润，且每年以现金方式分配的利润不少
于当年实现的可供分配利润的10%；
（6）公司当年拟分配股利超过当年可供分配利润的10%，则超过当年可供
"
2,N_A,"本次发行完成后，公司股利分配政策为：
（1）公司每年将根据当期经营情况和项目投资的资金需求计划，在充分考
虑股东利益的基础上，正确处理公司的短期利益及长远发展的关系，确定合理的
利润分配方案；
（2）公司依照同股同利的原则，按各股东所持股份数分配利润；
（3）公司重视对投资者的合理投资回报，保持利润分配的连续性和稳定性；
（4）公司采用现金、股票或者法律允许的其他方式分配利润。在有条件的
情况下，公司可以进行中期现金分红；
（5）公司每年须以现金方式分配利润，且每年以现金方式分配的利润不少
于当年实现的可供分配利润的10%；
（6）公司当年拟分配股利超过当年可供分配利润的10%，则超过当年可供
分配利润10%的部分可采用股票、现金或者股票与现金相结合的方式发放；
（7）公司董事会应在定期报告中披露股利分配方案。对于当年盈利但未作
出现金分配预案或现金分红的利润少于当年实现的可供分配利润的10%时，公司
董事会应在定期报告中说明原因以及未分配利润的用途和使用计划，独立董事应
当对此发表独立意见；
（8）公司每年度利润分配方案由董事会根据公司经营状况和有关规定拟
定，提交股东大会审议决定。董事会在利润分配方案中应当对留存的未分配利润
使用计划进行说明，独立董事发表独立意见。
公司根据生产经营情况、投资规划和长期发展的需要，确需调整利润分配
政策的，调整后的利润分配政策不得违反中国证监会和证劵交易所的有关规定；
有关调整利润分配政策的议案需要经董事会过半数以上表决通过并经三分之二
以上独立董事表决通过，独立董事应当对利润分配政策的制订或修改发表独立意
见。
公司监事会应当对董事会制订和修改的利润分配政策进行审议，并且经半
数以上监事表决通过，若公司有外部监事（不在公司担任职务的监事）则应经外
部监事表决通过。
公司利润分配政策制订和修改需提交公司股东大会审议，应当由出席股东
大会的股东（包括股东代理人）过半数以上表决通过。公司公开发行上市后若修
改利润分配政策，除应由股东大会表决通过外，还应当经出席股东大会的社会公
众股股东（包括股东代理人）过半数以上表决通过。
公司特别提醒投资者关注“风险因素”中的
（1）产品单一且无专利保护的风险
报告期内，公司主导产品注射用胸腺法新收入占营业收入的比重较高。2009
年、2010年及2011年，公司主导产品注射用胸腺法新的销售收入分别为5,595.29
"
3,N_A,"公司监事会应当对董事会制订和修改的利润分配政策进行审议，并且经半
数以上监事表决通过，若公司有外部监事（不在公司担任职务的监事）则应经外
部监事表决通过。
公司利润分配政策制订和修改需提交公司股东大会审议，应当由出席股东
大会的股东（包括股东代理人）过半数以上表决通过。公司公开发行上市后若修
改利润分配政策，除应由股东大会表决通过外，还应当经出席股东大会的社会公
众股股东（包括股东代理人）过半数以上表决通过。
公司特别提醒投资者关注“风险因素”中的
（1）产品单一且无专利保护的风险
报告期内，公司主导产品注射用胸腺法新收入占营业收入的比重较高。2009
年、2010年及2011年，公司主导产品注射用胸腺法新的销售收入分别为5,595.29
万元、7,503.66万元和9,560.94万元，分别占公司当期主营业务收入的63.45%、
66.48%和71.73%。公司在报告期内的收入来源较为集中。
注射用胸腺法新得益于其安全性好、疗效确切、质量可控的特点，已成为临
床应用最广泛、市场份额最大的免疫调节剂。根据 SFDA 南方医药经济研究所预
测，未来注射用胸腺法新的市场容量将保持年均 14.08%左右的复合增长率，预
计到 2015 年注射用胸腺法新的销量将达到 1,500 万支。由于注射用胸腺法新具
有市场前景良好、产品附加值高的特点，且公司在该品种上已形成较强的核心技
术优势，公司目前在经营策略上主动将有限的资源向该品种倾斜，具体表现为：
在研发投入方面，持续对该品种进行生产工艺优化和质量标准提升；在产能有限
的情况下，优先安排注射用胸腺法新的生产；在市场营销方面，对胸腺法新采用
精细化招商代理下的专业化学术推广销售模式，进行差异化营销，提高“基泰”
品牌知晓率和忠诚度，而对其他产品则采用较为粗放的招商代理销售模式。因此，
报告期内，公司注射用胸腺法新的销售增长和占比都显著高于其他产品。
公司目前拥有28个品种、37个规格的药品生产批准文号。除注射用胸腺法
新外，公司其他主要产品包括注射用胸腺五肽、注射用生长抑素等多肽制剂产品
以及注射用盐酸克林霉素、注射用泮托拉唑钠、注射用左卡尼汀等。2011 年，
公司在产药品计 16 个品种、21 个规格，其中毛利率超过 40%的制剂产品达到 8
个。其次，经过长期研发，公司目前已储备艾塞那肽、依非巴特等多个临床应用
前景良好的新品种，并已基本完成对其进行产业化生产的技术准备。此外，多肽
"
4,N_A,"的情况下，优先安排注射用胸腺法新的生产；在市场营销方面，对胸腺法新采用
精细化招商代理下的专业化学术推广销售模式，进行差异化营销，提高“基泰”
品牌知晓率和忠诚度，而对其他产品则采用较为粗放的招商代理销售模式。因此，
报告期内，公司注射用胸腺法新的销售增长和占比都显著高于其他产品。
公司目前拥有28个品种、37个规格的药品生产批准文号。除注射用胸腺法
新外，公司其他主要产品包括注射用胸腺五肽、注射用生长抑素等多肽制剂产品
以及注射用盐酸克林霉素、注射用泮托拉唑钠、注射用左卡尼汀等。2011 年，
公司在产药品计 16 个品种、21 个规格，其中毛利率超过 40%的制剂产品达到 8
个。其次，经过长期研发，公司目前已储备艾塞那肽、依非巴特等多个临床应用
前景良好的新品种，并已基本完成对其进行产业化生产的技术准备。此外，多肽
原料药中间体也有望成为公司未来的收入增长点。公司正在进一步扩大多肽原料
药中间体的生产能力，开发新的多肽原料药中间体，不断提升多肽原料药中间体
在主营业务收入中的比重。上市后，随着资本实力的增强，公司将有可能在继续
做好主导产品的同时加大对其他产品的研发、生产和营销投入。特别是随着本次
募投项目的建成达产，制约公司发展的产能问题将得到缓解，公司原有主要产品
的扩产和新产品的投产将使公司的产品构成更加丰富，收入来源更为多样，从而
提高公司的抗风险能力。
另外，公司主导产品注射用胸腺法新为仿制药。相对于专利保护，多肽药品
的保护更多地依赖于技术秘密保护。多肽药品生产厂家较少、竞争相对和缓的原
因主要在于技术门槛较高、工艺较为复杂所导致的工业化生产难度较大。公司在
长期的多肽产品研发和生产实践过程中形成了自己的核心技术体系，包括生产工
艺技术、生产技术诀窍(Know-how)，这些核心技术是多种技术的综合运用，从而
确保了公司的多肽产品品质和行业竞争力。但由于公司掌握的这些技术的基本原
理是公开的，不适合申请专利，无法获得专利保护。尽管公司已经在激励机制方
面向技术人员倾斜，激励公司技术人员努力研究新技术、新工艺、新产品，但如
果出现核心技术信息失密或核心技术人员流失的情形，仍将可能给公司的技术研
发和生产经营带来不利影响。
综上，尽管公司已生产或储备多个品种，且仍在不断从事新品种研发，但
公司目前的主营业务收入仍主要来源于注射用胸腺法新；并且，该品种目前在制
"
5,N_A,"长期的多肽产品研发和生产实践过程中形成了自己的核心技术体系，包括生产工
艺技术、生产技术诀窍(Know-how)，这些核心技术是多种技术的综合运用，从而
确保了公司的多肽产品品质和行业竞争力。但由于公司掌握的这些技术的基本原
理是公开的，不适合申请专利，无法获得专利保护。尽管公司已经在激励机制方
面向技术人员倾斜，激励公司技术人员努力研究新技术、新工艺、新产品，但如
果出现核心技术信息失密或核心技术人员流失的情形，仍将可能给公司的技术研
发和生产经营带来不利影响。
综上，尽管公司已生产或储备多个品种，且仍在不断从事新品种研发，但
公司目前的主营业务收入仍主要来源于注射用胸腺法新；并且，该品种目前在制
造环节无专利保护。如果未来公司注射用胸腺法新的生产、销售出现大幅下滑，
而其他既有品种的生产销售未能相应提升，新品种未能研发成功或虽研发成功但
未能取得预期收益，将会对公司的经营业绩产生不利影响。此外，由于缺乏专利
保护，如更多的药企获取该品种的生产批准文号，未来市场竞争将可能趋于激烈，
使得公司注射用胸腺法新的市场份额或销售价格下滑，从而对公司的经营业绩产
生不利影响。
（2）新产品开发风险
公司的新药产品具有高科技和高附加值等特点，但新药研发投资大、周期
长、对人员素质要求较高、风险较大。根据我国《药品注册管理办法》等法规的
相关规定，新药注册一般需经过临床前研究、临床研究、申报生产等阶段，如果
最终未能通过新药注册审批，则可能导致新药研发失败，进而影响到公司前期投
入的回收和公司效益的实现。
另外，公司已与若干研究机构及第三方医药公司订立研究合作协议、合作
开发计划或技术购买协议，以便在获得新产品的同时，从其专业知识、技能、资
源中获益。公司正在进行或委托其他方进行的任何研发活动均不能保证将会在预
计期限内完成或该等研发活动的成本可全部或部分收回。2009年、2010年及2011
年，公司研发支出分别为714.24万元771.39万元和789.71万元，占营业收入的
比例分别为8.10%、6.83%和5.92%。倘若公司的研发活动未能成功开发新产品，
或是不能及时开发出符合市场需求的新产品，可能会给公司经营和发展带来一定
风险。
三、发行人设立以来股本的形成及其变化的情况和重大资产重组情况 ..... 52
四、股东出资、股本变化的验资情况及发起人投入资产的计量属性 ....... 65
"
6,N_A,"开发计划或技术购买协议，以便在获得新产品的同时，从其专业知识、技能、资
源中获益。公司正在进行或委托其他方进行的任何研发活动均不能保证将会在预
计期限内完成或该等研发活动的成本可全部或部分收回。2009年、2010年及2011
年，公司研发支出分别为714.24万元771.39万元和789.71万元，占营业收入的
比例分别为8.10%、6.83%和5.92%。倘若公司的研发活动未能成功开发新产品，
或是不能及时开发出符合市场需求的新产品，可能会给公司经营和发展带来一定
风险。
三、发行人设立以来股本的形成及其变化的情况和重大资产重组情况 ..... 52
四、股东出资、股本变化的验资情况及发起人投入资产的计量属性 ....... 65
六、发起人、持有发行人5%以上股份的主要股东及实际控制人的基本情况 75
九、工会持股、职工持股会持股、信托持股、委托持股等情况 .......... 104
十一、股东、董事、监事、高级管理人员及核心技术人员的重要承诺及其履行
三、发行人设立以来股本的形成及其变化的情况和重大资产重组情况 ..... 52
四、股东出资、股本变化的验资情况及发起人投入资产的计量属性 ....... 65
六、发起人、持有发行人5%以上股份的主要股东及实际控制人的基本情况 75
九、工会持股、职工持股会持股、信托持股、委托持股等情况 .......... 104
十一、股东、董事、监事、高级管理人员及核心技术人员的重要承诺及其履行
二、董事、监事、高级管理人员与核心技术人员及其近亲属持股情况 .... 231
三、董事、监事、高级管理人员和核心技术人员的其他对外投资情况 .... 232
六、董事、监事、高级管理人员和核心技术人员相互之间的亲属关系 .... 236
七、董事、监事、高级管理人员及核心技术人员与公司签订的协议及承诺 237
一、公司股东大会、董事会、监事会、独立董事、董事会秘书制度的建立健全
二、公司董事会各专门委员会的人员构成、议事规则及运行情况 ........ 248
十一、报告期内现金流量情况及不涉及现金收支的重大投资和筹资活动及其影
二、董事、监事、高级管理人员与核心技术人员及其近亲属持股情况 .... 231
三、董事、监事、高级管理人员和核心技术人员的其他对外投资情况 .... 232
六、董事、监事、高级管理人员和核心技术人员相互之间的亲属关系 .... 236
"
7,N_A,"三、董事、监事、高级管理人员和核心技术人员的其他对外投资情况 .... 232
六、董事、监事、高级管理人员和核心技术人员相互之间的亲属关系 .... 236
七、董事、监事、高级管理人员及核心技术人员与公司签订的协议及承诺 237
一、公司股东大会、董事会、监事会、独立董事、董事会秘书制度的建立健全
二、公司董事会各专门委员会的人员构成、议事规则及运行情况 ........ 248
十一、报告期内现金流量情况及不涉及现金收支的重大投资和筹资活动及其影
二、董事、监事、高级管理人员与核心技术人员及其近亲属持股情况 .... 231
三、董事、监事、高级管理人员和核心技术人员的其他对外投资情况 .... 232
六、董事、监事、高级管理人员和核心技术人员相互之间的亲属关系 .... 236
七、董事、监事、高级管理人员及核心技术人员与公司签订的协议及承诺 237
一、公司股东大会、董事会、监事会、独立董事、董事会秘书制度的建立健全
二、公司董事会各专门委员会的人员构成、议事规则及运行情况 ........ 248
十一、报告期内现金流量情况及不涉及现金收支的重大投资和筹资活动及其影
十二、会计报表附注中期后事项、或有事项及其他重要事项 ............ 302
五、主要股东、控股子公司，公司董事、监事、高级管理人员和核心技术人员
六、董事、监事、高级管理人员和核心技术人员涉及刑事诉讼的情况 .... 417
在本招股意向书中，除非文意另有所指，下列简称具有如下特定含义：
发行人、双成药业、公司、本
指 海南双成药
公司
双成有限 指 海南双成药
控股股东、双成投资 指 海南双成投
双成生物 指 海南双成生
SEE FUTURE 指 SEE FUTUR
HSP 指 HSP Inves
Ming I 指 Ming Xian
Ming II 指 Ming Xian
SEAVI 指 SEAVI Adv
Best 指 Best Deed
Easyworth 指 Easyworth
中琻创投 指 湖南中琻创
南海成长 指 深圳市南海
合伙）
长沙硅谷 指 长沙先导硅
武汉硅谷 指 武汉硅谷天
北京锦绣 指 北京锦绣财
润木投资 指 海口润木投
鞍山文成 指 鞍山文成工
通合盛投资 指 海口通合盛
海南昊双源 指 海南昊双源
宝昌轩投资 指 海口宝昌轩
鑫融成投资 指 海口鑫融成
"
8,N_A,"控股股东、双成投资 指 海南双成投
双成生物 指 海南双成生
SEE FUTURE 指 SEE FUTUR
HSP 指 HSP Inves
Ming I 指 Ming Xian
Ming II 指 Ming Xian
SEAVI 指 SEAVI Adv
Best 指 Best Deed
Easyworth 指 Easyworth
中琻创投 指 湖南中琻创
南海成长 指 深圳市南海
合伙）
长沙硅谷 指 长沙先导硅
武汉硅谷 指 武汉硅谷天
北京锦绣 指 北京锦绣财
润木投资 指 海口润木投
鞍山文成 指 鞍山文成工
通合盛投资 指 海口通合盛
海南昊双源 指 海南昊双源
宝昌轩投资 指 海口宝昌轩
鑫融成投资 指 海口鑫融成
1-1-15
指 海南双成药业股份有限公司
指 海南双成药业有限公司
指 海南双成投资有限公司
指 海南双成生物技术开发有限公司
指 SEE FUTURE HOLDINGS LIMITED
指 HSP Investment Holdings Limited
指 Ming Xiang Capital I, Ltd.
指 Ming Xiang Capital II, Ltd.
指 SEAVI Advent Equity Pte. Ltd.
指 Best Deed Investments Limited
指 Easyworth Investments Limited
指 湖南中琻创业投资有限公司
指 深圳市南海成长创科投资合伙企业（有限
合伙）
指 长沙先导硅谷天堂创业投资有限公司
指 武汉硅谷天堂阳光创业投资有限公司
指 北京锦绣财略管理顾问中心（有限合伙）
指 海口润木投资咨询有限公司
指 鞍山文成工艺品有限公司
指 海口通合盛投资咨询有限公司
指 海南昊双源贸易有限公司
指 海口宝昌轩投资咨询有限公司
指 海口鑫融成投资咨询有限公司
指 鞍山明峰投资咨询有限公司
指 海口碧成贸易有限公司
指 美 国 赛 生 药 业 有 限 公 司“ Sciclone
pharmaceutical,Inc. USA”
指 四川成都地奥制药集团有限公司
指 海南中和药业有限公司
指 深圳翰宇药业股份有限公司
指 海南维乐药业有限公司
指 上海昂博生物技术有限公司
指 海南双成药业股份有限公司董事会、股东
大会、监事会
指 海南双成药业股份有限公司章程
指 海南双成药业股份有限公司章程（草案）
"
9,N_A,"指 海口润木投资咨询有限公司
指 鞍山文成工艺品有限公司
指 海口通合盛投资咨询有限公司
指 海南昊双源贸易有限公司
指 海口宝昌轩投资咨询有限公司
指 海口鑫融成投资咨询有限公司
指 鞍山明峰投资咨询有限公司
指 海口碧成贸易有限公司
指 美 国 赛 生 药 业 有 限 公 司“ Sciclone
pharmaceutical,Inc. USA”
指 四川成都地奥制药集团有限公司
指 海南中和药业有限公司
指 深圳翰宇药业股份有限公司
指 海南维乐药业有限公司
指 上海昂博生物技术有限公司
指 海南双成药业股份有限公司董事会、股东
大会、监事会
指 海南双成药业股份有限公司章程
指 海南双成药业股份有限公司章程（草案）
指 中国证券监督管理委员会
指 国家发展和改革委员会
指 国家食品药品监督管理局
指 世 界 卫 生 组 织 “ World Health
Organization”
指 美国食品和药物管理局“Food and Drug
Administration”
指 欧盟药品管理局“ European Medicines
Agency”
指 国家食品药品监督管理局的直属机构，其
拥有34个医药经济数据库；中国医药经济
信息网、中国医药市场监测网两大专业信
息网络；中国医药经济运行分析系统、中
国医药进出口分析系统、全国主要城市及
地区典型医院中成药分析系统、中国地道
药材研究系统等四大分析系统，是国内权
威医药经济研究机构
IMS 指 艾 美 仕 市 场 研 究 公 司“ IMS Health
Incorporated”，是全球领先的市场研究
公司之一，是制药和保健行业全球领先的
市场情报资源提供商
本次发行 指 公司本次向社会公众公开发行不超过
3,000万股人民币普通股的行为
A 股 指 人民币普通股
保荐人、保荐机构、主承销商 指 海通证券股份有限公司
公司律师 指 北京市中伦律师事务所
审计机构、发行人会计师 指 立信会计师事务所（特殊普通合伙），2011
年12月中准会计师事务所有限公司海南分
所整体加入立信会计师事务所（特殊普通
合伙）
《公司法》 指 《中华人民共和国公司法》
《证券法》 指 《中华人民共和国证券法》
上市 指 公司股票获准在深圳证券交易所中小板挂
牌交易
报告期 指 2009年、2010年和2011年
元 指 人民币元
二、专业术语释义
"
