页码,表格,纯文本
0,N_A,"四川高金食品股份有限公司
（四川省遂宁市广德路 10 号）
四川高金食品股份有限公司
首次公开发行股票招股意向书
发行股票类型：人民币普通股
发行股数： 不超过2,700万股
每股面值：人民币1.00元
每股发行价格：**元
预计发行日期：2007年7月12日
拟上市的证券交易所：深圳证券交易所
发行后总股本：不超过 10,700万股
股份流通限制及自愿锁定承诺：控股股东金翔宇、高达明及上述两位股东的关
联方邓江、陈林四人承诺：自股票上市之日起
三十六个月内，不转让或者委托他人管理其已
直接和间接持有的发行人股份，也不由发行人
收购该部分股份；其他股东唐桂英承诺：自股
票上市之日起十二个月内，不转让或者委托他
人管理其持有的发行人股份，也不由发行人收
购该部分股份。承诺期限届满后，上述股份可
以上市流通和转让。同时，作为公司董事、监
事和高级管理人员的股东金翔宇、高达明、邓
江、陈林、唐桂英还承诺：除前述锁定期外，
在其任职期间每年转让的股份不超过其所持有
发行人股份总数的25%，离职后半年内不转让其
所持有的发行人股份。
保荐人（主承销商）：宏源证券股份有限公司
招股意向书签署日期：2007年 6 月29 日
：控股股东金翔宇、高达明及上述两位股东的关
联方邓江、陈林四人承诺：自股票上市之日起
三十六个月内，不转让或者委托他人管理其已
直接和间接持有的发行人股份，也不由发行人
收购该部分股份；其他股东唐桂英承诺：自股
票上市之日起十二个月内，不转让或者委托他
人管理其持有的发行人股份，也不由发行人收
购该部分股份。承诺期限届满后，上述股份可
以上市流通和转让。同时，作为公司董事、监
事和高级管理人员的股东金翔宇、高达明、邓
江、陈林、唐桂英还承诺：除前述锁定期外，
在其任职期间每年转让的股份不超过其所持有
发行人股份总数的25%，离职后半年内不转让其
所持有的发行人股份。
股份有限公司
6 月29 日
发行人及全体董事、监事、高级管理人员承诺招股意向书及其摘要不存在虚假
记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的
法律责任。
公司负责人和主管会计工作的人、会计机构负责人保证招股意向书及其摘要中
财务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其对
发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的声明
"
1,N_A,"以上市流通和转让。同时，作为公司董事、监
事和高级管理人员的股东金翔宇、高达明、邓
江、陈林、唐桂英还承诺：除前述锁定期外，
在其任职期间每年转让的股份不超过其所持有
发行人股份总数的25%，离职后半年内不转让其
所持有的发行人股份。
股份有限公司
6 月29 日
发行人及全体董事、监事、高级管理人员承诺招股意向书及其摘要不存在虚假
记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的
法律责任。
公司负责人和主管会计工作的人、会计机构负责人保证招股意向书及其摘要中
财务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其对
发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的声明
均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发行
人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪人、
律师、会计师或其他专业顾问。
一、本次发行前发行人总股本8,000万股，本次发行不超过2,700万股，发行
后总股本不超过10,700万股，全部为流通股。其中：控股股东金翔宇、高达明及上
述两位股东的关联方邓江、陈林承诺：自股票上市之日起三十六个月内，不转让或
者委托他人管理其已直接和间接持有的发行人股份，也不由发行人收购该部分股份；
其他股东唐桂英承诺：自股票上市之日起十二个月内，不转让或者委托他人管理其
持有的发行人股份，也不由发行人收购该部分股份。承诺期限届满后，上述股份可
以上市流通和转让。同时，作为公司董事、监事和高级管理人员的股东金翔宇、高
达明、邓江、陈林、唐桂英还承诺：除前述锁定期外，在其任职期间每年转让的股
份不超过其所持有发行人股份总数的 25%，离职后半年内不转让其所持有的发行人
股份。
二、经公司2007年第一次临时股东大会审议通过，本次发行前滚存未分配利润
全部由发行后新老股东按持股比例共享。公司将在本次股票发行后的第一个盈利年
度派发股利，具体利润分配方案由董事会提出，经股东大会审议通过后实施。
三、本公司自2007年1月1日开始执行新会计准则（指中华人民共和国财政部于
2006年2月15日颁布的《企业会计准则—基本准则》和38项具体准则），公司本次申
报的财务报告系根据旧的会计准则编制，并根据中国证监会“证监会计字[2007]10
"
2,N_A,"以上市流通和转让。同时，作为公司董事、监事和高级管理人员的股东金翔宇、高
达明、邓江、陈林、唐桂英还承诺：除前述锁定期外，在其任职期间每年转让的股
份不超过其所持有发行人股份总数的 25%，离职后半年内不转让其所持有的发行人
股份。
二、经公司2007年第一次临时股东大会审议通过，本次发行前滚存未分配利润
全部由发行后新老股东按持股比例共享。公司将在本次股票发行后的第一个盈利年
度派发股利，具体利润分配方案由董事会提出，经股东大会审议通过后实施。
三、本公司自2007年1月1日开始执行新会计准则（指中华人民共和国财政部于
2006年2月15日颁布的《企业会计准则—基本准则》和38项具体准则），公司本次申
报的财务报告系根据旧的会计准则编制，并根据中国证监会“证监会计字[2007]10
号”文件《公开发行证券的公司信息披露规范问答第7号――新旧会计准则过渡期间
比较财务会计信息的编制和披露》的要求，将《企业会计准则第38号――首次执行
企业会计准则》中第五条至第十九条对可比期间利润表和可比期初资产负债表的影
响，按照追溯调整的原则，将调整后的可比期间利润表和资产负债表，作为可比期
间的申报财务报表。同时，本招股书附有根据“证监会计字[2007]10号”文件规定
的假定自申报财务报表比较期初开始全面执行新会计准则作为编制基础的备考利润
表。
四、本公司主营业务以种猪繁育、生猪屠宰、猪肉销售、肉制品深加工及销售
为主，对生猪资源的依赖度很大。如果生猪养殖行业在某个区域爆发疫病，将会导
致消费者的心理恐慌，并直接影响本公司的产品销售。2005年6－8月，四川地区发
生了猪链球菌病，四川省内和四川产猪肉的销售受到了严重影响，对本公司当年的
经营业绩产生了不利影响。
五、本公司被列为农业产业化国家重点龙头企业，享受暂免征收所得税优惠政
策。本公司下属控股公司宜宾高金、广元高金、射洪高金、高金牧业、江安高金、
什邡高金元一、渠县高金、鸡西高金、公主岭高金由于本公司直接持股比例均超过
50%，同样享受重点龙头企业的税收优惠政策。如本公司未能通过国家农业部等八部
委每两年对农业产业化重点龙头企业资格的复核，或者国家对农口龙头企业的所得
税税收政策发生重大变化，则会对本公司经营业绩产生不利影响。
六、生猪是屠宰加工业务的主要原材料，占本公司屠宰加工产品成本的90%以
上。生猪价格受到猪肉价格、饲料价格等因素的影响呈现周期性的波动。尽管本公
"
3,N_A,"生了猪链球菌病，四川省内和四川产猪肉的销售受到了严重影响，对本公司当年的
经营业绩产生了不利影响。
五、本公司被列为农业产业化国家重点龙头企业，享受暂免征收所得税优惠政
策。本公司下属控股公司宜宾高金、广元高金、射洪高金、高金牧业、江安高金、
什邡高金元一、渠县高金、鸡西高金、公主岭高金由于本公司直接持股比例均超过
50%，同样享受重点龙头企业的税收优惠政策。如本公司未能通过国家农业部等八部
委每两年对农业产业化重点龙头企业资格的复核，或者国家对农口龙头企业的所得
税税收政策发生重大变化，则会对本公司经营业绩产生不利影响。
六、生猪是屠宰加工业务的主要原材料，占本公司屠宰加工产品成本的90%以
上。生猪价格受到猪肉价格、饲料价格等因素的影响呈现周期性的波动。尽管本公
司生猪收购和产品销售市场较广，能较快地对全国范围内市场价格波动作出反应、
调整，但生猪和猪肉的周期性价格波动也会对本公司产品销售毛利水平产生一定影
响。
七、生猪是公司生产的主要原料，生猪收购主要面对各分散的农户，由于我国
农户交售农产品习惯于现金结算，且农村金融体系不完善，公司生猪收购现金结算
的比例较高。公司 2004 年、2005 年和 2006 年现金采购占采购总额的比例分别为
88.56%、82.60%和78.79%。公司的部分猪肉通过自营鲜销店、加盟鲜销店以及月台
销售方式直接销售给居民、个体经营户、中小餐饮企业；肉制品主要通过个体经销
商向市场批发；罐头产品部分通过个体经销商向市场批发；高金牧业公司部分猪苗
直接销售给养殖户。公司2004年、2005年和2006年现金销售金额分别占当期主营
业务收入的比例为26.04%、23.71%和23.59%。随着公司业务规模持续扩大，若因管
理不善，可能存在采购和销售环节现金漏失、账实不符、收入成本不实等财务内控
制度失效的风险。
八、根据川委发[2001]31号文《中共四川省委、四川省人民政府关于大力扶持
龙头企业发展加速推进农业产业化经营的意见》：省重点龙头企业从事农林产品初加
工取得的收入暂免征收所得税。根据四川省农业产业化工作领导小组 2002 年 4 月
27 日发布的文件《四川省农业产业化工作领导小组关于确定我省农业产业化经营
115家省级重点龙头企业的通知》（川农产领[2002]1号），宜宾高金食品有限公司、
遂宁高金食品有限公司被列为 2002-2003 年度四川省农业产业化经营重点龙头企
"
4,N_A,"业务收入的比例为26.04%、23.71%和23.59%。随着公司业务规模持续扩大，若因管
理不善，可能存在采购和销售环节现金漏失、账实不符、收入成本不实等财务内控
制度失效的风险。
八、根据川委发[2001]31号文《中共四川省委、四川省人民政府关于大力扶持
龙头企业发展加速推进农业产业化经营的意见》：省重点龙头企业从事农林产品初加
工取得的收入暂免征收所得税。根据四川省农业产业化工作领导小组 2002 年 4 月
27 日发布的文件《四川省农业产业化工作领导小组关于确定我省农业产业化经营
115家省级重点龙头企业的通知》（川农产领[2002]1号），宜宾高金食品有限公司、
遂宁高金食品有限公司被列为 2002-2003 年度四川省农业产业化经营重点龙头企
业。
根据上述文件，发行人前身原遂宁高金、宜宾高金在2002年至2003年8月23
日本公司成立前享受所得税税收优惠，发行人在2003年度8月成立后享受暂免征收
所得税的优惠政策，上述所得税减免均获得遂宁市地方税务局、宜宾市地方税务局
的批准，并报经四川省地方税务局批准。
2002 年，公司前身宜宾高金、原遂宁高金享受所得税税收减免的金额合计为
620,478.92元；2003年在发行人成立前，宜宾高金、原遂宁高金享受所得税税收减
免为 3,303,053.77 元；发行人成立后，2003 年度享受所得税税收减免为
4,742,153.76元，上述享受所得税税收减免金额共计8,665,686.45元。
对上述税收优惠可能被追缴的风险，发行人股东金翔宇、高达明、邓江、陈林、
唐桂英已承诺“如果四川高金食品股份有限公司所享受税收优惠被税务部门追缴，
本人将以连带责任方式全额承担四川高金食品股份有限公司补缴（被追缴）的上市
前各年度的企业所得税差额。”
九、主要股东及作为股东的董事、监事、高级管理人员等的重要承诺及其履行情况
二、发行人股东大会、董事会、监事会、独立董事、董事会秘书制度的运作及履行
六、经注册会计师核验的非经常性损益明细表及对经营成果的影响.......... 179
五、对本公司竞争能力、盈利能力、财务状况影响因素的未来趋势分析...... 242
六、董事、监事及高级管理人员和核心技术人员涉及刑事诉讼的情况........ 295
五、对本公司竞争能力、盈利能力、财务状况影响因素的未来趋势分析...... 242
"
5,N_A,"唐桂英已承诺“如果四川高金食品股份有限公司所享受税收优惠被税务部门追缴，
本人将以连带责任方式全额承担四川高金食品股份有限公司补缴（被追缴）的上市
前各年度的企业所得税差额。”
九、主要股东及作为股东的董事、监事、高级管理人员等的重要承诺及其履行情况
二、发行人股东大会、董事会、监事会、独立董事、董事会秘书制度的运作及履行
六、经注册会计师核验的非经常性损益明细表及对经营成果的影响.......... 179
五、对本公司竞争能力、盈利能力、财务状况影响因素的未来趋势分析...... 242
六、董事、监事及高级管理人员和核心技术人员涉及刑事诉讼的情况........ 295
五、对本公司竞争能力、盈利能力、财务状况影响因素的未来趋势分析...... 242
六、董事、监事及高级管理人员和核心技术人员涉及刑事诉讼的情况........ 295
本概览仅对招股意向书全文做扼要提示。投资者作出投资决策前，应认真阅读
招股意向书全文。
四川高金食品股份有限公司是经过四川省人民政府“川府函[2003]183号文”
的批复，由金翔宇、高达明、邓江、陈林、唐桂英5名自然人共同发起设立的股份
有限公司。公司于2003年8月22日成立，注册资本6900万元，经四川省工商行政
管理局注册登记，注册号为5100001816209，注册地址为四川省遂宁市广德路10号。
截止2006年12月31日，公司注册资本为人民币8000万元，法定代表人为金翔宇。
本公司是以生猪屠宰加工、猪肉销售及出口、肉制品深加工为主业的大型肉食
品综合加工企业。公司顺应国家农业产业化的政策导向，以提供安全、健康的肉食
品为目标，借助政策、地域、管理优势，大规模开展生猪屠宰加工，并将猪肉产品
面向全国销售，部分产品出口国外。公司下辖13家子公司，年屠宰加工生猪能力达
到420万头。2004年及2005年公司的生猪屠宰量、猪肉销售量、冻猪肉出口量居西部
地区第一，2004年冻猪肉出口量位居全国第一。2005年，公司位列全国畜禽屠宰加
工百家优势企业第10名，全国猪肉屠宰加工企业第5名。
本公司取得了ISO9001、ISO14001、HACCP管理体系认证证书，被农业部等八部
委评为“农业产业化国家重点龙头企业” 和“全国农业产业化优秀龙头企业”，被
农业部评为“全国农产品加工业示范企业”和 “农产品加工企业技术创新机构”。
"
6,N_A,"品为目标，借助政策、地域、管理优势，大规模开展生猪屠宰加工，并将猪肉产品
面向全国销售，部分产品出口国外。公司下辖13家子公司，年屠宰加工生猪能力达
到420万头。2004年及2005年公司的生猪屠宰量、猪肉销售量、冻猪肉出口量居西部
地区第一，2004年冻猪肉出口量位居全国第一。2005年，公司位列全国畜禽屠宰加
工百家优势企业第10名，全国猪肉屠宰加工企业第5名。
本公司取得了ISO9001、ISO14001、HACCP管理体系认证证书，被农业部等八部
委评为“农业产业化国家重点龙头企业” 和“全国农业产业化优秀龙头企业”，被
农业部评为“全国农产品加工业示范企业”和 “农产品加工企业技术创新机构”。
公司的技术中心为首批国家星火计划“龙头企业技术创新中心”。公司被中国肉类协
会评为“中国肉类食品行业50强企业”，是中国质量检验协会副会长单位，被四川
省政府评为AAA级质量信誉等级，被四川省委、省政府评为“突出贡献工业企业”。
公司的“高金牌”猪肉被农业部认定为“无公害农产品”，被国家商务部认定为
“全国三绿工程十大肉类畅销品牌”，被中国质量检验协会评为“全国质量检验稳定
合格产品（2000年—2005年）”。“高金食品牌”肉及肉类制品被中国肉类协会评为“中
国肉类工业影响力品牌”。公司“高金” 牌商标被国家工商行政管理总局认
定为“中国驰名商标”。什邡高金元一生产的“元一牌”猪肉为农业部认定的“绿
色食品A级产品”。
1、金翔宇先生，中国籍，无永久境外居留权，身份证号码：510702690402091
住所：四川省绵阳市涪城区西山南路29号，1969年出生，硕士研究生。目前任发
行人董事长、总经理。
2、高达明先生，中国籍，无永久境外居留权，身份证号码：510322196011040019，
住所：四川省遂宁市市中区广德路 12号，1960年出生。目前任发行人副董事长。
住所：四川省绵阳市涪城区西山南路29号，1969年出生，硕士研究生。目前任发
行人董事长、总经理。
2、高达明先生，中国籍，无永久境外居留权，身份证号码：510322196011040019，
住所：四川省遂宁市市中区广德路 12号，1960年出生。目前任发行人副董事长。
三、实际控制人简介
1、金翔宇先生，持有公司44.60%的股权，现任公司董事长、总经理。
2、高达明先生，持有公司44.60%的股权，现任公司副董事长。
"
7,N_A,"住所：四川省绵阳市涪城区西山南路29号，1969年出生，硕士研究生。目前任发
行人董事长、总经理。
2、高达明先生，中国籍，无永久境外居留权，身份证号码：510322196011040019，
住所：四川省遂宁市市中区广德路 12号，1960年出生。目前任发行人副董事长。
住所：四川省绵阳市涪城区西山南路29号，1969年出生，硕士研究生。目前任发
行人董事长、总经理。
2、高达明先生，中国籍，无永久境外居留权，身份证号码：510322196011040019，
住所：四川省遂宁市市中区广德路 12号，1960年出生。目前任发行人副董事长。
三、实际控制人简介
1、金翔宇先生，持有公司44.60%的股权，现任公司董事长、总经理。
2、高达明先生，持有公司44.60%的股权，现任公司副董事长。
有关公司的实际控制人金翔宇先生和高达明先生的基本情况详见本招股书第五
节“发行人基本情况”之六“公司股东的基本情况”部分。
四、发行人主要财务数据
（一）股票种类：人民币普通股（A股）
（二）每股面值：1.00元/股
（三）发行股数： 不超过2700万股，占发行后股本总额的25.23%。
（四）每股发行价格：通过向询价对象询价确定发行价格。
（五）发行前每股净资产：2.49元（根据经审计的截至2006年12月31日的股东
权益和发行前总股本计算）。
（六）发行方式：采用网下向询价对象配售和网上向社会公众投资者定价发行
相结合的方式。
（七）发行对象：符合资格的询价对象和在深圳证券交易所开户的境内自然人、
法人等投资者（国家法律、法规禁止购买者除外）。
以上四个项目总投资32,450万元，募集资金不能满足上述全部项目投资需要的
部分通过公司自筹解决；如募集资金额超过上述项目投资总额，超额部分将用于补
充公司流动资金。
其中广元市高金公司搬迁技改工程和泸州高金肉类罐头加工技术改造由发行人
向广元高金和泸州高金增资并由广元高金和泸州高金实施，遂宁高金搬迁技改工程
和冷却肉冷链物流配送系统建设由股份公司实施。
公司已用自筹资金先行投资建设“遂宁高金搬迁技改工程”项目，截至 2006
年12月31日，累计投入金额3,106.49万元。
（一）股票种类：人民币普通股（A股）
（二）每股面值：1.00元/股
（三）发行股数： 不超过2,700万股，占发行后股本总额的25.23%。
（四）每股发行价格：通过向询价对象询价确定发行价格。
"
8,N_A,"以上四个项目总投资32,450万元，募集资金不能满足上述全部项目投资需要的
部分通过公司自筹解决；如募集资金额超过上述项目投资总额，超额部分将用于补
充公司流动资金。
其中广元市高金公司搬迁技改工程和泸州高金肉类罐头加工技术改造由发行人
向广元高金和泸州高金增资并由广元高金和泸州高金实施，遂宁高金搬迁技改工程
和冷却肉冷链物流配送系统建设由股份公司实施。
公司已用自筹资金先行投资建设“遂宁高金搬迁技改工程”项目，截至 2006
年12月31日，累计投入金额3,106.49万元。
（一）股票种类：人民币普通股（A股）
（二）每股面值：1.00元/股
（三）发行股数： 不超过2,700万股，占发行后股本总额的25.23%。
（四）每股发行价格：通过向询价对象询价确定发行价格。
（五）市盈率：**
（六）发行前后每股净资产
1、发行前每股净资产：2.49 元（根据经审计的截至2006年12月31日的股东
权益和发行前总股本计算）。
2、发行后每股净资产：**
（七）市净率：**
（八）发行方式：采用网下向询价对象配售和网上向社会公众投资者定价发行
相结合的方式。
（九）发行对象：符合资格的询价对象和在证券交易所开户的境内自然人、法
人等投资者（国家法律、法规禁止购买者除外）。
（十）承销方式：承销团余额包销。
（十一）预计募集资金总额和净额
1、预计募集资金总额：** 万元
2、预计募集资金净额：** 万元
（十二）发行费用概算：
、本次发行有关机构的情况
（一）发行人：四川高金食品股份有限公司
法定代表人：金翔宇
地址：四川省遂宁市广德路10号
电话：0825-2659040
传真：0825-2659040
联系人： 胡仁彬 李德明
（二）保荐人（主承销商）：宏源证券股份有限公司
法定代表人：汤世生
地址：北京市海淀区西直门北大街甲43号金运大厦B座5层
电话： 010-62294693 010-62294667
传真： 010-62230324
保荐代表人： 温泉 赵文远
项目主办人： 杨薇
项目承办人员：张炜、尹百宽、赵渊、王伟
（三）发行人律师： 北京市金杜律师事务所
负责人：王玲
地址：北京市朝阳区东三环中路7号北京财富中心写字楼A座40层
电话：028-86203818
传真：028-86203819
经办律师： 刘荣 刘显
（四）会计师事务所：四川君和会计师事务所有限责任公司
"
9,N_A,"传真：0825-2659040
联系人： 胡仁彬 李德明
（二）保荐人（主承销商）：宏源证券股份有限公司
法定代表人：汤世生
地址：北京市海淀区西直门北大街甲43号金运大厦B座5层
电话： 010-62294693 010-62294667
传真： 010-62230324
保荐代表人： 温泉 赵文远
项目主办人： 杨薇
项目承办人员：张炜、尹百宽、赵渊、王伟
（三）发行人律师： 北京市金杜律师事务所
负责人：王玲
地址：北京市朝阳区东三环中路7号北京财富中心写字楼A座40层
电话：028-86203818
传真：028-86203819
经办律师： 刘荣 刘显
（四）会计师事务所：四川君和会计师事务所有限责任公司
法定代表人： 尹淑萍
地址： 成都市八宝街88号国信广场
电话：028-86698855－506
传真：028-86692316
经办会计师：庄瑞兰 文能武
（五）资产评估机构（一）：四川华衡资产评估有限公司
法定代表人：唐光兴
地址：成都市锦江区天仙桥南路3号汇江楼5楼
电话：028－86654455
传真：028－86652220
经办评估人员： 傅文捷 赵秀梅
资产评估机构（二）：四川金信会计师事务所有限责任公司
法定代表人：黄昌富
地址：遂宁市遂州南路96号
电话：0825－2249354
传真：0825－2221919
经办评估人员： 黄昌富、简安宁
资产评估机构（三）：中天银会计师事务所有限责任公司
法定代表人：付屏南
地址：北京市海淀区紫竹院路31号华澳中心嘉慧苑616室
电话：010－68455216、010－68451943
传真：010－68451561
经办评估人员：孙会珍、樊伟红
资产评估机构（四）：鸡西中元有限责任会计师事务所
法定代表人：施钊
地址：鸡西市鸡冠区中心大街89号
电话：0467-2353600
传真：0467-2353600
经办评估人员： 安然、李务玲
资产评估机构（五）：吉林天兴会计师事务所有限公司
法定代表人：张文斌
地址：长春市南关区清明街808号
电话：0431－88613336
传真：0431－88613336
经办评估人员： 吴涛、张林涛
（六）土地评估机构：四川中衡会计师事务所有限责任公司
法定代表人：肖军
地址：成都市青羊区锦里西路107号锦江时代花园南10楼
电话：028－86127678
传真：028－86127678
"
