页码,表格,纯文本
0,N_A,"


发行人及全体董事、监事、高级管理人员承诺招股意向书不存在虚假记载、
误导性陈述或重大遗漏，并对其真实性、准确性、完整性、及时性承担个别和连
带的法律责任。
发行人及全体董事、监事、高级管理人员、发行人的控股股东、实际控制人
以及保荐人、承销的证券公司承诺因发行人招股意向书及其他信息披露资料有虚
假记载、误导性陈述或者重大遗漏，致使投资者在证券发行和交易中遭受损失的，
将依法赔偿投资者损失。
保荐人承诺因其为发行人首次公开发行股票制作、出具的文件有虚假记载、
误导性陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
证券服务机构承诺因其为发行人本次公开发行制作、出具的文件有虚假记
载、误导性陈述或者重大遗漏，给他人造成损失的，将依法赔偿投资者损失。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书中财
务会计资料真实、完整。
中国证监会对本次发行所作的任何决定或意见，均不表明其对发行人的盈利
能力、投资价值或者对投资者的收益作出实质性判断或者保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责；投资者自主判断发行人的投资价值，自主作出投资决策，自行承
担股票依法发行后因发行人经营与收益变化或者股票价格变动引致的投资风险。
本公司特别提请投资者注意，在作出投资决策之前，务必仔细阅读本招股
意向书“第四节 风险因素”章节的全部内容，并特别关注以下重要事项。
一、发行前股东自愿锁定股份的安
（一）控股股东、实际控制人承诺
公司控股股东、实际控制人向平对其所持股份的限售安排做出承诺：自国科
微电子股票在中华人民共和国境内证券交易所上市交易之日起36个月内，本人不
转让或者委托他人管理本人直接或间接持有的国科微电子首次公开发行股票之
前已发行的股份，也不由国科微电子回购本人直接或间接持有的国科微电子首次
公开发行股票之前已发行的股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会（以下简称―中国证监会‖）和国科微电子股票上市交易的证券交易所
对本人持有的国科微电子的股份转让另有要求，则本人将按相关要求执行。
如果国科微电子上市后6个月内股票连续20个交易日的收盘价（如国科微电
子有派息、送股、公积金转增股本等除权除息事项，则价格进行相应调整，下同）
"
1,N_A,"公司控股股东、实际控制人向平对其所持股份的限售安排做出承诺：自国科
微电子股票在中华人民共和国境内证券交易所上市交易之日起36个月内，本人不
转让或者委托他人管理本人直接或间接持有的国科微电子首次公开发行股票之
前已发行的股份，也不由国科微电子回购本人直接或间接持有的国科微电子首次
公开发行股票之前已发行的股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会（以下简称―中国证监会‖）和国科微电子股票上市交易的证券交易所
对本人持有的国科微电子的股份转让另有要求，则本人将按相关要求执行。
如果国科微电子上市后6个月内股票连续20个交易日的收盘价（如国科微电
子有派息、送股、公积金转增股本等除权除息事项，则价格进行相应调整，下同）
均低于国科微电子首次公开发行股票的发行价，或者国科微电子上市后6个月期
末（如该日不是交易日，则为该日后第一个交易日）股票收盘价低于发行价，则
本人持有的国科微电子首次公开发行股票之前已发行的股份锁定期限自动延长6
个月。在延长锁定期内，不转让或者委托他人管理本人直接或者间接持有的国科
微电子首次公开发行股票之前已发行的股份，也不由国科微电子回购本人直接或
者间接持有的国科微电子首次公开发行股票之前已发行的股份。
（二）法人股东承诺
1、湘嘉投资承诺
公司法人股东湘嘉投资对其所持股份的限售安排做出承诺：自国科微电子股
票在中华人民共和国境内证券交易所上市交易之日起36个月内，本公司不转让或
者委托他人管理本公司直接或间接持有的国科微电子首次公开发行股票之前已
发行的股份，也不由国科微电子回购本公司直接或间接持有的国科微电子首次公
开发行股票之前已发行的股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会（以下简称―中国证监会‖）和国科微电子股票上市交易的证券交易所
对本公司持有的国科微电子的股份转让另有要求，则本公司将按相关要求执行。
如果国科微电子上市后6个月内股票连续20个交易日的收盘价（如国科微电
子有派息、送股、公积金转增股本等除权除息事项，则价格进行相应调整，下同）
均低于国科微电子首次公开发行股票的发行价，或者国科微电子上市后6个月期
末（如该日不是交易日，则为该日后第一个交易日）股票收盘价低于发行价，则
本公司持有的国科微电子首次公开发行股票之前已发行的股份锁定期限自动延
"
2,N_A,"发行的股份，也不由国科微电子回购本公司直接或间接持有的国科微电子首次公
开发行股票之前已发行的股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会（以下简称―中国证监会‖）和国科微电子股票上市交易的证券交易所
对本公司持有的国科微电子的股份转让另有要求，则本公司将按相关要求执行。
如果国科微电子上市后6个月内股票连续20个交易日的收盘价（如国科微电
子有派息、送股、公积金转增股本等除权除息事项，则价格进行相应调整，下同）
均低于国科微电子首次公开发行股票的发行价，或者国科微电子上市后6个月期
末（如该日不是交易日，则为该日后第一个交易日）股票收盘价低于发行价，则
本公司持有的国科微电子首次公开发行股票之前已发行的股份锁定期限自动延
长6个月。在延长锁定期内, 不转让或者委托他人管理本公司直接或者间接持有
的国科微电子首次公开发行股票之前已发行的股份，也不由国科微电子回购本公
司直接或者间接持有的国科微电子首次公开发行股票之前已发行的股份。
2、芯途投资承诺
公司法人股东芯途投资对其所持股份的限售安排做出承诺：自国科微电子股
票在中华人民共和国境内证券交易所上市交易之日起36个月内，本企业不转让或
者委托他人管理本企业直接或间接持有的国科微电子首次公开发行股票之前已
发行的股份，也不由国科微电子回购本企业直接或间接持有的国科微电子首次公
开发行股票之前已发行的股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会和国科微电子股票上市交易的证券交易所对本企业持有的国科微电
子的股份转让另有要求，则本企业将按相关要求执行。
如果国科微电子上市后6个月内股票连续20个交易日的收盘价（如国科微电
子有派息、送股、公积金转增股本等除权除息事项，则价格进行相应调整，下同）
均低于国科微电子首次公开发行股票的发行价，或者国科微电子上市后6个月期
末（如该日不是交易日，则为该日后第一个交易日）股票收盘价低于发行价，则
本公司持有的国科微电子首次公开发行股票之前已发行的股份锁定期限自动延
长6个月。在延长锁定期内, 不转让或者委托他人管理本公司直接或者间接持有
的国科微电子首次公开发行股票之前已发行的股份，也不由国科微电子回购本公
司直接或者间接持有的国科微电子首次公开发行股票之前已发行的股份。
公司法人股东国家集成电路基金对其所持股份的限售安排做出承诺，具体内
"
3,N_A,"子的股份转让另有要求，则本企业将按相关要求执行。
如果国科微电子上市后6个月内股票连续20个交易日的收盘价（如国科微电
子有派息、送股、公积金转增股本等除权除息事项，则价格进行相应调整，下同）
均低于国科微电子首次公开发行股票的发行价，或者国科微电子上市后6个月期
末（如该日不是交易日，则为该日后第一个交易日）股票收盘价低于发行价，则
本公司持有的国科微电子首次公开发行股票之前已发行的股份锁定期限自动延
长6个月。在延长锁定期内, 不转让或者委托他人管理本公司直接或者间接持有
的国科微电子首次公开发行股票之前已发行的股份，也不由国科微电子回购本公
司直接或者间接持有的国科微电子首次公开发行股票之前已发行的股份。
公司法人股东国家集成电路基金对其所持股份的限售安排做出承诺，具体内
容如下：
自国科微电子股票在中华人民共和国境内证券交易所上市交易之日起12个
月内，本企业不转让或者委托他人管理本企业直接或间接持有的国科微电子首次
公开发行股票之前已发行的股份，也不由国科微电子回购本企业直接或间接持有
的国科微电子首次公开发行股票之前已发行的股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会和国科微电子股票上市交易的证券交易所对本企业持有的国科微电
子的股份转让另有要求，则本企业将按相关要求执行。
如本企业违反上述承诺转让国科微电子股份，则本企业违反承诺转让国科微
电子股份所得的收益归国科微电子所有；如果本企业未将前述转让股份收益交给
国科微电子，则国科微电子有权冻结本企业持有的国科微电子剩余股份，且可将
应付本企业的现金分红扣留，用于抵作本企业应交给国科微电子的转让股份收
益，直至本企业完全履行有关责任。
2017年2月，公司法人股东国家集成电路基金对其所持股份的限售安排做出
补充承诺，具体内容如下：
本公司作为湖南国科微电子股份有限公司（以下简称―国科微电子‖）的股东，
已于2016年4月26日就本企业所持国科微电子股份锁定事项出具了《承诺书》。现
本公司就2015年12月30日认购的国科微电子882.3501万股股份（以下简称―该部
分股份‖）的锁定事项进一步承诺如下：
（1）自发行人股票在证券交易所上市交易之日起十二个月内，不转让或者
委托他人管理本公司直接或间接持有的发行人公开发行股票前已发行的股份，也
不由发行人回购该部分股份；自本公司取得该部分股份完成工商变更登记之日起
"
4,N_A,"应付本企业的现金分红扣留，用于抵作本企业应交给国科微电子的转让股份收
益，直至本企业完全履行有关责任。
2017年2月，公司法人股东国家集成电路基金对其所持股份的限售安排做出
补充承诺，具体内容如下：
本公司作为湖南国科微电子股份有限公司（以下简称―国科微电子‖）的股东，
已于2016年4月26日就本企业所持国科微电子股份锁定事项出具了《承诺书》。现
本公司就2015年12月30日认购的国科微电子882.3501万股股份（以下简称―该部
分股份‖）的锁定事项进一步承诺如下：
（1）自发行人股票在证券交易所上市交易之日起十二个月内，不转让或者
委托他人管理本公司直接或间接持有的发行人公开发行股票前已发行的股份，也
不由发行人回购该部分股份；自本公司取得该部分股份完成工商变更登记之日起
三十六个月内，不转让或者委托他人管理本公司直接或间接持有的发行人公开发
行股票前已发行的股份，也不由发行人回购该部分股份。
（2）如本企业违反上述承诺转让国科微电子股份，则本企业违反承诺转让
国科微电子股份所得的收益归国科微电子所有；如果本企业未将上述转让股份收
益交给国科微电子，则国科微电子有权冻结本企业持有的国科微电子剩余股份，
且可将应付本企业的现金分红扣留，用于抵作本企业应交给国科微电子的转让股
份收益，直至本企业完全履行有关责任。
4、亿盾投资承诺
公司法人股东亿盾投资对其所持股份的限售安排做出承诺：自国科微电子股
票在中华人民共和国境内证券交易所上市交易之日起12个月内，本企业不转让或
者委托他人管理本企业直接或间接持有的国科微电子首次公开发行股票之前已
发行的股份，也不由国科微电子回购本企业直接或间接持有的国科微电子首次公
开发行股票之前已发行的股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会和国科微电子股票上市交易的证券交易所对本企业持有的国科微电
子的股份转让另有要求，则本企业将按相关要求执行。
如本企业违反上述承诺转让国科微电子股份，则本企业违反承诺转让国科微
电子股份所得的收益归国科微电子所有；如果本企业未将前述转让股份收益交给
国科微电子，则国科微电子有权冻结本企业持有的国科微电子剩余股份，且可将
应付本企业的现金分红扣留，用于抵作本企业应交给国科微电子的转让股份收
益，直至本企业完全履行有关责任。
5、芙蓉担保承诺
公司法人股东芙蓉担保对其所持股份的限售安排做出承诺：自国科微电子股
"
5,N_A,"发行的股份，也不由国科微电子回购本企业直接或间接持有的国科微电子首次公
开发行股票之前已发行的股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会和国科微电子股票上市交易的证券交易所对本企业持有的国科微电
子的股份转让另有要求，则本企业将按相关要求执行。
如本企业违反上述承诺转让国科微电子股份，则本企业违反承诺转让国科微
电子股份所得的收益归国科微电子所有；如果本企业未将前述转让股份收益交给
国科微电子，则国科微电子有权冻结本企业持有的国科微电子剩余股份，且可将
应付本企业的现金分红扣留，用于抵作本企业应交给国科微电子的转让股份收
益，直至本企业完全履行有关责任。
5、芙蓉担保承诺
公司法人股东芙蓉担保对其所持股份的限售安排做出承诺：自国科微电子股
票在中华人民共和国境内证券交易所上市交易之日起12个月内，本企业不转让或
者委托他人管理本企业直接或间接持有的国科微电子首次公开发行股票之前已
发行的股份，也不由国科微电子回购本企业直接或间接持有的国科微电子首次公
开发行股票之前已发行的股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会和国科微电子股票上市交易的证券交易所对本企业持有的国科微电
子的股份转让另有要求，则本企业将按相关要求执行。
如本企业违反上述承诺转让国科微电子股份，则本企业违反承诺转让国科微
电子股份所得的收益归国科微电子所有；如果本企业未将前述转让股份收益交给
国科微电子，则国科微电子有权冻结本企业持有的国科微电子剩余股份，且可将
5、芙蓉担保承诺
公司法人股东芙蓉担保对其所持股份的限售安排做出承诺：自国科微电子股
票在中华人民共和国境内证券交易所上市交易之日起12个月内，本企业不转让或
者委托他人管理本企业直接或间接持有的国科微电子首次公开发行股票之前已
发行的股份，也不由国科微电子回购本企业直接或间接持有的国科微电子首次公
开发行股票之前已发行的股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会和国科微电子股票上市交易的证券交易所对本企业持有的国科微电
子的股份转让另有要求，则本企业将按相关要求执行。
如本企业违反上述承诺转让国科微电子股份，则本企业违反承诺转让国科微
电子股份所得的收益归国科微电子所有；如果本企业未将前述转让股份收益交给
"
6,N_A,"公司法人股东芙蓉担保对其所持股份的限售安排做出承诺：自国科微电子股
票在中华人民共和国境内证券交易所上市交易之日起12个月内，本企业不转让或
者委托他人管理本企业直接或间接持有的国科微电子首次公开发行股票之前已
发行的股份，也不由国科微电子回购本企业直接或间接持有的国科微电子首次公
开发行股票之前已发行的股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会和国科微电子股票上市交易的证券交易所对本企业持有的国科微电
子的股份转让另有要求，则本企业将按相关要求执行。
如本企业违反上述承诺转让国科微电子股份，则本企业违反承诺转让国科微
电子股份所得的收益归国科微电子所有；如果本企业未将前述转让股份收益交给
国科微电子，则国科微电子有权冻结本企业持有的国科微电子剩余股份，且可将
应付本企业的现金分红扣留，用于抵作本企业应交给国科微电子的转让股份收
益，直至本企业完全履行有关责任。
6、其他自然人股东承诺
公司其他自然人股东傅军、刘红旺、陈志贤、任华明、余疆、徐建廷对其所
持股份的限售安排分别做出承诺：自国科微电子股票在中华人民共和国境内证券
交易所上市交易之日起12个月内，本人不转让或者委托他人管理本人直接或间接
持有的国科微电子首次公开发行股票之前已发行的股份，也不由国科微电子回购
本人直接或间接持有的国科微电子首次公开发行股票之前已发行的股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会和国科微电子股票上市交易的证券交易所对本人持有的国科微电子
的股份转让另有要求，则本人将按相关要求执行。
如本人违反上述承诺转让国科微电子股份，则本人违反承诺转让国科微电子
股份所得的收益归国科微电子所有；如果本人未将前述转让股份收益交给国科微
电子，则国科微电子有权冻结本人持有的国科微电子剩余股份，且可将应付本人
的现金分红扣留，用于抵作本人应交给国科微电子的转让股份收益，直至本人完
全履行有关责任。
作为本公司董事、监事与高级管理人员的股东（包括直接持有本公司股份、
通过芯途投资、微湖投资间接持有本公司股份）还承诺：本人在担任国科微电子
董事、监事或高级管理人员期间，及时向国科微电子申报本人所持有的国科微
电子的股份及其变动情况，在任职期间每年转让的股份不超过本人所持有国科
微电子股份总数的百分之二十五；本人从国科微电子董事、监事及高级管理职
"
7,N_A,"如本人违反上述承诺转让国科微电子股份，则本人违反承诺转让国科微电子
股份所得的收益归国科微电子所有；如果本人未将前述转让股份收益交给国科微
电子，则国科微电子有权冻结本人持有的国科微电子剩余股份，且可将应付本人
的现金分红扣留，用于抵作本人应交给国科微电子的转让股份收益，直至本人完
全履行有关责任。
作为本公司董事、监事与高级管理人员的股东（包括直接持有本公司股份、
通过芯途投资、微湖投资间接持有本公司股份）还承诺：本人在担任国科微电子
董事、监事或高级管理人员期间，及时向国科微电子申报本人所持有的国科微
电子的股份及其变动情况，在任职期间每年转让的股份不超过本人所持有国科
微电子股份总数的百分之二十五；本人从国科微电子董事、监事及高级管理职
务离职后半年内，不转让本人所持有的国科微电子股份。
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
如果《中华人民共和国证券法》、《中华人民共和国公司法》、中国证券监督
管理委员会和国科微电子股票上市交易的证券交易所对本人持有的国科微电子
的股份转让另有要求，则本人将按相关要求执行。
如本人违反上述承诺转让国科微电子股份，则本人违反承诺转让国科微电子
股份所得的收益归国科微电子所有；如果本人未将前述转让股份收益交给国科微
电子，则国科微电子有权冻结本人持有的国科微电子剩余股份，且可将应付本人
的薪酬的50%及现金分红扣留，用于抵作本人应交给国科微电子的转让股份收
益，直至本人完全履行有关责任。
二、关于公司上市后稳定股价预案及相应约束措施
经公司2016年第一次临时股东大会决议通过，发行人制定了《湖南国科微电
子股份有限公司稳定股价预案》，该预案自公司股票上市之日起自动生效，有效
期为自生效之日起三年。发行人及其控股股东、实际控制人向平，发行人的非独
立董事、高级管理人员分别承诺如下：
（一）启动和停止股价稳定措施的条件
1、启动条件：当公司股票连续20个交易日的收盘价均低于公司上一个会计
年度经审计的每股净资产，则公司应当按照下述规则启动稳定股价措施。（第20
个交易日构成―触发稳定股价措施日‖）
2、停止条件：在以下稳定股价具体方案的实施期间内，如公司股票连续20
个交易日收盘价均高于公司上一个会计年度经审计的每股净资产时，或者相关增
持或者回购资金使用完毕，将停止实施股价稳定措施。
（二）稳定股价的措施
"
8,N_A,"子股份有限公司稳定股价预案》，该预案自公司股票上市之日起自动生效，有效
期为自生效之日起三年。发行人及其控股股东、实际控制人向平，发行人的非独
立董事、高级管理人员分别承诺如下：
（一）启动和停止股价稳定措施的条件
1、启动条件：当公司股票连续20个交易日的收盘价均低于公司上一个会计
年度经审计的每股净资产，则公司应当按照下述规则启动稳定股价措施。（第20
个交易日构成―触发稳定股价措施日‖）
2、停止条件：在以下稳定股价具体方案的实施期间内，如公司股票连续20
个交易日收盘价均高于公司上一个会计年度经审计的每股净资产时，或者相关增
持或者回购资金使用完毕，将停止实施股价稳定措施。
（二）稳定股价的措施
1、公司稳定股价的措施
当触发上述股价稳定措施的启动条件时，在确保公司股权分布符合上市条件
以及不影响公司正常生产经营的前提下，公司应依照法律、法规、规范性文件、
公司章程及公司内部治理制度的规定，及时履行相关法定程序后，向社会公众股
东回购股份。
公司应在触发稳定股价措施日起10个交易日内召开董事会审议公司回购股
份的议案，并在董事会做出决议后的2个交易日内公告董事会决议、有关议案及
召开股东大会的通知。回购股份的议案应包括回购股份的价格或价格区间、定价
原则，拟回购股份的种类、数量及占总股本的比例，回购股份的期限以及届时有
效的法律、法规、规范性文件规定应包含的其他信息。公司股东大会对回购股份
的议案做出决议，须经出席股东大会的股东所持表决权三分之二以上通过，公司
控股股东承诺就该等回购事宜在股东大会中投赞成票。公司应在股东大会审议通
过该等方案后的5个交易日内启动稳定股价具体方案的实施。
公司为稳定股价之目的通过回购股份议案的，回购公司股份的数量或金额应
当符合以下条件：
（1）单次用于回购股份的资金金额不低于上一个会计年度经审计的归属于
母公司股东净利润的10%，但不高于上一个会计年度经审计的归属于母公司股东
净利润的20%；
（2）同一会计年度内用于稳定股价的回购资金合计不超过上一个会计年度
经审计的归属于母公司股东净利润的50%。
超过上述标准的，有关稳定股价措施在当年度不再继续实施。但如下一年度
继续出现需启动稳定股价措施的情形时，公司将继续按照上述原则执行稳定股价
预案。
2、控股股东稳定股价的措施
当触发上述股价稳定措施的启动条件时，在确保公司股权分布符合上市条件
"
9,N_A,"过该等方案后的5个交易日内启动稳定股价具体方案的实施。
公司为稳定股价之目的通过回购股份议案的，回购公司股份的数量或金额应
当符合以下条件：
（1）单次用于回购股份的资金金额不低于上一个会计年度经审计的归属于
母公司股东净利润的10%，但不高于上一个会计年度经审计的归属于母公司股东
净利润的20%；
（2）同一会计年度内用于稳定股价的回购资金合计不超过上一个会计年度
经审计的归属于母公司股东净利润的50%。
超过上述标准的，有关稳定股价措施在当年度不再继续实施。但如下一年度
继续出现需启动稳定股价措施的情形时，公司将继续按照上述原则执行稳定股价
预案。
2、控股股东稳定股价的措施
当触发上述股价稳定措施的启动条件时，在确保公司股权分布符合上市条件
的前提下，公司控股股东应依照法律、法规、规范性文件和公司章程的规定，积
极配合并按照要求制定、实施稳定股价措施。
控股股东应在触发稳定股价措施日起10个交易日内，就其是否有增持公司股
份的具体计划书面通知公司并由公司公告。如有具体计划，应包括增持股份的价
格或价格区间、定价原则，拟增持股份的种类、数量及占总股本的比例，增持股
份的期限以及届时有效的法律、法规、规范性文件规定应包含的其他信息。控股
股东应在稳定股价方案公告后的5个交易日内启动稳定股价具体方案的实施。
公司控股股东为稳定股价之目的增持公司股份的，增持公司股份的数量或金
额应当符合以下条件：
自上述股价稳定措施启动条件成就之日起一个会计年度内，控股股东增持公
司股票的金额不低于其上一年度自发行人处取得的现金分红金额，但增持股份数
量不超过发行人股份总数的2%。
超过上述标准的，有关稳定股价措施在当年度不再继续实施。但如下一年度
继续出现需启动稳定股价措施的情形时，其将继续按照上述原则执行稳定股价预
案。
3、董事、高级管理人员稳定股价的措施
当触发上述股价稳定措施的启动条件时，在确保公司股权分布符合上市条件
的前提下，在公司领取薪酬的董事（独立董事除外，下同）、高级管理人员应依
照法律、法规、规范性文件和公司章程的规定，积极配合并按照要求制定、实施
稳定股价措施。
上述负有增持义务的董事、高级管理人员应在触发稳定股价措施日起10个交
易日内，就其是否有增持公司股份的具体计划书面通知公司并由公司公告。如有
具体计划，应包括增持股份的价格或价格区间、定价原则，拟增持股份的种类、
"
