页码,表格,纯文本
0,N_A,"本次股票发行后拟在创业板市场上市， 该市场具有较高的投资风险。创业
板公司具有业绩不稳定、经营风险高、退市风险大等特点，投资者面临较
大的市场风险。投资者应充分了解创业板市场的投资风险及本公司所披露
的风险因素，审慎作出投资决定。
深圳市建筑科学研究院股份有限公司
Shenzhen Institute of Building Research Co., Ltd.
（深圳市福田区梅林梅坳三路29号建科大楼
首次公开发行股票并在创业板上市
招股意向书
保荐人（主承销商）
申万宏源证券承销保荐有限责任公司

（新疆乌鲁木齐市高新区（新市区）
北京南路358 号大成国际大厦20楼2004室）
发行人及全体董事、监事、高级管理人员承诺招股意向书不存在虚假记载、
误导性陈述或重大遗漏，并对其真实性、准确性、完整性、及时性承担个别和连
带的法律责任。
发行人及全体董事、监事、高级管理人员、发行人的控股股东、实际控制人
以及保荐人、承销的证券公司承诺因发行人招股意向书及其他信息披露资料有虚
假记载、误导性陈述或者重大遗漏，致使投资者在证券发行和交易中遭受损失的，
将依法赔偿投资者损失。
保荐人承诺因其为发行人本次公开发行制作、出具的文件有虚假记载、误导
性陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
证券服务机构承诺因其为发行人本次公开发行制作、出具的文件有虚假记
载、误导性陈述或者重大遗漏，给他人造成损失的，将依法赔偿投资者损失。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书中财
务会计资料真实、完整。
中国证监会对本次发行所作的任何决定或意见，均不表明其对发行人的盈利
能力、投资价值或者对投资者的收益作出实质性判断或者保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责；投资者自主判断发行人的投资价值，自主做出投资决策，自行承
担股票依法发行后因发行人经营与收益变化或者股票价格变动引致的投资风险。
本公司提请投资者关注以下重大事项，并提请投资者认真阅读本招股意向
书“第四节风险因素”章节的全部内容。
公司控股股东远致投资承诺：1、自发行人股票上市之日起三十六个月内，
不转让或者委托他人管理所持有的发行人公开发行股份前已发行的股份，也不由
发行人回购该等股份；2、发行人股票上市后六个月内如公司股票连续二十个交
"
1,N_A,"中国证监会对本次发行所作的任何决定或意见，均不表明其对发行人的盈利
能力、投资价值或者对投资者的收益作出实质性判断或者保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责；投资者自主判断发行人的投资价值，自主做出投资决策，自行承
担股票依法发行后因发行人经营与收益变化或者股票价格变动引致的投资风险。
本公司提请投资者关注以下重大事项，并提请投资者认真阅读本招股意向
书“第四节风险因素”章节的全部内容。
公司控股股东远致投资承诺：1、自发行人股票上市之日起三十六个月内，
不转让或者委托他人管理所持有的发行人公开发行股份前已发行的股份，也不由
发行人回购该等股份；2、发行人股票上市后六个月内如公司股票连续二十个交
易日的收盘价均低于发行价（发行人股票上市后六个月内如有派息、送股、资本
公积金转增股本、增发新股等除权除息事项的，发行价将相应进行调整，下同），
或者上市后六个月期末收盘价低于发行价，本公司持有发行人股票的锁定期限在
原有锁定期限基础上自动延长六个月。
公司股东建科投资、中关村发展、英龙建安、深圳创新投承诺：自发行人股
票上市之日起十二个月内，不转让或者委托他人管理所持有的发行人公开发行股
份前已发行的股份，也不由发行人回购该等股份。
间接持有公司股份的董事、监事、高级管理人员叶青、陈泽广、莫福光、刘
俊跃、毛洪伟、姚培、蓝虹承诺：1、自发行人股票上市之日起十二个月内，不
转让或者委托他人管理本人间接持有的发行人公开发行股份前已发行的股份，也
不由发行人回购该等股份；2、在上述期限届满后，本人在发行人任职期间每年
转让直接或间接持有发行人股份不超过本人直接或间接持有建科院股份总数的
25%；3、在离职半年内，本人不转让所直接或间接持有的发行人股份；4、在发
行人股票上市之日起六个月内本人申报离职的，自申报离职之日起十八个月内不
转让本人直接或间接持有的发行人股份；在建科院股票上市之日起七个月至十二
个月之间申报离职的，自申报离职之日起十二个月内本人不转让直接或间接持有
的发行人股份；5、发行人上市后六个月内如股票连续二十个交易日的收盘价均
低于发行价，或者上市后六个月期末收盘价低于发行价，上述锁定期限届满后自
动延长六个月的锁定期；6、所持发行人股票在锁定期满后两年内减持的，其减
持价格不低于发行价；7、本人不因职务变更、离职等原因而放弃履行该承诺。
"
2,N_A,"不由发行人回购该等股份；2、在上述期限届满后，本人在发行人任职期间每年
转让直接或间接持有发行人股份不超过本人直接或间接持有建科院股份总数的
25%；3、在离职半年内，本人不转让所直接或间接持有的发行人股份；4、在发
行人股票上市之日起六个月内本人申报离职的，自申报离职之日起十八个月内不
转让本人直接或间接持有的发行人股份；在建科院股票上市之日起七个月至十二
个月之间申报离职的，自申报离职之日起十二个月内本人不转让直接或间接持有
的发行人股份；5、发行人上市后六个月内如股票连续二十个交易日的收盘价均
低于发行价，或者上市后六个月期末收盘价低于发行价，上述锁定期限届满后自
动延长六个月的锁定期；6、所持发行人股票在锁定期满后两年内减持的，其减
持价格不低于发行价；7、本人不因职务变更、离职等原因而放弃履行该承诺。
二、主要股东持股意向承诺
公司控股股东远致投资承诺：本公司对发行人的发展前景充满信心，拟长期
持有发行人的股份。在股份锁定期满后两年内，本公司无减持所持有的发行人股
票的计划。但若出现法律法规、政策变化、自然灾害等自身无法控制的客观原因，
本公司需在锁定期满后两年内减持的，减持价格将不低于发行价，并将通过深圳
证券交易所竞价交易系统、大宗交易平台或深圳证券交易所允许的其他转让方式
合法转让发行人股票，实施减持时将提前三个交易日通过发行人予以公告。
公司股东英龙建安、中关村发展、深圳创新投承诺：本公司对发行人的发展
前景充满信心，拟长期持有发行人的股份。如因自身资金需求、实现投资收益、
公司股票价格波动等原因，在不违反本公司在本次公开发行时所作出的公开承诺
的前提下，本公司可依法减持发行人公开发行股票前所持有发行人的股份。
公司股东建科投资承诺：本公司对发行人的发展前景充满信心，拟长期持有
发行人的股份。本公司所持发行人股票锁定期届满后的 12 个月内，减持股票数
量不超过本公司所持发行人股票锁定期届满时本公司持有可减持股票数量的
30%；锁定期届满后的 24 个月内，本公司减持股票数量不超过锁定期届满时本
公司持有可减持股票数量的60%。
三、稳定公司股价的预案及相关承诺
公司 2014 年度股东大会审议通过了《公司股票上市后三年内公司股价稳定
预案》，其主要内容如下：
（一）稳定股价预案的启动条件
公司上市后三年内，如果公司股票收盘价连续二十个交易日低于上一会计年
"
3,N_A,"的前提下，本公司可依法减持发行人公开发行股票前所持有发行人的股份。
公司股东建科投资承诺：本公司对发行人的发展前景充满信心，拟长期持有
发行人的股份。本公司所持发行人股票锁定期届满后的 12 个月内，减持股票数
量不超过本公司所持发行人股票锁定期届满时本公司持有可减持股票数量的
30%；锁定期届满后的 24 个月内，本公司减持股票数量不超过锁定期届满时本
公司持有可减持股票数量的60%。
三、稳定公司股价的预案及相关承诺
公司 2014 年度股东大会审议通过了《公司股票上市后三年内公司股价稳定
预案》，其主要内容如下：
（一）稳定股价预案的启动条件
公司上市后三年内，如果公司股票收盘价连续二十个交易日低于上一会计年
度经审计的每股净资产（因利润分配、资本公积金转增股本、增发、配股等除权
除息事项导致公司净资产或股份总数发生变化的，每股净资产进行相应调整，下
同），即触及启动稳定股价预案的条件，公司应在发生上述情形的最后一个交易
日起十个交易日内，严格按照《公司股票上市后三年内公司股价稳定预案》的规
定启动稳定股价措施，向社会公众股东回购股票。由公司董事会制定具体实施方
案并提前三个交易日公告。
（二）稳定股价具体措施
公司稳定股价的具体措施为：本公司回购公司股票，公司控股股东增持公司
股票，公司董事和高级管理人员增持公司股票。
股价稳定措施的实施顺序如下：
1、第一选择为公司回购股票，但如公司回购股票将导致公司不满足法定上
市条件，则第一选择为控股股东增持公司股票。
公司为稳定股价之目的回购股份，应符合《上市公司回购社会公众股份管理
办法（试行）》等相关法律、法规的规定。公司以要约方式回购股份的，回购股
份价格区间参考公司上一会计年度末经审计的每股净资产并结合公司当时的财
务状况和经营状况决定。公司实施稳定股价议案时，拟用于回购资金应为自筹资
金。单次回购的公司股份数量不超过公司总股本的 2%。并且，公司单次回购总
金额不少于人民币 1,000 万元，但如果单次回购总金额不少于人民币 1,000 万元
的要求将导致单次回购的公司股份数量超过公司总股本 2%的，则可以少于 1,000
万元。
2、第二选择为控股股东增持公司股票。在下列情形之一出现时将启动第二
选择：（1）公司无法实施回购股票或回购股票议案未获得公司股东大会批准；（2）
公司虽实施股票回购计划但仍未满足“公司股票连续 5个交易日的收盘价均已高
"
4,N_A,"办法（试行）》等相关法律、法规的规定。公司以要约方式回购股份的，回购股
份价格区间参考公司上一会计年度末经审计的每股净资产并结合公司当时的财
务状况和经营状况决定。公司实施稳定股价议案时，拟用于回购资金应为自筹资
金。单次回购的公司股份数量不超过公司总股本的 2%。并且，公司单次回购总
金额不少于人民币 1,000 万元，但如果单次回购总金额不少于人民币 1,000 万元
的要求将导致单次回购的公司股份数量超过公司总股本 2%的，则可以少于 1,000
万元。
2、第二选择为控股股东增持公司股票。在下列情形之一出现时将启动第二
选择：（1）公司无法实施回购股票或回购股票议案未获得公司股东大会批准；（2）
公司虽实施股票回购计划但仍未满足“公司股票连续 5个交易日的收盘价均已高
于公司最近一年经审计的每股净资产”之条件。
控股股东为稳定股价之目的增持股份，应符合《上市公司收购管理办法》等
相关法律、法规的规定。控股股东单次用于增持股份的资金金额不低于自公司上
市后累计从公司所获得现金分红金额的 20%；单一年度用于增持股份的资金不超
过自公司上市后累计从公司所获得现金分红金额的 50%。超过上述标准的，有关
稳定股价措施在当年度不再继续实施，但下一年度继续出现需要启动稳定股价措
施的情形时，将继续按照上述原则执行。
3、第三选择为董事（不含独立董事，下同）和高级管理人员增持公司股票。
启动该选择的条件为：控股股东增持股票方案实施完成后，如公司股票仍未满足
“公司股票连续 5 个交易日的收盘价均已高于公司最近一年经审计的每股净资
产”之条件，并且董事和高级管理人员增持公司股票不会致使公司将不满足法定
上市条件。
公司董事及高级管理人员为稳定股价之目的增持股份，应符合《上市公司收
购管理办法》等相关法律、法规的规定。公司董事及高级管理人员实施稳定股价
议案时，用于增持股份的货币资金不少于董事和高级管理人员上年度薪酬总和的
30%，但不超过100%。
（三）稳定股价措施实施的具体程序
1、公司回购
在公司出现应启动稳定股价预案情形，本公司应在收到通知后 2个工作日内
启动决策程序，经股东大会决议通过后，依法通知债权人和履行备案程序。公司
将采取深圳证券交易所集中竞价交易方式、要约等方式回购股份。回购方案实施
完毕后，公司应在 2 个工作日内公告公司股份变动报告，并在 10 日内依法注销
"
5,N_A,"产”之条件，并且董事和高级管理人员增持公司股票不会致使公司将不满足法定
上市条件。
公司董事及高级管理人员为稳定股价之目的增持股份，应符合《上市公司收
购管理办法》等相关法律、法规的规定。公司董事及高级管理人员实施稳定股价
议案时，用于增持股份的货币资金不少于董事和高级管理人员上年度薪酬总和的
30%，但不超过100%。
（三）稳定股价措施实施的具体程序
1、公司回购
在公司出现应启动稳定股价预案情形，本公司应在收到通知后 2个工作日内
启动决策程序，经股东大会决议通过后，依法通知债权人和履行备案程序。公司
将采取深圳证券交易所集中竞价交易方式、要约等方式回购股份。回购方案实施
完毕后，公司应在 2 个工作日内公告公司股份变动报告，并在 10 日内依法注销
所回购的股份，办理工商变更登记手续。
公司回购股份议案需经董事会、股东大会决议通过，其中股东大会须经出席
会议的股东所持表决权的三分之二以上通过。公司董事承诺就该等回购事宜在董
事会中投赞成票；控股股东承诺就该等回购事宜在股东大会中投赞成票。
2、控股股东增持
在公司出现应启动预案情形时，公司控股股东应在收到通知后 2个工作日内
启动内部决策程序，就其是否有增持公司股票的具体计划书面通知公司并由公司
进行公告，公告应披露拟增持的数量范围、价格区间、总金额、完成时间等信息。
增持方案实施完毕后，公司应在 2个工作日内公告公司股份变动报告。
3、董事及高级管理人员增持
在公司出现应启动预案情形时，公司董事及高级管理人员应在收到通知后 2
个工作日内，就其是否有增持公司股票的具体计划书面通知公司并由公司进行公
告，公告应披露拟增持的数量范围、价格区间、总金额、完成时间等信息。增持
方案实施完毕后，公司应在2个工作日内公告公司股份变动报告。公司董事及高
级管理人员应根据预案的规定签署相关承诺。公司上市后 3年内拟新聘任董事和
高级管理人员时，公司将促使该新聘任的董事和高级管理人员根据预案的规定签
署相关承诺。
（四）股价稳定预案未实施的约束机制
1、本公司自愿接受主管机关对其上述股价稳定措施的制定、实施等进行监
督，并承担法律责任；
2、如公司控股股东违反预案及相关承诺函所述义务的，公司有权将控股股
东应履行其增持义务相等金额的应付控股股东现金分红予以截留，直至控股股东
履行其增持义务；如已经连续两次以上存在上述情形时，则公司可将与控股股东
"
6,N_A,"告，公告应披露拟增持的数量范围、价格区间、总金额、完成时间等信息。增持
方案实施完毕后，公司应在2个工作日内公告公司股份变动报告。公司董事及高
级管理人员应根据预案的规定签署相关承诺。公司上市后 3年内拟新聘任董事和
高级管理人员时，公司将促使该新聘任的董事和高级管理人员根据预案的规定签
署相关承诺。
（四）股价稳定预案未实施的约束机制
1、本公司自愿接受主管机关对其上述股价稳定措施的制定、实施等进行监
督，并承担法律责任；
2、如公司控股股东违反预案及相关承诺函所述义务的，公司有权将控股股
东应履行其增持义务相等金额的应付控股股东现金分红予以截留，直至控股股东
履行其增持义务；如已经连续两次以上存在上述情形时，则公司可将与控股股东
履行其增持义务相等金额的应付控股股东现金分红予以截留用于股份回购计划，
控股股东丧失对相应金额现金分红的追索权。对于应当截留应付控股股东的现金
分红，公司董事（包括独立董事）、高级管理人员应当敦促公司按时足额截留，
未履行敦促义务的董事（包括独立董事）、高级管理人员应当向中小股东承担赔
偿责任，中小股东有权向人民法院提起诉讼；
3、如公司董事、高级管理人员违反预案及相关承诺函所述义务的公司有权
将其履行增持义务相等金额的工资薪酬（仅包括其在公司领取的工资薪酬扣除当
地最低工资标准后的部分）代其履行增持义务；如个人在任职期间连续两次以上
未能主动履行其增持义务，由控股股东或董事会、监事会、半数以上的独立董事
提请股东大会同意更换相关董事，由公司董事会解聘相关高级管理人员。
四、关于招股意向书信息披露相关承诺
（一）发行人承诺
本公司承诺：若本公司招股意向书有虚假记载、误导性陈述或者重大遗漏，
对判断本公司是否符合法律规定的发行条件构成重大、实质影响的，公司将依法
回购首次公开发行的全部新股，回购价格不低于公司首次公开发行股份的发行
价，期间公司如有派发股利、送股、转增股本等除权除息事项，上述价格相应调
整，并在有权部门作出行政处罚或人民法院作出相关判决之日起启动回购决策程
序，在公司股东大会决议做出之日起次日 30 个交易日内实施完毕。若本公司招
股意向书有虚假记载、误导性陈述或者重大遗漏，致使投资者在证券交易中遭受
损失的，本公司将依法赔偿投资者损失。
（二）实际控制人承诺
公司实际控制人深圳市国资委承诺：远致投资作为发行人的控股股东，已就
"
7,N_A,"本公司承诺：若本公司招股意向书有虚假记载、误导性陈述或者重大遗漏，
对判断本公司是否符合法律规定的发行条件构成重大、实质影响的，公司将依法
回购首次公开发行的全部新股，回购价格不低于公司首次公开发行股份的发行
价，期间公司如有派发股利、送股、转增股本等除权除息事项，上述价格相应调
整，并在有权部门作出行政处罚或人民法院作出相关判决之日起启动回购决策程
序，在公司股东大会决议做出之日起次日 30 个交易日内实施完毕。若本公司招
股意向书有虚假记载、误导性陈述或者重大遗漏，致使投资者在证券交易中遭受
损失的，本公司将依法赔偿投资者损失。
（二）实际控制人承诺
公司实际控制人深圳市国资委承诺：远致投资作为发行人的控股股东，已就
发行人上市招股意向书事宜作出公开承诺。如经中国证监会等有权监管机构或司
法机构认定，发行人上市的招股意向书有虚假记载、误导性陈述或者重大遗漏，
导致对判断发行人是否符合法律规定的发行条件构成实质影响的，或者致使投资
者在证券交易中遭受损失并因此触发发行人回购首次公开发行的全部新股责任
的，或者触发发行人控股股东、董事、监事和高级管理人员的赔偿责任的，我委
将依法督促发行人及远致公司履行相关义务并承担相关责任。
（三）控股股东承诺
公司控股股东远致投资承诺：因发行人招股意向书有虚假记载、误导性陈述
或者重大遗漏，致使投资者在证券交易中遭受损失的，本公司将依法赔偿投资者
损失。因发行人招股意向书有虚假记载、误导性陈述或重大遗漏，对判断发行人
是否符合法律规定的发行条件构成重大、实质影响，并已由有权部门作出行政处
罚或人民法院作出相关判决的，本公司利用发行人控股股东地位，促使发行人依
法回购首次公开发行的全部新股，同时本公司将按照二级市场的价格依法购回已
转让的原限售股份。本公司购回股票时将依照《公司法》、《证券法》、中国证监
会和深圳证券交易所的相关规定以及《公司章程》执行。
（四）董事、监事、高级管理人员承诺
公司全体董事、监事、高级管理人员承诺：发行人招股意向书有虚假记载、
误导性陈述或重大遗漏，致使投资者在证券交易中遭受损失的，发行人董事、监
事、高级管理人员将依法赔偿投资者损失。
保荐机构申万宏源承诺：因发行人招股意向书及其他信息披露资料有虚假记
载、误导性陈述或者重大遗漏，致使投资者在证券发行和交易中遭受损失的，将
先行赔偿投资者损失。因本机构为发行人首次公开发行制作、出具的文件有虚假
"
8,N_A,"罚或人民法院作出相关判决的，本公司利用发行人控股股东地位，促使发行人依
法回购首次公开发行的全部新股，同时本公司将按照二级市场的价格依法购回已
转让的原限售股份。本公司购回股票时将依照《公司法》、《证券法》、中国证监
会和深圳证券交易所的相关规定以及《公司章程》执行。
（四）董事、监事、高级管理人员承诺
公司全体董事、监事、高级管理人员承诺：发行人招股意向书有虚假记载、
误导性陈述或重大遗漏，致使投资者在证券交易中遭受损失的，发行人董事、监
事、高级管理人员将依法赔偿投资者损失。
保荐机构申万宏源承诺：因发行人招股意向书及其他信息披露资料有虚假记
载、误导性陈述或者重大遗漏，致使投资者在证券发行和交易中遭受损失的，将
先行赔偿投资者损失。因本机构为发行人首次公开发行制作、出具的文件有虚假
记载、误导性陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
律师事务所德恒律师承诺：由于本所为发行人首次公开发行制作、出具的文
件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，本所将依法赔
偿投资者损失。
会计师事务所立信会计师承诺：因本所为发行人首次公开发行制作、出具的
文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，将依法赔偿
投资者损失。
五、对相关责任主体承诺事项的约束措施
（一）发行人
如本公司在招股意向书中所作出的公开承诺未能履行、确已无法履行或无法
按期履行的，本公司将采取如下措施：
1、及时、充分披露公司承诺未能履行、无法履行或无法按期履行的具体原
因；
2、向公司投资者提出补充承诺或替代承诺，以尽可能保护投资者的权益；
3、将上述补充承诺或替代承诺提交公司股东大会审议；
4、公司违反承诺给投资者造成损失的，将依法对投资者进行赔偿。
（二）其他责任主体
公司实际控制人深圳市国资委承诺：远致投资作为发行人的控股股东，已就
发行人相关事项作出公开承诺。对于远致投资未能履行已作出或拟作出的生效承
诺，我委将依法督促远致投资承担相应责任。如因相关法律法规政策变化、自然
灾害等自身无法控制的客观原因导致承诺无法履行无法按期履行，我委依法督促
远致投资及发行人披露相关信息。公司控股股东远致投资、其他全体股东以及全
体董事、高级管理人员均分别承诺如违反本公司首次公开发行上市时已作出的公
开承诺，则采取或接受以下措施：
1、在有关监管机关要求的期限内予以纠正；
"
9,N_A,"3、将上述补充承诺或替代承诺提交公司股东大会审议；
4、公司违反承诺给投资者造成损失的，将依法对投资者进行赔偿。
（二）其他责任主体
公司实际控制人深圳市国资委承诺：远致投资作为发行人的控股股东，已就
发行人相关事项作出公开承诺。对于远致投资未能履行已作出或拟作出的生效承
诺，我委将依法督促远致投资承担相应责任。如因相关法律法规政策变化、自然
灾害等自身无法控制的客观原因导致承诺无法履行无法按期履行，我委依法督促
远致投资及发行人披露相关信息。公司控股股东远致投资、其他全体股东以及全
体董事、高级管理人员均分别承诺如违反本公司首次公开发行上市时已作出的公
开承诺，则采取或接受以下措施：
1、在有关监管机关要求的期限内予以纠正；
2、给投资者造成直接损失的，依法赔偿损失；
3、有违法所得的，按相关法律法规处理；
4、如该违反的承诺属可以继续履行的，将继续履行该承诺；
5、根据届时规定可以采取的其他措施。
六、关于填补本次发行股票被摊薄即期回报的措施与承诺
为降低本次公开发行股票对公司即期回报摊薄的风险，公司拟通过大力发展
主营业务、加强募集资金管理、加快募投项目投资进度、加大市场开拓力度、加
强内部控制、强化投资者回报机制等措施，提高公司整体市场竞争力和盈利能力，
以填补被摊薄即期回报。
（一）公司现有业务板块运营状况、发展态势，面临的主要风险
及改进措施
1. 公司现有业务板块运营状况、发展态势
公司是国内生态城市建设运营的综合服务商，报告期城市规划、建筑设计、
建筑咨询和公信服务等业务发展良好。随着公司业务模式的升级提升、技术研究
进一步创新、以及运营管理水平的进一步提升，公司营业规模将进一步扩张。同
时，随着新型城镇化和生态文明建设进一步深入，公司业绩将会呈现健康、可持
续的发展。
2. 公司现有业务板块面临的主要风险及改进措施
目前，公司现有业务板块面临的主要风险包括业务创新和产能扩展不能快速
响应市场需求、应收账款较大等方面，针对上述风险公司制定的改进措施如下：
（ ）业务创新和产能扩展不能快速响应市场需求的风险的应对措施
1. 公司现有业务板块运营状况、发展态势
公司是国内生态城市建设运营的综合服务商，报告期城市规划、建筑设计、
建筑咨询和公信服务等业务发展良好。随着公司业务模式的升级提升、技术研究
进一步创新、以及运营管理水平的进一步提升，公司营业规模将进一步扩张。同
"
