页码,表格,纯文本
0,N_A,"创业板投资风险提示：本次股票发行后拟在创业板市场上市，该市场具有较高
的投资风险。创业板公司具有业绩不稳定、经营风险高、退市风险大等特点，
投资者面临较大的市场风险。投资者应充分了解创业板市场的投资风险及本公
司所披露的风险因素，审慎作出投资决定。
兰州海默科技股份有限公司
Lanzhou Haimo Technologies Co., Ltd.
兰州海默科技股份有限公司
Lanzhou Haimo Technologies Co., Ltd.
首次公开发行股票并在创业板上市
招股意向书
保荐人（主承销商）
光 大 证 券 股 份 有 限 公 司
EVERBRIGHT SECURITIES CO,.LTD.
兰州海默科技股份有限公司
首次公开发行股票并在创业板上市招股意向书
兰州海默科技股份有限公司
次公开发行股票并在创业板上市招股意向书
发行股票类型： 人民币普通股（A
发行股票数量： 1,600万股
每股面值： 人民币1.00元
每股发行价格： 人民币【 】元
预计发行日期： 2010年5月6日
拟上市的证券交易所： 深圳证券交易所
发行后总股本： 6,400万元
本次发行前股东所持股 本公司控股股东窦
份的流通限制、股东对 张立强、孟钦贤、
所持股份自愿锁定的承 起三十六个月内，
诺： 前直接或间接持有
人民币普通股（A股）
1,600万股
人民币1.00元
人民币【 】元
2010年5月6日
深圳证券交易所
6,400万元
本公司控股股东窦剑文及其关联股东张馨心、张立刚、
张立强、孟钦贤、万劲松承诺：自发行人股票上市之日
起三十六个月内，不转让或者委托他人管理其本次发行
前直接或间接持有的公司股份，也不由发行人收购该部
分股份。除上述股份锁定外，窦剑文、张立强、孟钦贤、
万劲松还承诺：在担任公司董事、监事或高级管理人员
期间，每年转让的股份不超过本人直接或间接所持发行
人股份总数的百分之二十五；离职后半年内，不转让直
接或间接所持有的发行人股份。
除上述人员之外的其它公司董事、监事、高级管理人员
承诺：直接或间接所持发行人股份自公司股票上市之日
起十二个月内不转让；在其任职期间每年转让的股份不
超过其所直接或间接持有发行人股份总数的百分之二
十五；离职后半年内，不转让其直接或间接所持有的发
行人股份。
本公司其他股东承诺：自发行人股票上市之日起十二个
月内，不转让或者委托他人管理其本次发行前直接或间
"
1,N_A,"起三十六个月内，不转让或者委托他人管理其本次发行
前直接或间接持有的公司股份，也不由发行人收购该部
分股份。除上述股份锁定外，窦剑文、张立强、孟钦贤、
万劲松还承诺：在担任公司董事、监事或高级管理人员
期间，每年转让的股份不超过本人直接或间接所持发行
人股份总数的百分之二十五；离职后半年内，不转让直
接或间接所持有的发行人股份。
除上述人员之外的其它公司董事、监事、高级管理人员
承诺：直接或间接所持发行人股份自公司股票上市之日
起十二个月内不转让；在其任职期间每年转让的股份不
超过其所直接或间接持有发行人股份总数的百分之二
十五；离职后半年内，不转让其直接或间接所持有的发
行人股份。
本公司其他股东承诺：自发行人股票上市之日起十二个
月内，不转让或者委托他人管理其本次发行前直接或间
接持有的公司股份，也不由发行人收购该部分股份。
保荐人（主承销商）： 光大证券股份有限公司
招股说明书签署日期： 2010年4月21日
保荐人（主承销商）： 光大证券股份有限公司
招股说明书签署日期： 2010年4月21日
发行人及全体董事、监事、高级管理人员承诺招股说明书不存在虚假记载、
误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律
责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股说明书中财
务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所作的任何决定或意见，均不表明其
对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
1、以前年度滚存利润的分配
截止2009年12月31日，公司未分配的利润为6,725.95万元（合并报表数据）。
经公司 2009 年第三次临时股东大会决议：公司公开发行社会公众股股票以前各
年度及发行当年滚存利润由新老股东共享。
2、公司主营业务的季节性
公司的主营业务呈明显的季节性特征，即上半年形成的主营业务收入和净利
润明显低于下半年的金额，占全年营业收入和净利润的比重较小。具体原因为：
（1）公司的主要客户为国内外知名的大型石油公司，这些客户普遍实行预算管
理制度，每年的第一季度是石油公司审批预算和制订采购计划的时间，招标、采
购活动较少，因此形成本公司销售的淡季；（2）此外，本公司多相流量计产品实
"
2,N_A,"行人自行负责，由此变化引致的投资风险，由投资者自行负责。
1、以前年度滚存利润的分配
截止2009年12月31日，公司未分配的利润为6,725.95万元（合并报表数据）。
经公司 2009 年第三次临时股东大会决议：公司公开发行社会公众股股票以前各
年度及发行当年滚存利润由新老股东共享。
2、公司主营业务的季节性
公司的主营业务呈明显的季节性特征，即上半年形成的主营业务收入和净利
润明显低于下半年的金额，占全年营业收入和净利润的比重较小。具体原因为：
（1）公司的主要客户为国内外知名的大型石油公司，这些客户普遍实行预算管
理制度，每年的第一季度是石油公司审批预算和制订采购计划的时间，招标、采
购活动较少，因此形成本公司销售的淡季；（2）此外，本公司多相流量计产品实
行根据客户需求“量身定制”和“以销定产”的经营模式，除部分常规材料、低
压力等级的产品外，其他产品生产周期均较长，尤其是使用特殊材料（如高等级
合金钢）以及高压力等级产品的生产周期更长。一般一季度和二季度是公司获得
订单和进行生产准备的时间，产品交货期及确认收入集中在下半年特别是第四季
度，因此也使得公司上半年的收入比重小。
2009 年上半年公司主营业务收入为 45,579,456.18 元，占公司 2009 年全年主
营业务收入的 40.85%，2009年上半年净利润为 6,357,910.19元，占公司2009 年全
年净利润的22.77%；最近三年，公司上半年主营业务收入占全年主营业务收入的
平均百分比为38.69%，上半年净利润占全年净利润的平均百分比为26.12%。
3、公司前身海默仪器接受无形资产捐赠
公司由兰州海默仪器制造有限责任公司整体变更设立之前，董事长窦剑文
将其持有的四项专利技术无偿赠与海默仪器。其中三项由北京六合正旭资产评估
有限责任公司进行评估，并出具了六合正旭评报字（2000）第020号《资产评估
报告书》，评估结果为三项专利技术价值7,055.05 万元。海默仪器原股东与拟引
进新股东同意窦剑文将前述经评估的三项专利技术无偿赠与海默仪器，作价
1,400万元。2000年9 月23日，公司注册资本由100万元增至 4,000 万元，其中
窦剑文无偿赠与公司知识产权形成的资本公积1,400 万元按原股东持股比例全额
转增注册资本。上述三项专利权当时作价金额占到公司2000年9月 30日公司净
"
3,N_A,"公司由兰州海默仪器制造有限责任公司整体变更设立之前，董事长窦剑文
将其持有的四项专利技术无偿赠与海默仪器。其中三项由北京六合正旭资产评估
有限责任公司进行评估，并出具了六合正旭评报字（2000）第020号《资产评估
报告书》，评估结果为三项专利技术价值7,055.05 万元。海默仪器原股东与拟引
进新股东同意窦剑文将前述经评估的三项专利技术无偿赠与海默仪器，作价
1,400万元。2000年9 月23日，公司注册资本由100万元增至 4,000 万元，其中
窦剑文无偿赠与公司知识产权形成的资本公积1,400 万元按原股东持股比例全额
转增注册资本。上述三项专利权当时作价金额占到公司2000年9月 30日公司净
资产的34.99%。
截至到2008年底，上述专利权保护期已到期并且已摊销完毕，无账面价值，
对公司未来的经营业绩没有影响。
4、2009年末公司外币报表折算差额较大
本公司截至到2009年12月31日的外币报表折算差额金额为-5,233,086.56元。
本公司子公司海默国际及其子公司海默阿曼分别以当地货币迪拉姆和里亚
尔核算，上述两种货币均与美元汇率挂钩，对美元的汇率相对稳定，而最近几年
人民币对美元汇率有较大幅度升值，因此本公司合并报表的外币报表折算差额较
大。外币报表折算差额对公司利润的影响数，本公司已经在合并利润表--其他综
合收益中进行了反映，2009 年、2008 年和 2007 年其他综合收益分别为-44,209.76
元、-2,759,106.86 元、-2,091,073.16 元。
5、公司提醒投资者需特别关注下列风险，并提请投资者认真阅读本招股说
明书“第四节 风险因素”的全部内容。
（1）本公司业务市场区域集中在海外，尤其依赖中东地区的石油公司客户，
公司在报告期内营业收入前 5 名的客户实现销售收入合计占公司营业收入的比
例较高。2007 年、2008 年和 2009 年，公司营业收入前 5 名的客户实现销售收入
合计占公司营业收入的比重分别81.93%、66.83%和71.02%，海外营业收入占全部
营业收入的比重分别为88.20%、80.08%和78.88%。
（2）公司享受国家对于生产企业出口货物增值税“免、抵、退”的税收优
惠政策。公司主要产品多相流量计出口商品代码为90261000，出口退税率为17%。
2007 年、2008 年及 2009 年，本公司应收退税额分别为 236,773.48 元、761,349.97
"
4,N_A,"明书“第四节 风险因素”的全部内容。
（1）本公司业务市场区域集中在海外，尤其依赖中东地区的石油公司客户，
公司在报告期内营业收入前 5 名的客户实现销售收入合计占公司营业收入的比
例较高。2007 年、2008 年和 2009 年，公司营业收入前 5 名的客户实现销售收入
合计占公司营业收入的比重分别81.93%、66.83%和71.02%，海外营业收入占全部
营业收入的比重分别为88.20%、80.08%和78.88%。
（2）公司享受国家对于生产企业出口货物增值税“免、抵、退”的税收优
惠政策。公司主要产品多相流量计出口商品代码为90261000，出口退税率为17%。
2007 年、2008 年及 2009 年，本公司应收退税额分别为 236,773.48 元、761,349.97
元和1,482,429.79 元；免抵税额分别为987,525.36元、2,793,802.71 元和 3,367,285.34
元。公司当期出口货物不予免征、抵扣，计入出口货物成本的税额分别为37,495.65
元、92,255.32 元和14,975.62 元，形成的原因主要是本公司实行17%的增值税率，
而部分产品备件出口按13%的退税率退税，差额部分不予抵扣计入营业成本，从
而影响本公司的经营成果。随着公司出口收入的增长，如果国家向下调整公司主
要产品的出口退税率，将在一定程度上影响到公司的利润水平。
（3）本公司的产品和服务以国际市场为主，海外业务收入占公司收入的绝
大部分，汇率变动对公司收入利润的影响较显著。在人民币保持升值趋势的情况
下，目前公司外汇收入大于外汇支出使得人民币汇率变动对公司的负面影响更
大。2007年、2008年和2009年，公司因汇率变动受到的汇兑损失分别为人民币
1,238,848.50元、1,172,642.43元和208,299.04元，占当期净利润的比例分别为7.79%、
5.92%和0.75%。
（4）2009 年 12 月 31 日，公司应收账款账面金额为 47,573,198.05 元，占当
期营业收入的比例为40.59%，2009 年末的应收账款比2008年末增加20,250,598.63
元，增幅为 74.12%。2009 年末的公司应收账款均属正常生产经营所致，2009 年
度本公司应收账款政策未发生变动，与报告期其他年度完全一致。应收账款增加
"
5,N_A,"下，目前公司外汇收入大于外汇支出使得人民币汇率变动对公司的负面影响更
大。2007年、2008年和2009年，公司因汇率变动受到的汇兑损失分别为人民币
1,238,848.50元、1,172,642.43元和208,299.04元，占当期净利润的比例分别为7.79%、
5.92%和0.75%。
（4）2009 年 12 月 31 日，公司应收账款账面金额为 47,573,198.05 元，占当
期营业收入的比例为40.59%，2009 年末的应收账款比2008年末增加20,250,598.63
元，增幅为 74.12%。2009 年末的公司应收账款均属正常生产经营所致，2009 年
度本公司应收账款政策未发生变动，与报告期其他年度完全一致。应收账款增加
的主要原因是 2009 年度第四季度交货并确认收入的金额较大，年末时货款未到
收款期。公司客户均为国内外大型石油公司，公司和主要客户之间有长期、稳定
的合作，这些客户实力雄厚，支付能力强，信誉度高，有着非常规范的付款制度
和程序，公司已按照坏账准备政策充分计提了坏账准备。
尽管如此，如果相关客户未来发生重大变故，导致其资金状况和信用状况发
生重大不利变化，则可能对公司应收账款回收产生重大影响；如果公司应收账款
发生坏账损失的金额增大，将会导致公司利润总额出现一定幅度的下降。截止目
前，公司应收账款回款情况正常，未出现重大变化。
（5）母公司海默科技适用 15%的企业所得税税率，公司子公司海默国际适
用的当地所得税税率为0%，海默国际的控股子公司海默阿曼根据当地税收政策，
应纳税所得额为利润总额扣减3万里亚尔（OMR），按12%的税率计算应纳税额。
截止 2009 年 12 月 31 日，海默国际和海默阿曼的未分配利润分别为
23,887,069.80 元（母公司口径）和 36,977,087.98 元。如果上述未分配利润分回公
司，根据《中国人民共和国企业所得税法》第 24 条的规定，公司应按照母公司
与子公司之间的税率差补缴企业所得税，公司已按《企业会计准则第 18 号—所
得税》的规定在合并报表中确认了递延所得税负债及相应的所得税费用。截至到
2009 年 12 月 31 日，公司合并报表中确认的该项递延所得税负债金额为
4,296,825.33 元；2007 年、2008 年和 2009 年，公司合并报表由此确认的所得税费
"
6,N_A,"应纳税所得额为利润总额扣减3万里亚尔（OMR），按12%的税率计算应纳税额。
截止 2009 年 12 月 31 日，海默国际和海默阿曼的未分配利润分别为
23,887,069.80 元（母公司口径）和 36,977,087.98 元。如果上述未分配利润分回公
司，根据《中国人民共和国企业所得税法》第 24 条的规定，公司应按照母公司
与子公司之间的税率差补缴企业所得税，公司已按《企业会计准则第 18 号—所
得税》的规定在合并报表中确认了递延所得税负债及相应的所得税费用。截至到
2009 年 12 月 31 日，公司合并报表中确认的该项递延所得税负债金额为
4,296,825.33 元；2007 年、2008 年和 2009 年，公司合并报表由此确认的所得税费
用分别为1,335,389.65 元、1,040,135.86 和1,076,859.58 元。
境外子公司当地法律对其分红没有任何法律限制，海默国际和海默阿曼的利
润分配分别依据其《公司章程》和《设立协议》执行，均由各自的股东大会作出
决定，海默国际所在地阿联酋以及海默阿曼所在地阿曼均非外汇管制国家，对当
地公司的利润分配及分配的股利汇出本国没有法律限制，发行人对海默国际和海
默阿曼的利润分配均拥有绝对控制权。
八、持有5%以上股份的主要股东，作为股东的董事、监事、高级管理人员作出的重要
一、股东大会、董事会、监事会、独立董事、董事会秘书制度建立健全及运行情况160
三、公司近三年资金被控股股东、实际控制人的占用情况，或为控股股东、实际控制人
在本招股意向书中，除非另有说明，下列词语或简称具有以下涵义：
公司/本公司/ 指 兰州海默科技股份有限公司
指 兰州海默仪器制造有限责任公司，本公司前身
指 海默国际有限公司/ Haimo International FZE，本公
司设在阿联酋迪拜的全资子公司
指 海默科技（阿曼）有限公司/Haimo Technologies
& Company L.L.C.，本公司子公司海默国际设在
阿曼的控股子公司
指 中国油服有限公司/ China Oilserve FZCO，原本公
司控股子公司
指 海默国际有限公司也门分公司/Haimo International
FZE Yemen Branch，海默国际设在也门的分公司
指 东营海默仪器制造有限公司，本公司子公司海默
"
7,N_A,"公司/本公司/ 指 兰州海默科技股份有限公司
指 兰州海默仪器制造有限责任公司，本公司前身
指 海默国际有限公司/ Haimo International FZE，本公
司设在阿联酋迪拜的全资子公司
指 海默科技（阿曼）有限公司/Haimo Technologies
& Company L.L.C.，本公司子公司海默国际设在
阿曼的控股子公司
指 中国油服有限公司/ China Oilserve FZCO，原本公
司控股子公司
指 海默国际有限公司也门分公司/Haimo International
FZE Yemen Branch，海默国际设在也门的分公司
指 东营海默仪器制造有限公司，本公司子公司海默
油服的控股子公司
指 陕西海默油田服务有限公司，本公司设在陕西西
安的控股子公司
司 指 兰州海默科技股份有限公司北京分公司
指 兰州海默科技股份有限公司股东大会
指 兰州海默科技股份有限公司董事会
指 兰州海默科技股份有限公司监事会
指 上海共同创业投资有限公司，本公司主要发起人
之一
承销商 指 光大证券股份有限公司
师/竞天公诚 指 北京市竞天公诚律师事务所
计机构/国富 指 国富浩华会计师事务所有限公司
指 海默科技研制的一种低产油井测量装置
指 基于伽玛射线吸收原理的相分率测量仪表
指 一种差压式流量计
指 Health Safety and Environment/国际石油天然
气工业“健康安全和环保”通行管理体系
指 Schlumberger Ltd./全球最大的油田技术服务公
司/公司主要竞争对手之一
指 公司主要竞争对手之一/原奥斯陆证券交易所上
市公司，现已被美国艾默生电气全额收购
指 Agar Corporation/总部设在美国休斯敦的多相
流量计制造商/公司主要竞争对手之一
指 阿曼石油开发有限公司（Petroleum Development
Oman LLC）/阿曼政府控股并由壳牌管理的国家
石油公司/本公司主要客户
指 阿布扎比陆上石油公司（Abu Dhabi Company for
Onshore Operations）/阿布扎比国家石油公司
的全资子公司/本公司主要客户
指 阿布扎比海上石油公司（Abu Dhabi Marine
Operating Company ）/阿布扎比国家石油公司
的全资子公司/本公司主要客户
指 Petrofac E&C International Ltd/ 英 国
"
8,N_A,"市公司，现已被美国艾默生电气全额收购
指 Agar Corporation/总部设在美国休斯敦的多相
流量计制造商/公司主要竞争对手之一
指 阿曼石油开发有限公司（Petroleum Development
Oman LLC）/阿曼政府控股并由壳牌管理的国家
石油公司/本公司主要客户
指 阿布扎比陆上石油公司（Abu Dhabi Company for
Onshore Operations）/阿布扎比国家石油公司
的全资子公司/本公司主要客户
指 阿布扎比海上石油公司（Abu Dhabi Marine
Operating Company ）/阿布扎比国家石油公司
的全资子公司/本公司主要客户
指 Petrofac E&C International Ltd/ 英 国
Petrofac集团下属的公司，伦敦证券交易所上市
/本公司客户
指 荷兰皇家壳牌集团（Royal Dutch Shell），是世
界著名石油公司，总部位于荷兰海牙。荷兰皇家
壳牌集团由荷兰皇家石油与英国的壳牌两家公
司合并组成，在阿姆斯特丹、伦敦、纽约三地上
市
指 石油输出国组织/Organization of Petroleum
注：本招股意向书部分表格中单项数据加总数与表格合计数可能存在微小差异，均因计
算过程中的四舍五入所形成。
本概览仅对招股意向书全文作扼要提示。投资者作出投资决策前，应认真
阅读招股意向书全文。
中文名称： 兰州海默科技股份有限公司
英文名称： Lanzhou Haimo Technologies Co., Ltd.
住 所： 兰州市城关区张苏滩593号
注册资本： 4,800万元
法定代表人： 窦剑文
成立日期： 2000年12月18日
经营范围： 本企业自产产品及技术的出口业务；本企业所需的原辅材
料、仪器仪表、机械设备、零配件及技术的进口（国家限
定公司经营和国家禁止进出口的商品除外）；进料加工和
“三来一补”业务。机电产品（不含进口摄录像机）的批
发零售；油田技术服务；石油化工设备的销售；钻探施工
（前置许可的项目除外）。
邮政编码： 730010
电 话： 0931-8553388
传 真： 0931-8553789
互联网网址： http://www.haimo.com.cn
电子信箱： securities@haimo.com.cn
本公司是经甘肃省人民政府经济体制改革办公室甘体改函字[2000]043 号文
"
9,N_A,"法定代表人： 窦剑文
成立日期： 2000年12月18日
经营范围： 本企业自产产品及技术的出口业务；本企业所需的原辅材
料、仪器仪表、机械设备、零配件及技术的进口（国家限
定公司经营和国家禁止进出口的商品除外）；进料加工和
“三来一补”业务。机电产品（不含进口摄录像机）的批
发零售；油田技术服务；石油化工设备的销售；钻探施工
（前置许可的项目除外）。
邮政编码： 730010
电 话： 0931-8553388
传 真： 0931-8553789
互联网网址： http://www.haimo.com.cn
电子信箱： securities@haimo.com.cn
本公司是经甘肃省人民政府经济体制改革办公室甘体改函字[2000]043 号文
《关于设立兰州海默科技股份有限公司的复函》的批准，由兰州海默仪器制造有
限责任公司依法整体变更设立而成。本公司于 2000 年 12 月 18 日向甘肃省工商
行政管理局申请工商登记，营业执照注册号为 6200001051482，公司设立时股本
为4,000万股。2008 年3月，经本公司2008年第一次临时股东大会审议批准，以
截止 2008 年 3 月 25 日总股本 4,000 万股为基数，用经审计的部分未分配利润，
向全体股东每 10 股送红股 2 股，此次送股后，公司总股本由 4,000 万股变更为
4,800万股。
二、控股股东、实际控制人简要情况
本公司控股股东和实际控制人为自然人窦剑文，本次发行前窦剑文先生持有
公司股份14,747,520 股，占本公司发行前总股本的30.724%。窦剑文先生的简要情
况如下：
中国国籍，男，43 岁，中国科技大学近代物理系理学学士，哈佛大学商学
院第37期企业家总裁管理班(OPM37，2006-2008)毕业，公司主要创始人、核心技
术发明人。曾就职于中国科学院近代物理研究所，从事科学研究工作；1994年创
建兰州海默仪器制造有限责任公司并担任董事长兼总经理；2000 年 12 月至今，
担任兰州海默科技股份有限公司董事长兼总裁。
本公司的主营业务是多相流量计的研发、生产、销售和售后技术服务，利用
移动式多相流量计为油田客户提供油井生产计量、评价测试和勘探测试等服务
（统称“移动测井服务”或“多相测井服务”），以及与勘探测试相配套的钻井服
务。多相流量计的主要用途是在油田勘探和生产过程中对油井进行计量和测试；
"
