页码,表格,纯文本
0,N_A,"


牌交易出售公司股票数量不超过本人持有公司股票总数的
百分之五十。”
4、钱维玉与谢佐鹏承诺：“自风范股份股票在证券交
易所上市之日起36个月内，不转让或者委托他人管理本人
直接或者间接持有的风范股份公开发行股票前已发行的股
份，也不由风范股份回购本人直接或者间接持有的风范股
份公开发行股票前已发行的股份。除上述锁定期外，本人
在风范股份担任董事、监事、高级管理人员期间每年转让
的股份不超过本人所持有风范股份股份总数的百分之二十
五；离职后半年内，不转让本人所持有的风范股份股份，
并在本人离职六个月后的十二个月内通过证券交易所挂牌
交易出售公司股票数量不超过本人持有公司股票总数的百
分之五十。”
5、担任董事、监事及高级管理人员的自然人股东赵金
元、赵煜敏、桑琴华、朱群芬、范叙兴、杨理、赵月华承
诺：“本人于 2009 年 7 月 30 日成为风范股份股东，自风
范股份股票在证券交易所上市之日起12个月内，不转让或
者委托他人管理本人持有的风范股份公开发行股票前已发
行的股份，也不由风范股份回购本人持有的风范股份公开
发行股票前已发行的股份；如果自 2009 年 7 月 30 日至刊
登首次公开发行股票招股说明书之日不足12个月，自风范
股份股票在证券交易所上市之日起36个月内，不转让或者
委托他人管理本人持有的风范股份公开发行股票前已发行
的股份，也不由风范股份回购本人持有的风范股份公开发
行股票前已发行的股份。除上述锁定期外，本人在风范股
份担任董事、监事、高级管理人员期间每年转让的股份不
超过本人所持有风范股份股份总数的百分之二十五；离职
后半年内，不转让本人所持有的风范股份股份，并在本人
离职六个月后的十二个月内通过证券交易所挂牌交易出售
公司股票数量不超过本人持有公司股票总数的百分之五
十。”
6、其他自然人股东金国忠、周卫忠、邵建明、高卫东、
赵玉萍、廖承清、吴健、赵福民、顾振华、张利龙、顾小
蕾、顾晓友、徐国华、沈长兴、黄荣新、张建国、查凤球、
沈小刚、王瑞华、吴建军、王美英、陈金娣、谢锦玉、王
德乐、钟水根、沈晓红、夏海舟、杨玉兰承诺：“本人于
2009年7月30日成为风范股份股东，自风范股份股票在证
券交易所上市之日起12个月内，不转让或者委托他人管理
本人持有的风范股份公开发行股票前已发行的股份，也不
由风范股份回购本人持有的风范股份公开发行股票前已发
"
1,N_A,"后半年内，不转让本人所持有的风范股份股份，并在本人
离职六个月后的十二个月内通过证券交易所挂牌交易出售
公司股票数量不超过本人持有公司股票总数的百分之五
十。”
6、其他自然人股东金国忠、周卫忠、邵建明、高卫东、
赵玉萍、廖承清、吴健、赵福民、顾振华、张利龙、顾小
蕾、顾晓友、徐国华、沈长兴、黄荣新、张建国、查凤球、
沈小刚、王瑞华、吴建军、王美英、陈金娣、谢锦玉、王
德乐、钟水根、沈晓红、夏海舟、杨玉兰承诺：“本人于
2009年7月30日成为风范股份股东，自风范股份股票在证
券交易所上市之日起12个月内，不转让或者委托他人管理
本人持有的风范股份公开发行股票前已发行的股份，也不
由风范股份回购本人持有的风范股份公开发行股票前已发
行的股份；如果自 2009 年 7 月 30 日至刊登首次公开发行
股票招股说明书之日不足12个月，自风范股份股票在证券
交易所上市之日起36个月内，不转让或者委托他人管理本
人持有的风范股份公开发行股票前已发行的股份，也不由
风范股份回购本人持有的风范股份公开发行股票前已发行
的股份。”
7、法人股东浙江维科创业投资有限公司承诺：“本公
司于 2009 年 7 月 30 日成为风范股份股东，自风范股份股
票在证券交易所上市之日起12个月内，不转让或者委托他
人管理本公司持有的风范股份公开发行股票前已发行的股
份，也不由风范股份回购本公司持有的风范股份公开发行
股票前已发行的股份；如果自 2009 年 7 月 30 日至刊登首
次公开发行股票招股说明书之日不足12个月，自风范股份
股票在证券交易所上市之日起36个月内，不转让或者委托
他人管理本公司持有的风范股份公开发行股票前已发行的
股份，也不由风范股份回购本公司持有的风范股份公开发
行股票前已发行的股份。”
发行人及全体董事、监事、高级管理人员承诺招股说明书及其摘要不存在虚假
记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的
法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股说明书及其摘
要中财务会计报告真实、完整。
中国证券监督管理委员会、其他政府部门对本次发行所做的任何决定或意见，
均不表明其对本发行人股票的价值或投资者的收益作出实质性判断或者保证。任何
与之相反的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发行
"
2,N_A,"他人管理本公司持有的风范股份公开发行股票前已发行的
股份，也不由风范股份回购本公司持有的风范股份公开发
行股票前已发行的股份。”
发行人及全体董事、监事、高级管理人员承诺招股说明书及其摘要不存在虚假
记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的
法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股说明书及其摘
要中财务会计报告真实、完整。
中国证券监督管理委员会、其他政府部门对本次发行所做的任何决定或意见，
均不表明其对本发行人股票的价值或投资者的收益作出实质性判断或者保证。任何
与之相反的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发行
人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股说明书及其摘要存在任何疑问，应咨询自己的股票经纪人、
律师、会计师或其他专业顾问。
一、依据公司2010年第一次临时股东大会审议之议案：如本次公开发行并上市
事宜获得中国证监会核准，公司滚存利润及 2010年1月1日以后产生的利润将由股
票发行后新老股东按其持股比例共享。
二、本公司特别提醒投资者认真阅读本招股说明书的“风险因素”部分，并特
别注意下列风险：
（一）原材料价格大幅波动的风险
角钢、锌锭是公司生产所需的主要原材料。报告期内这两种原材料耗用成本占
当期营业成本的比重分别为66.40%、61.74%、61.70%和63.84%。其中角钢占当期营
业成本的比重分别为57.92%、56.18%、52.06%和46.15%，为公司最主要的原材料。
报告期内，钢材、锌锭的价格变动幅度较大。报告期内公司角钢的平均采购单价分
别为 3,417.45 元/吨、3,442.81 元/吨、4,416.94 元/吨和 3,356.03 元/吨，2009
年比2008年下降22.05%，2008年比2007年上升31.61%。
由于公司通常是“以销定产”，订单大都通过参加国网公司、南网公司等的招标
会取得，生产进度的安排也要配合客户输电线路项目的施工进度，公司与客户签订
供货协议后到安排生产一般有 3-6 个月的时间，合同签订后销售价格就已经确定，
此后原材料价格的波动对公司的生产成本影响很大，原材料价格变化对公司利润变
动的敏感性分析参见本招股书“第十一章 管理层讨论与分析”之“二、盈利能力分
"
3,N_A,"报告期内，钢材、锌锭的价格变动幅度较大。报告期内公司角钢的平均采购单价分
别为 3,417.45 元/吨、3,442.81 元/吨、4,416.94 元/吨和 3,356.03 元/吨，2009
年比2008年下降22.05%，2008年比2007年上升31.61%。
由于公司通常是“以销定产”，订单大都通过参加国网公司、南网公司等的招标
会取得，生产进度的安排也要配合客户输电线路项目的施工进度，公司与客户签订
供货协议后到安排生产一般有 3-6 个月的时间，合同签订后销售价格就已经确定，
此后原材料价格的波动对公司的生产成本影响很大，原材料价格变化对公司利润变
动的敏感性分析参见本招股书“第十一章 管理层讨论与分析”之“二、盈利能力分
析”之“（四）毛利率分析”。
（二）国家缩减电网建设投资规模的风险
输电线路铁塔是电力工业的配套产品，其行业发展与我国电力工业的发展和国
家的宏观经济政策密切相关。输电线路铁塔的用户主要是国家电网公司和南方电网
公司， 2009年、2008 年和2007年对国家电网公司及其关联企业的销售收入占发行
人主营业务收入比例分别达到70.86%、58.76%、72.84%，公司受益于电网建设投资
规模的扩大，但是如果未来国家宏观经济变化导致我国电力工业发展出现波动，国
家缩减对电网建设的投资将直接影响发行人国内业务的发展和经营业绩。
（三）市场竞争加剧的风险
目前我国铁塔制造企业有约 600 家，其中有资格参加国家电网公司招投标的企
业约80家。虽然公司目前竞争优势显著，已连续五年在国网公司的中标量居前三位，
拥有较高的行业地位，但由于本公司所处行业的进入门槛相对较低，同时由于近年
国家对电网建设的投资规模巨大，将吸引越来越多的企业进入本行业。因此，发行
人如不能加大技术创新和管理创新，持续优化产品结构，巩固发展自己的市场地位，
越来越激烈的市场竞争可能导致公司在国网公司、南网公司等重要客户招标会上的
中标数量下降、中标价格下降，从而导致公司市场占有率降低，盈利能力下降。
（四）资产负债率高的风险
2010 年 6 月 30 日、2009 年末、2008 年末和 2007 年末公司的资产负债率分别
为65.03%、72.69%、78.93%、77.95%，报告期内公司的资产负债率较高；公司主要
产品为输电线路铁塔，主要客户为国网公司及下属的各省网公司、南网公司及下属
"
4,N_A,"拥有较高的行业地位，但由于本公司所处行业的进入门槛相对较低，同时由于近年
国家对电网建设的投资规模巨大，将吸引越来越多的企业进入本行业。因此，发行
人如不能加大技术创新和管理创新，持续优化产品结构，巩固发展自己的市场地位，
越来越激烈的市场竞争可能导致公司在国网公司、南网公司等重要客户招标会上的
中标数量下降、中标价格下降，从而导致公司市场占有率降低，盈利能力下降。
（四）资产负债率高的风险
2010 年 6 月 30 日、2009 年末、2008 年末和 2007 年末公司的资产负债率分别
为65.03%、72.69%、78.93%、77.95%，报告期内公司的资产负债率较高；公司主要
产品为输电线路铁塔，主要客户为国网公司及下属的各省网公司、南网公司及下属
的各省网公司，输电线路建设投资规模大，建设周期长，导致公司销售合同的执行、
结算周期较长，公司所从事的行业资金密集的特点十分明显。尽管公司客户信用很
高，不按时还款或发生坏账的可能性较小，但持续较高的资产负债率，影响公司的
财务安全，如果银行惜贷或国家采取从紧的货币政策，公司不能及时取得银行贷款，
可能给公司资金周转带来重大影响，甚至发生资金链断裂，公司存在资产负债率高
引致的相关风险。
（五）毛利率大幅下降的风险
公司报告期内销售收入持续增长，毛利率分别为 27.92%、28.46%、20.25%和
15.44%，报告期内较高的毛利率主要在于公司对原材料价格变动的准确判断和对生
产成本的有效控制，也与近年来国家对电网建设投资规模的迅速增长紧密相关。但
市场竞争日益激烈，中标价格可能发生较大幅度的下降，对原材料价格变动趋势的
判断也存在较大的不确定性，如果中标价格不高，在原材料价格上涨幅度较大的情
况下，产品的毛利率可能大幅下降；公司产品的毛利率有下降的趋势，公司存在毛
利率大幅下降的风险。
（六）因客户延期收货带来损失的风险
公司在与客户签订合同后，往往会遇到客户因为种种原因延期下发加工图纸或
其他情形导致客户延期收货的情况。在此期间，如果原材料价格上涨、合同约定销
售价格又不能变更的情况下，会给公司带来一定的损失；与此同时，如果在此期间
原材料价格下跌，则会给公司带来相应的收益。报告期内，公司生产所用原材料价
格涨跌互现，公司亦采取了锁价采购等措施来规避风险，但公司仍然存在因客户延
期收货带来损失的风险。
"
5,N_A,"市场竞争日益激烈，中标价格可能发生较大幅度的下降，对原材料价格变动趋势的
判断也存在较大的不确定性，如果中标价格不高，在原材料价格上涨幅度较大的情
况下，产品的毛利率可能大幅下降；公司产品的毛利率有下降的趋势，公司存在毛
利率大幅下降的风险。
（六）因客户延期收货带来损失的风险
公司在与客户签订合同后，往往会遇到客户因为种种原因延期下发加工图纸或
其他情形导致客户延期收货的情况。在此期间，如果原材料价格上涨、合同约定销
售价格又不能变更的情况下，会给公司带来一定的损失；与此同时，如果在此期间
原材料价格下跌，则会给公司带来相应的收益。报告期内，公司生产所用原材料价
格涨跌互现，公司亦采取了锁价采购等措施来规避风险，但公司仍然存在因客户延
期收货带来损失的风险。
（七）存货余额较高和存货周转率大幅下降的风险
2010年6月30日、2009年末、2008年末和2007年末，公司存货分别为50,424.76
万元、64,868.56万元、45,919.67万元和20,055.15万元，占总资产的比例分别为
33.68%、41.64%、41.43%和26.66%；2010年1-6月、2009年、2008年和2007年存
货周转率分别为 0.90、1.46、2.12 和 3.63。公司按订单组织生产，存货不存在销
售风险，但报告期内存货量大、存货周转率大幅降低，占用了较多的流动资金，增
加了财务成本和财务风险，公司存在存货余额较大、存货周转率逐年大幅降低所引
致的风险。
（八）经营活动现金流相对紧张的风险
公司报告期内经营活动现金流相对紧张，2010 年 1-6 月经营活动产生现金净流
入458.02万元，2009年经营活动产生现金净流出4,915.23万元，2008年经营活动
产生现金净流入5,903.91万元，2007年经营活动产生现金净流出750.56万元。产
生这种情况的主要原因是由于行业总体经营特点和惯例、公司业务规模快速扩张和
锁价采购模式，属正常现象，但如果公司不能采取有效措施解决经营活动现金流相
对紧张的现象，可能会影响公司生产经营活动的正常开展，公司存在经营活动现金
流相对紧张导致的相关风险。
上述风险都直接或间接影响本公司的经营业绩，请投资者特别关注“风险因素”
一节中关于上述风险的内容。
七、董事、监事、高级管理人员、核心技术人员与公司签订的协议、所作承诺及其履行情
"
6,N_A,"入458.02万元，2009年经营活动产生现金净流出4,915.23万元，2008年经营活动
产生现金净流入5,903.91万元，2007年经营活动产生现金净流出750.56万元。产
生这种情况的主要原因是由于行业总体经营特点和惯例、公司业务规模快速扩张和
锁价采购模式，属正常现象，但如果公司不能采取有效措施解决经营活动现金流相
对紧张的现象，可能会影响公司生产经营活动的正常开展，公司存在经营活动现金
流相对紧张导致的相关风险。
上述风险都直接或间接影响本公司的经营业绩，请投资者特别关注“风险因素”
一节中关于上述风险的内容。
七、董事、监事、高级管理人员、核心技术人员与公司签订的协议、所作承诺及其履行情
二、发行人股东大会、董事会、监事会、独立董事和董事会秘书制度的建立健全及运行情
本招股说明书主要数值保留两位小数，若出现总数与各分项数值之和尾数不符
的情况，均为四舍五入原因造成。
重要提示
本概览仅对招股说明书全文做扼要提示。投资者作出投资决
策前，应认真阅读招股说明书全文。
一、发行人简要情况
企业名称： 常熟风范电力设备股份有限公司
注册资本： 16,470万元
法定代表人： 范建刚
公司设立日期： 1993年7月15日
整体变更为股份公司日期：2009年8月31日
注册地址： 常熟市尚湖镇工业集中区西区人民南路8号
邮政编码： 215554
电话： 0512-52402888
传真： 0512-52401600
公司经营范围： 输变电铁塔、风力发电设备、通讯铁塔、钢杆管、
钢结构件、电力设备研发、加工、制造，本企业自
产的输变电铁塔、通讯铁塔、钢结构件的出口业务；
本企业生产、科研所需的原辅材料、机械设备、仪
器仪表、零配件的进口业务。
（一）发行人简介
发行人是国内少数几个能生产目前最高电压等级 1000KV 输电线路铁塔的企业
之一，也是国内少数几家拥有自主知识产权并生产复合材料绝缘杆塔的企业，曾分
别为国内第一条交流500KV同塔四回、第一条交流750KV和第一条交流1000KV输电
线路提供铁塔产品；在国家电网公司铁塔产品招标中公司是唯一连续五年居行业前
三位的企业，2009年公司以10.34万吨的中标量跃居行业首位。
公司始建于1993年，经过十几年的发展，目前已发展成为总占地面积约437,961
平方米、员工1,700余名、具备年产铁塔产品约20万吨能力的铁塔行业龙头企业之
"
7,N_A,"本企业生产、科研所需的原辅材料、机械设备、仪
器仪表、零配件的进口业务。
（一）发行人简介
发行人是国内少数几个能生产目前最高电压等级 1000KV 输电线路铁塔的企业
之一，也是国内少数几家拥有自主知识产权并生产复合材料绝缘杆塔的企业，曾分
别为国内第一条交流500KV同塔四回、第一条交流750KV和第一条交流1000KV输电
线路提供铁塔产品；在国家电网公司铁塔产品招标中公司是唯一连续五年居行业前
三位的企业，2009年公司以10.34万吨的中标量跃居行业首位。
公司始建于1993年，经过十几年的发展，目前已发展成为总占地面积约437,961
平方米、员工1,700余名、具备年产铁塔产品约20万吨能力的铁塔行业龙头企业之
一。公司目前从事输电线路铁塔和复合材料绝缘杆塔的研发、设计、生产和销售，
主要产品有输电线路铁塔、变电构支架和复合材料绝缘杆塔，输电线路铁塔主要包
括1000KV、750KV和500KV及以下输电线路铁塔产品，其中500KV 和750KV输电线
路铁塔产品占据主导地位。
凭借领先的技术、优越的品质和完善的售后服务，公司产品在国内市场行销超
过20个省市，国际市场上公司产品主要销往澳大利亚、东南亚、非洲等国家和地区，
目前在澳大利亚公司产品已经占有较高的市场份额。多年来，公司在输电线路铁塔
行业完成了许多重大工程，创造了一系列的业内纪录，主要包括：
1、2000年，在国际招标的500KV江阴大跨越工程铁塔招标中，公司一举中标，
成功生产了四基锚塔，并协同江南造船厂加工了两基大跨越铁塔，江阴大跨越塔总
高346.50米，单基重量4,000吨，为世界上塔身最高的输电线路铁塔。
2、2003 年，公司为西藏那安线工程提供铁塔产品 1,207 吨，为目前世界上海
拔最高的输电线路铁塔。
3、2005 年 3 月，公司在国内首条 750KV 官兰线示范工程中中标，为官兰线提
供铁塔产品。
4、2005年12月，公司在国内第一条500KV同塔四回路利锡线示范工程中中标，
线路总长80千米，总重量19,939吨，该线路全部铁塔产品均由公司生产。
5、2007年，公司作为主要参与方为国家电网公司第一条1000KV晋南荆特高压
交流试验示范工程生产铁塔，为1000KV晋东南变电站提供变电构支架，并被评为“新
中国成立六十周年百项经典暨精品工程”。
6、2008年，公司参加国网电力建设研究院组织的1000KV淮南至上海特高压钢
"
8,N_A,"高346.50米，单基重量4,000吨，为世界上塔身最高的输电线路铁塔。
2、2003 年，公司为西藏那安线工程提供铁塔产品 1,207 吨，为目前世界上海
拔最高的输电线路铁塔。
3、2005 年 3 月，公司在国内首条 750KV 官兰线示范工程中中标，为官兰线提
供铁塔产品。
4、2005年12月，公司在国内第一条500KV同塔四回路利锡线示范工程中中标，
线路总长80千米，总重量19,939吨，该线路全部铁塔产品均由公司生产。
5、2007年，公司作为主要参与方为国家电网公司第一条1000KV晋南荆特高压
交流试验示范工程生产铁塔，为1000KV晋东南变电站提供变电构支架，并被评为“新
中国成立六十周年百项经典暨精品工程”。
6、2008年，公司参加国网电力建设研究院组织的1000KV淮南至上海特高压钢
管组合塔调研工作，并参与设计、研讨特高压钢管组合塔的节点优化、高颈法兰的
选型及焊接工艺等课题，公司成功生产出SZT2钢管组合塔，填补了国内空白。
7、2009年12月，公司自行研发、生产的绝缘复合材料的高压杆塔在国家电网
公司“两型三新”示范工程——江苏连云港供电公司 220KV 茅蔷线改造工程竣工投
运。该线路是国内首条采用绝缘复合材料的高压杆塔线路，开创了电力材料应用新
的里程碑。
（二）控股股东和实际控制人
发行人控股股东和实际控制人为范建刚，范建刚持有本公司40.2295%的股份，
现任公司董事长。有关范建刚的简要情况详见本招股说明书“第八章 董事、监事、
高级管理人员与核心技术人员”之“一、董事、监事、高级管理人员、核心技术人
员简介”之“（一）董事”。
二、发行人主要财务数据
发行人2007年、2008 年、2009年、2010年1-6月财务报告已经立信会计师事
务所审计，并出具了信会师报字(2010)第25521 号审计报告，以下财务数据均摘自
业经审计的财务报告或据此计算得出：
（一）合并资产负债表主要数据
（一）合并资产负债表主要数据
注：已根据《企业会计准则——每股收益》，按调整后的股本重新计算2007年-2010年1-6
月的每股收益、每股净资产、每股经营活动的现金流量指标。
发行人发行募集资金拟投资于以下项目：

本次发行募集资金全部用于公司主营业务相关的项目及主营业务发展所需的运
营资金。如实际募集资金不足以投资以上项目，项目资金缺口由公司自筹解决。募
"
9,N_A,"二、发行人主要财务数据
发行人2007年、2008 年、2009年、2010年1-6月财务报告已经立信会计师事
务所审计，并出具了信会师报字(2010)第25521 号审计报告，以下财务数据均摘自
业经审计的财务报告或据此计算得出：
（一）合并资产负债表主要数据
（一）合并资产负债表主要数据
注：已根据《企业会计准则——每股收益》，按调整后的股本重新计算2007年-2010年1-6
月的每股收益、每股净资产、每股经营活动的现金流量指标。
发行人发行募集资金拟投资于以下项目：

本次发行募集资金全部用于公司主营业务相关的项目及主营业务发展所需的运
营资金。如实际募集资金不足以投资以上项目，项目资金缺口由公司自筹解决。募
集资金到位之前，公司可先自筹适当资金投入项目，如果自筹资金来源于银行借款，
募集资金到位后将优先偿还该项目的银行借款。
、发行人与本次发行有关中介机构关系的情况
截至本招股说明书签署之日，发行人与本次发行的有关中介机构及其负责人、
高级管理人员及经办人员之间不存在直接或间接的股权关系或其他权益关系。
四、与本次发行上市有关的重要日期
投资者在评价发行人本次发售的股票时，除本招股说明书提供的其它资料外，
应特别认真地考虑下述各项风险因素。下述风险因素根据重要性原则或可能影响投
资者决策的程度大小排序，该排序并不表示风险因素依次发生。
一、原材料价格大幅波动的风险
角钢、锌锭是公司生产所需的主要原材料。报告期内这两种原材料耗用成本占
当期营业成本的比重分别为66.40%、61.74%、61.70%和63.84%。其中角钢占当期营
业成本的比重分别为57.92%、56.18%、52.06%和46.15%，为公司最主要的原材料。
报告期内，钢材、锌锭的价格变动幅度较大。报告期内公司角钢的平均采购单价分
别为 3,417.45 元/吨、3,442.81 元/吨、4,416.94 元/吨和 3,356.03 元/吨，2009
年比2008年下降22.05%，2008年比2007年上升31.61%。
由于公司通常是“以销定产”，订单大都通过参加国网公司、南网公司等的招标
会取得，生产进度的安排也要配合客户输电线路项目的施工进度，公司与客户签订
供货协议后到安排生产一般有 3-6 个月的时间，合同签订后销售价格就已经确定，
此后原材料价格的波动对公司的生产成本影响很大，公司利润变动对原材料价格变
"
