页码,表格,纯文本
0,N_A,"首次公开发行股票招股意向书
（住所：济南市市中区经七路 86 号
发行人及全体董事、监事、高级管理人员承诺招股意向书及其摘要不存在虚
假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连
带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及其
摘要中财务会计资料真实、完整。
保荐人承诺因其为发行人首次公开发行股票制作、出具的文件有虚假记载、
误导性陈述或者重大遗漏，给投资者造成损失的，将先行赔偿投资者损失。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其
对发行人股票的价值或投资者的收益作出实质性判断或保证。任何与之相反的声
明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、会计师或其他专业顾问。
公司经营发展面临诸多风险。公司特别提请投资者注意，在作出投资决策之
前，务必仔细阅读本招股意向书“风险因素”章节的全部内容，并特别关注以下
重要事项及公司风险：
本次公开发行股票数量不超过 4,000万股，发行数量占公司发行后总股本的
比例不低于25%，本次发行全部为新股发行，原股东不公开发售股份。
二、本次发行前股东所持股份的流通限制及自愿锁定股份的
承诺
本公司控股股东、实际控制人陈竞宏先生承诺：“自华达科技股票上市之日
起三十六个月内，不转让或者委托他人管理本次发行前本人已持有的华达科技股
份，也不由华达科技回购本人直接或间接持有的该部分股份。若华达科技上市后
6 个月内股票连续 20 个交易日的收盘价均低于发行价（自华达科技股票上市至
本人减持期间，华达科技如有派息、送股、资本公积金转增股本、配股等除权除
息事项，减持底价下限和股份数将相应进行调整，下同），或者上市后 6个月期
末收盘价低于发行价的，则本人直接或间接持有的华达科技股票锁定期限自动延
长6个月。在上述禁售期满后，本人在华达科技担任董事、监事、高级管理人员
期间，每年转让的股份不超过直接或间接持有的华达科技股份总数的百分之二十
五，离职后半年内，不转让直接或间接持有的华达科技股份。本人所持股票在锁
定期届满后两年内减持的，减持价格不低于发行价。”
本公司自然人股东葛江宏、刘丹群、朱世民、许霞承诺：“自华达科技股票
"
1,N_A,"份，也不由华达科技回购本人直接或间接持有的该部分股份。若华达科技上市后
6 个月内股票连续 20 个交易日的收盘价均低于发行价（自华达科技股票上市至
本人减持期间，华达科技如有派息、送股、资本公积金转增股本、配股等除权除
息事项，减持底价下限和股份数将相应进行调整，下同），或者上市后 6个月期
末收盘价低于发行价的，则本人直接或间接持有的华达科技股票锁定期限自动延
长6个月。在上述禁售期满后，本人在华达科技担任董事、监事、高级管理人员
期间，每年转让的股份不超过直接或间接持有的华达科技股份总数的百分之二十
五，离职后半年内，不转让直接或间接持有的华达科技股份。本人所持股票在锁
定期届满后两年内减持的，减持价格不低于发行价。”
本公司自然人股东葛江宏、刘丹群、朱世民、许霞承诺：“自华达科技股票
上市交易之日起十二个月内，不转让或者委托他人管理本人直接或间接持有的华
达科技公开发行股票前已发行股份，也不由华达科技回购本人直接或间接持有的
该部分股份。若华达科技上市后 6 个月内股票连续 20 个交易日的收盘价均低于
发行价（自华达科技股票上市至本人减持期间，华达科技如有派息、送股、资本
公积金转增股本、配股等除权除息事项，减持底价下限和股份数将相应进行调整，
下同），或者上市后 6个月期末收盘价低于发行价的，则本人直接或间接持有的
华达科技股票锁定期限自动延长 6个月。在上述禁售期满后，本人在华达科技担
任董事、监事、高级管理人员期间，每年转让的股份不超过直接或间接持有的华
达科技股份总数的百分之二十五，离职后半年内，不转让直接或间接持有的华达
科技股份。本人所持股票在锁定期届满后两年内减持的，减持价格不低于发行
价。”
、公司股票上市后稳定股价的预案
发行人第一届董事会第三次会议及 2014 年第一次临时股东大会审议通过
《华达汽车科技股份有限公司稳定股价预案》（以下称为“稳定股价预案”），
2016年 12月2日发行人第二届董事会第三次会议，审议并通过《关于修改并重
新制定稳定公司股价预案的议案》。发行人控股股东、实际控制人及发行人相关
的董事和高级管理人员签署了自愿履行稳定股价预案的承诺函，稳定股价预案的
主要内容如下：
1、启动稳定股价措施的条件
发行人上市后三年内，如发行人股票连续 20 个交易日除权后的收盘价均低
于发行人上一会计年度经审计的除权后每股净资产值（以下简称“启动条件”），
"
2,N_A,"科技股份。本人所持股票在锁定期届满后两年内减持的，减持价格不低于发行
价。”
、公司股票上市后稳定股价的预案
发行人第一届董事会第三次会议及 2014 年第一次临时股东大会审议通过
《华达汽车科技股份有限公司稳定股价预案》（以下称为“稳定股价预案”），
2016年 12月2日发行人第二届董事会第三次会议，审议并通过《关于修改并重
新制定稳定公司股价预案的议案》。发行人控股股东、实际控制人及发行人相关
的董事和高级管理人员签署了自愿履行稳定股价预案的承诺函，稳定股价预案的
主要内容如下：
1、启动稳定股价措施的条件
发行人上市后三年内，如发行人股票连续 20 个交易日除权后的收盘价均低
于发行人上一会计年度经审计的除权后每股净资产值（以下简称“启动条件”），
则发行人及相关方应启动稳定股价措施。
2、稳定股价的具体措施
（1）发行人回购股份
①发行人为稳定股价之目的回购股份，应符合相关法律、法规的规定，且不
应导致发行人股权分布不符合上市条件。
②发行人董事会对回购股份做出决议，须经全体董事二分之一以上表决通
过，发行人董事承诺就该等回购股份的相关决议投赞成票。
③发行人股东大会对回购股份做出决议，须经出席会议的股东所持表决权的
三分之二以上通过，发行人控股股东承诺就该等回购事宜在股东大会中投赞成
票。
④发行人为稳定股价之目的进行股份回购的，除应符合相关法律、法规之要
求之外，还应符合下列各项：
A、发行人用于回购股份的资金总额累计不超过发行人首次公开发行股票所
募集资金的总额；
B、回购股票的价格不高于上一会计年度经审计的除权后每股净资产值；
C、发行人单次用于回购股份的资金不得低于人民币 1,000万元；
D、发行人单次回购股份不超过发行人总股本的 2%。
E、发行人用于回购的资金应当从公司的税后利润中支出。
F、上述回购的公司股票不超过股本总额 5%的部分，依据《公司法》的规定，
可以奖励给公司职工；超过股本总额 5%的部分，将全部注销，并在工商管理部
门办理减资。
⑤发行人董事会公告回购股份预案后，发行人股票若连续 5个交易日收盘价
均超过发行人上一会计年度经审计的除权后每股净资产值，发行人董事会应做出
决议终止回购股份事宜，且在未来 3个月内不再启动股份回购事宜。
（2）控股股东增持股份
①下列任一条件发生时，发行人控股股东应在符合《上市公司收购管理办法》
"
3,N_A,"C、发行人单次用于回购股份的资金不得低于人民币 1,000万元；
D、发行人单次回购股份不超过发行人总股本的 2%。
E、发行人用于回购的资金应当从公司的税后利润中支出。
F、上述回购的公司股票不超过股本总额 5%的部分，依据《公司法》的规定，
可以奖励给公司职工；超过股本总额 5%的部分，将全部注销，并在工商管理部
门办理减资。
⑤发行人董事会公告回购股份预案后，发行人股票若连续 5个交易日收盘价
均超过发行人上一会计年度经审计的除权后每股净资产值，发行人董事会应做出
决议终止回购股份事宜，且在未来 3个月内不再启动股份回购事宜。
（2）控股股东增持股份
①下列任一条件发生时，发行人控股股东应在符合《上市公司收购管理办法》
等法律、法规的条件和要求的前提下，对发行人股票进行增持：
A、发行人回购股份方案实施期限届满之日后的连续 10个交易日除权后的发
行人股票收盘价均低于发行人上一会计年度经审计的除权后每股净资产值；
B、发行人回购股份方案实施完毕之日起的 3个月内启动条件再次被触发。
②控股股东单次增持总金额不应少于人民币 1,000万元，但单次增持发行人
股份数量不超过发行人总股本的 2%。
③控股股东在增持计划实施期间及法定期限内不减持其持有的公司股份。
（3）董事、高级管理人员增持股份
①下列任一条件发生时，届时在发行人领取薪酬的发行人董事（不包括独立
董事）、高级管理人员应在符合《上市公司收购管理办法》等法律、法规的条件
和要求的前提下，对发行人股票进行增持：
A、控股股东增持股份方案实施期限届满之日后的连续 10 个交易日除权后
发行人股票收盘价均低于发行人上一会计年度经审计的除权后每股净资产值；
B、控股股东增持股份方案实施完毕之日起的 3个月内启动条件再次被触发。
②有义务增持股份的发行人董事、高级管理人员承诺，用于增持发行人股份
的货币资金不少于该等董事、高级管理人员个人上年度薪酬的 30%，但不超过该
等董事、高级管理人员个人上年度薪酬的 50%，在增持计划实施期间及法定期限
内不减持其持有的公司股份。发行人全体董事、高级管理人员对该等增持义务的
履行承担连带责任。
公司将履行上述稳定股价义务的相应承诺作为未来聘任公司董事（不包括独
立董事）和高级管理人员的必要条件，并在将来新聘该等人员时，要求其就此做
出书面承诺。
公司及相关主体采取实施稳定股价措施时应以维护公司上市地位，保护公司
"
4,N_A,"发行人股票收盘价均低于发行人上一会计年度经审计的除权后每股净资产值；
B、控股股东增持股份方案实施完毕之日起的 3个月内启动条件再次被触发。
②有义务增持股份的发行人董事、高级管理人员承诺，用于增持发行人股份
的货币资金不少于该等董事、高级管理人员个人上年度薪酬的 30%，但不超过该
等董事、高级管理人员个人上年度薪酬的 50%，在增持计划实施期间及法定期限
内不减持其持有的公司股份。发行人全体董事、高级管理人员对该等增持义务的
履行承担连带责任。
公司将履行上述稳定股价义务的相应承诺作为未来聘任公司董事（不包括独
立董事）和高级管理人员的必要条件，并在将来新聘该等人员时，要求其就此做
出书面承诺。
公司及相关主体采取实施稳定股价措施时应以维护公司上市地位，保护公司
及广大投资者利益为原则，遵循法律、法规及证券交易所的相关规定，并应按照
上海证券交易所上市规则及其他适用的监管规定履行其相应的信息披露义务。
3、责任追究和约束机制
自股价稳定预案触发之日起，公司董事会应在 5 个交易日内召开董事会会
议，并及时公告将采取的具体措施并履行后续法律程序。董事会不履行上述义务
的，全体董事以上一年度薪酬为限对流通股东承担赔偿责任。
华达科技未履行上述股价稳定义务的，以其承诺的最大回购金额为限对流通
股东承担赔偿责任。
若控股股东未履行或未完全履行上述稳定股价义务，则公司有权将与控股股
东应增持股份的增持资金总额减去其当次增持计划已投入的增持资金后的金额
相等金额的应付控股股东该年度及以后年度的税后薪酬或现金分红予以暂扣，直
至控股股东履行本预案项下的增持义务及其他相关义务。
若公司董事和高级管理人员未履行或未完全履行上述稳定股价义务，则公司
有权将与该等董事和高级管理人员应增持股份的增持资金总额减去其当次增持
计划已投入的增持资金后的金额相等金额的应付其的税后薪酬或现金分红予以
暂扣，直至该等董事及高级管理人员履行本预案项下的增持义务及其他义务。
四、关于信息披露责任的承诺
（一）发行人的相关承诺
发行人承诺：
本公司承诺本次发行并上市的《招股意向书》不存在虚假记载、误导性陈述
或重大遗漏，并对其真实性、准确性和完整性承担个别和连带的法律责任。
若在投资者缴纳股票申购款后且本公司股票尚未上市交易前，因本次发行并
上市的《招股意向书》有虚假记载、误导性陈述或者重大遗漏，对判断本公司是
"
5,N_A,"若公司董事和高级管理人员未履行或未完全履行上述稳定股价义务，则公司
有权将与该等董事和高级管理人员应增持股份的增持资金总额减去其当次增持
计划已投入的增持资金后的金额相等金额的应付其的税后薪酬或现金分红予以
暂扣，直至该等董事及高级管理人员履行本预案项下的增持义务及其他义务。
四、关于信息披露责任的承诺
（一）发行人的相关承诺
发行人承诺：
本公司承诺本次发行并上市的《招股意向书》不存在虚假记载、误导性陈述
或重大遗漏，并对其真实性、准确性和完整性承担个别和连带的法律责任。
若在投资者缴纳股票申购款后且本公司股票尚未上市交易前，因本次发行并
上市的《招股意向书》有虚假记载、误导性陈述或者重大遗漏，对判断本公司是
否符合法律规定的发行条件构成重大、实质影响的，对于首次公开发行的全部新
股，本公司将按照投资者所缴纳股票申购款加该期间内利息（按照银行 1年期存
款利率计算），对已缴纳股票申购款的投资者进行退款。
若在本公司首次公开发行的股票上市交易后，因本公司本次发行并上市的
《招股意向书》有虚假记载、误导性陈述或者重大遗漏，导致对判断本公司是否
符合法律规定的发行条件构成重大、实质影响的，本公司将依法回购首次公开发
行的全部新股，回购价格不低于回购公告前 30 个交易日该种股票每日加权平均
价的算术平均值，并根据相关法律、法规规定的程序实施。上述回购实施时法律
法规另有规定的从其规定。本公司将及时提出预案，并提交董事会、股东大会讨
论。
若因本公司本次发行并上市的《招股意向书》有虚假记载、误导性陈述或者
重大遗漏，致使投资者在证券交易中遭受损失的，本公司将依法赔偿投资者损失。
在该等违法事实被中国证监会、证券交易所或司法机关认定后，本公司将本
着主动沟通、尽快赔偿、切实保障投资者特别是中小投资者利益的原则，按照投
资者在证券交易中直接遭受的可测算的经济损失选择与投资者沟通赔偿。
（二）发行人实际控制人、控股股东的相关承诺
公司实际控制人、控股股东陈竞宏先生承诺：
本次发行并上市的《招股意向书》不存在虚假记载、误导性陈述或重大遗漏，
并对其真实性、准确性和完整性承担个别和连带的法律责任。
若在投资者缴纳股票申购款后且发行人股票尚未上市交易前，因发行人本次
发行并上市的《招股意向书》有虚假记载、误导性陈述或者重大遗漏，对判断发
行人是否符合法律规定的发行条件构成重大、实质影响的，对于已转让的原限售
"
6,N_A,"在该等违法事实被中国证监会、证券交易所或司法机关认定后，本公司将本
着主动沟通、尽快赔偿、切实保障投资者特别是中小投资者利益的原则，按照投
资者在证券交易中直接遭受的可测算的经济损失选择与投资者沟通赔偿。
（二）发行人实际控制人、控股股东的相关承诺
公司实际控制人、控股股东陈竞宏先生承诺：
本次发行并上市的《招股意向书》不存在虚假记载、误导性陈述或重大遗漏，
并对其真实性、准确性和完整性承担个别和连带的法律责任。
若在投资者缴纳股票申购款后且发行人股票尚未上市交易前，因发行人本次
发行并上市的《招股意向书》有虚假记载、误导性陈述或者重大遗漏，对判断发
行人是否符合法律规定的发行条件构成重大、实质影响的，对于已转让的原限售
股份，本人将按照投资者所缴纳股票申购款加该期间内利息（按照银行 1 年期
存款利率计算），对已缴纳股票申购款的投资者进行退款。
若在发行人首次公开发行的股票上市交易后，因发行人本次发行并上市《招
股意向书》有虚假记载、误导性陈述或者重大遗漏，导致对判断发行人是否符合
法律规定的发行条件构成重大、实质影响的，本人将依法购回已转让的原限售股
份，购回价格不低于回购公告前 30 个交易日该种股票每日加权平均价的算术平
均值，并根据相关法律法规规定的程序实施。上述购回实施时法律法规另有规定
的从其规定。本人将及时向发行人提出预案，并提交董事会、股东大会讨论。
若因发行人本次发行并上市的《招股意向书》有虚假记载、误导性陈述或者
重大遗漏，致使投资者在证券交易中遭受损失的，本人将依法赔偿投资者损失。
在该等违法事实被中国证监会、证券交易所或司法机关认定后，本人将本着主动
沟通、尽快赔偿、切实保障投资者特别是中小投资者利益的原则，按照投资者在
证券交易中直接遭受的可测算的经济损失选择与投资者沟通赔偿，通过设立投资
者赔偿基金等方式积极赔偿投资者由此遭受的直接经济损失。
若本人未履行上述购回或赔偿义务，则在履行承诺前，本人直接或间接所持
的发行人股份不得转让。
（三）董事、监事、高级管理人员的相关承诺
发行人董事、监事、高级管理人员承诺：
本人承诺发行人本次发行并上市的《招股意向书》不存在虚假记载、误导性
陈述或重大遗漏，并对其真实性、准确性和完整性承担个别和连带的法律责任。
若因发行人本次发行并上市《招股意向书》有虚假记载、误导性陈述或者重
大遗漏，致使投资者在证券交易中遭受损失的，本人将依法赔偿投资者损失。在
"
7,N_A,"沟通、尽快赔偿、切实保障投资者特别是中小投资者利益的原则，按照投资者在
证券交易中直接遭受的可测算的经济损失选择与投资者沟通赔偿，通过设立投资
者赔偿基金等方式积极赔偿投资者由此遭受的直接经济损失。
若本人未履行上述购回或赔偿义务，则在履行承诺前，本人直接或间接所持
的发行人股份不得转让。
（三）董事、监事、高级管理人员的相关承诺
发行人董事、监事、高级管理人员承诺：
本人承诺发行人本次发行并上市的《招股意向书》不存在虚假记载、误导性
陈述或重大遗漏，并对其真实性、准确性和完整性承担个别和连带的法律责任。
若因发行人本次发行并上市《招股意向书》有虚假记载、误导性陈述或者重
大遗漏，致使投资者在证券交易中遭受损失的，本人将依法赔偿投资者损失。在
该等违法事实被中国证监会、证券交易所或司法机关认定后，本人将本着主动沟
通、尽快赔偿、切实保障投资者特别是中小投资者利益的原则，按照投资者在证
券交易中直接遭受的可测算的经济损失选择与投资者沟通赔偿，通过设立投资者
赔偿基金等方式积极赔偿投资者由此遭受的直接经济损失。
若本人未履行上述赔偿义务，则在履行承诺前，本人直接或间接所持的发行
人股份（如有）不得转让。
（四）中介机构的相关承诺
保荐机构承诺：“因本保荐机构为发行人首次公开发行制作、出具的文件有
虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，本保荐机构将先行
赔偿投资者损失。”
发行人律师承诺：“本所作为华达汽车科技股份有限公司（以下简称“发行
人”）首次公开发行股票并上市的律师服务机构，根据《中国证监会关于进一步
推进新股发行体制改革的意见》，本所郑重承诺：如因本所为华达汽车科技股份
有限公司首次公开发行股票制作、出具的文件有虚假记载、误导性陈述或者重大
遗漏，给投资者造成损失的，经司法机关生效判决认定后，本所将依法赔偿投资
者因本所制作、出具的文件所载内容有虚假记载、误导性陈述或者重大遗漏而遭
受的损失。
有权获得赔偿的投资者资格、损失计算标准、赔偿主体之间的责任划分和免
责事由等，按照《证券法》、《最高人民法院关于审理证券市场因虚假陈述引发
的民事赔偿案件的若干规定》（法释[2003]2 号）等相关法律法规的规定执行，
如相关法律法规相应修订，则按届时有效的法律法规执行。
本所将严格履行生效司法文书确定的赔偿责任，并接受社会监督，确保投资
者合法权益得到有效保护。”
"
8,N_A,"推进新股发行体制改革的意见》，本所郑重承诺：如因本所为华达汽车科技股份
有限公司首次公开发行股票制作、出具的文件有虚假记载、误导性陈述或者重大
遗漏，给投资者造成损失的，经司法机关生效判决认定后，本所将依法赔偿投资
者因本所制作、出具的文件所载内容有虚假记载、误导性陈述或者重大遗漏而遭
受的损失。
有权获得赔偿的投资者资格、损失计算标准、赔偿主体之间的责任划分和免
责事由等，按照《证券法》、《最高人民法院关于审理证券市场因虚假陈述引发
的民事赔偿案件的若干规定》（法释[2003]2 号）等相关法律法规的规定执行，
如相关法律法规相应修订，则按届时有效的法律法规执行。
本所将严格履行生效司法文书确定的赔偿责任，并接受社会监督，确保投资
者合法权益得到有效保护。”
申报会计师承诺：“根据《证券法》等法律、法规和中国证监会的有关规定，
按照中国注册会计师执业准则和中国注册会计师职业道德守则的要求，致同会计
师事务所（特殊普通合伙）（以下简称“致同”）为华达汽车科技股份有限公司
（以下简称“发行人”）申请首次公开发行股票并上市依法出具相关文件，致同
所保证所出具文件的真实性、准确性和完整性。
因致同为发行人首次公开发行制作、出具的文件有虚假记载、误导性陈述或
者重大遗漏，给投资者造成损失的，在该等违法事实被认定后，将依法赔偿投资
者损失。”
资产评估机构承诺：“若监管部门认定因本机构为发行人首次公开发行制作、
出具的文件有虚假记载、误导性陈述或者重大遗漏，给投资者造成损失的，本机
构将依照相关法律、法规规定承担民事赔偿责任，赔偿投资者损失。”
五、公开发行前持有发行人股份 5%以上股东的减持意向
（一）控股股东陈竞宏的减持意向
本公司控股股东陈竞宏承诺：本人在锁定期满后两年内直接或间接减持华达
科技股票的，每年减持的数量不超过上一年末本人直接或间接所持华达科技股票
数量的25%，减持价格不低于本次发行价格。若华达科技在本次发行并上市后有
派息、送股、资本公积转增股本等除权除息事项的，减持底价下限和股份数将相
应进行调整。本人减持直接或间接所持华达科技股份时，应提前 5个交易日将减
持意向和拟减持数量等信息以书面方式通知华达科技，并由华达科技及时予以公
告，自华达科技公告之日起 3个交易日后，本人方可减持华达科技股份。
（二）其他持有发行人 5%以上股份股东的减持意向
除陈竞宏外，持有本公司 5%以上股份的股东葛江宏、刘丹群承诺：本人在
"
9,N_A,"五、公开发行前持有发行人股份 5%以上股东的减持意向
（一）控股股东陈竞宏的减持意向
本公司控股股东陈竞宏承诺：本人在锁定期满后两年内直接或间接减持华达
科技股票的，每年减持的数量不超过上一年末本人直接或间接所持华达科技股票
数量的25%，减持价格不低于本次发行价格。若华达科技在本次发行并上市后有
派息、送股、资本公积转增股本等除权除息事项的，减持底价下限和股份数将相
应进行调整。本人减持直接或间接所持华达科技股份时，应提前 5个交易日将减
持意向和拟减持数量等信息以书面方式通知华达科技，并由华达科技及时予以公
告，自华达科技公告之日起 3个交易日后，本人方可减持华达科技股份。
（二）其他持有发行人 5%以上股份股东的减持意向
除陈竞宏外，持有本公司 5%以上股份的股东葛江宏、刘丹群承诺：本人在
锁定期满后两年内减持华达科技股票的，每年减持的数量不超过上一年末本人直
接或间接所持华达科技股票数量的 25%，减持价格不低于发行价。若华达科技在
本次发行并上市后有派息、送股、资本公积转增股本等除权除息事项的，减持底
价下限和股份数将相应进行调整。本人减持直接或间接所持华达科技股份时，应
提前5个交易日将减持意向和拟减持数量等信息以书面方式通知华达科技，并由
华达科技及时予以公告，自华达科技公告之日起 3个交易日后，本人方可减持华
达科技股份。
（二）其他持有发行人 5%以上股份股东的减持意向
六、发行人、发行人控股股东、实际控制人及发行人全体董
事、监事、高级管理人员关于未能履行承诺的约束措施
公司承诺：本公司将严格履行本公司就首次公开发行人民币普通股股票并上
市所作出的所有公开承诺事项，积极接受社会监督。
1、如本公司非因不可抗力原因导致未能履行公开承诺事项的，需提出新的
承诺（相关承诺需按法律、法规、公司章程的规定履行相关审批程序）并接受如
下约束措施，直至新的承诺履行完毕或相应补救措施实施完毕：
（1）在股东大会及中国证监会指定的披露媒体上公开说明未履行的具体原
因并向股东和社会公众投资者道歉；
（2）不得进行公开再融资；
（3）对公司该等未履行承诺的行为负有个人责任的董事、监事、高级管理
人员调减或停发薪酬或津贴；
（4）给投资者造成损失的，本公司将向投资者依法承担赔偿责任。
2、如本公司因不可抗力原因导致未能履行公开承诺事项的，需提出新的承
诺（相关承诺需按法律、法规、公司章程的规定履行相关审批程序）并接受如下
"
