页码,表格,纯文本
0,N_A,"发行人及全体董事、监事、高级管理人员承诺招股意向书及其摘要不存在虚
假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连
带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及其
摘要中财务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明其
对发行人股票的价值或投资者的投资收益作出实质性判断或保证。任何与之相反
的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发
行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、会计师或其他专业顾问。
本招股意向书的所有内容，均构成招股说明书不可撤销的组成部分，与招股
说明书具有同等法律效力。

请投资者仔细阅读本招股意向书中“风险因素”一节的内容，并特别关注上
述风险的描述。
四、股东出资、股本变化的验资情况及发起人投入资产的计量属性.........27
四、发行人近三年关联交易的执行情况及独立董事对关联交易的核查意见..102
二、实际募集资金超出募集资金投资项目需求或不足时的安排............191
第十六节 发行人董事、监事、高级管理人员及有关中介机构声明........228
在本招股意向书中，除非另有说明，下列词语具有如下意义：
公司、本公司、天源科技、 指 中钢集团安徽天源科技股份有限公司，即原安徽天源
股份公司、发行人 科技股份有限公司，于 2005年12月26日更名
中钢集团公司、中钢集团 指 中国中钢集团公司（原中国钢铁工贸集团公司）
马鞍山矿院、马矿院 指 中钢集团马鞍山矿山研究院，即原马鞍山矿山研究院，
于2004年5月10 日更名
通力磁材公司 指 天源科技（马鞍山）通力磁性材料有限公司
南京磁材厂 指 中钢集团安徽天源科技股份有限公司南京磁性材料厂
铜陵锰业分公司 指 中钢集团安徽天源科技股份有限公司铜陵锰业分公司
国家经贸委 指 原国家经济贸易委员会
省政府 指 安徽省人民政府
中国证监会 指 中国证券监督管理委员会
深交所 指 深圳证券交易所
《公司法》 指 《中华人民共和国公司法》
《证券法》 指 《中华人民共和国证券法》
公司章程或章程 指 中钢集团安徽天源科技股份有限公司章程
本次发行 指 公司本次向社会公众公开发行不超过 3,800 万股面值
"
1,N_A,"中钢集团公司、中钢集团 指 中国中钢集团公司（原中国钢铁工贸集团公司）
马鞍山矿院、马矿院 指 中钢集团马鞍山矿山研究院，即原马鞍山矿山研究院，
于2004年5月10 日更名
通力磁材公司 指 天源科技（马鞍山）通力磁性材料有限公司
南京磁材厂 指 中钢集团安徽天源科技股份有限公司南京磁性材料厂
铜陵锰业分公司 指 中钢集团安徽天源科技股份有限公司铜陵锰业分公司
国家经贸委 指 原国家经济贸易委员会
省政府 指 安徽省人民政府
中国证监会 指 中国证券监督管理委员会
深交所 指 深圳证券交易所
《公司法》 指 《中华人民共和国公司法》
《证券法》 指 《中华人民共和国证券法》
公司章程或章程 指 中钢集团安徽天源科技股份有限公司章程
本次发行 指 公司本次向社会公众公开发行不超过 3,800 万股面值
为1.00元的境内上市人民币普通股票
A股 指 本公司本次向境内投资者发行的普通股，每股面值人
民币1.00元，须以人民币认购
保荐人（主承销商） 指 国元证券有限责任公司
承销机构 指 以国元证券有限责任公司为主承销商的承销团
立信长江 指 上海立信长江会计师事务所有限公司
发行人律师 指 北京市华联律师事务所
元 指 人民币元
董事会 指 中钢集团安徽天源科技股份有限公司董事会
指 中钢集团安徽天源科技股份有限公司监事会
指 中钢集团安徽天源科技股份有限公司本次向社会公众
公开发行的人民币普通股
指 本公司与主承销商（保荐人）签订的关于本次股票发
行的承销/保荐协议
指 本公司本次发行的主承销商与承销团成员签订的关于
本次股票发行的分销协议
指 World Trade Organization，世界贸易组织
软磁材料 指 指在较弱的磁场下，易磁化也易退磁的一种铁氧体
材料，典型代表是锰锌铁氧体和镍锌铁氧体
永（硬）磁材料 指 具有强的抗退磁能力和高的剩余磁感应强度的强
磁性材料
MnO 指 四氧化三锰
3 4
NdFeB 指 钕铁硼永磁
Bs 指 指饱和磁通密度
ppm 指 百万分之一，10-6
磁能积（BH） 指 永磁材料单位体积存储和可利用的最大磁能量密
max
度的量度
矫顽力（Hcb）、内禀矫顽 指 永磁材料抵抗磁的和非磁的干扰而保持其永磁性
力（Hcj） 的量度
剩余磁通密度(Br)、剩余 指 具有空气隙的永磁材料的气隙中磁场强度的量度
磁化强度(Mr)
"
2,N_A,"指 World Trade Organization，世界贸易组织
软磁材料 指 指在较弱的磁场下，易磁化也易退磁的一种铁氧体
材料，典型代表是锰锌铁氧体和镍锌铁氧体
永（硬）磁材料 指 具有强的抗退磁能力和高的剩余磁感应强度的强
磁性材料
MnO 指 四氧化三锰
3 4
NdFeB 指 钕铁硼永磁
Bs 指 指饱和磁通密度
ppm 指 百万分之一，10-6
磁能积（BH） 指 永磁材料单位体积存储和可利用的最大磁能量密
max
度的量度
矫顽力（Hcb）、内禀矫顽 指 永磁材料抵抗磁的和非磁的干扰而保持其永磁性
力（Hcj） 的量度
剩余磁通密度(Br)、剩余 指 具有空气隙的永磁材料的气隙中磁场强度的量度
磁化强度(Mr)
磁导率（μ） 指 磁性材料对磁场灵敏度的量度
i
稀土永磁材料 指 以稀土族元素和铁族元素为主要成分的金属互化
物(又称金属间化合物)。这是当前最大磁能积最高
的一大类永磁材料，如钕铁硼稀土合金
铁红 指 即氧化铁，分子式 Fe O ，是生产铁氧体永磁材料
2 3
的主要原料
指 以 Fe O 为主要组元的复合氧化物强磁材料(狭义)
2 3
和磁有序材料如反铁磁材料(广义)，特点是电阻率
高，特别有利于在高频和微波应用。如钡铁氧体
(BaFe O )和锶铁氧体(SrFe O )等
12 19 12 19
指 具有软磁特性的氧化物磁性材料，特点是电阻率极
高，可以在高频率和超高频率使用，如锰锌铁氧体
指 一种用来制作磁体的材料，主要由铁红和碳酸锶通
过高温预烧制成。
一、公司简介
本公司是经国家经济贸易委员会《关于同意设立安徽天源科技股份有限公司
的批复》（国经贸企改[2002]121 号文）批准，由马鞍山矿山研究院作为主发起
人，联合安徽恒信投资发展有限责任公司、安徽中周实业（集团）有限公司、安
徽省国有资产运营有限责任公司、中国冶金矿业总公司、北京金泰宇财务咨询开
发有限公司和马鞍山森隆房地产开发有限责任公司共同发起设立的股份公司。公
司于2002年3月27日在安徽省工商行政管理局注册登记并领取法人营业执照，
注册号3400001300254，注册资本4000万元。
公司主营业务为磁性材料、磁器件、磁分离及相关配套设备研发、生产与销
售。主导产品包括：四氧化三锰、磁分离及相关配套设备、锶铁氧体预烧料、永
磁铁氧体器件等。
公司主导产品四氧化三锰全国市场占有率达 30％以上，位居全国第二，Y33
"
3,N_A,"的批复》（国经贸企改[2002]121 号文）批准，由马鞍山矿山研究院作为主发起
人，联合安徽恒信投资发展有限责任公司、安徽中周实业（集团）有限公司、安
徽省国有资产运营有限责任公司、中国冶金矿业总公司、北京金泰宇财务咨询开
发有限公司和马鞍山森隆房地产开发有限责任公司共同发起设立的股份公司。公
司于2002年3月27日在安徽省工商行政管理局注册登记并领取法人营业执照，
注册号3400001300254，注册资本4000万元。
公司主营业务为磁性材料、磁器件、磁分离及相关配套设备研发、生产与销
售。主导产品包括：四氧化三锰、磁分离及相关配套设备、锶铁氧体预烧料、永
磁铁氧体器件等。
公司主导产品四氧化三锰全国市场占有率达 30％以上，位居全国第二，Y33
和 R12 高性能锶铁氧体预烧料产品全部出口，产品质量水平居国内同行业领先
地位，磁分离及相关配套设备生产和研发实力雄厚，产品销往宝钢、马钢、鞍钢、
武钢、攀钢、本钢等国内大型钢铁选矿企业和印度、越南等东南亚国家和地区，
市场优势明显。
公司是全国磁性材料与器件行业协会理事单位，2003年7 月通过ISO9001：
2000 国际质量管理体系认证，自成立以来，先后获得“国家火炬计划重点高新
技术企业”、 “安徽省优秀高新技术企业”、“安徽省重点培育的100 户‘专、精、
特、新’企业”、“第十一批安徽省认定企业技术中心”等荣誉称号。
划入中钢集团公司。1999 年 1 月，中钢集团与国家冶金工业局脱钩，划归国务
院国资委管理。1999 年 6 月，国家冶金工业局将鞍山热能研究院、郑州金属制
品研究院、洛阳耐火材料研究院、马鞍山矿山研究院、武汉安全环保研究院、天
津地质研究院等六家研究院划入中钢集团公司。2002 年 7 月，河北省冶金设计
研究院划入中钢集团公司，后更名为中钢集团工程设计院。2003 年 4 月，国务
院授权国有资产监督管理委员会履行出资人职责。2004 年 9 月，公司全称正式
更名为“中国中钢集团公司”。
中钢集团主要从事冶金矿产资源的开发、开采及加工利用；冶金原料及相关
产品的贸易及物流；冶金技术的研发、应用及服务等，是国内主要钢铁生产企业
的原料供应商和产品代理商，与国内外多家企业建立了长期战略合作关系。中钢
集团的铁矿石、铬矿、萤石、焦炭、锰矿、废钢、钢材、镁砂、稀土等贸易经营
居于国内前列，在业界具有重要影响，是一家集资源、贸易、科技及专业服务为
"
4,N_A,"品研究院、洛阳耐火材料研究院、马鞍山矿山研究院、武汉安全环保研究院、天
津地质研究院等六家研究院划入中钢集团公司。2002 年 7 月，河北省冶金设计
研究院划入中钢集团公司，后更名为中钢集团工程设计院。2003 年 4 月，国务
院授权国有资产监督管理委员会履行出资人职责。2004 年 9 月，公司全称正式
更名为“中国中钢集团公司”。
中钢集团主要从事冶金矿产资源的开发、开采及加工利用；冶金原料及相关
产品的贸易及物流；冶金技术的研发、应用及服务等，是国内主要钢铁生产企业
的原料供应商和产品代理商，与国内外多家企业建立了长期战略合作关系。中钢
集团的铁矿石、铬矿、萤石、焦炭、锰矿、废钢、钢材、镁砂、稀土等贸易经营
居于国内前列，在业界具有重要影响，是一家集资源、贸易、科技及专业服务为
一体的大型企业集团，是对外贸易经济合作部重点联系的全国100家大型经贸企
业之一，中国钢铁行业最大的经贸企业集团。经中瑞华恒信会计师事务所审计（
瑞华恒信字[2006]第10571号《审计报告》），截至2005 年12 月31日，中钢集
团总资产602,686 万元，净资产202,673万元，2005年度实现净利润 29,931 万
元。
单位：元
项 目 2005年 2004年 2003年
主营业务收入 209,125,400.20 165,182,180.79 82,253,681.25
主营业务利润 38,598,207.52 34,414,358.06 17,843,188.94
营业利润 11,793,376.16 15,847,140.86 5,385,550.38
利润总额 14,685,323.41 16,806,106.57 7,157,573.87
净利润 14,776,405.41 16,636,380.16 7,435,759.84
股票种类： 人民币普通股（A 股）
每股面值： 1.00元人民币
发行股数： 拟发行不超过 3,800 万股，占发行后总股本的
48.72%
发行后总股本： 7,800万股（按发行上限计算）
发行价格： 根据向询价对象初步询价和网下向询价对象累计
投标询价结果并结合市场情况等确定。
发行方式： 采用网下向配售对象累计投标询价发行与网上资
金申购定价发行相结合的方式。
股票种类： 人民币普通股（A 股）
每股面值： 1.00元人民币
"
5,N_A,"利润总额 14,685,323.41 16,806,106.57 7,157,573.87
净利润 14,776,405.41 16,636,380.16 7,435,759.84
股票种类： 人民币普通股（A 股）
每股面值： 1.00元人民币
发行股数： 拟发行不超过 3,800 万股，占发行后总股本的
48.72%
发行后总股本： 7,800万股（按发行上限计算）
发行价格： 根据向询价对象初步询价和网下向询价对象累计
投标询价结果并结合市场情况等确定。
发行方式： 采用网下向配售对象累计投标询价发行与网上资
金申购定价发行相结合的方式。
股票种类： 人民币普通股（A 股）
每股面值： 1.00元人民币
发行股数： 拟发行不超过 3,800 万股，占发行后总股本的
48.72%
发行后总股本： 7,800万股（按发行上限计算）
发行价格： 根据向询价对象初步询价和网下向询价对象累计
投标询价结果并结合市场情况等确定。
发行方式： 采用网下向配售对象累计投标询价发行与网上资
金申购定价发行相结合的方式。
符合资格的询价对象和在深圳证券交易所开户的
境内自然人、法人等投资者（国家法律、法规禁止
购买者除外）。
符合资格的询价对象和在深圳证券交易所开户的
境内自然人、法人等投资者（国家法律、法规禁止
购买者除外）。
募集资金投入项目后的不足部分，公司拟通过自筹资金解决。若所募资金投
入项目后尚有剩余，则用来补充流动资金。
一、本次发行的基本情况
股票种类： 人民币普通股（A 股）
每股面值： 1.00元人民币
发行股数： 拟发行不超过 3,800 万股，占发行后总股本的
48.72%
发行后总股本： 7,800万股（按发行上限计算）
发行价格： 根据向询价对象初步询价和网下向询价对象累计
投标询价结果并结合市场情况等确定。
市盈率：
发行前每股净资产： 2.27元（按2005年12月31日经审计的数据计算）
发行后每股净资产：
市净率：
发行方式： 采用网下向配售对象累计投标询价发行与网上资
金申购定价发行相结合的方式。
发行对象： 符合资格的询价对象和在深圳证券交易所开户的
境内自然人、法人等投资者（国家法律、法规禁止
购买者除外）。
承销方式： 承销团余额包销
拟上市地： 深圳证券交易所
发行股份的流通： 本次发行结束后，发行人将尽快申请本次发行的股
票在深圳证券交易所上市流通
"
6,N_A,"48.72%
发行后总股本： 7,800万股（按发行上限计算）
发行价格： 根据向询价对象初步询价和网下向询价对象累计
投标询价结果并结合市场情况等确定。
市盈率：
发行前每股净资产： 2.27元（按2005年12月31日经审计的数据计算）
发行后每股净资产：
市净率：
发行方式： 采用网下向配售对象累计投标询价发行与网上资
金申购定价发行相结合的方式。
发行对象： 符合资格的询价对象和在深圳证券交易所开户的
境内自然人、法人等投资者（国家法律、法规禁止
购买者除外）。
承销方式： 承销团余额包销
拟上市地： 深圳证券交易所
发行股份的流通： 本次发行结束后，发行人将尽快申请本次发行的股
票在深圳证券交易所上市流通
预计募集资金总额：
预计募集资金净额：
本次发行费用概算： 本次发行A股的发行费用，预计总额为1081万元，
主要包括以下支出：
承销保荐费用：828万元
本次发行A股的发行费用，预计总额为1081万元，
主要包括以下支出：
承销保荐费用：828万元
审计费用：120万元
评估费用：46万元
律师费用：45万元
发行手续费：约42万元（交易所上网手续费等）
二、本次发行的有关机构
发 行 人： 中钢集团安徽天源科技股份有限公司
住 所： 马鞍山市经济技术开发区红旗南路51号
法定代表人： 王运敏
联系电话： 0555-2108997
传 真： 0555-2108806
联 系 人： 蔡 霞
保荐人（主承销商）： 国元证券有限责任公司
住 所： 安徽省合肥市寿春路179号国元大厦
法定代表人： 凤良志
电 话： 0551-2634400
传 真： 0551-2645009
保荐代表人： 武保卫、万士清
项目主办人： 朱焱武
联 系 人： 孙建中、高震、周利华
副主承销商： 国金证券有限责任公司
住 所： 成都东城根上街95 号
法定代表人： 雷波
电 话： 021-61038226
传 真： 021-61038220
联 系 人： 余庆生、刘涛涛
分销商： 国联证券有限责任公司
电 话： 021—63391166
传 真： 021—63392558
经办注册会计师： 戴定毅、姚辉
资产评估机构： 北京中证评估有限责任公司
北京市西城区金融街27号投资广场A12层1205-12
住 所：
室
法定代表人： 冯道祥
电 话： 010－88091069
传 真： 010－88091074
"
7,N_A,"传 真： 0551-2645009
保荐代表人： 武保卫、万士清
项目主办人： 朱焱武
联 系 人： 孙建中、高震、周利华
副主承销商： 国金证券有限责任公司
住 所： 成都东城根上街95 号
法定代表人： 雷波
电 话： 021-61038226
传 真： 021-61038220
联 系 人： 余庆生、刘涛涛
分销商： 国联证券有限责任公司
电 话： 021—63391166
传 真： 021—63392558
经办注册会计师： 戴定毅、姚辉
资产评估机构： 北京中证评估有限责任公司
北京市西城区金融街27号投资广场A12层1205-12
住 所：
室
法定代表人： 冯道祥
电 话： 010－88091069
传 真： 010－88091074
经办资产评估师： 徐宗杰、李 琪、李占军
土地评估机构： 中地不动产评估有限公司
住 所： 北京西城区金融街 33号通泰大厦B601室内
法定代表人： 王朝阳
电 话： 010－88086862
传 真： 010－88086860
经办土地评估师： 王连生、段海涛
股票登记机构： 中国证券登记结算有限责任公司深圳分公司
住 所： 广东省深圳市深南中路 1093 号中信大厦 18 层
电 话： 0755-25938000
传 真： 0755-25988122
保荐人（主承销商）收款 安徽省工商银行合肥市四牌楼支行
银行：
户 名： 国元证券有限责任公司
账 号： 1302010119027320711
三、发行人与中介机构关系的说明
截至本次发行前，发行人与本次发行有关的中介机构及其负责人、高级管理
人员及经办人员之间不存在直接或间接的股权关系或其他权益
四、与本次发行上市有关的重要日期
1、 询价推介时间：2006年7月7日至2006年7 月11日
2、 定价公告刊登日：2006 年7月18日
3、 申购日和缴款日：2006 年7月19日
4、 预计股票上市日：2006 年8月3 日
料占比为 79.97％，主要原材料价格波动对公司经营业绩较为敏感。近年来电解
金属锰和铁红价格振幅较大，电解金属锰市场价格由 2003 年的 8000 元/吨飙升
至2005年一季度的 14000元/吨，目前相对稳定在9000 元/吨，近三年振幅达70%
以上；铁红的市场价格受钢铁产量和价格的变动也出现一定程度的波动，振幅达
20%以上。主要原材料价格的波动影响了公司经营和盈利的稳定性。报告期内公
"
8,N_A,"人员及经办人员之间不存在直接或间接的股权关系或其他权益
四、与本次发行上市有关的重要日期
1、 询价推介时间：2006年7月7日至2006年7 月11日
2、 定价公告刊登日：2006 年7月18日
3、 申购日和缴款日：2006 年7月19日
4、 预计股票上市日：2006 年8月3 日
料占比为 79.97％，主要原材料价格波动对公司经营业绩较为敏感。近年来电解
金属锰和铁红价格振幅较大，电解金属锰市场价格由 2003 年的 8000 元/吨飙升
至2005年一季度的 14000元/吨，目前相对稳定在9000 元/吨，近三年振幅达70%
以上；铁红的市场价格受钢铁产量和价格的变动也出现一定程度的波动，振幅达
20%以上。主要原材料价格的波动影响了公司经营和盈利的稳定性。报告期内公
司通过磁材产品品种与结构的调整，产品品质和市场信誉的提高，生产工艺的改
进，以及产销规模的扩大，有效地化解了原料价格上涨带来的风险，并使得磁材
产品综合毛利率逐年提高。
料占比为 79.97％，主要原材料价格波动对公司经营业绩较为敏感。近年来电解
金属锰和铁红价格振幅较大，电解金属锰市场价格由 2003 年的 8000 元/吨飙升
至2005年一季度的 14000元/吨，目前相对稳定在9000 元/吨，近三年振幅达70%
以上；铁红的市场价格受钢铁产量和价格的变动也出现一定程度的波动，振幅达
20%以上。主要原材料价格的波动影响了公司经营和盈利的稳定性。报告期内公
司通过磁材产品品种与结构的调整，产品品质和市场信誉的提高，生产工艺的改
进，以及产销规模的扩大，有效地化解了原料价格上涨带来的风险，并使得磁材
产品综合毛利率逐年提高。
公司近三年对主要供应商及客户的业务构成比例如下表所示：
高，但公司管理人员数量仍显不足，滞后于公司的快速发展，经营管理理念需
进一步转变，经营管理能力也需要加强，市场开拓能力有待提高。尤其是随着
司规模的不断扩大，对公司营销人员、管理人员和技术人员要求也不断提高，
些优秀人员的缺失将会影响到公司的发展。
些优秀人员的缺失将会影响到公司的发展。
四、财务风险
（一）净资产收益率降低的风险
本次发行完成后，公司净资产将有较大幅度的增长。而募集资金投资项目的
全部建成投产并产生效益需要一定时间，预计本次发行后，公司净资产收益率（
面摊薄）与过去年度相比将出现较大幅度的下降。因此，短期内本公司存在因净
"
9,N_A,"进，以及产销规模的扩大，有效地化解了原料价格上涨带来的风险，并使得磁材
产品综合毛利率逐年提高。
公司近三年对主要供应商及客户的业务构成比例如下表所示：
高，但公司管理人员数量仍显不足，滞后于公司的快速发展，经营管理理念需
进一步转变，经营管理能力也需要加强，市场开拓能力有待提高。尤其是随着
司规模的不断扩大，对公司营销人员、管理人员和技术人员要求也不断提高，
些优秀人员的缺失将会影响到公司的发展。
些优秀人员的缺失将会影响到公司的发展。
四、财务风险
（一）净资产收益率降低的风险
本次发行完成后，公司净资产将有较大幅度的增长。而募集资金投资项目的
全部建成投产并产生效益需要一定时间，预计本次发行后，公司净资产收益率（
面摊薄）与过去年度相比将出现较大幅度的下降。因此，短期内本公司存在因净
资产增长较快而导致净资产收益率下降的风险。
（二）资产负债率偏高的风险
截至 2005 年 12 月 31 日，按母公司报表口径计算的公司资产负债率为
51.36%，与国内同行业中其他上市公司相比偏高。由于公司资产负债率偏高，债
务压力较大、财务费用负担重，削弱了公司的融资能力，增大了公司的财务风险
（三）内部控制制度的风险
近几年，公司已经建立了较为完善的内部控制制度，但由于公司下属生产单
位分散异地，各生产单位人员素质有差异，相关人员对公司内部控制制度能否有
效贯彻执行将面临时间考验。若内部控制制度不能有效执行，而内部监管力量又
不能及时跟进，公司的内部控制会存在一定风险。
五、技术风险
（一）新产品开发、试制风险
面对激烈的市场竞争，公司须不断致力于高科技产品、高附加值产品的开发
但一种新产品从设计研究，到产品中试阶段，最终到规模化和产业化生产并得到
市场认可，往往需要几年时间，而且随时面临着产品开发失败的风险。因此，新
产品开发在一定程度上存在开发难度大、更新换代快和难以实现产业化的风险。
（二）核心技术人员流动的风险
本公司是由科研院所改制设立的高新技术企业，技术人才尤其核心技术人员
四、财务风险
（一）净资产收益率降低的风险
本次发行完成后，公司净资产将有较大幅度的增长。而募集资金投资项目的
全部建成投产并产生效益需要一定时间，预计本次发行后，公司净资产收益率（
面摊薄）与过去年度相比将出现较大幅度的下降。因此，短期内本公司存在因净
资产增长较快而导致净资产收益率下降的风险。
"
