页码,表格,纯文本
0,N_A,"首次公开发行股票并在科创板上市
招股意向书
深圳市南山区滨海大道 3165 号五矿金融大厦 18-25 层
中国证监会、交易所对本次发行所作的任何决定或意见，均不表明其对注册申请文
件及所披露信息的真实性、准确性、完整性作出保证，也不表明其对发行人的盈利能力、
投资价值或者对投资者的收益作出实质性判断或保证。任何与之相反的声明均属虚假不
实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发行人自
行负责；投资者自主判断发行人的投资价值，自主作出投资决策，自行承担股票依法发
行后因发行人经营与收益变化或者股票价格变动引致的投资风险。
发行人及全体董事、监事、高级管理人员承诺招股意向书及其他信息披露资料不存
在虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带
的法律责任。
发行人控股股东、实际控制人承诺本招股意向书不存在虚假记载、误导性陈述或重
大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书中财务会计
资料真实、完整。
发行人及全体董事、监事、高级管理人员、发行人的控股股东、实际控制人以及保
荐人、承销的证券公司承诺因发行人招股意向书及其他信息披露资料有虚假记载、误导
性陈述或者重大遗漏，致使投资者在证券发行和交易中遭受损失的，将依法赔偿投资者
损失。
保荐人及证券服务机构承诺因其为发行人本次公开发行制作、出具的文件有虚假记
载、误导性陈述或者重大遗漏，给投资者造成损失的，将依法赔偿投资者损失。
公司特别提请投资者注意，在作出投资决策之前，务必认真阅读本招股意向书正
文内容，并特别关注以下事项。
受新冠肺炎疫情和新能源汽车补贴退坡政策双重叠加影响，2020 年上半年国内新
能源汽车动力电池市场需求显著下滑，发行人业绩受到较大冲击。2020 年 1-6 月，发
行人实现营业收入66,481.55万元，较去年同期下降56.91%，营业利润1,279.06万元，
较去年同期下降90.76%，净利润1,537.00万元，较去年同期下降 88.09%。
随着新冠肺炎疫情影响逐步减弱，一系列新能源汽车刺激政策出台推动下游需求复
苏，发行人 2020 年下半年生产经营情况得到极大改善，2020 年全年发行人营业收入
及利润规模下滑幅度较 2020 年上半年明显收窄。2020 年度，发行人实现营业收入
"
1,N_A,"公司特别提请投资者注意，在作出投资决策之前，务必认真阅读本招股意向书正
文内容，并特别关注以下事项。
受新冠肺炎疫情和新能源汽车补贴退坡政策双重叠加影响，2020 年上半年国内新
能源汽车动力电池市场需求显著下滑，发行人业绩受到较大冲击。2020 年 1-6 月，发
行人实现营业收入66,481.55万元，较去年同期下降56.91%，营业利润1,279.06万元，
较去年同期下降90.76%，净利润1,537.00万元，较去年同期下降 88.09%。
随着新冠肺炎疫情影响逐步减弱，一系列新能源汽车刺激政策出台推动下游需求复
苏，发行人 2020 年下半年生产经营情况得到极大改善，2020 年全年发行人营业收入
及利润规模下滑幅度较 2020 年上半年明显收窄。2020 年度，发行人实现营业收入
201,063.49 万元，较去年同期下降 27.31%，营业利润 11,005.58 万元，较去年同期下
降49.56%，净利润10,978.93 万元，较去年同期下降 46.76%。
2020 年利润规模相较 2019 年度大幅下滑，主要原因包括：（1）受新冠肺炎疫情
和新能源汽车市场整体波动双重影响，2020年营业收入规模较2019年度降低27.31%；
（2）公司 2020 年度主营业务毛利率下滑，公司核心产品三元正极材料的产能利用率
从2019 年度的91.53%下降至2020 年度的52.33%，主要产品的生产规模化效应有所
降低，导致公司主营业务毛利率从 2019 年度的 17.14%下滑至 2020 年度的 14.24%；
（3）2020 年尤其是上半年新冠肺炎疫情影响较重，公司当年计提停工损失 4,099.09
万元，导致2020 年在营业收入降低的情形下管理费用反而较上年有所增加。综上，发
行人2020 年营业利润较 2019 年下滑49.56%，净利润下滑 46.76%。
（一）与宁德时代交易的汇总情况
报告期内，公司对宁德时代及其下属子公司主要销售三元正极材料、三元前驱体以
及提供受托加工服务，主要采购硫酸镍、三元前驱体、碳酸锂等原材料，其收入、采购
及相应占比情况如下表：
注：广东邦普/湖南邦普系宁德时代下属子公司
2018 至 2019 年度，公司对宁德时代及其下属子公司主营业务销售收入占主营业
务收入比例逐年上升，主要原因系公司下游新能源汽车动力电池行业的集中度提高、特
"
2,N_A,"（3）2020 年尤其是上半年新冠肺炎疫情影响较重，公司当年计提停工损失 4,099.09
万元，导致2020 年在营业收入降低的情形下管理费用反而较上年有所增加。综上，发
行人2020 年营业利润较 2019 年下滑49.56%，净利润下滑 46.76%。
（一）与宁德时代交易的汇总情况
报告期内，公司对宁德时代及其下属子公司主要销售三元正极材料、三元前驱体以
及提供受托加工服务，主要采购硫酸镍、三元前驱体、碳酸锂等原材料，其收入、采购
及相应占比情况如下表：
注：广东邦普/湖南邦普系宁德时代下属子公司
2018 至 2019 年度，公司对宁德时代及其下属子公司主营业务销售收入占主营业
务收入比例逐年上升，主要原因系公司下游新能源汽车动力电池行业的集中度提高、特
别是宁德时代的市场占有率提高，对公司三元正极材料等产品的需求增大所致。宁德时
代及其下属子公司作为行业龙头企业，2020 年上半年受新冠肺炎疫情和新能源汽车补
贴退坡政策双重叠加影响显著，发行人向其销售金额下滑，2020 年下半年随着下游需
求的复苏，发行人凭借前期新增客户的开拓和积累，整体销售情况得到了快速恢复，最
终发行人2020年度向宁德时代及其下属子公司主营业务销售收入占主营业务收入比例
较2019 年度有所下滑。
除购销业务外，报告期内公司与宁德时代及其下属子公司围绕双方各自主业共计开
展四项合作研发，其中已完成三项，正在进行一项。2018-2020 年发行人累计在该等研
发项目投入研发费用 3,059.96 万元。其中， 2018 年、2019 年、2020 年度投入研发
费用分别为551.99 万元、1,989.97 万元和518.00 万元。
（二）报告期内公司对宁德时代及其下属子公司的采购、销售金额变化的情况分
析
2019 年度发行人对宁德时代及其下属子公司的主营业务销售收入较 2018 年度增
长 73.52%，主要由于宁德时代的业务规模迅速增长，2018 年、2019 年宁德时代在国
内新能源汽车动力电池市场占有率分别为 41.28%、51.80%，其对电池材料的采购需求
不断增加，发行人相关产品亦符合其生产需要所致。
同时， 2019 年度发行人对湖南邦普等宁德时代下属子公司在报告期内合计采购金
额较 2018 年度增长 60.88%，主要系宁德时代在产业链上具有显著的优势地位，对于
"
3,N_A,"费用分别为551.99 万元、1,989.97 万元和518.00 万元。
（二）报告期内公司对宁德时代及其下属子公司的采购、销售金额变化的情况分
析
2019 年度发行人对宁德时代及其下属子公司的主营业务销售收入较 2018 年度增
长 73.52%，主要由于宁德时代的业务规模迅速增长，2018 年、2019 年宁德时代在国
内新能源汽车动力电池市场占有率分别为 41.28%、51.80%，其对电池材料的采购需求
不断增加，发行人相关产品亦符合其生产需要所致。
同时， 2019 年度发行人对湖南邦普等宁德时代下属子公司在报告期内合计采购金
额较 2018 年度增长 60.88%，主要系宁德时代在产业链上具有显著的优势地位，对于
（二）报告期内公司对宁德时代及其下属子公司的采购、销售金额变化的情况分
析
2019 年度发行人对宁德时代及其下属子公司的主营业务销售收入较 2018 年度增
长 73.52%，主要由于宁德时代的业务规模迅速增长，2018 年、2019 年宁德时代在国
内新能源汽车动力电池市场占有率分别为 41.28%、51.80%，其对电池材料的采购需求
不断增加，发行人相关产品亦符合其生产需要所致。
同时， 2019 年度发行人对湖南邦普等宁德时代下属子公司在报告期内合计采购金
额较 2018 年度增长 60.88%，主要系宁德时代在产业链上具有显著的优势地位，对于
三元前驱体等三元正极材料生产所需的原材料通常会要求优先采购其下属子公司相关
产品。此外，湖南邦普作为目前国内领先的废旧锂电池资源化回收处理企业，能够提供
较为稳定的硫酸镍、硫酸钴、碳酸锂等金属盐原材料，基于有利于维护下游重点客户关
系的商业考虑，公司在满足原材料品质要求、符合价格标准的条件下，也会向湖南邦普
采购金属盐原材料。
宁德时代及其下属子公司作为行业龙头企业，2020 年受新冠肺炎疫情和国内新能
源汽车整体市场波动的双重叠加影响显著，且发行人当年积极开拓其他重点客户业务和
开发新客户，发行人向宁德时代 2020 年销售金额同比下降 52.59%，同时向其采购金
额下降57.56%。
（三）宁德时代指定采购的影响
报告期内，公司向宁德时代及其下属子公司销售的部分三元正极材料产品为特定型
号产品，非市场通用型产品，其所对应的三元前驱体只能由发行人自产或者从其指定的
供应商采购。由于宁德时代在产业链的优势地位，通常会要求发行人优先采购其下属子
"
4,N_A,"较为稳定的硫酸镍、硫酸钴、碳酸锂等金属盐原材料，基于有利于维护下游重点客户关
系的商业考虑，公司在满足原材料品质要求、符合价格标准的条件下，也会向湖南邦普
采购金属盐原材料。
宁德时代及其下属子公司作为行业龙头企业，2020 年受新冠肺炎疫情和国内新能
源汽车整体市场波动的双重叠加影响显著，且发行人当年积极开拓其他重点客户业务和
开发新客户，发行人向宁德时代 2020 年销售金额同比下降 52.59%，同时向其采购金
额下降57.56%。
（三）宁德时代指定采购的影响
报告期内，公司向宁德时代及其下属子公司销售的部分三元正极材料产品为特定型
号产品，非市场通用型产品，其所对应的三元前驱体只能由发行人自产或者从其指定的
供应商采购。由于宁德时代在产业链的优势地位，通常会要求发行人优先采购其下属子
公司的三元前驱体等原材料。2018 年，发行人为宁德时代及其子公司生产的特定型号
三元正极材料基本采用的是其指定采购的三元前驱体。随着公司 2019 年度三元前驱体
新增生产线逐步建成投产，三元前驱体产能扩大，生产技术以及产线自动化程度、精密
控制水平进一步提高，公司对宁德时代及其下属子公司销售的三元正极材料采用自产三
元前驱体的比例提升，超过 60%。2020 年，发行人向宁德时代销售正极材料结构有所
变化，8 系 NCM 产品占比提升，发行人对宁德时代及其下属子公司销售的三元正极材
料采用自产三元前驱体的比例有所下降，但依旧接近50%。
（四）宁德时代业绩波动对发行人的影响
受益于近年新能源汽车行业的快速发展，宁德时代的业务规模迅速增长，采购需求
不断增加。报告期内，公司对宁德时代及其下属企业主营业务销售收入分别为92,901.94
万元、161,203.63 万元和 76,424.77 万元，占当期主营业务收入比例分别为 36.49%、
58.43%和38.20%，销售金额及占比均较高。如未来宁德时代因新能源汽车下游行业或
自身经营状况发生重大不利变化、发展战略或经营计划发生调整等原因导致其经营业绩
重大波动，可能向产业链上游发生传导，从而减少或取消对发行人产品的采购，则将会
直接影响到发行人的生产经营，从而给公司业绩带来不利影响。若短期内宁德时代对发
行人的采购需求大幅下滑，公司业绩存在大幅下滑甚至亏损的风险。2020 年度，公司
对宁德时代及其下属子公司的主营业务收入占比下滑至 38.20%。
"
5,N_A,"不断增加。报告期内，公司对宁德时代及其下属企业主营业务销售收入分别为92,901.94
万元、161,203.63 万元和 76,424.77 万元，占当期主营业务收入比例分别为 36.49%、
58.43%和38.20%，销售金额及占比均较高。如未来宁德时代因新能源汽车下游行业或
自身经营状况发生重大不利变化、发展战略或经营计划发生调整等原因导致其经营业绩
重大波动，可能向产业链上游发生传导，从而减少或取消对发行人产品的采购，则将会
直接影响到发行人的生产经营，从而给公司业绩带来不利影响。若短期内宁德时代对发
行人的采购需求大幅下滑，公司业绩存在大幅下滑甚至亏损的风险。2020 年度，公司
对宁德时代及其下属子公司的主营业务收入占比下滑至 38.20%。
（五）宁德时代利用行业地位压缩发行人利润空间的风险
随着新能源电池行业的逐渐成熟，产业链中各个环节将维持合理的利润空间并最终
趋于保持相对稳定。宁德时代作为全球领先的动力电池企业，规模体量大、市场占有率
高，采购规模较大，因此在行业中的议价能力相对较强。如果宁德时代出于市场竞争考
虑而利用自身行业地位引导新能源电池价格下浮调整，产业链整体的利润空间将被迫压
缩并会传导到电池材料供应体系的各层级，公司作为电池正极材料供应商的利润空间也
将会受到压缩，提示投资者注意该风险。
三、公司报告期内产品结构以常规三元正极材料为主，高镍三元正极材料
产品的业务收入和市场占有率较低
报告期内，公司销售的三元正极材料产品中，3 系、5 系、6 系 NCM 等常规三元
正极材料的销售收入占比分别为 98.58%、98.80%、87.73%，8 系 NCM、NCA 等高
镍三元正极材料的销售收入占比分别为 1.42%、1.20%、12.27%。报告期内，受公司
产能扩张速度的限制及下游市场需求，公司报告期内产品结构以常规三元正极材料为主
作为未来行业发展方向之一的高镍三元正极材料产品的业务收入和市场占有率较低。随
着公司新建生产线已经投产，8 系 NCM 产品已通过多家客户认证并实现规模化销售，
2019 年已实现百吨级销售，2020 年已实现千吨级销售，后续销量以及市场占比有望进
一步提升。同时，公司将进一步强化高镍产品的研发投入，推动产品技术升级换代，开
拓高镍三元正极材料市场。
四、公司关于不再对外销售三元前驱体的承诺
三元前驱体是三元正极材料生产过程中的中间品和主要原材料，发行人生产三元前
"
6,N_A,"正极材料的销售收入占比分别为 98.58%、98.80%、87.73%，8 系 NCM、NCA 等高
镍三元正极材料的销售收入占比分别为 1.42%、1.20%、12.27%。报告期内，受公司
产能扩张速度的限制及下游市场需求，公司报告期内产品结构以常规三元正极材料为主
作为未来行业发展方向之一的高镍三元正极材料产品的业务收入和市场占有率较低。随
着公司新建生产线已经投产，8 系 NCM 产品已通过多家客户认证并实现规模化销售，
2019 年已实现百吨级销售，2020 年已实现千吨级销售，后续销量以及市场占比有望进
一步提升。同时，公司将进一步强化高镍产品的研发投入，推动产品技术升级换代，开
拓高镍三元正极材料市场。
四、公司关于不再对外销售三元前驱体的承诺
三元前驱体是三元正极材料生产过程中的中间品和主要原材料，发行人生产三元前
驱体，优先用于自身连续生产三元正极材料，报告期内存在对外销售部分三元前驱体的
情形。公司对外销售三元前驱体属于过渡期行为，并非其最终业务目的。
针对公司生产的三元前驱体将全部转为自用，未来不再对外进行销售的具体安排，
发行人承诺：
“1、公司主要从事高效电池正极材料的研发、生产与销售业务。报告期内，公司
对外销售三元前驱体销售金额占主营业务收入的比例持续下降，自 2020 年 4 月起，
公司再未对外销售三元前驱体，公司亦不存在未消化的三元前驱体在手订单。
2、自本承诺函出具之日起，公司将不再对外销售三元前驱体，公司生产的三元前
驱体已经并将在未来持续全部用于自身生产研发所用。”
本公司提醒投资者认真阅读本招股意向书“第四节 风险因素”的全部内容，充分
了解公司所披露的风险因素，审慎作出投资决定，并特别关注其中的以下风险因素：
（一）客户集中度偏高风险
2018 年、2019 年和2020 年，公司前五大客户主营业务销售金额占当期主营业务
收入的比例分别为72.41%、86.61%和78.38%，其中对宁德时代及其下属企业主营业
务销售金额占当期主营业务收入比例分别为 36.49%、58.43%和38.20%。公司对前五
大客户主营业务销售金额占主营业务收入的比例相对较高主要系公司下游新能源汽车
动力电池行业的集中度较高，导致公司客户相对集中。2018 年我国新能源汽车动力电
池行业CR2、CR5 集中度分别为 61.35%、73.75%；2019 年我国新能源汽车动力电池
"
7,N_A,"本公司提醒投资者认真阅读本招股意向书“第四节 风险因素”的全部内容，充分
了解公司所披露的风险因素，审慎作出投资决定，并特别关注其中的以下风险因素：
（一）客户集中度偏高风险
2018 年、2019 年和2020 年，公司前五大客户主营业务销售金额占当期主营业务
收入的比例分别为72.41%、86.61%和78.38%，其中对宁德时代及其下属企业主营业
务销售金额占当期主营业务收入比例分别为 36.49%、58.43%和38.20%。公司对前五
大客户主营业务销售金额占主营业务收入的比例相对较高主要系公司下游新能源汽车
动力电池行业的集中度较高，导致公司客户相对集中。2018 年我国新能源汽车动力电
池行业CR2、CR5 集中度分别为 61.35%、73.75%；2019 年我国新能源汽车动力电池
行业 CR2、CR5 集中度分别为 69.08%、80.31%，下游市场呈逐步集中趋势。其中，
2019 年宁德时代在国内新能源汽车动力电池市场占有率高达 51.80%。若未来公司与
下游市场主要客户合作出现不利变化，可能对公司的销售规模、回款速度、毛利率等造
成影响，从而对公司经营产生不利影响。
（二）对主要客户宁德时代存在依赖的风险
2018 年、2019 年和2020 年，公司对宁德时代及其下属企业主营业务销售金额占
当期主营业务收入比例分别为 36.49%、58.43%和38.20%。2018 年-2020 年公司对宁
德时代主营业务销售金额占主营业务收入的比例相对较高。如未来宁德时代因下游行业
或经营状况发生重大不利变化、实施重大资产债务重组、发展战略或经营计划发生调整
等原因而减少或取消对发行人产品服务的采购，则将会直接影响到发行人的生产经营，
从而给公司持续盈利能力造成不利影响。若发生上述情形，公司业绩存在下滑甚至亏损
的风险。
（三）发行当年业绩下滑甚至出现亏损风险
公司业绩受到多种外部因素影响，包括产业政策因素、宏观经济与行业因素、社会
因素、技术因素等。产业政策因素方面，2019 年以来新能源汽车补贴退坡政策负面影
响显著。宏观经济与行业因素方面，随着我国经济增长进入新常态阶段，GDP 增速逐
渐回归，消费需求逐年回落；此外，2019 年我国新能源汽车销量首次出现回落，行业
需求出现震荡走势，对公司业绩产生不利影响。社会因素方面，2020 年初国内爆发的
"
8,N_A,"等原因而减少或取消对发行人产品服务的采购，则将会直接影响到发行人的生产经营，
从而给公司持续盈利能力造成不利影响。若发生上述情形，公司业绩存在下滑甚至亏损
的风险。
（三）发行当年业绩下滑甚至出现亏损风险
公司业绩受到多种外部因素影响，包括产业政策因素、宏观经济与行业因素、社会
因素、技术因素等。产业政策因素方面，2019 年以来新能源汽车补贴退坡政策负面影
响显著。宏观经济与行业因素方面，随着我国经济增长进入新常态阶段，GDP 增速逐
渐回归，消费需求逐年回落；此外，2019 年我国新能源汽车销量首次出现回落，行业
需求出现震荡走势，对公司业绩产生不利影响。社会因素方面，2020 年初国内爆发的
新型冠状病毒疫情对行业发展和公司生产经营产生了显著负面影响，具体表现为行业复
工进度推迟以及下游需求减弱。技术因素方面，三元正极材料技术路线替代性风险也可
能对公司业绩产生潜在影响。上述外部因素的变化均可能使得公司的主营业务收入、净
利润等经营业绩面临下滑的风险。虽然 2020年下半年以来，行业逐步恢复，宏观经济
企稳，新冠疫情防控趋势有所好转，进入2021 年以来，截止目前公司所处行业的相关
政策尚未出现重大不利变化，且宏观经济整体向好；但若在 2021 年剩余时间内产业政
策因素、宏观经济与行业因素、社会因素、技术因素等出现极端不利变化，则公司仍存
在发行当年业绩下滑50%甚至亏损的风险。
（四）技术路线替代的风险
锂电池正极材料存在多种技术路线，目前市场上形成规模化应用的锂电池正极材料
包括钴酸锂、锰酸锂、磷酸铁锂、三元正极材料（包括 NCM和NCA）。锂电池正极材
料技术发展迅速，尤其关于三元正极材料与磷酸铁锂正极材料的技术路线之争一直存在。
2019 年下半年以来，随着电池封装技术变革，宁德时代 CTP 技术以及比亚迪刀片电池
技术的相继推出，使得两者之间的技术路线之争更加激烈。目前，应用于磷酸铁锂电池
的刀片电池技术已经率先实现装机应用，在市场上形成一定的影响力，对三元电池形成
一定的冲击。未来如果提升磷酸铁锂电池能量密度的封装技术能够推广成功，或者其它
新材料技术获得突破，三元正极材料的市场需求或将面临替代风险；同时，公司若未能
及时、有效地开发与推出新的技术材料产品，将对公司的竞争优势与盈利能力产生不利
影响。
（五）下游行业需求波动风险
公司主要从事高效电池正极材料生产制造业务，营业收入主要来源于锂电池正极材
"
9,N_A,"料技术发展迅速，尤其关于三元正极材料与磷酸铁锂正极材料的技术路线之争一直存在。
2019 年下半年以来，随着电池封装技术变革，宁德时代 CTP 技术以及比亚迪刀片电池
技术的相继推出，使得两者之间的技术路线之争更加激烈。目前，应用于磷酸铁锂电池
的刀片电池技术已经率先实现装机应用，在市场上形成一定的影响力，对三元电池形成
一定的冲击。未来如果提升磷酸铁锂电池能量密度的封装技术能够推广成功，或者其它
新材料技术获得突破，三元正极材料的市场需求或将面临替代风险；同时，公司若未能
及时、有效地开发与推出新的技术材料产品，将对公司的竞争优势与盈利能力产生不利
影响。
（五）下游行业需求波动风险
公司主要从事高效电池正极材料生产制造业务，营业收入主要来源于锂电池正极材
料。锂电池正极材料下游主要应用于电动汽车、3C、储能等领域。近年来，3C市场中
笔记本电脑、手机、平板电脑等细分市场增速有所放缓，未来增速存在波动风险。新能
源汽车领域，2019 年 3 月，财政部、工信部、科技部、国家发改委联合发布《关于进
一步完善新能源汽车推广应用财政补贴政策的通知》，2020 年 4 月，财政部、工信部、
科技部、国家发改委联合发布《关于完善新能源汽车推广应用财政补贴政策的通知》。
上述补贴退坡政策在提高技术门槛要求的同时削减了新能源汽车的补贴力度。新能源汽
车产业相关政策的变化，尤其是新能源汽车补贴政策的退坡，对新能源汽车市场产生了
显著负面影响。
受补贴退坡政策影响，2019 年下半年以来，新能源汽车产销量双双下降，2019 年
新能源汽车销量同比下滑 4.0%。尤其是 2020 年上半年，补贴退坡政策影响叠加新冠
肺炎疫情影响，使得新能源汽车市场进一步下滑。2020 年 1-6 月，国内新能源汽车累
计销量同比变动-47.78%；国内动力电池累计装机量同比变动-49.61%，呈现出显著滑
坡局面。2020 年下半年市场回暖，使得全年国内新能源汽车累计销量同比增长 10.90%；
国内动力电池累计装机量同比增长 0.8%。由于公司 2020 年上半年受到影响较大，公
司 2020 年营业收入为 201,063.49 万元，同比降幅 27.31%；2020 年归母净利润为
10,978.93 万元，同比降幅 46.76%。公司判断未来市场需求增速仍存在波动风险，可
能对公司未来的生产经营造成显著影响。
"
