页码,表格,纯文本
0,N_A,"次股票发行后拟在科创板市场上市，该市场具有较高的投资风险。科创板公司具有研发投入
、经营风险高、业绩不稳定、退市风险高等特点，投资者面临较大的市场风险。投资者应充
了解科创板市场的投资风险及本公司所披露的 风险因素，审慎作出投资决定。
首次公开发行股票并在科创板上市
中国证监会、上海证券交易所对本次发行所作的任何决定或意见均不表明其对注
册申请文件及所披露信息的真实性、准确性、完整性作出保证，也不表明其对发行人
的盈利能力、投资价值或者对投资者的收益作出实质性判断或保证。任何与之相反的
声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由发行人
自行负责；投资者自主判断发行人的投资价值，自主作出投资决策，自行承担股票依
法发行后因发行人经营与收益变化或者股票价格变动引致的投资风险。
发行人及全体董事、监事、高级管理人员承诺招股意向书及其他信息披露资料不
存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和
连带的法律责任。
发行人实际控制人承诺本招股意向书不存在虚假记载、误导性陈述或重大遗漏，
并对其真实性、准确性、完整性承担个别和连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书中财务会
计资料真实、完整。
发行人及全体董事、监事、高级管理人员、发行人实际控制人以及保荐人、承销
的证券公司承诺因发行人招股意向书及其他信息披露资料有虚假记载、误导性陈述或
者重大遗漏，致使投资者在证券发行和交易中遭受损失的，将依法赔偿投资者损失。
保荐人及证券服务机构承诺因其为发行人本次公开发行制作、出具的文件有虚假
记载、误导性陈述或者重大遗漏，给投资者造成损失的，将依法赔偿投资者损失。
发行人提醒投资者特别关注本公司本次发行的以下事项和风险，并认真阅读招股
意向书正文内容：
本公司提醒投资者特别关注“风险因素”中的下列风险，并认真阅读本招股意向
书“第四节 风险因素”中的全部内容。
（一）市场竞争风险
目前，我国的功率半导体行业正经历快速发展阶段。随着我国消费电子、汽车电
子、工业电子等多个行业的蓬勃发展以及智能装备制造、物联网、新能源等新兴领域
的兴起，国内对功率半导体产品的需求迅速扩大，推动了行业的快速发展。良好的前
景吸引了诸多国内企业进入这一领域，行业内厂商则在巩固自身优势基础上积极进行
"
1,N_A,"保荐人及证券服务机构承诺因其为发行人本次公开发行制作、出具的文件有虚假
记载、误导性陈述或者重大遗漏，给投资者造成损失的，将依法赔偿投资者损失。
发行人提醒投资者特别关注本公司本次发行的以下事项和风险，并认真阅读招股
意向书正文内容：
本公司提醒投资者特别关注“风险因素”中的下列风险，并认真阅读本招股意向
书“第四节 风险因素”中的全部内容。
（一）市场竞争风险
目前，我国的功率半导体行业正经历快速发展阶段。随着我国消费电子、汽车电
子、工业电子等多个行业的蓬勃发展以及智能装备制造、物联网、新能源等新兴领域
的兴起，国内对功率半导体产品的需求迅速扩大，推动了行业的快速发展。良好的前
景吸引了诸多国内企业进入这一领域，行业内厂商则在巩固自身优势基础上积极进行
市场拓展，市场竞争正在加剧。在日趋激烈的市场竞争环境下，若公司不能正确把握
市场动态和行业发展趋势，不能根据客户需求及时进行技术升级、提高产品性能与服
务质量，则公司的行业地位、市场份额、经营业绩等可能受到不利影响。
在高性能工业及汽车相关应用的功率器件领域，公司目前在全球和国内市场占有
率相对较低，市场主要份额仍然被国外大型厂商占据。根据 Omdia 数据测算，2020 年
全球高压超级结 MOSFET的市场规模预计为 9.4亿美元，公司市场份额为 3.8%；2020
年中国高压超级结 MOSFET市场规模经估算约为 4.2亿美元，公司市场份额为 8.6%。
中低压 MOSFET市场方面，2020年度全球中低压 MOSFET产品的市场规模为 52.4亿
美元，公司市场份额为 0.2%；2020 年度中国中低压 MOSFET 产品的市场规模为 24.1
亿美元，公司市场份额为 0.4%。整体上看，公司的市场份额仍处于较低水平。
相较于消费级客户，工业及汽车相关领域的客户对产品的性能和品质要求较高、
验证周期普遍较长。如公司产品设计、工艺升级或客户资源开拓进度未达预期，将在
与国外大型厂商的竞争中处于不利地位。例如，汽车领域对功率器件的性能、稳定性
等具有很高的要求，产品验证周期较长，因此公司在进入该等新的应用领域时可能会
面临产品性能验证失败或者产品性能不及竞争对手而无法获得订单的风险。若上述情
况发生，将对发行人拓展新应用领域、提高市场竞争力产生不利影响，进一步影响发
行人的业绩表现。
公司不直接从事晶圆制造和封装测试等生产和加工环节。报告期内，公司向前五
"
2,N_A,"美元，公司市场份额为 0.2%；2020 年度中国中低压 MOSFET 产品的市场规模为 24.1
亿美元，公司市场份额为 0.4%。整体上看，公司的市场份额仍处于较低水平。
相较于消费级客户，工业及汽车相关领域的客户对产品的性能和品质要求较高、
验证周期普遍较长。如公司产品设计、工艺升级或客户资源开拓进度未达预期，将在
与国外大型厂商的竞争中处于不利地位。例如，汽车领域对功率器件的性能、稳定性
等具有很高的要求，产品验证周期较长，因此公司在进入该等新的应用领域时可能会
面临产品性能验证失败或者产品性能不及竞争对手而无法获得订单的风险。若上述情
况发生，将对发行人拓展新应用领域、提高市场竞争力产生不利影响，进一步影响发
行人的业绩表现。
公司不直接从事晶圆制造和封装测试等生产和加工环节。报告期内，公司向前五
名供应商采购内容主要为晶圆及封装测试服务等，合计采购金额占当期采购总额的比
例分别为 99.56%、99.29%、99.01%及97.73%，其中向第一大供应商采购金额占当期
采购总额比例分别为 83.59%、81.70%、80.19%及72.85%。
报告期内，随着下游需求持续扩张以及新冠疫情对全球晶圆代工行业产能带来的
负面影响，晶圆代工行业普遍出现产能紧张的情况，进一步导致了晶圆价格的增长。
由于公司的晶圆供应商集中度较高，若晶圆代工行业产能紧张的情况进一步加剧，则
晶圆代工厂的产能与供货量可能无法满足发行人的需求，从而对公司的产品出货量以
及未来的收入增长造成一定不利影响。另一方面，公司营业成本主要由材料成本和封
测费用构成，其中材料成本以晶圆成本为主，若晶圆价格未来持续提高，可能会对公
司的主营业务成本以及毛利率水平造成不利影响。
报告期内，公司主营业务收入分别为 15,283.52 万元、19,604.66 万元、30,878.74
万元以及 32,082.43 万元，保持了持续快速增长；公司归属于母公司所有者的净利润分
别为 1,297.43万元、911.01万元、2,768.32万元以及 5,180.53万元，亦保持了快速增长
的趋势。公司主要产品包括高压超级结以及中低压屏蔽栅 MOSFET 产品，广泛应用于
充电桩、快速充电器、电机驱动、光伏逆变器等下游行业。报告期内公司业绩的持续
增长主要系受前述下游终端需求增长、进口替代等因素影响。为增强公司的技术优势
"
3,N_A,"测费用构成，其中材料成本以晶圆成本为主，若晶圆价格未来持续提高，可能会对公
司的主营业务成本以及毛利率水平造成不利影响。
报告期内，公司主营业务收入分别为 15,283.52 万元、19,604.66 万元、30,878.74
万元以及 32,082.43 万元，保持了持续快速增长；公司归属于母公司所有者的净利润分
别为 1,297.43万元、911.01万元、2,768.32万元以及 5,180.53万元，亦保持了快速增长
的趋势。公司主要产品包括高压超级结以及中低压屏蔽栅 MOSFET 产品，广泛应用于
充电桩、快速充电器、电机驱动、光伏逆变器等下游行业。报告期内公司业绩的持续
增长主要系受前述下游终端需求增长、进口替代等因素影响。为增强公司的技术优势
及保持产品的竞争力，公司不断增加研发投入，扩充人员规模。但是，半导体行业具
有较强的周期性特征，与宏观经济整体发展亦密切相关。如果宏观经济波动较大或长
期处于低谷，半导体行业的市场需求也将随之受到影响。因此，若新能源汽车、5G 通
信、光伏等驱动公司收入实现增长的下游行业发展不达预期，行业规模增速放缓或出
现下滑，中国半导体功率器件行业进口替代趋势放缓，公司的研发进展与成果不达预
期，或宏观经济发展出现较大波动，则公司将面临业绩无法继续保持报告期内所实现
的快速增长的风险。
此外，从产业链角度来看，由于下游终端产品结构相对复杂，产业链分工高度专
业化，终端产品的推出往往需要整个产业链密切的合作才能完成，若未来产业链某个
环节出现缺货的情形，终端厂商的生产计划可能会出现阶段性停滞，或需要被迫推迟
新产品的发布，以上可能会影响整体的采购需求，进而对包括公司在内的产业链公司
造成不利影响。
报告期内，公司的综合毛利率分别为 26.38%、14.93%、17.85%和 26.75%，波动
较大。公司综合毛利率受产品售价、产品成本以及产品结构等因素影响。随着行业技
术的发展和市场竞争的加剧，公司需要根据市场需求不断进行技术的迭代升级和创新
若公司未能正确判断下游需求变化、或公司技术实力停滞不前、或公司未能有效控制
产品成本、或公司产品市场竞争格局发生变化等都将导致公司发生产品售价和成本预
期外波动等不利情形。在该等不利情况下，公司综合毛利率水平未来可能会持续波动
甚至出现下降的可能性，从而对公司的经营带来一定风险。此外，公司的产品规格数
"
4,N_A,"新产品的发布，以上可能会影响整体的采购需求，进而对包括公司在内的产业链公司
造成不利影响。
报告期内，公司的综合毛利率分别为 26.38%、14.93%、17.85%和 26.75%，波动
较大。公司综合毛利率受产品售价、产品成本以及产品结构等因素影响。随着行业技
术的发展和市场竞争的加剧，公司需要根据市场需求不断进行技术的迭代升级和创新
若公司未能正确判断下游需求变化、或公司技术实力停滞不前、或公司未能有效控制
产品成本、或公司产品市场竞争格局发生变化等都将导致公司发生产品售价和成本预
期外波动等不利情形。在该等不利情况下，公司综合毛利率水平未来可能会持续波动
甚至出现下降的可能性，从而对公司的经营带来一定风险。此外，公司的产品规格数
量较多，不同规格的产品销售结构的变化亦会对公司的毛利率造成影响。
具体来看，发行人 Fabless的经营模式将生产制造环节进行外包，毛利率水平受到
晶圆代工成本的影响，因此行业景气度、晶圆代工行业产能的充沛情况导致的晶圆代
工价格的波动会影响发行人毛利率水平。同时，晶圆代工行业具有重资产、资本投入
大以及产能释放周期长的特点，其晶圆的销售价格受行业景气度影响呈现周期性波动
其中，晶圆代工厂作为发行人的上游供应商，行业集中度相较发行人下游行业更高，
在晶圆代工产能较为紧张的情况下，晶圆代工厂商的议价能力较强且传导能力亦会更
强。
相较于可比公司，发行人经营规模较小，与上游供应商以及下游客户的议价能力
相对较弱。此外，发行人的主要工业级客户具有粘性高、议价频率低的特点。因此，
若上游如晶圆代工、封装测试的产能紧张导致公司采购成本持续上升，在公司向下游
客户传导上游晶圆价格变动影响的及时性较低的情况下将对公司的毛利率水平产生不
利影响。在上述因素的影响下，公司综合毛利率水平未来可能会持续波动甚至出现下
降，从而对公司的经营带来一定风险。
报告期内，公司实现大规模销售的主要产品为 MOSFET 产品，包括高压超级结
MOSFET 及中低压屏蔽栅 MOSFET 等。报告期内，MOSFET 产品的销售收入占主营
业务收入的比例均超过 99%，其中高压超级结 MOSFET 产品占比分别为 81.48%、
80.28%、80.66%和 74.55%，单一产品类别收入的占比较高。公司研发新产品并最终实
现大规模销售需要一定的时间周期，如果下游市场短期内对 MOSFET 产品的需求增速
"
5,N_A,"若上游如晶圆代工、封装测试的产能紧张导致公司采购成本持续上升，在公司向下游
客户传导上游晶圆价格变动影响的及时性较低的情况下将对公司的毛利率水平产生不
利影响。在上述因素的影响下，公司综合毛利率水平未来可能会持续波动甚至出现下
降，从而对公司的经营带来一定风险。
报告期内，公司实现大规模销售的主要产品为 MOSFET 产品，包括高压超级结
MOSFET 及中低压屏蔽栅 MOSFET 等。报告期内，MOSFET 产品的销售收入占主营
业务收入的比例均超过 99%，其中高压超级结 MOSFET 产品占比分别为 81.48%、
80.28%、80.66%和 74.55%，单一产品类别收入的占比较高。公司研发新产品并最终实
现大规模销售需要一定的时间周期，如果下游市场短期内对 MOSFET 产品的需求增速
放缓，将会对公司的营收和盈利能力带来不利影响。
同时，考虑到第三代半导体材料功率器件可能是未来高性能功率器件的组成部分
之一，若公司未来不能实现现有功率器件产品的进一步技术突破，或者研发出具有市
场竞争力的第三代半导体材料功率器件，则公司的销售收入增长可能有所放缓，对公
司的经营业绩造成不利影响。
半导体行业的研发存在周期较长、工艺复杂等特点，产品技术更新迭代需要持续
的资源投入。未来的几年内，公司将继续投入新型 MOSFET、IGBT 等功率器件的技
术开发。由于半导体行业研发项目的周期较长，相关研发项目存在一定的不确定性，
若研发项目启动后的进度及效果未达预期，或者研发的新技术或产品尚不具备商业价
值，则大量的研发投入将影响公司的经营业绩；若公司未来研发资金投入不足，则可
能致使公司现有技术被赶超或被替代，进而导致公司已有产品的市场竞争力下降，给
公司未来业务拓展带来不利影响。
截至 2021年 6月 30日，发行人研发人员合计 31人，占员工比例为 46%。发行人
研发部下设产品研发工程部以及应用技术部，分别专注新型器件的研发以及研发过程
中的执行和辅助工作。报告期末，发行人研发人员数量相比可比公司较少，可能存在
研发资源受限、研发进度不达预期的风险，进一步影响发行人新产品的推出、技术储
备等方面，进而对公司未来业务发展带来不利影响。
发行人作为以 Fabless模式运营的企业，将涉及人员用工较多的生产制造环节进行
外包，因此人员规模相对较小。报告期各期末，公司员工总人数分别为 18 人、37 人
"
6,N_A,"能致使公司现有技术被赶超或被替代，进而导致公司已有产品的市场竞争力下降，给
公司未来业务拓展带来不利影响。
截至 2021年 6月 30日，发行人研发人员合计 31人，占员工比例为 46%。发行人
研发部下设产品研发工程部以及应用技术部，分别专注新型器件的研发以及研发过程
中的执行和辅助工作。报告期末，发行人研发人员数量相比可比公司较少，可能存在
研发资源受限、研发进度不达预期的风险，进一步影响发行人新产品的推出、技术储
备等方面，进而对公司未来业务发展带来不利影响。
发行人作为以 Fabless模式运营的企业，将涉及人员用工较多的生产制造环节进行
外包，因此人员规模相对较小。报告期各期末，公司员工总人数分别为 18 人、37 人
53人和 68人，相较A股已上市的同行业可比公司人数较少。随着未来发行人的经营
规模不断扩大，发行人需要设立完善的人力资源管控、内部晋升制度以及具有市场竞
争力的薪酬水平，以一方面不断吸引人才加入，另一方面保证现有员工的稳定性。由
于公司的员工规模较小，若未来发生大规模人员流失的情况，将对发行人开展日常经
营活动以及持续拓展业务规模带来不利影响。
二、本次发行相关责任主体作出的重要承诺
本公司提示投资者认真阅读本公司、实际控制人、董事、监事、高级管理人员以
及本次发行的保荐人及证券服务机构等作出的重要承诺、未能履行承诺的约束措施以
及已触发履行条件的承诺事项的履行情况，请参见本招股意向书“第十节 投资者保护
/ 七、发行人、实际控制人、董事、监事、高级管理人员、核心技术人员及本次发行的
保荐人及证券服务机构作出的重要承诺”。
三、财务报告审计基准日后的主要财务信息和经营情况
（一）财务报告审计基准日后主要经营状况
公司财务报告审计截止日为 2021 年 6 月 30 日。财务报告审计截止日至本招股意
向书签署之日，公司各项业务正常开展，采购及销售情况未发生重大变化，经营情况
良好，公司的经营模式、业务情况、销售规模、供应商情况以及其他可能影响投资者
判断的重大事项等方面均未发生重大变化。
（二）财务报告审计基准日后主要财务信息
天健对公司 2021 年 9 月 30 日的合并及母公司资产负债表、2021 年 1-9 月的合并
及母公司利润表、2021 年 1-9 月的合并及母公司现金流量表以及财务报表附注进行了
审阅，并出具了《审阅报告》（天健审〔2021〕9975号）。
"
7,N_A,"三、财务报告审计基准日后的主要财务信息和经营情况
（一）财务报告审计基准日后主要经营状况
公司财务报告审计截止日为 2021 年 6 月 30 日。财务报告审计截止日至本招股意
向书签署之日，公司各项业务正常开展，采购及销售情况未发生重大变化，经营情况
良好，公司的经营模式、业务情况、销售规模、供应商情况以及其他可能影响投资者
判断的重大事项等方面均未发生重大变化。
（二）财务报告审计基准日后主要财务信息
天健对公司 2021 年 9 月 30 日的合并及母公司资产负债表、2021 年 1-9 月的合并
及母公司利润表、2021 年 1-9 月的合并及母公司现金流量表以及财务报表附注进行了
审阅，并出具了《审阅报告》（天健审〔2021〕9975号）。
根据经审阅的财务数据，公司主要财务情况如下：
2021 年 9 月末，公司资产总额较 2020 年末增长 28.79%，主要系随着公司业务的
开展，货币资金、应收账款、存货等科目增长所致。2021 年 9 月末，公司负债总额较
2020 年末增长 177.34%，主要系随着公司业务的开展，应付票据、应付账款、应交税
费等科目增长所致。
2021年 1-9月和 2021年 7-9月，公司营业收入分别为 55,919.47万元和 23,837.04
万元，同比增长分别为 183.11%和 166.89%，增长较快主要系受益于新能源汽车充电
桩、通信电源、光伏逆变器等终端市场需求快速提升，客户对公司的采购规模增长所
致。2021年 1-9月和 2021年 7-9月，公司营业利润、利润总额、净利润、归属于母公
司所有者的净利润和扣除非经常性损益后归属于母公司所有者的净利润同比大幅增长，
且增幅均高于同期营业收入增幅，主要系 2021年 1-9月和 2021年 7-9月毛利率较去年
同期大幅上涨所致。公司毛利率 2021 年 1-9 月较去年同期上涨 12.84 个百分点，2021
年 7-9 月较去年同期上涨 14.67个百分点，主要系①来自 5G基站电源、通信电源、新
能源汽车直流充电桩等高毛利应用领域的收入占比提升；②MOSFET 行业供需关系变
动导致的产品单价上涨，变动原因与 2021 年 1-6 月毛利率上涨原因相同，具体详见本
招股意向书“第八节 财务会计信息与管理层分析/十一、经营成果分析/（三）毛利及
毛利率构成分析”。
"
8,N_A,"司所有者的净利润和扣除非经常性损益后归属于母公司所有者的净利润同比大幅增长，
且增幅均高于同期营业收入增幅，主要系 2021年 1-9月和 2021年 7-9月毛利率较去年
同期大幅上涨所致。公司毛利率 2021 年 1-9 月较去年同期上涨 12.84 个百分点，2021
年 7-9 月较去年同期上涨 14.67个百分点，主要系①来自 5G基站电源、通信电源、新
能源汽车直流充电桩等高毛利应用领域的收入占比提升；②MOSFET 行业供需关系变
动导致的产品单价上涨，变动原因与 2021 年 1-6 月毛利率上涨原因相同，具体详见本
招股意向书“第八节 财务会计信息与管理层分析/十一、经营成果分析/（三）毛利及
毛利率构成分析”。
2021 年 1-9 月，公司经营活动产生的现金流量净额相比去年同期由负转正，以及
2021 年 7-9 月，公司经营活动产生的现金流量净额同比大幅增长，均主要系公司收入
规模快速增长，毛利率上升较多，销售商品收到的现金大幅上升所致。
2021年 1-9月和 2020年 1-9月，公司归属于母公司所有者的非经常性损益净额分
别为 399.62万元和 488.36万元，均主要系当期收到的直接计入当期损益的政府补助构
成。
公司预计 2021 年度营业收入为 77,200 万元至 80,300 万元，同比增长 150%至
160%；预计 2021年度归属于母公司所有者的净利润为 13,200万元至 15,300万元，同
比增长 377%至 453%；预计 2021 年度扣除非经常性损益后归属于母公司所有者的净
利润为 12,700万元至14,700万元，同比增长522%至620%。
公司在 2021 年 1-9 月收入快速增长的情况下，受益于新能源汽车充电桩、通信电
源、光伏逆变器等终端市场需求的持续提升，预计在 2021 年第四季度销售收入也将同
比增加，因此 2021 年度的营业收入将同比增加。同时，受益于产品终端应用结构的变
动、产品单价上涨等因素，预计 2021 年度公司毛利率将同比上升，因此预计 2021 年
度的利润水平将同比增加。
前述 2021 年度业绩情况系公司初步预计数据，不构成公司的盈利预测或业绩承诺
一、股东大会、董事会、监事会、独立董事、董事会秘书制度的运行及相关人员
五、关键审计事项及与财务信息相关的重大事项或重要性水平的判断标准........ 210
"
9,N_A,"利润为 12,700万元至14,700万元，同比增长522%至620%。
公司在 2021 年 1-9 月收入快速增长的情况下，受益于新能源汽车充电桩、通信电
源、光伏逆变器等终端市场需求的持续提升，预计在 2021 年第四季度销售收入也将同
比增加，因此 2021 年度的营业收入将同比增加。同时，受益于产品终端应用结构的变
动、产品单价上涨等因素，预计 2021 年度公司毛利率将同比上升，因此预计 2021 年
度的利润水平将同比增加。
前述 2021 年度业绩情况系公司初步预计数据，不构成公司的盈利预测或业绩承诺
一、股东大会、董事会、监事会、独立董事、董事会秘书制度的运行及相关人员
五、关键审计事项及与财务信息相关的重大事项或重要性水平的判断标准........ 210
第九节 募集资金运用及未来发展规划
第九节 募集资金运用及未来发展规划 .
四、董事、监事、高级管理人员和核心技术人员最近 3年涉及行政处罚、被司法
七、发行人、实际控制人、董事、监事、高级管理人员、核心技术人员及本次发
四、董事、监事、高级管理人员和核心技术人员最近 3年涉及行政处罚、被司法
七、发行人、实际控制人、董事、监事、高级管理人员、核心技术人员及本次发
本招股意向书中，除非文义另有所指，下列词语或简称具有如下含义：
Electro-Magnetic Interference，即电磁干扰，是干扰电缆信
MI 指
号并降低信号完好性的电子噪音。
Pin，又称管脚，是从集成电路（芯片）内部电路引出与外
in-to-pin替换 指 围电路的接线，所有引脚构成芯片的接口。两个集成电路的
pin脚功能完全一致，封装也完全一致，则可以用其中一个
注：本招股意向书中所列出的数据可能因四舍五入原因与根据本招股意向书中所列示的相关单项
数据计算得出的结果略有不同
本概览仅对招股意向书全文做扼要提示，投资者作出投资决策前，应认真阅读招
股意向书全文。

四、发行人主营业务经营情况
（一）公司主要业务情况、竞争地位及主要经营模式
公司是一家以高性能功率器件研发与销售为主的技术驱动型半导体企业，产品专
注于工业及汽车相关等中大功率应用领域。公司凭借优秀的半导体器件与工艺创新能
力，集中优势资源聚焦新型功率器件的开发，是国内少数具备从专利到量产完整经验
的高性能功率器件设计公司之一，并在应用于工业级领域的高压超级结和中低压功率
"
