页码,表格,纯文本
0,N_A,"苏州海陆重工股份有限公司
（张家港市杨舍镇人民西路 1 号[省经济开发区]）
首次公开发行股票
招股意向书
保荐人（主承销商）： 国信证券股份有限公司
发行人及全体董事、监事、高级管理人员承诺招股意向书及其摘要不存在
虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别
和连带的法律责任。
公司负责人和主管会计工作的负责人、会计机构负责人保证招股意向书及
其摘要中财务会计资料真实、完整。
中国证监会、其他政府部门对本次发行所做的任何决定或意见，均不表明
其对发行人股票的价值或投资者的收益作出实质性判断或者保证。任何与之相
反的声明均属虚假不实陈述。
根据《证券法》的规定，股票依法发行后，发行人经营与收益的变化，由
发行人自行负责，由此变化引致的投资风险，由投资者自行负责。
投资者若对本招股意向书及其摘要存在任何疑问，应咨询自己的股票经纪
人、律师、会计师或其他专业顾问。
一、本次发行前发行人总股本为8,300万股，本次拟公开发行2,770万股人民
币普通股，发行后总股本为11,070万股，上述股份全部为流通股。本次发行前
的发行人股东已就其所持发行人股份作出自愿锁定承诺。
除国发创投以外的发行人全体股东承诺：自发行人首次公开发行股票并上
市之日起36个月内，不转让或者委托他人管理所持有的发行人股份，也不由发
行人回购该部分股份。
担任发行人董事、监事、高级管理人员的股东承诺：除前述锁定期外，在
其任职期间每年转让的股份不得超过其所持有发行人股份总数的25%；离职后6
个月内，不转让其所持有的发行人股份。
国发创投承诺：自持有新增股份之日起（以完成工商变更登记手续之日为
基准日）的36个月内，不转让或者委托他人管理所持有的发行人股份，也不由
发行人回购该部分股份。
二、根据2007年8月23日召开的公司2007年度第1次临时股东大会决议，截
止首次公开发行人民币普通股（A股）股票完成前的滚存利润由股票发行后的
新老股东按持股比例共同享有。
十一、持有 5%以上股份的主要股东以及作为股东的董事、监事、高级管理人员作出的
二、董事、监事、高级管理人员、核心技术人员及其近亲属的持有本公司股份的情况
四、董事、监事、高级管理人员及核心技术人员最近一年从发行人及其关联企业领取
本公司、公司、发行人、 指 苏州海陆重工股份有限公司
海陆重工
海陆锅炉 指 张家港海陆锅炉有限公司，本公司之前身
"
1,N_A,"国发创投承诺：自持有新增股份之日起（以完成工商变更登记手续之日为
基准日）的36个月内，不转让或者委托他人管理所持有的发行人股份，也不由
发行人回购该部分股份。
二、根据2007年8月23日召开的公司2007年度第1次临时股东大会决议，截
止首次公开发行人民币普通股（A股）股票完成前的滚存利润由股票发行后的
新老股东按持股比例共同享有。
十一、持有 5%以上股份的主要股东以及作为股东的董事、监事、高级管理人员作出的
二、董事、监事、高级管理人员、核心技术人员及其近亲属的持有本公司股份的情况
四、董事、监事、高级管理人员及核心技术人员最近一年从发行人及其关联企业领取
本公司、公司、发行人、 指 苏州海陆重工股份有限公司
海陆重工
海陆锅炉 指 张家港海陆锅炉有限公司，本公司之前身
江苏海陆集团 指 江苏海陆锅炉集团有限公司
公司股东大会 指 苏州海陆重工股份有限公司股东大会
公司董事会 指 苏州海陆重工股份有限公司董事会
公司监事会 指 苏州海陆重工股份有限公司监事会
股票、A股、新股 指 本公司本次发行的人民币普通股股票
本次发行 指 本公司本次向社会公开发行2,770万股人民币
普通股（A股）的行为
保荐人（主承销商） 指 国信证券股份有限公司
审计机构、会计师 指 江苏公证会计师事务所有限公司
发行人律师 指 国浩律师集团（上海）事务所
《公司法》 指 《中华人民共和国公司法》
《证券法》 指 《中华人民共和国证券法》
海高投资 指 张家港海高投资有限公司
海瞻投资 指 张家港海瞻投资有限公司
国发创投 指 苏州国发创新资本投资有限公司
本概览仅对招股意向书全文做扼要提示。投资者作出投资决策前，应认真阅
读招股意向书全文。
发行人的前身为张家港海陆锅炉有限公司，成立于 2000 年 1 月 18 日。经
2007年4月3日海陆锅炉2007年第四次临时股东会和2007年4月16日公司创
立大会决议，以截止2007年3月31日的海陆锅炉账面净资产值为基础，按1.3120：
1的比例将海陆锅炉由有限公司整体变更为股份有限公司，注册资本8,300万元。
公司于 2007 年 4 月 23 日在江苏省苏州工商行政管理局登记注册，《企业法人营
业执照》注册号为3205002116314。
公司是节能环保设备的专业生产企业，公司产品余热锅炉广泛运用于钢铁、
有色、焦化、建材、石化、化工、造纸、电力等行业。余热锅炉是处理工矿企业
"
2,N_A,"本概览仅对招股意向书全文做扼要提示。投资者作出投资决策前，应认真阅
读招股意向书全文。
发行人的前身为张家港海陆锅炉有限公司，成立于 2000 年 1 月 18 日。经
2007年4月3日海陆锅炉2007年第四次临时股东会和2007年4月16日公司创
立大会决议，以截止2007年3月31日的海陆锅炉账面净资产值为基础，按1.3120：
1的比例将海陆锅炉由有限公司整体变更为股份有限公司，注册资本8,300万元。
公司于 2007 年 4 月 23 日在江苏省苏州工商行政管理局登记注册，《企业法人营
业执照》注册号为3205002116314。
公司是节能环保设备的专业生产企业，公司产品余热锅炉广泛运用于钢铁、
有色、焦化、建材、石化、化工、造纸、电力等行业。余热锅炉是处理工矿企业
产生的废热、余热、烟气的重要设备，主要功能为废热、余热的热量回收，同时
配合其他设备处理烟气中的污染物，从而达到废热、余热利用和保护环境的双重
目的。公司是国内余热锅炉设计制造的重要企业之一，在国内工业余热锅炉领域
一直保持市场占有率第一名，同时产品出口到美国、加拿大、德国、芬兰、日本、
澳大利亚、南非、赞比亚等国家和地区。
公司是国家火炬计划重点高新技术企业、江苏省高新技术企业、苏州百强民
营企业。公司以“科技领航、业界先锋”为发展理念，注重研究废热、余热利用和
环境保护相结合的新技术，在技术研发的基础上开发各种余热锅炉新型产品，产
品主要技术性能指标达到国际先进水平或国内领先水平。公司的干熄焦锅炉被列
为国家和江苏省火炬计划项目，并荣获国家冶金科学技术一等奖；江苏省 2006
年度科技进步三等奖；2006年公司与上海理工大学联合研制的“高温高压自然循
环干熄焦余热锅炉”已列入国家“863”计划；公司研制的硫磺制酸余热锅炉被评为
江苏省高新技术产品；2007 年公司负责实施江苏省科学技术厅、苏州市科学技
术局的“面向冶金、焦化行业的高效环保节能干熄焦余热锅炉及其产业化”项目，
并获2007年度江苏省科技成果专项资金1,500万元。
公司所持有的产品制造资格证书及资质认可证书居国内同行业前列，具体包
括A级锅炉、A1、A2 级压力容器设计资格证与制造许可证，美国机械工程师学
会（ASME）的“S”、“U”钢印和授权证书，船用锅炉方面持有中国船级社（CCS）、
英国劳氏船级社（LR）、德国劳埃德船级社（GL）、挪威船级社（DNV）、美国
"
3,N_A,"年度科技进步三等奖；2006年公司与上海理工大学联合研制的“高温高压自然循
环干熄焦余热锅炉”已列入国家“863”计划；公司研制的硫磺制酸余热锅炉被评为
江苏省高新技术产品；2007 年公司负责实施江苏省科学技术厅、苏州市科学技
术局的“面向冶金、焦化行业的高效环保节能干熄焦余热锅炉及其产业化”项目，
并获2007年度江苏省科技成果专项资金1,500万元。
公司所持有的产品制造资格证书及资质认可证书居国内同行业前列，具体包
括A级锅炉、A1、A2 级压力容器设计资格证与制造许可证，美国机械工程师学
会（ASME）的“S”、“U”钢印和授权证书，船用锅炉方面持有中国船级社（CCS）、
英国劳氏船级社（LR）、德国劳埃德船级社（GL）、挪威船级社（DNV）、美国
船级社（ABS）、法国船级社（BV）和日本海事协会（NK）的工厂认可和产品
检验证书。同时，公司抓住国内核电设备逐步国产化的契机，于 2006 年取得了
《民用核承压设备制造资格许可证》，已具有了制造核反应堆“心脏”设备——
堆内构件吊篮筒体的能力和业绩，填补了国内空白，达到国际水平。
二、控股股东简介
徐元生为公司的控股股东，持有公司股份32,050,950股，占发行前公司总股
本的38.6156%，并分别持有公司股东海高投资6.8748%和海瞻投资6.4089%的股
权，且为海高投资的第一大股东。
徐元生现任公司董事长兼总经理。
三、发行人主要财务数据及财务指标
根据公司经审计的会计报表，公司主要财务数据及财务指标如下：
（一）合并资产负债表主要数据
注：上表中 2007 年度的稀释每股收益、期末每股净资产数据与上一年度变化较大，主
要系由于公司2007年进行股份公司改制时按净资产折股，导致股本由2006年末的580万元
增至8,300万元。
、本次发行情况和募集资金用途
公司本次向符合资格的询价对象和已开立深圳证券账户的投资者（国家法
律、法规禁止购买者除外）发行2,770万股人民币普通股（A股）, 占发行后总股
本的 25.0226%。
本次发行后，根据公司2007年临时股东大会决议，所募资金扣除发行费用后
将全部投入“高效余热锅炉制造技术改造项目”和“企业技术研发中心技术改造项
目”，募集资金投资项目计划投资20,709万元。如果实际募集资金不足以完成上
述投资计划，不足部分公司将自筹解决；如果实际募集资金数量超过上述投资项
"
4,N_A,"注：上表中 2007 年度的稀释每股收益、期末每股净资产数据与上一年度变化较大，主
要系由于公司2007年进行股份公司改制时按净资产折股，导致股本由2006年末的580万元
增至8,300万元。
、本次发行情况和募集资金用途
公司本次向符合资格的询价对象和已开立深圳证券账户的投资者（国家法
律、法规禁止购买者除外）发行2,770万股人民币普通股（A股）, 占发行后总股
本的 25.0226%。
本次发行后，根据公司2007年临时股东大会决议，所募资金扣除发行费用后
将全部投入“高效余热锅炉制造技术改造项目”和“企业技术研发中心技术改造项
目”，募集资金投资项目计划投资20,709万元。如果实际募集资金不足以完成上
述投资计划，不足部分公司将自筹解决；如果实际募集资金数量超过上述投资项
目的资金需要，剩余募集资金将用于补充公司流动资金。
关于本次发行募集资金投向的具体内容详见本招股意向书“第十三节、募集
资金运用”。
1、股票种类： 人民币普通股（A 股）
2、每股面值： 1.00 元
3、发行数量： 2,770万股，占发行后总股本的 25.0226%
4、发行价确定方法： 通过向询价对象询价确定发行价格区间；在发行价格区
间内，向配售对象累计投标询价，综合累计投标询价结
果和市场情况确定发行价格
5、每股发行价： 元
6、市盈率： 倍（发行价格除以每股收益，每股收益按照2007年度经
审计的扣除非经常性损益前后孰低的净利润除以本次
发行后总股本计算）
7、市净率： 倍（按照发行价格除以发行后每股净资产计算）
8、发行前每股净资产： 1.96元（2007年 12 月 31 日数据全面摊薄计算）
9、发行后每股净资产： 元（截止2007年12月31日经审计的净资产与预计的募集
资金净额之和除以发行后的总股本）
10、发行方式： 采用网下向配售对象累计投标询价发行与网上资金申
购定价发行相结合的方式
11、发行对象： 符合资格的询价对象和已开立深圳证券账户的投资者
（国家法律、法规禁止购买者除外）
12、承销方式： 余额包销
（二）募集资金及发行费用概算
1、本次发行预计募集资金总额： 万元
2、本次发行费用概算
承销费用： 万元
保荐费用： 万元
审计、验资费用： 万元
律师费用： 万元
上网发行费用： 本次发行实际募集资金总额的3.5‰
3、本次发行预计募集资金净额： 约 万元
"
5,N_A,"8、发行前每股净资产： 1.96元（2007年 12 月 31 日数据全面摊薄计算）
9、发行后每股净资产： 元（截止2007年12月31日经审计的净资产与预计的募集
资金净额之和除以发行后的总股本）
10、发行方式： 采用网下向配售对象累计投标询价发行与网上资金申
购定价发行相结合的方式
11、发行对象： 符合资格的询价对象和已开立深圳证券账户的投资者
（国家法律、法规禁止购买者除外）
12、承销方式： 余额包销
（二）募集资金及发行费用概算
1、本次发行预计募集资金总额： 万元
2、本次发行费用概算
承销费用： 万元
保荐费用： 万元
审计、验资费用： 万元
律师费用： 万元
上网发行费用： 本次发行实际募集资金总额的3.5‰
3、本次发行预计募集资金净额： 约 万元
（一）发行人：苏州海陆重工股份有限公司
法定代表人： 徐元生
住所： 张家港市杨舍镇人民西路1号（省经济开发区
邮编： 215600
电话： 0512-58913056
传真： 0512-58683105
联系人： 潘建华
网址： http://www.hailu-boiler.cn
（二）保荐人（主承销商）：国信证券股份有限公司
法定代表人： 何如
住所： 深圳市红岭中路1102号国信证券大厦
电话： 0755-82130694
传真： 0755-82130620
保荐代表人： 赵德友、江曾华
项目主办人： 戴锋
（三）发行人律师：国浩律师集团（上海）事务所
负责人： 管建军
住所： 上海市南京西路580号南证大厦31层
电话： 021-52341668
传真： 021-52341670
经办律师： 吕红兵、李 辰
（四）审计、验资机构：江苏公证会计师事务所有限公司
负责人： 张彩斌
住所： 无锡市新区开发区旺庄路生活区
电话： 0510-85888988
传真： 0510-85885275
经办注册会计师： 沈岩、李建
（五）股票登记机构：中国证券登记结算有限责任公司深圳分公司
住所： 深圳市深南路1093号中信大厦18楼
电话： 0755-25938000
传真： 0755-25988122
（六）保荐人（主承销商）收款银行：工商银行深圳市深港支行
（六）保荐人（主承销商）收款银行：工商银行深圳市深港支行
户名： 国信证券股份有限公司
账号：
4000029119200021817
（七）申请上市证券交易所：深圳证券交易所
"
6,N_A,"经办律师： 吕红兵、李 辰
（四）审计、验资机构：江苏公证会计师事务所有限公司
负责人： 张彩斌
住所： 无锡市新区开发区旺庄路生活区
电话： 0510-85888988
传真： 0510-85885275
经办注册会计师： 沈岩、李建
（五）股票登记机构：中国证券登记结算有限责任公司深圳分公司
住所： 深圳市深南路1093号中信大厦18楼
电话： 0755-25938000
传真： 0755-25988122
（六）保荐人（主承销商）收款银行：工商银行深圳市深港支行
（六）保荐人（主承销商）收款银行：工商银行深圳市深港支行
户名： 国信证券股份有限公司
账号：
4000029119200021817
（七）申请上市证券交易所：深圳证券交易所
法定代表人： 宋丽萍
住所： 深圳市深南东路5045号
电话： 0755-82083333
传真： 0755-82083164
与本次发行有关的各中介机构及其负责人、高级管理人员、经办人员与发行
人之间不存在直接或间接的股权关系或其他权益关系。
三、与本次发行上市有关的重要日期
（一）询价推介时间：
2008年6月6日、2008年6月10日、2008年6月11日
（二）定价公告刊登日期：
2008年6月13日
（三）申购日期和缴款日期：
网下申购日——2008年6月13日和2008年6月16日
网上申购日——2008年6月16日
（四）股票上市日期：
发行完成后尽快安排上市
投资本公司的股票会涉及一系列风险，因此，投资者在购买本公司股票前，
敬请将下列风险因素相关资料连同本招股意向书中其他资料一并考虑。下列风险
因素是根据重要性原则或可能影响投资决策的程度大小分类排序的，但该排序并
不表示风险因素会依次发生。
余热锅炉行业是我国节能环保领域的新兴行业，其产品应用范围广泛，同时
由于存在一定的技术和装备壁垒，因此长期以来行业利润较为丰厚、竞争对手相
对有限。随着国家对环境保护的日益重视，将节能减排作为调整经济结构、转变
增长方式的突破口和宏观调控的重要目标，余热锅炉行业面临极大的发展机遇，
行业前景极为广阔。以此为契机，传统锅炉行业中的部分生产企业也开始逐步进
入余热锅炉生产领域。根据《2006中国工业锅炉行业年鉴》统计，截止2005年我
国锅炉生产企业为1,470家，如这些企业进入余热锅炉生产领域将使竞争加剧。
如果公司不能在未来的发展中迅速扩大生产规模、继续提高品牌影响力、确保行
"
7,N_A,"因素是根据重要性原则或可能影响投资决策的程度大小分类排序的，但该排序并
不表示风险因素会依次发生。
余热锅炉行业是我国节能环保领域的新兴行业，其产品应用范围广泛，同时
由于存在一定的技术和装备壁垒，因此长期以来行业利润较为丰厚、竞争对手相
对有限。随着国家对环境保护的日益重视，将节能减排作为调整经济结构、转变
增长方式的突破口和宏观调控的重要目标，余热锅炉行业面临极大的发展机遇，
行业前景极为广阔。以此为契机，传统锅炉行业中的部分生产企业也开始逐步进
入余热锅炉生产领域。根据《2006中国工业锅炉行业年鉴》统计，截止2005年我
国锅炉生产企业为1,470家，如这些企业进入余热锅炉生产领域将使竞争加剧。
如果公司不能在未来的发展中迅速扩大生产规模、继续提高品牌影响力、确保行
业领先地位，公司将有可能面临由于市场竞争带来的市场占有率下降的风险。
二、对相关行业依赖的风险
公司生产的余热锅炉产品主要应用于钢铁、有色、焦化、建材、石化、化工、
造纸、电力等能耗较高、环境污染相对严重的行业，通过回收其生产工艺过程中
产生的余热、废热，同时配合其他设备处理烟气中的污染物，从而达到废热、余
热利用和保护环境的双重目的。近年来，随着我国国民经济的持续高速增长，上
述行业投资规模较大，产能增加较快，新建、改建、扩建项目增多，对公司余热
锅炉产品的需求非常旺盛，公司生产任务长期处于满负荷状态。同时，上述行业
的高速发展又受到国内资源、能源供应的制约和环境保护的压力，按照国家“十
一五”规划和相关产业政策的要求，部分行业受宏观调控的影响较大，存在着发
展放缓或停滞的可能性。相关行业投资的减少和产能的降低，将可能影响到对本
公司余热锅炉产品的需求，给公司的业绩和发展带来负面影响，存在对相关行业
三、原材料价格波动的风险
公司通过“以销定产”方式组织产品生产和销售。余热锅炉产品通过事先订
货谈判签订合同，确定销售价格，同时根据生产进度订购所需原材料。公司产品
的主要原材料为钢板、钢管、型钢、不锈钢板、不锈钢管。2005、2006及2007
年上述主要原材料成本合计分别占公司生产成本的38.93%、32.41%、32.75%。
由于余热锅炉生产周期可达3－12个月，公司所需原材料价格在生产期间可能发
生较大变化，出现成本上升导致利润下降的风险。
四、延迟交货的违约风险
公司产品的采购方与公司签订的余热锅炉定货合同中，一般以履约保证金和
"
8,N_A,"展放缓或停滞的可能性。相关行业投资的减少和产能的降低，将可能影响到对本
公司余热锅炉产品的需求，给公司的业绩和发展带来负面影响，存在对相关行业
三、原材料价格波动的风险
公司通过“以销定产”方式组织产品生产和销售。余热锅炉产品通过事先订
货谈判签订合同，确定销售价格，同时根据生产进度订购所需原材料。公司产品
的主要原材料为钢板、钢管、型钢、不锈钢板、不锈钢管。2005、2006及2007
年上述主要原材料成本合计分别占公司生产成本的38.93%、32.41%、32.75%。
由于余热锅炉生产周期可达3－12个月，公司所需原材料价格在生产期间可能发
生较大变化，出现成本上升导致利润下降的风险。
四、延迟交货的违约风险
公司产品的采购方与公司签订的余热锅炉定货合同中，一般以履约保证金和
延迟交货罚金条款来保证公司按时交货。目前，余热锅炉产品需求旺盛，公司的
生产基本处于满负荷状态，存在一定的按时交货压力。由于部分锅炉用特种原材
料受供应商生产排期的影响，可能无法按公司订货合同及时供货，影响工期和交
货期。尽管公司已积极采取专业化生产、保持合理库存、加强科学管理和调度等
多种方式确保准时交货，但由于余热锅炉产品及参数的多样性导致材料的多样
性，仍存在因原材料供应、管理不善造成延迟交货的违约风险。
五、资产负债率较高的风险
公司前身海陆锅炉2000年设立时的注册资本仅为人民币580万元，多年来主
要依靠自身积累滚动发展，资产负债率一直居高不下。截止2005年12月31日、2006
年12月31日和2007年12月31日，母公司报表口径的资产负债率分别为81.89%、
76.97%和74.65%，负债结构以预收账款为主，分别占上述时点负债总额的64%、
54%和48%。随着公司业务规模的快速扩大和产能扩张的资本性支出需求加大，
公司的资产负债率还可能保持较高水平，存在潜在的财务风险。
六、应收账款发生呆坏帐的风险
截止2005 年12月31日、2006年12月31日及2007年12月31日，本公司应收账
款净额分别为6,879.56万元、9,346.60万元及12,629.67万元，占当期营业总收入的
三、原材料价格波动的风险
公司通过“以销定产”方式组织产品生产和销售。余热锅炉产品通过事先订
货谈判签订合同，确定销售价格，同时根据生产进度订购所需原材料。公司产品
的主要原材料为钢板、钢管、型钢、不锈钢板、不锈钢管。2005、2006及2007
"
9,N_A,"76.97%和74.65%，负债结构以预收账款为主，分别占上述时点负债总额的64%、
54%和48%。随着公司业务规模的快速扩大和产能扩张的资本性支出需求加大，
公司的资产负债率还可能保持较高水平，存在潜在的财务风险。
六、应收账款发生呆坏帐的风险
截止2005 年12月31日、2006年12月31日及2007年12月31日，本公司应收账
款净额分别为6,879.56万元、9,346.60万元及12,629.67万元，占当期营业总收入的
三、原材料价格波动的风险
公司通过“以销定产”方式组织产品生产和销售。余热锅炉产品通过事先订
货谈判签订合同，确定销售价格，同时根据生产进度订购所需原材料。公司产品
的主要原材料为钢板、钢管、型钢、不锈钢板、不锈钢管。2005、2006及2007
年上述主要原材料成本合计分别占公司生产成本的38.93%、32.41%、32.75%。
由于余热锅炉生产周期可达3－12个月，公司所需原材料价格在生产期间可能发
生较大变化，出现成本上升导致利润下降的风险。
比例分别为17.21%、18.70%和19.11%。截止2007年12月31日，1年以内的应收账
款余额为11,326.07万元，占应收账款总额的比例为80.79%；1-2年的应收账款余
额为1,474.12万元，占应收账款总额的比例为10.51%；2年以内的应收账款余额合
计占应收账款总额的比例为91.30%。随着业务规模的扩张，公司应收账款余额增
长较快。若应收账款催收不力或产品购买方资信和经营状况恶化导致应收账款不
能按合同规定及时支付，将可能给公司带来呆坏账风险。
七、汇率风险
随着公司干熄焦、有色冶金及氧气转炉余热锅炉在产品设计、制造上逐渐成
熟，制造成本优势更加突出，公司余热锅炉产品出口呈逐年上升趋势，2005年、
2006年及2007年出口额分别为3,515.50万元、4,149.13万元及11,209.49万元，占当
期营业收入的8.79%、8.30%、16.96%。由于出口产品比例加大，国家的外汇政
策变化和人民币汇率水平波动对本公司收入和盈利的影响也渐趋明显。自2006
年下半年开始，公司开始参照中国银行公布的远期汇率，按照收款期远期汇率水
平确定产品销售价格，部分锁定了汇率波动风险。若人民币汇率波动幅度超过预
期汇率水平，公司仍将存在一定的汇率风险。
八、技术开发及设计配套风险
"
